team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against
9865,2020-09-27T10:00:00.000Z,8206,Lugo,2,0,False,63,10,4,0,0,451 (87%),17,2,37,7,0,0,0,211 (76%),19,6,,4,2,0,4,6,,5,2,0,5,2,521,258,193,30 (52%),2 (22%),11,15.0,0,279,105,106,18 (41%),3 (10%),28,17.0,6,,21,7,2,26,0,,11,5,2,6,2,,60,42 (53%),18 (62%),4 (40%),,49,38 (47%),11 (38%),11 (50%),,2,1,,0,0
9865,2020-10-04T16:15:00.000Z,9869,Sporting Gijon,0,1,True,68,11,3,2,2,515 (87%),12,9,32,4,3,1,0,221 (75%),16,2,,6,2,0,2,9,,0,1,0,2,2,595,223,292,35 (64%),2 (6%),23,16.0,1,295,167,54,20 (34%),1 (14%),23,5.0,3,,6,9,1,7,2,,15,14,2,18,3,,42,29 (52%),13 (57%),9 (50%),,37,27 (48%),10 (43%),3 (75%),,0,0,,6,0
9865,2020-10-10T14:00:00.000Z,7880,Logrones,0,1,False,63,4,0,0,0,401 (80%),18,4,37,6,2,1,1,193 (70%),19,7,,3,1,0,1,3,,4,0,0,4,2,499,217,184,33 (49%),2 (13%),28,17.0,2,275,97,96,32 (48%),8 (32%),24,26.0,2,,18,7,0,29,1,,20,14,1,18,0,,63,44 (53%),19 (53%),7 (39%),,56,39 (47%),17 (47%),4 (24%),,3,0,,0,0
9865,2020-10-17T16:15:00.000Z,8306,Las Palmas,0,2,False,62,8,3,0,0,343 (79%),19,2,38,10,4,0,0,171 (66%),21,4,,4,1,0,3,5,,3,3,1,4,6,434,182,161,30 (65%),1 (10%),31,12.0,6,259,69,102,28 (44%),1 (11%),22,13.0,2,,21,9,3,9,2,,20,18,1,15,3,,74,54 (52%),20 (67%),14 (64%),,59,49 (48%),10 (33%),10 (77%),,3,0,,3,0
9865,2020-10-21T19:30:00.000Z,8554,Cartagena,1,1,True,58,14,2,3,2,368 (81%),21,1,42,15,5,2,2,226 (70%),15,4,,10,2,0,9,5,,6,4,0,9,6,456,185,183,28 (53%),7 (39%),18,18.0,2,324,63,163,25 (37%),4 (27%),25,19.0,0,,12,7,4,13,4,,21,7,2,11,1,,55,32 (40%),23 (51%),7 (58%),,70,48 (60%),22 (49%),7 (64%),,3,0,,1,0
9865,2020-10-24T18:30:00.000Z,8555,Fuenlabrada,3,0,True,59,11,5,4,2,366 (81%),15,4,41,8,2,0,0,219 (73%),19,6,,4,2,0,8,3,,3,3,0,2,6,451,162,204,22 (47%),4 (36%),32,16.0,3,301,123,96,28 (54%),2 (14%),22,9.0,0,,18,13,3,22,2,,24,20,2,7,2,,66,50 (50%),16 (52%),13 (72%),,66,51 (50%),15 (48%),13 (62%),,1,0,,3,1
9865,2020-10-28T18:00:00.000Z,10279,Castellon,2,1,False,49,9,6,4,2,407 (83%),14,4,51,14,2,3,2,415 (85%),7,6,,2,1,0,6,3,,8,4,0,9,5,489,259,148,24 (46%),1 (9%),20,20.0,0,488,225,190,32 (52%),8 (19%),20,21.0,2,,6,14,3,31,1,,12,14,2,15,3,,39,26 (41%),13 (50%),13 (59%),,50,37 (59%),13 (50%),13 (81%),,4,0,,1,1
9865,2020-11-01T20:00:00.000Z,7732,Girona,0,0,True,75,31,5,4,4,536 (88%),11,14,25,7,1,0,0,139 (64%),14,1,,16,10,1,18,13,,6,0,0,3,4,610,168,368,22 (61%),11 (27%),23,46.0,2,218,66,73,14 (25%),1 (17%),16,4.0,0,,15,10,0,5,1,,10,17,9,39,4,,69,44 (64%),25 (52%),17 (71%),,48,25 (36%),23 (48%),6 (50%),,2,0,,2,3
9865,2020-11-05T18:00:00.000Z,4033,Sabadell,2,1,False,47,8,5,2,0,301 (80%),22,2,53,11,3,2,1,335 (81%),18,3,,2,1,0,3,5,,6,2,0,7,4,376,162,139,22 (46%),1 (11%),23,10.0,3,413,210,125,30 (55%),7 (26%),14,16.0,3,,7,13,1,20,2,,12,8,1,9,3,,51,38 (49%),13 (46%),14 (67%),,54,39 (51%),15 (54%),6 (75%),,5,1,,5,0
9865,2020-11-08T15:00:00.000Z,8370,Rayo Vallecano,1,0,False,62,10,3,1,0,407 (83%),18,10,38,14,1,0,0,215 (74%),10,4,,2,5,1,7,3,,9,4,0,6,8,493,209,198,32 (53%),5 (21%),20,22.0,0,289,91,124,16 (29%),7 (27%),27,21.0,2,,15,9,4,20,1,,9,9,5,15,2,,46,33 (49%),13 (54%),9 (64%),,46,35 (51%),11 (46%),8 (67%),,3,0,,3,1
9865,2020-11-14T15:15:00.000Z,4032,CD Mirandes,2,1,True,46,9,6,3,2,336 (82%),9,3,54,20,7,1,0,375 (84%),18,9,,2,1,1,4,5,,9,4,0,12,8,408,178,158,25 (50%),2 (29%),20,16.0,1,445,148,227,30 (56%),10 (24%),23,23.0,0,,12,10,4,36,6,,15,17,1,8,4,,54,40 (52%),14 (61%),11 (58%),,46,37 (48%),9 (39%),15 (71%),,1,0,,4,0
9865,2020-11-23T20:00:00.000Z,8393,Albacete,2,1,False,51,10,5,2,0,326 (85%),21,5,49,14,3,2,1,268 (79%),21,6,,5,0,0,5,5,,5,6,0,9,5,384,187,139,25 (61%),3 (20%),19,17.0,3,341,158,110,23 (50%),12 (33%),21,26.0,5,,11,8,5,36,2,,21,8,0,8,3,,60,46 (48%),14 (50%),14 (67%),,64,50 (52%),14 (50%),10 (67%),,6,0,,5,0
9865,2020-11-26T20:30:00.000Z,9867,Tenerife,2,0,True,58,11,3,2,0,476 (87%),16,3,42,15,1,0,0,313 (83%),13,7,,5,3,0,4,7,,12,2,0,9,6,547,301,175,28 (72%),5 (45%),18,16.0,1,377,180,133,41 (59%),7 (20%),24,23.0,2,,10,15,2,24,1,,6,19,3,11,1,,48,33 (56%),15 (63%),11 (85%),,35,26 (44%),9 (38%),6 (46%),,2,0,,3,0
9865,2020-11-30T20:00:00.000Z,8670,Real Oviedo,2,1,False,48,12,4,1,0,258 (74%),11,4,52,12,3,1,0,266 (74%),9,9,,5,3,0,9,3,,4,5,0,7,5,347,115,143,22 (40%),3 (21%),22,22.0,1,358,106,160,45 (59%),9 (25%),26,22.0,0,,11,16,4,34,2,,13,8,3,18,2,,55,30 (53%),25 (50%),10 (59%),,52,27 (47%),25 (50%),6 (50%),,3,0,,3,0
9865,2020-12-03T18:00:00.000Z,8661,Mallorca,0,1,True,54,11,2,0,0,403 (86%),11,4,46,12,3,0,0,320 (84%),18,5,,6,3,1,4,7,,6,3,0,7,5,471,276,127,31 (55%),2 (33%),23,12.0,1,383,169,151,13 (38%),5 (26%),27,18.0,0,,18,10,3,14,2,,16,7,3,11,2,,57,41 (57%),16 (80%),7 (58%),,35,31 (43%),4 (20%),5 (36%),,5,0,,3,0
9865,2020-12-06T13:00:00.000Z,161750,Alcorcon,1,0,False,60,8,3,2,1,402 (83%),13,7,40,17,5,2,2,235 (73%),15,5,,4,1,0,4,4,,7,5,1,10,7,485,232,170,44 (62%),3 (15%),24,8.0,4,323,107,128,23 (40%),4 (20%),16,19.0,1,,10,17,5,14,4,,6,24,1,12,2,,55,32 (62%),23 (62%),9 (69%),,34,20 (38%),14 (38%),3 (30%),,3,0,,0,0
9865,2020-12-09T18:00:00.000Z,8394,Real Zaragoza,1,0,True,52,10,2,1,0,425 (84%),16,3,48,11,4,1,1,356 (80%),18,6,,4,4,0,5,5,,5,2,0,6,5,505,264,161,46 (69%),1 (11%),14,15.0,4,446,181,175,38 (50%),7 (18%),22,19.0,2,,11,14,2,33,4,,18,7,3,13,1,,54,35 (45%),19 (66%),8 (53%),,53,43 (55%),10 (34%),9 (64%),,3,0,,3,0
9865,2020-12-13T15:00:00.000Z,9864,Malaga,3,1,True,54,9,6,2,0,360 (78%),18,3,46,10,5,2,1,280 (71%),13,5,,2,1,0,3,6,,1,4,0,7,3,462,200,160,34 (52%),2 (14%),21,13.0,5,393,165,115,37 (44%),1 (8%),28,19.0,1,,11,4,4,13,4,,19,8,1,20,3,,44,25 (37%),19 (45%),2 (33%),,66,43 (63%),23 (55%),10 (77%),,7,0,,2,0
