team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against
8554,2020-09-13T10:00:00.000Z,8670,Real Oviedo,0,0,False,47,7,0,0,0,228 (75%),15,3,53,18,6,3,3,248 (76%),23,7,,4,3,0,2,5,,7,5,2,13,5,304,137,91,25 (43%),3 (25%),9,0,328,108,140,28 (48%),9 (33%),25,1,,12,4,0,18,6,,11,7,0,11,0,,60,42 (55%),18 (41%),8 (73%),,61,35 (45%),26 (59%),9 (75%),,0,0,,0,0,,
8554,2020-09-20T16:15:00.000Z,9869,Sporting Gijon,0,1,True,50,10,3,1,1,326 (79%),15,4,50,10,3,2,2,327 (80%),15,5,,3,4,0,6,4,,6,1,0,7,3,413,172,154,23 (40%),2 (10%),18,0,410,213,114,27 (47%),5 (36%),14,2,,9,6,0,17,2,,16,9,0,26,3,,40,31 (48%),9 (50%),9 (53%),,42,33 (52%),9 (50%),4 (57%),,0,0,,0,0,,
8554,2020-09-27T18:30:00.000Z,7854,Leganes,1,3,False,57,12,5,1,0,432 (84%),9,4,43,16,5,1,1,315 (81%),13,2,,5,2,0,5,7,,7,4,1,10,6,514,192,240,31 (54%),2 (13%),18,2,389,186,129,25 (40%),2 (18%),15,0,,13,16,4,7,2,,13,11,2,25,4,,48,35 (52%),13 (48%),11 (61%),,46,32 (48%),14 (52%),11 (73%),,2,0,,4,0,11.0,21.0
8554,2020-10-04T18:30:00.000Z,8206,Lugo,2,1,True,50,11,6,2,1,284 (77%),18,3,50,12,5,1,0,286 (79%),12,8,,2,3,0,5,6,,5,2,2,8,4,371,153,131,16 (28%),1 (8%),21,2,361,131,155,33 (52%),6 (20%),18,2,,14,6,2,23,4,,14,16,3,12,4,,46,33 (43%),13 (38%),8 (80%),,64,43 (57%),21 (62%),18 (78%),,3,0,,5,0,14.0,25.0
8554,2020-10-11T16:30:00.000Z,8005,Ponferradina,2,0,False,48,11,4,2,1,245 (70%),16,7,52,8,2,1,1,287 (75%),14,3,,5,2,0,7,4,,3,3,0,2,6,348,128,117,33 (45%),3 (21%),24,1,384,147,140,35 (44%),2 (13%),12,0,,12,11,3,10,2,,9,6,3,21,1,,48,26 (47%),22 (58%),6 (60%),,45,29 (53%),16 (42%),5 (45%),,4,0,,3,0,18.0,5.0
8554,2020-10-17T16:15:00.000Z,8555,Fuenlabrada,1,1,True,49,7,1,1,0,241 (71%),17,4,51,13,4,2,1,261 (77%),26,4,,1,5,0,6,1,,4,5,0,7,6,338,132,109,23 (35%),1 (13%),24,0,340,154,107,26 (46%),3 (20%),16,0,,17,10,4,18,3,,19,15,5,14,0,,64,52 (51%),12 (38%),13 (59%),,69,49 (49%),20 (63%),13 (62%),,3,0,,5,0,15.0,27.0
8554,2020-10-21T19:30:00.000Z,9865,Almeria,1,1,False,42,15,5,2,2,226 (70%),15,4,58,14,2,3,2,368 (81%),21,1,,6,4,0,9,6,,10,2,0,9,5,324,63,163,25 (37%),4 (27%),25,0,456,185,183,28 (53%),7 (39%),18,2,,21,7,2,11,1,,12,7,4,13,4,,70,48 (60%),22 (49%),7 (64%),,55,32 (40%),23 (51%),7 (58%),,1,0,,3,0,19.0,18.0
8554,2020-10-24T16:15:00.000Z,8306,Las Palmas,3,0,True,42,7,4,2,0,280 (76%),25,3,58,11,3,0,0,402 (81%),13,5,,1,2,0,5,2,,4,4,0,3,8,367,141,139,25 (40%),2 (20%),21,0,496,216,186,44 (64%),2 (10%),23,3,,11,13,3,21,3,,19,8,2,9,1,,48,31 (36%),17 (46%),9 (53%),,76,56 (64%),20 (54%),13 (72%),,4,0,,2,1,16.0,13.0
8554,2020-10-27T18:00:00.000Z,7732,Girona,1,2,False,39,4,3,2,1,232 (72%),9,4,61,19,5,2,1,434 (86%),14,4,,1,0,0,4,0,,8,6,0,11,8,324,140,92,33 (43%),1 (7%),15,1,506,165,269,52 (63%),8 (31%),28,2,,16,8,6,24,3,,12,11,0,13,2,,51,38 (53%),13 (46%),8 (67%),,49,34 (47%),15 (54%),13 (65%),,2,2,,1,0,9.0,26.0
8554,2020-10-31T15:00:00.000Z,8393,Albacete,3,1,True,40,12,6,1,0,231 (71%),20,3,60,10,4,1,1,374 (81%),12,5,,2,4,0,7,5,,4,2,0,6,4,325,114,117,30 (43%),3 (27%),19,2,464,170,204,42 (58%),6 (20%),15,1,,18,15,2,24,3,,16,9,4,8,3,,54,37 (48%),17 (52%),8 (57%),,56,40 (52%),16 (48%),8 (47%),,2,0,,4,0,16.0,9.0
8554,2020-11-07T15:00:00.000Z,7880,Logrones,0,1,True,55,10,0,0,0,336 (78%),12,8,45,9,1,1,1,285 (79%),19,4,,6,4,1,3,7,,8,0,0,6,3,433,176,160,21 (36%),2 (10%),26,1,363,168,117,35 (51%),5 (45%),13,1,,19,4,0,10,0,,15,13,4,25,1,,59,47 (58%),12 (55%),10 (71%),,44,34 (42%),10 (45%),7 (39%),,1,0,,0,0,17.0,9.0
8554,2020-11-15T17:30:00.000Z,10279,Castellon,1,2,False,54,7,2,1,1,343 (78%),12,7,46,6,2,0,0,292 (80%),21,3,,0,5,0,6,1,,3,1,0,3,3,441,212,131,27 (36%),3 (21%),24,4,366,172,120,23 (38%),6 (33%),17,2,,20,8,0,14,0,,5,5,4,14,1,,66,44 (64%),22 (67%),4 (67%),,36,25 (36%),11 (33%),12 (52%),,2,0,,4,0,17.0,15.0
8554,2020-11-21T15:00:00.000Z,4032,CD Mirandes,1,4,False,53,14,6,3,2,294 (75%),12,3,47,10,7,2,0,264 (73%),23,2,,7,1,2,9,5,,2,1,0,5,5,394,144,150,30 (45%),5 (25%),25,2,363,139,125,36 (51%),2 (22%),23,4,,16,18,1,9,3,,19,14,2,19,4,,67,49 (53%),18 (46%),13 (65%),,65,44 (47%),21 (54%),15 (65%),,0,1,,3,0,21.0,16.0
8554,2020-11-25T20:30:00.000Z,8661,Mallorca,1,2,True,40,7,3,1,1,212 (72%),20,3,60,14,4,3,1,363 (86%),15,6,,4,0,0,4,3,,3,7,0,9,5,293,141,71,22 (36%),2 (20%),18,0,424,157,206,21 (55%),6 (23%),17,3,,20,10,5,18,2,,11,12,0,9,2,,50,40 (55%),10 (50%),6 (50%),,43,33 (45%),10 (50%),6 (40%),,5,1,,2,0,7.0,28.0
8554,2020-11-28T17:15:00.000Z,8370,Rayo Vallecano,0,0,False,41,9,1,0,0,198 (65%),20,5,59,11,3,2,2,337 (78%),12,5,,7,1,0,1,8,,6,2,0,6,5,303,106,92,33 (39%),0 (0%),15,0,431,156,181,34 (49%),7 (37%),23,1,,19,12,2,11,3,,13,6,1,15,1,,55,42 (51%),13 (37%),11 (69%),,63,41 (49%),22 (63%),9 (64%),,3,0,,2,0,19.0,15.0
8554,2020-12-02T18:00:00.000Z,8558,Espanyol,1,3,True,42,11,3,1,0,224 (73%),21,4,58,28,5,5,2,346 (85%),13,10,,6,2,0,7,4,,16,7,3,17,11,305,116,108,30 (48%),2 (25%),14,2,406,145,201,27 (60%),12 (35%),18,2,,14,6,5,20,2,,11,4,2,13,2,,54,35 (49%),19 (42%),10 (67%),,63,37 (51%),26 (58%),6 (40%),,2,0,,2,0,12.0,26.0
8554,2020-12-05T19:30:00.000Z,9864,Malaga,2,1,False,43,4,2,1,0,242 (73%),22,2,57,7,1,2,2,347 (80%),17,3,,1,1,0,1,3,,3,3,1,4,3,333,133,109,25 (38%),2 (20%),18,2,432,235,112,32 (51%),5 (20%),31,2,,11,11,2,19,1,,9,9,1,12,0,,47,32 (50%),15 (41%),5 (63%),,54,32 (50%),22 (59%),4 (36%),,3,0,,3,0,13.0,15.0
8554,2020-12-13T19:30:00.000Z,4033,Sabadell,1,2,True,47,10,3,2,1,271 (71%),13,1,53,12,2,3,3,341 (81%),16,5,,7,0,1,8,2,,7,3,0,8,4,381,127,144,29 (44%),1 (9%),16,3,422,208,133,34 (52%),5 (22%),20,3,,18,8,3,16,1,,14,20,0,17,2,,60,42 (58%),18 (53%),8 (47%),,47,31 (42%),16 (47%),6 (40%),,3,0,,5,0,18.0,19.0
8554,2020-12-20T13:00:00.000Z,161750,Alcorcon,1,2,False,53,11,3,1,0,266 (73%),16,6,47,9,4,0,0,229 (72%),24,3,,5,3,0,4,7,,4,1,0,7,2,366,154,112,24 (37%),1 (6%),20,3,319,122,107,25 (43%),5 (28%),17,0,,10,3,1,13,2,,15,11,2,25,2,,55,35 (49%),20 (53%),5 (45%),,55,37 (51%),18 (47%),7 (54%),,4,0,,3,0,20.0,13.0
8554,2021-01-02T19:30:00.000Z,8394,Real Zaragoza,1,1,True,55,12,5,1,0,435 (87%),16,6,45,15,5,2,1,326 (83%),13,5,,2,5,0,6,6,,7,3,1,11,4,500,239,196,31 (70%),3 (21%),9,1,391,167,159,22 (46%),5 (22%),14,2,,16,11,3,17,4,,17,12,4,15,4,,47,36 (50%),11 (65%),8 (50%),,42,36 (50%),6 (35%),6 (43%),,3,0,,3,0,14.0,25.0
8554,2021-01-10T17:15:00.000Z,9867,Tenerife,0,3,False,63,7,0,0,0,411 (84%),18,6,37,7,4,2,1,221 (75%),31,2,,3,4,0,2,5,,3,0,1,6,1,490,226,185,27 (56%),2 (13%),24,2,294,115,106,35 (55%),2 (33%),17,2,,6,12,0,11,1,,20,12,4,22,0,,64,50 (57%),14 (47%),14 (70%),,54,38 (43%),16 (53%),2 (50%),,4,0,,3,0,10.0,16.0
8554,2021-01-25T20:00:00.000Z,4032,CD Mirandes,0,2,True,55,9,1,1,1,336 (76%),19,4,45,14,6,1,0,265 (72%),17,4,,4,4,0,3,6,,5,3,1,7,7,444,193,143,45 (55%),5 (20%),18,2,370,143,122,19 (30%),1 (11%),19,4,,13,11,3,11,4,,10,8,4,21,1,,56,35 (51%),21 (62%),7 (54%),,46,33 (49%),13 (38%),10 (56%),,3,0,,4,0,15.0,17.0
8554,2021-01-31T13:00:00.000Z,9869,Sporting Gijon,0,0,False,48,10,1,0,0,325 (81%),15,5,52,9,1,0,0,370 (81%),14,1,,8,1,1,5,5,,7,1,0,2,7,401,149,176,30 (58%),3 (13%),15,3,454,237,133,28 (44%),2 (18%),12,1,,17,9,1,10,1,,18,3,1,25,1,,49,39 (51%),10 (43%),11 (55%),,51,38 (49%),13 (57%),7 (47%),,5,0,,2,1,14.0,9.0
8554,2021-02-06T15:00:00.000Z,8670,Real Oviedo,2,0,True,41,13,4,3,1,193 (65%),15,5,59,6,1,0,0,328 (72%),15,3,,8,1,0,9,4,,3,2,0,3,3,296,95,98,22 (29%),4 (20%),15,1,453,161,167,32 (40%),5 (24%),33,0,,15,21,2,31,1,,15,10,1,12,2,,53,38 (48%),15 (34%),8 (57%),,71,42 (53%),29 (66%),15 (65%),,3,0,,2,0,13.0,24.0
