team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against
8558,2020-09-12T19:00:00.000Z,8393,Albacete,3,0,True,72,20,6,5,3,548 (86%),12,8,28,7,1,0,0,139 (58%),14,5,,12,2,1,13,7,,5,1,0,5,2,639,249,299,37 (55%),7 (27%),14,0,239,61,78,25 (36%),8 (40%),23,1,,13,6,1,20,1,,14,14,2,19,3,,56,31 (53%),25 (52%),6 (43%),,50,27 (47%),23 (48%),2 (25%),,0,0,,2,0,,
8558,2020-09-20T14:00:00.000Z,8661,Mallorca,0,0,True,53,9,3,0,0,370 (84%),19,3,47,7,3,0,0,305 (80%),17,2,,2,4,0,1,8,,3,1,0,3,4,441,212,158,23 (42%),3 (23%),21,0,383,177,128,31 (60%),2 (13%),24,2,,11,5,1,12,3,,16,4,4,12,3,,45,35 (49%),10 (37%),8 (62%),,54,37 (51%),17 (63%),7 (54%),,1,1,,2,0,,
8558,2020-09-27T16:15:00.000Z,8670,Real Oviedo,2,0,False,53,6,2,3,1,319 (75%),12,4,47,7,2,0,0,287 (76%),17,7,,2,2,1,5,1,,4,1,1,4,3,423,159,160,35 (48%),3 (18%),33,1,377,139,148,32 (48%),3 (14%),22,2,,15,10,1,20,3,,21,10,2,10,0,,62,36 (46%),26 (68%),5 (38%),,55,43 (54%),12 (32%),11 (58%),,0,0,,2,0,13.0,13.0
8558,2020-10-04T14:00:00.000Z,4033,Sabadell,1,0,False,48,15,7,5,4,346 (83%),12,5,52,7,2,1,1,367 (84%),11,7,,5,3,1,11,4,,4,1,0,4,3,419,147,199,37 (57%),3 (18%),23,0,439,239,128,36 (54%),8 (24%),28,1,,12,9,1,22,2,,9,8,4,20,5,,40,30 (52%),10 (48%),10 (71%),,39,28 (48%),11 (52%),7 (47%),,2,0,,1,0,28.0,12.0
8558,2020-10-10T14:00:00.000Z,161750,Alcorcon,1,0,True,68,13,5,4,3,487 (82%),9,6,32,8,3,1,1,167 (59%),13,2,,4,4,0,8,5,,5,0,0,5,3,596,241,246,19 (40%),7 (35%),29,2,281,102,65,19 (28%),2 (20%),17,2,,11,15,0,10,3,,15,16,3,18,4,,56,32 (55%),24 (63%),9 (45%),,40,26 (45%),14 (37%),5 (56%),,0,0,,2,0,25.0,11.0
8558,2020-10-18T14:00:00.000Z,8370,Rayo Vallecano,0,1,False,48,3,0,0,0,272 (70%),14,5,52,11,3,0,0,311 (75%),13,5,,2,1,0,2,1,,2,6,0,5,6,389,179,93,23 (34%),3 (15%),23,1,412,155,156,25 (41%),2 (7%),30,4,,15,8,5,26,2,,13,11,1,20,0,,50,33 (46%),17 (40%),6 (46%),,65,39 (54%),26 (60%),14 (67%),,4,0,,6,0,10.0,19.0
8558,2020-10-21T14:30:00.000Z,4032,CD Mirandes,2,0,True,49,11,5,2,1,353 (81%),10,2,51,8,2,0,0,368 (81%),12,3,,3,3,1,4,7,,4,2,0,2,6,435,235,118,22 (39%),1 (5%),19,3,453,186,182,32 (48%),3 (14%),20,2,,16,9,2,18,2,,16,18,3,11,4,,43,36 (54%),7 (39%),10 (43%),,42,31 (46%),11 (61%),6 (43%),,1,0,,0,0,14.0,8.0
8558,2020-10-25T17:15:00.000Z,9867,Tenerife,0,0,False,59,15,4,1,1,386 (82%),12,9,41,7,4,0,0,240 (72%),14,3,,11,0,0,9,6,,3,0,0,6,1,473,170,216,32 (53%),5 (17%),23,1,333,138,102,29 (38%),4 (24%),23,0,,8,5,0,14,4,,17,10,0,26,4,,48,28 (42%),20 (56%),6 (33%),,55,39 (58%),16 (44%),11 (85%),,1,0,,2,0,19.0,9.0
8558,2020-10-28T18:00:00.000Z,8005,Ponferradina,2,0,True,50,13,3,1,0,351 (81%),14,4,50,19,3,0,0,367 (82%),10,5,,5,5,0,6,7,,5,11,0,9,10,436,182,169,29 (58%),7 (30%),22,0,446,212,155,36 (58%),6 (43%),15,4,,21,13,10,13,3,,19,16,5,15,1,,53,43 (51%),10 (43%),13 (57%),,54,41 (49%),13 (57%),10 (63%),,3,0,,5,0,23.0,26.0
8558,2020-11-02T20:00:00.000Z,9864,Malaga,3,0,False,53,7,5,4,2,447 (87%),9,1,47,10,1,1,1,378 (85%),7,3,,2,0,0,5,2,,8,1,0,5,5,516,238,209,35 (54%),4 (36%),23,6,446,239,139,54 (68%),4 (29%),17,3,,13,9,1,10,1,,17,7,0,9,2,,32,24 (41%),8 (44%),5 (45%),,45,35 (59%),10 (56%),9 (47%),,2,0,,2,0,13.0,11.0
