team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against
8306,2020-09-12T16:15:00.000Z,7854,Leganes,0,1,False,47,9,1,0,0,237 (74%),16,2,53,12,6,2,1,284 (75%),15,2,,5,3,0,5,4,,3,3,0,9,3,322,118,119,26 (41%),4 (19%),26,3,378,179,105,35 (52%),9 (56%),19,5,,17,15,0,14,5,,21,8,0,16,1,,56,35 (44%),21 (46%),6 (43%),,70,45 (56%),25 (54%),9 (69%),,0,0,,0,0,,
8306,2020-09-20T18:30:00.000Z,8555,Fuenlabrada,3,3,True,55,12,7,2,1,248 (74%),26,2,45,16,5,4,1,192 (72%),15,5,,3,2,0,5,7,,9,2,1,10,6,337,138,110,26 (41%),2 (15%),23,2,268,104,88,33 (53%),7 (47%),21,4,,14,1,1,21,2,,9,12,2,17,4,,59,42 (48%),17 (37%),13 (87%),,74,45 (52%),29 (63%),11 (65%),,0,0,,0,0,,
8306,2020-09-26T14:00:00.000Z,8394,Real Zaragoza,2,2,False,48,10,5,0,0,248 (75%),19,2,52,7,1,0,0,271 (75%),17,6,,4,1,0,4,6,,2,4,0,3,4,331,135,113,40 (56%),3 (18%),29,3,359,169,102,37 (48%),3 (20%),25,3,,14,5,4,16,0,,13,5,1,16,3,,52,34 (46%),18 (50%),3 (38%),,58,40 (54%),18 (50%),9 (64%),,1,1,,4,1,12.0,8.0
8306,2020-10-03T18:30:00.000Z,7880,Logrones,2,1,True,53,10,3,1,0,272 (76%),22,7,47,7,3,2,1,203 (65%),19,4,,4,3,0,5,5,,3,1,0,6,1,357,138,134,30 (46%),0 (0%),23,1,312,127,76,14 (27%),6 (33%),31,1,,8,12,1,16,2,,16,10,3,16,1,,61,33 (43%),28 (48%),12 (71%),,73,43 (57%),30 (52%),9 (82%),,4,0,,1,0,14.0,15.0
8306,2020-10-11T14:00:00.000Z,9864,Malaga,0,0,False,45,11,2,2,2,234 (71%),20,0,55,12,1,0,0,298 (73%),12,5,,7,2,0,8,3,,6,5,0,8,4,331,128,106,34 (48%),7 (44%),40,3,406,182,116,39 (49%),6 (33%),30,3,,27,16,5,21,1,,15,7,2,16,2,,74,51 (60%),23 (42%),12 (60%),,66,34 (40%),32 (58%),4 (33%),,2,1,,3,0,23.0,23.0
8306,2020-10-17T16:15:00.000Z,9865,Almeria,2,0,True,38,10,4,0,0,171 (66%),21,4,62,8,3,0,0,343 (79%),19,2,,3,3,1,4,6,,4,1,0,3,5,259,69,102,28 (44%),1 (11%),22,2,434,182,161,30 (65%),1 (10%),31,6,,20,18,1,15,3,,21,9,3,9,2,,59,49 (48%),10 (33%),10 (77%),,74,54 (52%),20 (67%),14 (64%),,3,0,,3,0,13.0,12.0
8306,2020-10-21T17:00:00.000Z,10279,Castellon,2,1,True,38,8,4,0,0,279 (78%),12,1,62,7,3,0,0,487 (85%),8,7,,2,2,0,6,2,,3,1,0,6,1,358,194,85,33 (52%),2 (20%),20,1,571,340,147,34 (52%),7 (33%),25,0,,9,9,1,15,2,,9,10,2,10,2,,37,26 (53%),11 (35%),10 (77%),,43,23 (47%),20 (65%),3 (33%),,2,0,,1,0,13.0,13.0
8306,2020-10-24T16:15:00.000Z,8554,Cartagena,0,3,False,58,11,3,0,0,402 (81%),13,5,42,7,4,2,0,280 (76%),25,3,,4,4,0,3,8,,1,2,0,5,2,496,216,186,44 (64%),2 (10%),23,3,367,141,139,25 (40%),2 (20%),21,0,,19,8,2,9,1,,11,13,3,21,3,,76,56 (64%),20 (54%),13 (72%),,48,31 (36%),17 (46%),9 (53%),,2,1,,4,0,13.0,16.0
8306,2020-10-28T18:00:00.000Z,8393,Albacete,1,1,False,51,8,2,2,1,294 (76%),18,2,49,6,1,1,1,272 (73%),15,3,,4,2,0,3,5,,3,2,0,5,1,389,198,96,33 (49%),6 (35%),27,5,374,146,126,37 (51%),3 (23%),28,4,,15,18,2,17,0,,10,12,2,12,1,,60,36 (55%),24 (62%),9 (60%),,45,30 (45%),15 (38%),4 (44%),,5,0,,2,0,10.0,11.0
8306,2020-10-31T17:15:00.000Z,8670,Real Oviedo,1,2,True,64,15,4,1,1,409 (79%),13,9,36,10,5,5,3,202 (67%),10,3,,6,5,0,6,9,,5,0,2,9,1,515,221,188,26 (39%),4 (16%),23,1,301,103,99,29 (41%),1 (11%),13,1,,12,11,0,9,3,,18,18,5,27,3,,57,41 (52%),16 (41%),19 (79%),,61,38 (48%),23 (59%),9 (75%),,1,0,,4,0,22.0,23.0
