team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against
8661,2020-09-13T14:00:00.000Z,8370,Rayo Vallecano,0,1,True,56,7,4,0,0,307 (75%),17,6,44,11,5,2,1,212 (67%),20,4,,2,1,0,4,3,,5,1,0,4,7,410,156,151,30 (48%),10 (40%),28,2,318,92,120,18 (25%),6 (27%),24,0,,16,10,1,22,4,,23,12,1,20,4,,67,41 (50%),26 (49%),9 (56%),,68,41 (50%),27 (51%),5 (45%),,1,0,,4,0,,
8661,2020-09-20T14:00:00.000Z,8558,Espanyol,0,0,False,47,7,3,0,0,305 (80%),17,2,53,9,3,0,0,370 (84%),19,3,,3,1,0,3,4,,2,4,0,1,8,383,177,128,31 (60%),2 (13%),24,2,441,212,158,23 (42%),3 (23%),21,0,,16,4,4,12,3,,11,5,1,12,3,,54,37 (51%),17 (63%),7 (54%),,45,35 (49%),10 (37%),8 (62%),,2,0,,1,1,,
8661,2020-09-27T14:00:00.000Z,4033,Sabadell,1,0,True,49,16,5,0,0,297 (82%),11,6,51,10,2,0,0,324 (80%),18,2,,9,2,0,8,8,,6,2,0,6,4,363,123,174,34 (57%),11 (28%),25,5,407,222,102,24 (36%),3 (27%),19,0,,12,8,2,6,2,,15,9,2,27,4,,41,29 (50%),12 (36%),4 (50%),,50,29 (50%),21 (64%),4 (40%),,1,0,,2,1,22.0,9.0
8661,2020-10-03T16:15:00.000Z,9867,Tenerife,2,0,True,47,8,2,1,0,274 (73%),12,3,53,18,5,1,1,329 (77%),10,4,,1,5,0,5,3,,10,3,1,10,8,374,182,92,21 (35%),1 (10%),25,0,429,147,182,40 (49%),7 (33%),26,1,,13,4,3,24,6,,14,16,5,11,0,,49,26 (43%),23 (52%),4 (80%),,55,34 (57%),21 (48%),10 (71%),,1,0,,2,0,11.0,21.0
8661,2020-10-11T10:00:00.000Z,8206,Lugo,1,0,False,56,9,3,1,0,301 (77%),21,3,44,3,2,1,1,226 (73%),15,2,,5,1,0,6,3,,0,1,0,3,0,392,139,162,24 (52%),2 (11%),30,3,309,114,112,29 (41%),2 (17%),13,2,,14,5,1,12,2,,16,9,1,19,2,,52,37 (45%),15 (42%),10 (71%),,67,46 (55%),21 (58%),9 (69%),,4,0,,2,2,17.0,4.0
8661,2020-10-18T16:15:00.000Z,4032,CD Mirandes,0,0,False,48,6,2,1,1,253 (74%),13,5,52,10,2,0,0,291 (78%),13,5,,2,2,0,4,2,,5,3,1,3,7,341,113,140,20 (38%),3 (13%),26,2,372,144,147,31 (48%),3 (14%),25,5,,18,10,3,18,2,,16,10,2,18,2,,48,39 (51%),9 (39%),8 (47%),,52,38 (49%),14 (61%),10 (50%),,3,1,,2,0,15.0,15.0
8661,2020-10-22T17:00:00.000Z,8393,Albacete,0,0,True,52,18,9,4,4,292 (80%),22,4,48,7,0,1,1,261 (77%),18,5,,6,3,0,12,6,,6,1,0,3,4,367,120,172,25 (54%),2 (14%),25,1,337,155,106,28 (54%),5 (26%),14,0,,9,6,1,13,0,,11,10,4,13,8,,54,34 (48%),20 (53%),8 (57%),,55,37 (52%),18 (47%),6 (50%),,3,0,,2,0,31.0,13.0
8661,2020-10-26T17:00:00.000Z,161750,Alcorcon,2,0,False,55,15,4,3,3,379 (80%),12,7,45,12,1,0,0,288 (74%),11,6,,6,5,1,8,7,,8,3,1,5,7,475,229,150,23 (38%),3 (18%),12,1,389,144,144,33 (45%),5 (25%),22,1,,8,8,3,26,1,,10,10,4,10,2,,36,24 (44%),12 (38%),6 (55%),,50,30 (56%),20 (63%),8 (80%),,2,0,,1,0,16.0,15.0
8661,2020-10-29T18:00:00.000Z,9864,Malaga,3,1,True,49,10,5,2,0,293 (78%),16,5,51,4,2,0,0,287 (76%),20,4,,2,3,0,2,8,,1,1,0,2,2,378,145,148,21 (45%),2 (17%),24,1,380,178,109,31 (45%),3 (20%),19,2,,12,10,1,13,1,,17,9,3,16,2,,64,49 (60%),15 (60%),17 (71%),,42,32 (40%),10 (40%),2 (33%),,2,0,,2,0,21.0,9.0
8661,2020-11-01T15:00:00.000Z,8394,Real Zaragoza,0,0,False,58,11,3,0,0,397 (83%),14,6,42,4,1,0,0,270 (77%),12,3,,6,2,0,5,6,,3,0,0,2,2,477,159,238,25 (60%),4 (17%),26,1,352,132,138,30 (43%),3 (20%),17,0,,20,8,0,12,1,,22,8,1,22,3,,50,39 (50%),11 (41%),8 (40%),,55,39 (50%),16 (59%),5 (38%),,1,0,,2,0,30.0,5.0
8661,2020-11-08T17:15:00.000Z,8005,Ponferradina,3,0,True,54,10,5,5,2,402 (85%),19,4,46,11,5,1,1,321 (79%),11,5,,3,2,1,6,4,,4,2,0,6,5,475,190,212,18 (56%),2 (11%),24,1,407,169,152,26 (43%),1 (5%),21,2,,13,7,2,18,5,,11,10,2,8,2,,48,38 (50%),10 (45%),14 (74%),,50,38 (50%),12 (55%),11 (61%),,4,0,,1,0,18.0,13.0
8661,2020-11-14T17:30:00.000Z,7732,Girona,1,0,False,53,10,3,2,1,305 (75%),18,4,47,12,4,1,1,254 (72%),16,4,,4,3,0,3,7,,4,4,0,7,5,405,136,169,24 (42%),4 (29%),15,2,351,92,162,22 (35%),2 (13%),28,3,,14,6,4,31,4,,13,9,3,11,2,,58,33 (52%),25 (53%),6 (60%),,53,31 (48%),22 (47%),4 (50%),,3,0,,3,2,16.0,14.0
8661,2020-11-22T15:00:00.000Z,9869,Sporting Gijon,0,0,True,55,10,3,1,1,405 (83%),17,5,45,13,1,0,0,336 (80%),10,2,,6,1,0,3,7,,7,5,0,5,8,488,191,214,29 (48%),3 (14%),21,1,420,226,110,28 (37%),3 (60%),21,0,,13,8,5,7,1,,16,14,1,22,3,,47,34 (44%),13 (68%),11 (55%),,50,44 (56%),6 (32%),12 (71%),,1,0,,0,0,14.0,15.0
8661,2020-11-25T20:30:00.000Z,8554,Cartagena,2,1,False,60,14,4,3,1,363 (86%),15,6,40,7,3,1,1,212 (72%),20,3,,3,7,0,9,5,,4,0,0,4,3,424,157,206,21 (55%),6 (23%),17,3,293,141,71,22 (36%),2 (20%),18,0,,11,12,0,9,2,,20,10,5,18,2,,43,33 (45%),10 (50%),6 (40%),,50,40 (55%),10 (50%),6 (50%),,2,0,,5,1,28.0,7.0
8661,2020-11-29T17:15:00.000Z,7880,Logrones,4,0,True,64,24,14,6,3,449 (89%),18,9,36,5,2,0,0,221 (76%),9,3,,6,4,1,16,8,,2,1,0,2,3,502,158,291,21 (72%),5 (21%),11,3,291,147,74,33 (46%),2 (22%),16,0,,16,9,1,7,2,,13,14,2,16,10,,48,36 (51%),12 (63%),14 (70%),,42,35 (49%),7 (37%),7 (39%),,1,0,,0,1,36.0,10.0
8661,2020-12-03T18:00:00.000Z,9865,Almeria,1,0,False,46,12,3,0,0,320 (84%),18,5,54,11,2,0,0,403 (86%),11,4,,6,3,0,7,5,,6,3,1,4,7,383,169,151,13 (38%),5 (26%),27,0,471,276,127,31 (55%),2 (33%),23,1,,16,7,3,11,2,,18,10,3,14,2,,35,31 (43%),4 (20%),5 (36%),,57,41 (57%),16 (80%),7 (58%),,3,0,,5,0,18.0,12.0
8661,2020-12-07T20:00:00.000Z,10279,Castellon,3,1,True,58,17,6,9,6,421 (86%),16,5,42,10,2,2,2,264 (75%),7,5,,9,2,0,15,2,,7,1,0,6,4,491,223,198,30 (55%),6 (43%),16,2,354,165,99,19 (33%),5 (42%),18,0,,7,9,1,11,1,,19,12,2,13,3,,33,23 (35%),10 (53%),9 (47%),,52,43 (65%),9 (47%),9 (82%),,1,0,,1,0,33.0,13.0
