team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9825,2020-09-12T11:30:00.000Z,9879,Fulham,3,0,False,54,1.97,13,6,3,1,562 (90%),12,3,46,0.15,5,2,0,0,461 (88%),12,2,,4,3,1,9,4,,2,1,0,1,4,1.38,0.59,1.97,2.76,0.12,0.03,0.15,0.15,626,367,195,31 (60%),4 (25%),21,26.0,2,523,246,215,32 (58%),2 (13%),20,3.0,2,,12,18,1,11,2,,11,10,4,7,2,,35,28 (50%),7 (47%),6 (67%),,36,28 (50%),8 (53%),6 (50%),,2,0,,2,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9825,2020-09-19T19:00:00.000Z,8654,West Ham United,2,1,True,63,1.11,7,3,2,0,577 (86%),11,7,37,2.08,14,3,3,2,314 (82%),13,5,,1,3,0,5,2,,6,5,1,7,7,1.11,0.00,1.11,1.29,1.96,0.11,2.08,0.73,669,316,261,30 (59%),3 (18%),13,,5,383,162,152,22 (49%),7 (26%),19,,2,,8,11,6,17,2,,10,10,3,27,1,,44,27 (53%),17 (52%),8 (67%),,40,24 (47%),16 (48%),5 (45%),,0,0,,1,0,3,3.0,0.0,54.0,1.97,13.0,6.0,3.0,46.0,0.15,5.0,2.0,0.0,26.0,3.0,3.0,0.231,0.5,0.0,0.0
9825,2020-09-28T19:00:00.000Z,8650,Liverpool,1,3,False,34,1.26,4,3,3,2,299 (76%),7,3,66,2.71,21,8,4,2,683 (88%),11,7,,1,0,0,3,1,,7,6,0,12,9,1.26,0.00,1.26,1.95,2.56,0.15,2.71,2.59,395,240,59,23 (40%),0 (0%),11,,5,772,348,335,41 (61%),3 (14%),28,,0,,11,7,6,37,5,,10,6,0,13,2,,38,26 (51%),12 (67%),5 (63%),,31,25 (49%),6 (33%),8 (67%),,2,0,,2,0,0,2.5,0.5,58.5,1.54,10.0,4.5,2.5,41.5,1.115,9.5,2.5,1.5,13.0,1.5,3.0,0.25,0.556,0.053,0.2
9825,2020-10-04T13:00:00.000Z,8657,Sheffield United,2,1,True,64,0.56,6,5,1,0,623 (89%),3,2,36,0.19,6,2,0,0,295 (79%),9,4,,0,1,0,5,1,,2,2,0,1,5,0.56,0.00,0.56,2.01,0.16,0.03,0.19,0.39,699,335,288,26 (46%),1 (6%),22,14.0,0,373,108,187,15 (36%),2 (11%),16,15.0,3,,8,10,2,18,1,,11,5,1,22,3,,45,28 (57%),17 (55%),12 (67%),,35,21 (43%),14 (45%),7 (70%),,0,0,,1,0,3,2.0,1.333,50.333,1.447,8.0,4.0,2.667,49.667,1.647,13.333,4.333,2.333,17.333,2.0,2.0,0.25,0.5,0.1,0.308
9825,2020-10-17T16:30:00.000Z,8456,Manchester City,0,1,False,42,0.90,11,3,1,1,391 (85%),10,6,58,1.30,13,5,3,2,591 (89%),15,6,,5,3,0,7,4,,4,4,0,8,5,0.56,0.33,0.90,0.34,1.26,0.04,1.30,1.55,462,277,114,21 (42%),4 (31%),15,14.0,2,665,212,379,24 (51%),1 (10%),13,28.0,0,,13,6,4,12,4,,11,8,3,9,3,,49,37 (54%),12 (44%),9 (64%),,46,31 (46%),15 (56%),10 (56%),,1,0,,4,0,0,2.0,1.25,53.75,1.225,7.5,4.25,2.25,46.25,1.282,11.5,3.75,1.75,16.5,5.25,2.25,0.267,0.471,0.109,0.333
9825,2020-10-25T19:15:00.000Z,8197,Leicester City,0,1,True,56,0.72,12,4,0,0,495 (86%),13,9,44,0.71,6,2,2,1,369 (81%),9,3,,4,4,0,9,3,,3,1,0,2,4,0.38,0.35,0.72,0.26,0.66,0.05,0.71,0.29,575,233,262,26 (59%),6 (30%),19,22.0,1,453,196,173,26 (51%),1 (20%),15,7.0,0,,15,12,1,5,1,,11,10,3,20,4,,36,25 (45%),11 (42%),2 (25%),,46,31 (55%),15 (58%),7 (54%),,3,0,,5,0,0,1.6,1.2,51.4,1.16,8.2,4.0,2.0,48.6,1.286,11.8,4.0,2.0,16.0,9.8,1.8,0.195,0.4,0.102,0.3
9825,2020-11-01T16:30:00.000Z,10260,Manchester United,1,0,False,47,1.04,7,2,1,0,429 (86%),12,3,53,0.40,8,2,0,0,485 (85%),12,6,,5,0,1,3,4,,3,3,1,4,4,0.24,0.02,0.25,1.04,0.22,0.18,0.40,0.10,501,237,192,14 (38%),2 (13%),9,15.0,0,570,260,225,18 (42%),4 (22%),21,25.0,4,,20,12,2,25,3,,10,8,0,12,1,,46,37 (58%),9 (33%),6 (50%),,45,27 (42%),18 (67%),5 (38%),,3,0,,3,0,3,1.0,1.4,51.8,0.91,8.0,3.6,1.4,48.2,1.398,12.0,4.0,2.4,15.2,10.6,1.2,0.125,0.278,0.117,0.35
9825,2020-11-08T19:15:00.000Z,10252,Aston Villa,0,3,True,59,1.47,13,2,2,2,458 (85%),11,3,41,1.81,15,6,2,0,293 (78%),13,8,,8,3,0,8,5,,0,9,0,14,1,1.12,0.35,1.47,0.64,1.74,0.07,1.81,1.58,538,276,182,18 (42%),3 (12%),23,26.0,1,378,113,180,31 (45%),5 (33%),11,33.0,1,,7,8,10,12,3,,14,8,3,26,2,,39,28 (43%),11 (42%),8 (53%),,52,37 (57%),15 (58%),12 (80%),,0,0,,0,0,0,0.8,1.2,48.6,0.896,8.0,3.4,1.2,51.4,1.062,10.8,3.8,1.8,18.2,15.6,1.2,0.1,0.235,0.111,0.316
9825,2020-11-22T16:30:00.000Z,8463,Leeds United,0,0,False,34,0.85,9,2,1,1,220 (71%),8,3,66,1.82,25,4,2,2,519 (85%),9,5,,6,1,1,5,4,,16,5,3,15,10,0.63,0.22,0.85,0.38,1.67,0.15,1.82,0.77,310,132,88,14 (24%),3 (23%),16,14.0,2,610,226,293,16 (48%),7 (26%),16,36.0,0,,10,11,5,29,4,,18,9,1,14,2,,44,33 (52%),11 (50%),14 (70%),,41,30 (48%),11 (50%),4 (67%),,0,1,,3,0,1,0.6,1.2,53.6,0.938,9.8,3.2,1.0,46.4,0.882,9.6,3.4,1.4,18.2,21.6,1.2,0.061,0.187,0.125,0.353
9825,2020-11-29T19:15:00.000Z,8602,Wolverhampton Wanderers,1,2,True,56,1.53,13,2,2,2,420 (85%),13,8,44,1.78,11,5,3,1,325 (80%),13,4,,7,4,0,10,3,,2,4,1,9,2,1.16,0.37,1.53,0.28,1.69,0.09,1.78,1.79,494,176,244,26 (58%),3 (9%),21,37.0,2,405,170,155,38 (54%),2 (18%),20,23.0,0,,13,9,4,16,3,,12,12,4,36,1,,43,27 (45%),16 (52%),2 (33%),,48,33 (55%),15 (48%),10 (77%),,3,0,,4,0,0,0.2,1.0,47.6,0.996,10.4,2.6,1.0,52.4,1.208,13.4,3.8,1.8,18.2,25.8,0.8,0.019,0.077,0.075,0.263
