team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8455,2020-09-14T19:15:00.000Z,10204,Brighton & Hove Albion,3,1,False,48,1.22,10,5,1,0,387 (83%),13,3,52,1.05,13,3,2,2,414 (82%),8,4,,2,3,0,7,3,,6,4,0,7,6,0.37,0.07,0.43,1.66,0.82,0.24,1.05,0.68,465,228,159,33 (51%),3 (23%),21,3,507,232,182,39 (61%),3 (21%),24,0,,16,25,4,15,2,,17,15,3,8,2,,42,29 (45%),13 (57%),5 (42%),,46,36 (55%),10 (43%),8 (50%),,0,0,,1,0,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8455,2020-09-20T15:30:00.000Z,8650,Liverpool,0,2,True,39,0.93,5,3,1,1,412 (84%),10,1,61,2.12,18,6,3,1,681 (89%),6,11,,2,0,0,3,2,,9,3,0,10,8,0.11,0.03,0.14,1.37,1.95,0.18,2.12,1.52,488,334,78,35 (56%),2 (50%),10,1,764,287,394,32 (64%),4 (17%),22,1,,17,11,4,34,3,,14,8,0,3,3,,50,39 (53%),11 (79%),16 (62%),,37,34 (47%),3 (21%),12 (67%),,0,1,,0,0,,,0,3.0,1.0,48.0,1.22,10.0,5.0,1.0,52.0,1.05,13.0,3.0,2.0,0.0,0.0,3.0,0.3,0.6,0.077,0.333
8455,2020-09-26T16:30:00.000Z,8659,West Bromwich Albion,3,3,False,76,2.04,22,10,3,2,711 (89%),16,9,24,0.58,9,3,1,0,168 (67%),8,3,,6,6,1,10,12,,4,2,0,5,4,1.37,0.66,2.04,2.53,0.30,0.27,0.58,1.51,797,311,400,22 (63%),8 (22%),18,0,249,91,77,17 (30%),4 (29%),16,1,,12,9,2,11,0,,9,13,6,39,7,,41,24 (42%),17 (59%),5 (42%),,45,33 (58%),12 (41%),10 (67%),,3,0,,1,0,36.0,11.0,1,1.5,1.5,43.5,1.075,7.5,4.0,1.0,56.5,1.585,15.5,4.5,2.5,0.0,0.0,1.5,0.2,0.375,0.097,0.333
8455,2020-10-03T11:30:00.000Z,9826,Crystal Palace,4,0,True,71,2.68,17,6,3,1,636 (90%),17,8,29,0.15,4,0,0,0,208 (74%),13,5,,6,5,0,12,5,,2,2,0,2,2,0.82,0.28,1.10,2.53,0.09,0.06,0.15,0.00,707,323,313,31 (62%),7 (30%),18,1,280,100,108,9 (22%),5 (28%),26,0,,14,13,2,14,0,,10,9,5,15,2,,46,29 (45%),17 (65%),5 (45%),,44,35 (55%),9 (35%),9 (75%),,2,0,,0,0,21.0,12.0,3,2.0,2.0,54.333,1.397,12.333,6.0,1.667,45.667,1.25,13.333,4.0,2.0,12.0,3.667,1.333,0.162,0.333,0.15,0.5
8455,2020-10-17T14:00:00.000Z,8466,Southampton,3,3,True,53,1.76,11,5,2,0,468 (82%),11,6,47,1.88,13,6,2,0,381 (76%),9,2,,3,3,0,11,0,,5,2,1,9,4,1.58,0.18,1.76,2.02,1.70,0.18,1.88,2.69,574,283,185,28 (50%),6 (46%),22,3,503,199,182,34 (44%),1 (8%),31,1,,16,7,2,29,3,,13,7,3,8,2,,56,31 (49%),25 (74%),7 (50%),,41,32 (51%),9 (26%),9 (50%),,1,0,,1,0,31.0,20.0,1,2.5,1.5,58.5,1.718,13.5,6.0,2.0,41.5,0.975,11.0,3.0,1.5,14.25,5.75,1.75,0.185,0.417,0.136,0.5
8455,2020-10-24T16:30:00.000Z,10260,Manchester United,0,0,False,50,0.22,6,1,0,0,484 (83%),6,6,50,0.66,14,4,0,0,484 (83%),8,9,,2,3,0,4,2,,5,5,0,7,7,0.18,0.04,0.22,0.03,0.48,0.18,0.66,0.78,582,322,162,31 (49%),2 (11%),17,0,582,230,254,28 (57%),5 (25%),26,2,,17,13,5,24,4,,13,12,3,20,1,,38,30 (53%),8 (42%),6 (38%),,38,27 (47%),11 (58%),8 (50%),,1,0,,3,0,11.0,20.0,1,2.6,1.8,57.4,1.726,13.0,5.8,2.0,42.6,1.156,11.4,3.6,1.6,17.6,8.6,1.6,0.2,0.448,0.158,0.5
8455,2020-10-31T15:00:00.000Z,8191,Burnley,3,0,False,64,0.88,14,9,2,0,608 (88%),15,4,36,0.50,5,0,1,1,294 (75%),10,3,,1,4,0,7,7,,4,1,0,1,4,0.62,0.26,0.88,2.24,0.47,0.03,0.50,0.00,693,335,273,38 (54%),4 (25%),19,4,392,146,148,36 (48%),0 (0%),15,1,,13,6,1,13,0,,13,8,4,16,6,,45,31 (49%),14 (61%),8 (67%),,41,32 (51%),9 (39%),6 (67%),,0,0,,1,0,25.0,7.0,3,2.0,1.6,57.8,1.526,12.2,5.0,1.8,42.2,1.078,11.6,3.8,1.2,19.8,12.6,1.2,0.164,0.4,0.138,0.421
8455,2020-11-07T17:30:00.000Z,8657,Sheffield United,4,1,True,70,2.22,20,9,4,1,669 (88%),5,6,30,0.43,6,3,1,0,223 (70%),14,7,,5,6,2,10,10,,1,2,0,4,2,1.27,0.95,2.22,2.77,0.15,0.28,0.43,0.79,762,349,320,45 (62%),5 (31%),20,1,320,97,126,19 (35%),0 (0%),24,1,,13,10,2,14,2,,11,5,6,23,6,,43,30 (61%),13 (48%),3 (38%),,33,19 (39%),14 (52%),3 (60%),,0,0,,2,0,36.0,8.0,3,2.6,1.2,62.8,1.516,14.0,6.2,2.0,37.2,0.754,9.0,2.6,0.8,24.8,14.0,1.8,0.186,0.419,0.133,0.462
8455,2020-11-21T12:30:00.000Z,10261,Newcastle United,2,0,False,71,1.46,14,3,4,3,670 (90%),12,4,29,0.35,8,1,0,0,211 (74%),11,7,,6,5,0,9,5,,4,3,1,4,4,1.37,0.10,1.46,1.31,0.32,0.03,0.35,0.23,746,291,379,34 (63%),5 (33%),13,2,287,98,113,24 (43%),1 (5%),17,2,,13,9,3,25,1,,6,5,5,23,2,,46,27 (53%),19 (56%),5 (83%),,39,24 (47%),15 (44%),7 (64%),,0,0,,2,0,28.0,9.0,3,2.8,0.8,61.6,1.552,13.6,6.0,2.2,38.4,0.724,8.4,2.6,0.8,24.8,13.4,2.2,0.206,0.467,0.095,0.308
8455,2020-11-29T16:30:00.000Z,8586,Tottenham Hotspur,0,0,True,60,0.83,13,3,0,0,587 (89%),20,3,40,0.19,5,1,0,0,354 (81%),9,3,,7,3,0,9,4,,3,1,0,2,3,0.67,0.15,0.83,0.43,0.10,0.09,0.19,0.08,657,263,324,31 (63%),7 (27%),11,3,438,183,171,27 (44%),2 (29%),19,1,,13,9,1,11,1,,5,9,3,12,3,,41,28 (48%),13 (48%),6 (75%),,44,30 (52%),14 (52%),9 (64%),,4,0,,2,0,18.0,14.0,1,2.4,0.8,61.6,1.308,13.0,5.4,2.4,38.4,0.764,9.2,2.8,0.8,26.2,12.8,2.2,0.185,0.444,0.087,0.286
