team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8463,2020-09-12T16:30:00.000Z,8650,Liverpool,3,4,False,51,0.32,6,3,0,0,347 (76%),6,0,49,2.76,22,6,3,0,328 (76%),9,9,,1,2,0,4,2,,3,13,0,17,5,0.27,0.05,0.32,0.48,0.87,0.31,1.18,2.50,459,258,89,29 (41%),3 (33%),25,5,432,124,204,14 (24%),4 (20%),34,2,,34,12,12,34,3,,13,14,2,11,0,,64,52 (58%),12 (46%),9 (69%),,51,37 (42%),14 (54%),19 (59%),,0,0,,1,0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8463,2020-09-19T14:00:00.000Z,9879,Fulham,4,3,True,50,1.37,10,7,1,0,337 (76%),13,5,50,1.74,14,6,3,0,354 (81%),18,3,,2,1,0,8,2,,5,3,1,7,7,0.29,0.29,0.58,2.37,0.83,0.12,0.95,2.04,444,220,117,37 (56%),3 (15%),31,3,438,189,165,20 (43%),4 (22%),16,0,,22,10,3,11,3,,18,16,1,16,3,,69,51 (50%),18 (47%),12 (71%),,70,50 (50%),20 (53%),20 (69%),,1,0,,2,0,,,3,3.0,4.0,51.0,0.32,6.0,3.0,0.0,49.0,2.76,22.0,6.0,3.0,0.0,0.0,0.0,0.5,1.0,0.182,0.667
8463,2020-09-27T11:00:00.000Z,8657,Sheffield United,1,0,False,64,1.17,17,9,2,1,470 (81%),4,7,36,1.40,14,4,2,2,232 (71%),18,5,,5,3,0,9,8,,5,5,0,9,5,0.96,0.21,1.17,1.20,0.82,0.57,1.40,0.76,578,262,208,35 (49%),7 (28%),28,1,327,99,133,18 (36%),5 (33%),18,2,,13,7,5,10,4,,23,7,4,30,7,,60,35 (47%),25 (52%),7 (50%),,62,39 (53%),23 (48%),12 (80%),,1,0,,2,0,22.0,31.0,3,3.5,3.5,50.5,0.845,8.0,5.0,0.5,49.5,2.25,18.0,6.0,3.0,0.0,0.0,1.5,0.438,0.7,0.194,0.583
8463,2020-10-03T16:30:00.000Z,8456,Manchester City,1,1,True,52,2.43,12,7,5,4,356 (83%),11,7,48,1.21,23,2,0,0,319 (82%),12,10,,2,3,2,11,1,,14,7,2,16,7,2.01,0.42,2.43,3.26,0.98,0.23,1.21,0.26,429,249,107,29 (51%),3 (23%),17,2,389,132,187,13 (48%),5 (25%),29,3,,27,9,8,19,1,,11,6,3,15,6,,55,49 (53%),6 (32%),10 (63%),,57,44 (47%),13 (68%),22 (63%),,2,0,,1,0,23.0,49.0,1,2.667,2.333,55.0,0.953,11.0,6.333,1.0,45.0,1.967,16.667,5.333,2.667,7.333,10.333,2.0,0.242,0.421,0.14,0.437
8463,2020-10-19T19:00:00.000Z,8602,Wolverhampton Wanderers,0,1,True,68,1.06,13,2,1,1,461 (83%),13,8,32,0.43,7,3,0,0,180 (67%),12,3,,7,4,0,13,0,,1,3,0,4,3,0.88,0.17,1.06,0.07,0.31,0.12,0.43,0.75,553,238,223,40 (66%),8 (22%),19,1,269,94,86,28 (41%),2 (20%),26,2,,14,12,3,5,2,,14,21,4,26,2,,41,31 (43%),10 (33%),7 (47%),,61,41 (57%),20 (67%),14 (70%),,2,0,,1,0,35.0,14.0,0,2.25,2.0,54.25,1.323,11.25,6.5,2.0,45.75,1.777,18.25,4.5,2.0,11.25,20.0,1.75,0.2,0.346,0.11,0.444
8463,2020-10-23T19:00:00.000Z,10252,Aston Villa,3,0,False,59,2.75,27,9,3,2,367 (82%),17,5,41,1.45,12,4,3,3,217 (71%),14,6,,13,5,0,20,7,,5,3,0,7,5,2.37,0.37,2.75,2.69,1.37,0.08,1.45,0.56,445,159,208,39 (61%),5 (25%),28,0,305,99,118,26 (42%),2 (14%),17,0,,14,12,4,12,3,,14,13,4,22,6,,46,33 (43%),13 (43%),6 (50%),,60,43 (57%),17 (57%),12 (80%),,2,0,,2,0,46.0,27.0,3,1.8,1.8,57.0,1.27,11.6,5.6,1.8,43.0,1.508,16.0,4.2,1.6,16.0,18.8,1.4,0.155,0.321,0.113,0.429
8463,2020-11-02T20:00:00.000Z,8197,Leicester City,1,4,True,68,2.13,11,4,3,3,541 (85%),9,10,32,2.86,10,8,5,1,211 (70%),5,3,,5,2,1,6,5,,1,1,1,9,1,1.95,0.18,2.13,1.93,2.07,0.00,2.07,3.78,639,254,287,24 (53%),2 (8%),26,2,302,114,97,20 (36%),4 (33%),14,0,,19,7,1,11,4,,20,12,2,26,3,,51,34 (47%),17 (71%),10 (63%),,45,38 (53%),7 (29%),9 (47%),,1,0,,1,0,25.0,24.0,0,1.8,1.0,58.6,1.756,15.8,6.8,2.4,41.4,1.246,14.0,3.8,1.6,25.2,24.2,2.0,0.114,0.265,0.071,0.263
8463,2020-11-07T15:00:00.000Z,9826,Crystal Palace,1,4,False,65,0.85,9,3,1,0,493 (82%),16,6,35,0.88,10,6,3,1,243 (73%),9,3,,4,2,0,5,4,,2,2,0,7,3,0.50,0.35,0.85,1.21,0.74,0.14,0.88,1.91,599,259,234,42 (61%),4 (17%),22,1,332,116,127,24 (40%),1 (10%),17,1,,25,14,2,11,3,,15,13,2,30,2,,55,41 (52%),14 (48%),8 (53%),,53,38 (48%),15 (52%),8 (42%),,2,0,,0,0,21.0,23.0,0,1.2,1.2,62.2,1.908,16.0,6.2,2.8,37.8,1.47,13.2,4.2,2.0,30.2,29.0,1.4,0.075,0.194,0.091,0.286
8463,2020-11-22T16:30:00.000Z,9825,Arsenal,0,0,True,66,1.82,25,4,2,2,519 (85%),9,5,34,0.85,9,2,1,1,220 (71%),8,3,,16,5,3,15,10,,6,1,1,5,4,1.67,0.15,1.82,0.77,0.63,0.22,0.85,0.38,610,226,293,16 (48%),7 (26%),16,0,310,132,88,14 (24%),3 (23%),16,2,,18,9,1,14,2,,10,11,5,29,4,,41,30 (48%),11 (50%),4 (67%),,44,33 (52%),11 (50%),14 (70%),,3,0,,0,1,36.0,14.0,1,1.2,2.0,62.4,1.844,14.4,5.0,2.6,37.6,1.366,12.4,4.6,2.2,30.0,27.4,0.8,0.083,0.24,0.161,0.435
8463,2020-11-28T17:30:00.000Z,8668,Everton,1,0,False,58,3.21,23,6,5,5,453 (84%),14,2,42,1.22,15,8,2,2,307 (79%),8,4,,11,6,1,17,6,,6,1,0,10,5,3.21,0.00,3.21,2.26,0.86,0.36,1.22,1.42,542,215,238,35 (65%),5 (31%),24,6,391,149,158,31 (53%),4 (31%),11,2,,19,4,1,11,8,,19,15,6,23,5,,46,33 (42%),13 (45%),6 (40%),,62,46 (58%),16 (55%),13 (65%),,2,0,,1,0,37.0,24.0,3,1.0,1.8,65.2,1.722,17.0,4.4,2.0,34.8,1.294,9.6,4.6,2.4,32.6,20.4,0.8,0.059,0.227,0.188,0.391
