team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8659,2020-09-13T13:00:00.000Z,8197,Leicester City,0,3,True,36,0.42,7,1,0,0,255 (76%),12,2,64,2.83,13,7,4,1,511 (85%),9,5,,3,3,0,3,4,,3,3,0,11,2,0.29,0.12,0.42,0.63,1.12,0.13,1.26,3.18,336,142,113,37 (54%),0 (0%),22,4,604,268,243,23 (45%),1 (6%),31,3,,7,10,2,13,4,,17,14,3,14,1,,35,19 (34%),16 (64%),3 (25%),,46,37 (66%),9 (36%),9 (75%),,1,0,,1,0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8659,2020-09-19T11:30:00.000Z,8668,Everton,2,5,False,29,0.34,6,4,0,0,253 (79%),11,1,71,3.97,17,7,4,1,722 (90%),9,11,,1,1,0,2,4,,5,5,0,13,4,0.27,0.06,0.34,0.81,2.43,1.54,3.97,3.50,322,147,106,18 (37%),2 (33%),8,1,799,468,254,31 (55%),9 (28%),17,1,,18,12,5,20,2,,21,6,1,4,2,,45,31 (45%),14 (54%),5 (42%),,50,38 (55%),12 (46%),7 (47%),,0,1,,1,0,,,0,0.0,3.0,36.0,0.42,7.0,1.0,0.0,64.0,2.83,13.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.231,0.429
8659,2020-09-26T16:30:00.000Z,8455,Chelsea,3,3,True,24,0.58,9,3,1,0,168 (67%),8,3,76,2.04,22,10,3,2,711 (89%),16,9,,4,2,0,5,4,,6,6,1,10,12,0.30,0.27,0.58,1.51,1.37,0.66,2.04,2.53,249,91,77,17 (30%),4 (29%),16,1,797,311,400,22 (63%),8 (22%),18,0,,9,13,6,39,7,,12,9,2,11,0,,45,33 (58%),12 (41%),10 (67%),,41,24 (42%),17 (59%),5 (42%),,1,0,,3,0,11.0,36.0,1,1.0,4.0,32.5,0.38,6.5,2.5,0.0,67.5,3.4,15.0,7.0,4.0,0.0,0.0,0.0,0.154,0.4,0.267,0.571
8659,2020-10-04T11:00:00.000Z,8466,Southampton,0,2,False,38,0.19,5,2,0,0,226 (70%),10,1,62,1.23,13,7,1,1,400 (77%),19,5,,1,2,0,3,2,,5,1,0,8,5,0.10,0.09,0.19,0.10,1.05,0.18,1.23,1.87,325,128,98,23 (39%),1 (11%),21,1,522,216,184,23 (35%),3 (23%),32,1,,18,17,1,16,6,,21,15,2,4,3,,54,42 (53%),12 (48%),9 (56%),,50,37 (47%),13 (52%),6 (50%),,1,0,,2,0,9.0,22.0,0,1.667,3.667,29.667,0.447,7.333,2.667,0.333,70.333,2.947,17.333,8.0,3.667,3.667,12.0,0.333,0.227,0.625,0.212,0.458
8659,2020-10-19T16:30:00.000Z,8191,Burnley,0,0,True,57,0.83,13,6,0,0,359 (75%),15,8,43,1.09,9,4,2,2,240 (68%),17,2,,5,2,0,8,5,,4,1,2,6,3,0.25,0.59,0.83,1.07,0.83,0.26,1.09,0.22,477,186,173,31 (39%),6 (29%),25,2,352,114,126,28 (35%),5 (17%),23,0,,14,6,1,24,4,,13,6,2,15,6,,60,31 (46%),29 (54%),2 (29%),,62,37 (54%),25 (46%),9 (75%),,2,0,,2,0,22.0,16.0,1,1.25,3.25,31.75,0.383,6.75,2.5,0.25,68.25,2.518,16.25,7.75,3.0,5.0,14.5,0.25,0.185,0.5,0.2,0.419
8659,2020-10-26T17:30:00.000Z,10204,Brighton & Hove Albion,1,1,False,50,0.35,9,3,0,0,398 (84%),7,2,50,0.50,5,3,1,1,383 (81%),14,6,,5,1,1,3,6,,1,1,0,3,2,0.32,0.03,0.35,0.21,0.48,0.02,0.50,0.76,476,198,200,30 (50%),3 (17%),25,1,473,213,170,25 (39%),3 (19%),21,2,,22,12,1,18,3,,20,13,1,21,2,,57,40 (55%),17 (44%),5 (33%),,55,33 (45%),22 (56%),7 (39%),,0,0,,2,0,18.0,15.0,1,1.0,2.6,36.8,0.472,8.0,3.2,0.2,63.2,2.232,14.8,7.0,2.8,8.4,14.8,0.4,0.125,0.312,0.176,0.371
8659,2020-11-02T17:30:00.000Z,9879,Fulham,0,2,False,54,0.49,10,1,0,0,370 (79%),11,2,46,1.45,13,6,2,1,303 (77%),13,5,,4,5,1,6,4,,3,4,0,6,7,0.43,0.06,0.49,0.05,1.43,0.02,1.45,1.73,468,220,150,20 (50%),4 (31%),19,4,395,136,167,20 (36%),1 (6%),39,1,,28,5,6,20,2,,15,10,5,13,1,,65,49 (50%),16 (52%),9 (56%),,64,49 (50%),15 (48%),24 (73%),,2,0,,3,0,16.0,17.0,0,1.2,2.2,39.6,0.458,8.4,3.6,0.2,60.4,1.766,13.2,6.2,2.2,12.0,17.8,0.6,0.143,0.333,0.167,0.355
8659,2020-11-08T12:00:00.000Z,8586,Tottenham Hotspur,0,1,True,41,0.81,12,2,1,1,226 (66%),17,9,59,1.90,19,5,3,2,397 (78%),12,6,,7,3,1,7,5,,6,8,0,13,6,0.52,0.30,0.81,0.22,1.61,0.29,1.90,1.05,340,95,131,22 (34%),6 (20%),21,1,508,182,215,27 (47%),7 (33%),18,1,,19,11,8,11,4,,16,8,3,33,2,,73,42 (53%),31 (65%),11 (61%),,54,37 (47%),17 (35%),7 (54%),,1,0,,0,0,24.0,22.0,0,0.8,1.6,44.6,0.488,9.2,3.0,0.2,55.4,1.262,12.4,6.0,1.8,15.2,21.2,0.6,0.087,0.267,0.129,0.267
8659,2020-11-21T20:00:00.000Z,10260,Manchester United,0,1,False,37,0.64,7,2,1,1,300 (78%),17,2,63,2.39,17,7,3,2,562 (85%),12,8,,4,1,1,6,1,,2,8,0,11,6,0.46,0.18,0.64,0.72,1.16,0.44,1.60,2.55,385,172,128,24 (41%),2 (25%),19,1,663,249,313,36 (63%),4 (20%),21,1,,13,20,8,17,6,,13,14,1,7,2,,46,39 (46%),7 (22%),14 (88%),,71,46 (54%),25 (78%),18 (75%),,1,0,,1,0,9.0,31.0,0,0.2,1.2,48.0,0.534,9.8,2.8,0.2,52.0,1.234,11.8,5.0,1.8,17.8,18.4,0.4,0.02,0.071,0.102,0.24
8659,2020-11-28T20:00:00.000Z,8657,Sheffield United,1,0,True,49,1.29,17,6,2,2,298 (78%),10,14,51,3.12,21,5,6,6,325 (81%),9,9,,7,4,0,9,8,,10,6,0,18,3,0.36,0.92,1.29,0.89,2.64,0.48,3.12,1.13,380,145,153,28 (45%),6 (24%),21,2,402,120,205,36 (51%),7 (30%),18,2,,12,8,4,15,5,,14,7,4,20,5,,49,22 (39%),27 (57%),5 (71%),,55,35 (61%),20 (43%),13 (72%),,2,0,,3,0,18.0,35.0,3,0.2,1.0,47.8,0.624,10.2,2.8,0.4,52.2,1.466,12.6,5.0,2.2,17.8,20.2,0.4,0.02,0.071,0.079,0.2
