team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8602,2020-09-14T17:00:00.000Z,8657,Sheffield United,2,0,False,45,1.40,11,4,3,2,307 (79%),7,5,55,1.04,9,2,1,1,373 (81%),13,12,,5,2,1,7,4,,5,2,1,8,1,1.21,0.19,1.40,1.26,0.92,0.12,1.04,0.04,391,200,107,46 (52%),6 (40%),19,0,460,119,254,29 (49%),7 (16%),23,4,,14,13,3,35,1,,16,9,2,10,2,,69,41 (59%),28 (47%),14 (64%),,59,28 (41%),31 (53%),6 (46%),,1,0,,2,0,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8602,2020-09-21T19:15:00.000Z,8456,Manchester City,1,3,True,35,0.56,10,1,1,0,273 (77%),7,4,65,1.90,14,9,3,1,602 (87%),8,6,,5,4,0,6,4,,3,2,0,8,6,0.45,0.11,0.56,0.11,1.00,0.11,1.11,2.34,356,170,103,29 (50%),4 (31%),13,2,692,320,282,30 (53%),0 (0%),20,3,,25,15,2,9,6,,22,4,4,10,0,,55,44 (52%),11 (46%),12 (55%),,54,41 (48%),13 (54%),12 (57%),,0,0,,3,0,,,0,2.0,0.0,45.0,1.4,11.0,4.0,3.0,55.0,1.04,9.0,2.0,1.0,0.0,0.0,3.0,0.182,0.5,0.0,0.0
8602,2020-09-27T18:00:00.000Z,8654,West Ham United,0,4,False,63,0.46,11,2,0,0,543 (87%),11,3,37,2.36,15,7,3,2,280 (76%),7,1,,4,5,0,4,7,,7,1,1,13,2,0.40,0.06,0.46,0.33,2.06,0.29,2.36,1.70,626,227,316,25 (47%),5 (28%),24,2,367,164,116,29 (48%),7 (78%),19,3,,17,8,1,6,4,,24,12,5,17,3,,65,43 (46%),22 (54%),20 (65%),,70,51 (54%),19 (46%),16 (76%),,1,0,,0,0,19.0,20.0,0,1.5,1.5,40.0,0.98,10.5,2.5,2.0,60.0,1.47,11.5,5.5,2.0,0.0,0.0,1.5,0.143,0.6,0.13,0.273
8602,2020-10-04T13:00:00.000Z,9879,Fulham,1,0,True,47,1.25,14,5,2,2,406 (85%),15,6,53,0.89,10,2,1,1,460 (88%),8,2,,3,6,0,7,7,,5,3,0,6,4,1.04,0.21,1.25,1.27,0.60,0.29,0.89,0.86,478,222,184,26 (49%),6 (33%),25,0,524,257,203,34 (62%),4 (14%),19,0,,9,9,3,25,2,,14,5,6,14,4,,33,21 (35%),12 (57%),6 (43%),,48,39 (65%),9 (43%),10 (83%),,1,0,,1,0,15.0,17.0,3,1.0,2.333,47.667,0.807,10.667,2.333,1.333,52.333,1.767,12.667,6.0,2.333,6.333,6.667,1.0,0.094,0.429,0.184,0.389
8602,2020-10-19T19:00:00.000Z,8463,Leeds United,1,0,False,32,0.43,7,3,0,0,180 (67%),12,3,68,1.06,13,2,1,1,461 (83%),13,8,,1,3,0,4,3,,7,4,0,13,0,0.31,0.12,0.43,0.75,0.88,0.17,1.06,0.07,269,94,86,28 (41%),2 (20%),26,2,553,238,223,40 (66%),8 (22%),19,1,,14,21,4,26,2,,14,12,3,5,2,,61,41 (57%),20 (67%),14 (70%),,41,31 (43%),10 (33%),7 (47%),,1,0,,2,0,14.0,35.0,3,1.0,1.75,47.5,0.917,11.5,3.0,1.5,52.5,1.547,12.0,5.0,2.0,8.5,9.25,1.5,0.087,0.333,0.146,0.35
8602,2020-10-25T16:30:00.000Z,10261,Newcastle United,1,1,True,63,0.70,16,3,0,0,640 (91%),10,2,37,0.27,5,2,0,0,329 (82%),10,3,,8,5,0,4,12,,0,3,0,2,3,0.65,0.05,0.70,0.64,0.19,0.08,0.27,0.42,702,293,347,27 (64%),0 (0%),18,0,400,228,101,24 (42%),2 (13%),17,0,,11,8,3,9,1,,23,7,5,18,3,,44,36 (44%),8 (38%),16 (55%),,58,45 (56%),13 (62%),12 (75%),,0,0,,1,0,16.0,7.0,1,1.0,1.4,44.4,0.82,10.6,3.0,1.2,55.6,1.45,12.2,4.4,1.8,9.6,14.4,1.8,0.094,0.333,0.115,0.318
8602,2020-10-30T20:00:00.000Z,9826,Crystal Palace,2,0,True,45,1.28,15,5,3,2,377 (85%),13,7,55,0.66,11,2,1,1,500 (91%),4,6,,8,2,2,9,6,,3,6,0,6,5,1.17,0.11,1.28,1.20,0.38,0.27,0.66,0.06,446,161,216,47 (71%),6 (25%),20,0,552,267,233,18 (58%),3 (17%),12,2,,19,15,6,15,2,,10,8,2,15,3,,44,32 (48%),12 (63%),9 (75%),,42,35 (52%),7 (37%),13 (52%),,0,0,,2,1,29.0,19.0,3,0.8,1.6,48.0,0.68,11.6,2.8,0.6,52.0,1.296,11.4,4.4,1.6,12.8,15.8,1.4,0.069,0.286,0.14,0.364
8602,2020-11-08T14:00:00.000Z,8197,Leicester City,0,1,False,50,0.83,8,2,1,1,415 (82%),8,3,50,1.96,10,3,2,1,406 (83%),12,6,,5,1,0,4,4,,4,3,0,6,4,0.51,0.32,0.83,0.40,0.26,0.12,0.38,1.97,505,208,207,34 (49%),6 (30%),23,0,492,151,255,20 (48%),2 (8%),18,0,,17,10,2,10,2,,20,5,1,19,2,,51,34 (52%),17 (63%),6 (38%),,42,32 (48%),10 (37%),5 (45%),,3,0,,2,0,18.0,13.0,0,1.0,1.0,50.0,0.824,12.6,3.6,1.0,50.0,1.048,10.8,3.0,1.2,18.6,19.6,2.0,0.079,0.278,0.093,0.333
8602,2020-11-23T20:00:00.000Z,8466,Southampton,1,1,True,45,1.55,20,9,2,1,335 (81%),14,7,55,1.01,7,2,2,1,422 (82%),14,4,,5,6,1,15,5,,3,2,0,5,2,0.91,0.64,1.55,1.30,0.96,0.05,1.01,0.60,416,172,163,30 (53%),5 (22%),17,2,516,275,147,24 (44%),4 (33%),17,1,,11,8,2,17,1,,20,3,6,14,8,,60,40 (49%),20 (54%),15 (56%),,58,41 (51%),17 (46%),8 (57%),,2,0,,0,0,30.0,19.0,1,1.0,0.4,47.4,0.898,12.0,3.6,1.2,52.6,0.968,9.8,2.2,1.0,18.4,18.2,2.0,0.083,0.278,0.041,0.182
8602,2020-11-29T19:15:00.000Z,9825,Arsenal,2,1,False,44,1.78,11,5,3,1,325 (80%),13,4,56,1.53,13,2,2,2,420 (85%),13,8,,2,4,1,9,2,,7,4,0,10,3,1.69,0.09,1.78,1.79,1.16,0.37,1.53,0.28,405,170,155,38 (54%),2 (18%),20,0,494,176,244,26 (58%),3 (9%),21,2,,12,12,4,36,1,,13,9,4,16,3,,48,33 (55%),15 (48%),10 (77%),,43,27 (45%),16 (52%),2 (33%),,4,0,,3,0,23.0,37.0,3,1.0,0.6,47.0,0.958,13.2,4.4,1.2,53.0,0.992,9.2,2.2,1.2,21.4,18.6,1.6,0.076,0.227,0.065,0.273
