team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9836,2020-08-22T15:00:00.000Z,8121,Angers,0,1,True,54,1.03,9,1,1,1,471 (89%),15,3,46,1.47,12,4,4,3,382 (87%),8,9,,5,3,1,5,4,,5,3,1,9,3,0.98,0.05,1.03,0.05,1.06,0.42,1.47,1.20,530,305,166,23 (56%),0 (0%),26,2,438,227,155,31 (55%),7 (27%),19,1,,13,5,3,21,3,,11,10,3,25,1,,50,29 (47%),21 (75%),11 (69%),,40,33 (53%),7 (25%),8 (62%),,0,0,,0,0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9836,2020-08-28T19:00:00.000Z,9748,Lyon,1,4,False,36,0.23,6,2,0,0,238 (77%),7,2,64,4.67,27,12,5,2,482 (90%),12,13,,1,3,0,2,4,,10,5,0,22,5,0.23,0.00,0.23,0.62,2.49,0.60,3.09,4.12,311,174,64,24 (40%),0 (0%),20,4,538,183,299,40 (89%),5 (11%),21,0,,23,18,4,33,9,,13,13,3,3,1,,51,45 (56%),6 (20%),10 (83%),,59,35 (44%),24 (80%),17 (59%),,3,0,,3,0,,,0,0.0,1.0,54.0,1.03,9.0,1.0,1.0,46.0,1.47,12.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.083,0.25
9836,2020-09-13T13:00:00.000Z,8521,Brest,0,2,True,50,0.34,7,3,0,0,363 (84%),16,5,50,1.89,19,5,3,2,368 (84%),16,7,,2,2,1,3,4,,10,4,0,10,9,0.27,0.07,0.34,0.49,1.66,0.23,1.89,2.51,433,226,137,16 (37%),2 (11%),27,1,438,185,183,37 (58%),9 (41%),20,2,,16,9,4,15,3,,24,14,2,19,3,,49,36 (42%),13 (41%),6 (38%),,69,50 (58%),19 (59%),14 (67%),,2,1,,0,0,,,0,0.5,2.5,45.0,0.63,7.5,1.5,0.5,55.0,3.07,19.5,8.0,4.5,0.0,0.0,0.0,0.067,0.333,0.128,0.312
9836,2020-09-20T13:00:00.000Z,9848,Strasbourg,0,1,False,42,0.58,5,2,1,1,335 (81%),16,2,58,2.72,17,7,5,4,474 (84%),10,8,,3,0,0,3,2,,7,3,1,11,6,0.58,0.00,0.58,0.31,2.00,0.71,2.72,2.20,414,210,125,36 (49%),5 (33%),15,1,562,249,225,56 (62%),10 (37%),23,2,,11,11,3,28,5,,16,7,0,7,2,,35,27 (43%),8 (40%),10 (67%),,48,36 (57%),12 (60%),7 (70%),,1,0,,1,0,,,0,0.333,2.333,46.667,0.533,7.333,2.0,0.333,53.333,2.677,19.333,7.0,4.0,0.0,0.0,0.0,0.045,0.167,0.121,0.333
9836,2020-09-27T13:00:00.000Z,10249,Montpellier,2,2,True,39,1.31,15,5,2,1,221 (72%),15,6,61,2.39,14,5,3,1,383 (81%),11,13,,2,8,1,10,5,,6,3,0,9,5,1.14,0.17,1.31,1.32,1.02,0.59,1.61,1.81,307,133,88,28 (41%),4 (27%),20,2,475,192,191,45 (63%),11 (35%),27,2,,21,12,4,27,2,,15,9,8,15,3,,57,35 (45%),22 (59%),7 (47%),,58,43 (55%),15 (41%),13 (57%),,4,0,,1,0,17.0,25.0,1,0.25,2.0,45.5,0.545,6.75,2.0,0.5,54.5,2.688,18.75,7.0,4.25,0.0,0.0,0.0,0.037,0.125,0.107,0.286
9836,2020-10-04T13:00:00.000Z,9827,Bordeaux,0,3,False,50,0.29,5,1,0,0,409 (82%),14,4,50,1.64,17,7,2,1,424 (85%),15,5,,2,2,0,2,3,,7,3,0,10,7,0.15,0.15,0.29,0.26,1.32,0.32,1.64,2.52,496,254,155,18 (45%),3 (21%),20,0,498,259,165,35 (64%),8 (47%),16,2,,18,7,3,14,4,,19,24,2,5,1,,52,47 (54%),5 (29%),13 (65%),,52,40 (46%),12 (71%),8 (57%),,3,0,,2,0,9.0,22.0,0,0.6,2.0,44.2,0.698,8.4,2.6,0.8,55.8,2.628,17.8,6.6,4.0,3.4,5.0,0.2,0.071,0.231,0.112,0.303
9836,2020-10-16T17:00:00.000Z,9851,Rennes,1,1,True,39,1.10,12,4,2,1,280 (78%),22,3,61,0.95,12,3,0,0,465 (83%),13,5,,5,3,0,7,5,,6,3,1,6,6,0.97,0.13,1.10,1.18,0.49,0.45,0.95,0.85,361,167,113,32 (46%),4 (40%),20,2,561,238,227,33 (58%),2 (10%),16,1,,17,15,3,29,2,,21,14,3,9,3,,58,45 (45%),13 (39%),16 (62%),,76,56 (55%),20 (61%),15 (65%),,4,0,,2,0,19.0,24.0,1,0.6,2.4,43.4,0.55,7.6,2.6,0.6,56.6,2.662,18.8,7.2,3.6,5.2,9.4,0.2,0.079,0.231,0.128,0.333
9836,2020-10-24T19:00:00.000Z,9847,Paris Saint-Germain,0,4,False,45,1.66,16,3,2,2,374 (89%),18,10,55,3.87,20,9,6,3,489 (91%),12,4,,8,5,0,11,5,,8,3,2,17,3,1.22,0.45,1.66,0.29,3.20,0.66,3.87,2.43,420,236,138,20 (54%),8 (33%),9,0,538,252,237,20 (67%),7 (58%),11,2,,15,12,3,8,5,,21,11,5,16,3,,40,36 (43%),4 (33%),9 (56%),,55,47 (57%),8 (67%),8 (57%),,2,0,,0,0,16.0,36.0,0,0.6,1.8,44.0,0.724,8.8,3.0,1.0,56.0,1.918,15.8,5.4,2.6,9.0,14.2,0.4,0.068,0.2,0.114,0.333
9836,2020-11-01T14:00:00.000Z,8689,Lorient,0,0,True,53,0.43,11,2,0,0,373 (79%),18,9,47,1.23,9,1,1,1,316 (77%),13,7,,4,5,0,4,7,,3,5,1,5,4,0.23,0.20,0.43,0.15,0.32,0.12,0.44,0.04,475,228,145,36 (58%),3 (17%),27,3,410,205,111,22 (35%),3 (14%),19,3,,12,8,5,25,1,,12,15,4,24,2,,50,36 (51%),14 (47%),11 (73%),,51,35 (49%),16 (53%),6 (46%),,2,0,,1,0,13.0,13.0,1,0.6,2.2,43.0,0.988,10.6,3.0,1.4,57.0,2.314,16.0,6.2,3.2,12.2,21.4,0.4,0.057,0.2,0.138,0.355
9836,2020-11-08T14:00:00.000Z,8550,Metz,1,1,False,55,2.06,15,7,2,1,409 (85%),12,6,45,2.26,15,4,4,4,310 (84%),19,5,,7,1,1,11,4,,7,4,0,10,5,0.99,0.28,1.27,2.30,0.56,0.92,1.47,1.80,484,294,115,27 (51%),5 (33%),17,0,370,171,139,30 (61%),5 (20%),23,1,,14,5,4,19,3,,13,7,1,17,6,,61,41 (56%),20 (51%),10 (56%),,51,32 (44%),19 (49%),7 (50%),,1,0,,2,0,28.0,22.0,1,0.6,2.0,45.2,0.958,11.8,3.0,1.2,54.8,2.016,14.4,5.0,2.4,14.8,24.0,0.6,0.051,0.2,0.139,0.4
