team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8588,2020-08-23T15:00:00.000Z,9831,Nice,1,2,False,42,3.09,16,4,4,3,292 (83%),18,7,58,0.18,4,2,0,0,441 (86%),17,1,,9,3,0,12,4,,0,2,0,2,2,1.74,0.56,2.30,1.65,0.13,0.04,0.18,0.90,353,166,126,36 (60%),11 (38%),26,1,515,290,151,27 (54%),0 (0%),16,0,,6,18,2,6,0,,12,11,3,17,4,,47,33 (49%),14 (58%),11 (73%),,45,35 (51%),10 (42%),8 (89%),,3,0,,2,0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8588,2020-09-10T19:00:00.000Z,9847,Paris Saint-Germain,1,0,True,22,1.52,7,3,4,3,164 (69%),21,4,78,0.43,8,1,0,0,813 (91%),10,2,,3,1,1,6,1,,5,2,0,2,6,1.11,0.41,1.52,1.49,0.36,0.07,0.43,0.04,236,93,71,19 (39%),3 (19%),13,3,896,366,447,18 (60%),0 (0%),19,3,,24,23,2,21,1,,17,5,1,11,2,,55,42 (45%),13 (68%),11 (73%),,58,52 (55%),6 (32%),15 (58%),,2,0,,2,0,,,3,1.0,2.0,42.0,3.09,16.0,4.0,4.0,58.0,0.18,4.0,2.0,0.0,0.0,0.0,0.0,0.062,0.25,0.5,1.0
8588,2020-09-13T13:00:00.000Z,8689,Lorient,3,2,False,54,2.01,12,6,4,2,324 (80%),16,2,46,0.97,6,3,1,0,256 (72%),20,4,,5,1,0,7,5,,2,1,0,3,3,0.90,0.32,1.22,2.38,0.14,0.05,0.19,1.69,407,162,162,38 (49%),4 (17%),24,0,354,151,105,25 (42%),0 (0%),32,0,,15,12,1,15,1,,24,7,1,17,3,,69,48 (49%),21 (55%),13 (68%),,66,49 (51%),17 (45%),10 (67%),,1,1,,4,0,,,3,1.0,1.0,32.0,2.305,11.5,3.5,4.0,68.0,0.305,6.0,1.5,0.0,0.0,0.0,1.5,0.087,0.286,0.167,0.667
8588,2020-09-19T15:00:00.000Z,9827,Bordeaux,2,1,True,59,3.24,19,5,6,4,465 (85%),15,7,41,0.40,7,3,1,1,300 (79%),15,0,,8,6,0,16,3,,4,0,0,4,3,1.67,0.78,2.45,2.12,0.12,0.28,0.40,0.93,546,280,185,30 (48%),4 (20%),21,1,379,216,84,30 (50%),6 (86%),18,1,,14,13,0,10,2,,15,17,6,21,3,,56,38 (50%),18 (43%),11 (79%),,62,38 (50%),24 (57%),9 (75%),,5,0,,3,1,,,3,1.667,1.333,39.333,2.207,11.667,4.333,4.0,60.667,0.527,6.0,2.0,0.333,0.0,0.0,2.0,0.143,0.385,0.222,0.666
8588,2020-09-27T13:00:00.000Z,6394,Nimes,1,1,False,50,1.34,15,5,1,0,315 (75%),16,7,50,0.49,13,4,0,0,308 (72%),10,5,,6,4,1,8,7,,4,5,0,3,10,1.05,0.29,1.34,1.15,0.40,0.10,0.49,0.19,422,149,166,39 (53%),5 (24%),25,1,429,167,141,49 (50%),5 (24%),33,2,,12,13,5,22,3,,18,17,4,16,4,,61,32 (46%),29 (56%),12 (57%),,61,38 (54%),23 (44%),5 (56%),,3,0,,0,0,21.0,14.0,1,1.75,1.25,44.25,2.465,13.5,4.5,4.5,55.75,0.495,6.25,2.25,0.5,0.0,0.0,2.25,0.13,0.389,0.2,0.556
8588,2020-10-03T15:00:00.000Z,9853,Saint-Etienne,2,0,True,67,2.11,13,5,4,3,457 (86%),23,12,33,0.13,2,1,0,0,198 (72%),10,0,,6,2,0,8,5,,1,0,0,2,0,1.24,0.08,1.32,1.34,0.07,0.06,0.13,0.05,533,231,226,43 (55%),4 (14%),21,2,275,140,58,20 (34%),0 (0%),25,0,,25,5,0,8,1,,13,8,2,20,4,,66,39 (42%),27 (64%),6 (46%),,68,53 (58%),15 (36%),20 (69%),,1,0,,1,2,26.0,6.0,3,1.6,1.2,45.4,2.24,13.8,4.6,3.8,54.6,0.494,7.6,2.6,0.4,4.2,2.8,2.0,0.116,0.348,0.158,0.462
8588,2020-10-18T19:00:00.000Z,8639,Lille,0,4,False,43,0.44,7,2,0,0,290 (74%),16,2,57,2.54,16,6,4,1,431 (84%),13,7,,3,2,0,4,3,,4,6,0,12,4,0.18,0.27,0.44,0.54,2.02,0.53,2.54,3.25,393,195,95,25 (41%),4 (44%),16,1,515,231,200,19 (48%),4 (31%),25,1,,23,10,6,7,2,,11,11,2,9,2,,58,42 (53%),16 (55%),8 (62%),,51,38 (48%),13 (45%),12 (57%),,1,2,,0,0,11.0,22.0,0,1.8,0.8,50.4,2.044,13.2,4.8,3.8,49.6,0.484,7.2,2.4,0.4,9.4,4.0,2.6,0.136,0.375,0.111,0.333
8588,2020-11-08T14:00:00.000Z,9837,Reims,4,4,True,63,1.60,14,5,4,2,489 (85%),12,9,37,0.95,8,6,1,0,254 (73%),7,1,,6,3,0,8,6,,2,0,0,6,2,1.25,0.35,1.60,1.22,0.95,0.00,0.95,1.19,572,279,210,37 (60%),11 (30%),18,1,350,161,93,37 (46%),2 (50%),24,1,,18,13,0,5,3,,16,15,3,22,2,,49,30 (47%),19 (56%),6 (46%),,49,34 (53%),15 (44%),7 (39%),,3,0,,1,0,25.0,12.0,1,1.6,1.6,54.6,1.828,13.2,4.6,3.0,45.4,0.906,8.8,3.4,1.2,11.6,8.4,2.0,0.121,0.348,0.182,0.471
8588,2020-11-22T14:00:00.000Z,9836,Dijon,1,0,False,47,1.49,8,4,1,0,370 (80%),7,6,53,0.92,11,2,1,1,419 (82%),15,8,,3,1,0,6,2,,5,4,0,8,3,1.31,0.17,1.49,1.65,0.26,0.66,0.92,0.33,462,206,164,34 (51%),3 (16%),17,1,512,240,179,42 (58%),5 (23%),32,1,,19,23,4,21,2,,19,14,1,14,3,,69,45 (59%),24 (53%),12 (52%),,52,31 (41%),21 (47%),5 (31%),,0,0,,2,0,19.0,19.0,3,1.8,2.0,56.4,1.746,13.6,4.4,3.0,43.6,0.902,9.2,4.0,1.2,16.6,10.8,1.6,0.132,0.409,0.217,0.5
8588,2020-11-25T18:00:00.000Z,9830,Nantes,1,1,True,49,0.93,7,1,1,0,320 (73%),14,6,51,2.08,11,3,3,2,348 (77%),18,2,,3,3,0,3,4,,3,5,0,9,2,0.62,0.31,0.93,0.61,1.20,0.09,1.29,1.03,439,192,128,33 (43%),3 (19%),25,1,452,199,149,23 (36%),3 (30%),28,0,,23,9,5,11,2,,9,10,3,13,0,,80,50 (57%),30 (58%),10 (67%),,59,37 (43%),22 (42%),16 (70%),,4,0,,2,0,12.0,23.0,1,1.6,1.8,54.0,1.396,11.4,4.2,2.0,46.0,1.006,10.0,3.8,1.2,20.4,14.6,1.6,0.14,0.381,0.18,0.474
8588,2020-11-29T14:00:00.000Z,8121,Angers,1,3,True,64,1.38,13,5,2,1,546 (88%),15,1,36,2.35,18,6,6,5,264 (78%),13,7,,6,2,1,7,6,,9,3,1,12,6,1.19,0.19,1.38,1.87,1.70,0.65,2.35,2.04,620,264,282,17 (50%),5 (21%),20,0,339,160,104,26 (49%),3 (21%),16,1,,17,10,3,11,3,,15,18,2,22,4,,61,46 (56%),15 (60%),16 (76%),,46,36 (44%),10 (40%),8 (47%),,2,0,,2,0,22.0,22.0,0,1.6,1.8,53.8,1.314,9.8,3.4,2.0,46.2,1.324,9.6,3.6,1.8,18.6,16.4,1.6,0.163,0.471,0.188,0.5
8588,2020-12-05T16:00:00.000Z,9851,Rennes,2,0,False,40,1.06,6,4,2,1,226 (66%),16,3,60,0.52,10,4,0,0,387 (77%),17,8,,2,0,0,3,3,,4,2,0,6,4,1.03,0.04,1.06,2.18,0.41,0.11,0.52,0.44,341,116,110,33 (41%),0 (0%),17,1,501,216,171,41 (55%),2 (7%),30,0,,18,12,2,23,4,,19,8,0,16,2,,66,41 (53%),25 (45%),8 (53%),,67,37 (47%),30 (55%),3 (30%),,3,0,,1,0,9.0,19.0,3,1.4,2.4,53.2,1.168,9.8,3.4,1.6,46.8,1.768,12.8,4.6,3.0,17.8,19.6,1.0,0.143,0.412,0.187,0.522
8588,2020-12-12T20:00:00.000Z,10249,Montpellier,2,3,True,59,1.73,14,4,2,1,442 (84%),11,6,41,1.14,10,7,3,0,263 (73%),14,4,,7,3,1,10,4,,1,2,0,8,2,0.51,0.43,0.94,1.46,0.42,0.72,1.14,1.58,525,215,227,29 (64%),6 (23%),29,1,358,169,94,28 (36%),6 (30%),19,0,,16,7,2,14,4,,13,18,3,24,3,,69,42 (56%),27 (54%),12 (63%),,56,33 (44%),23 (46%),9 (69%),,1,0,,1,0,24.0,13.0,0,1.8,1.6,52.6,1.292,9.6,3.8,2.0,47.4,1.364,11.6,4.2,2.2,17.4,19.0,1.6,0.188,0.474,0.138,0.381
8588,2020-12-16T20:00:00.000Z,9829,Monaco,3,0,False,68,1.27,8,4,3,0,630 (89%),17,3,32,0.76,7,1,3,3,245 (75%),8,3,,3,1,0,4,4,,4,2,1,5,2,1.20,0.08,1.27,1.81,0.43,0.34,0.76,0.09,711,383,247,45 (75%),4 (31%),12,0,325,165,80,27 (47%),4 (27%),10,3,,17,13,2,8,1,,20,21,1,3,1,,50,32 (42%),18 (50%),8 (44%),,62,44 (58%),18 (50%),10 (53%),,4,0,,2,1,8.0,13.0,3,1.4,1.4,51.8,1.318,9.6,3.6,1.6,48.2,1.402,12.0,4.4,2.6,17.2,19.2,1.4,0.146,0.389,0.117,0.318
8588,2020-12-19T16:00:00.000Z,8550,Metz,0,2,False,61,1.29,17,3,2,2,405 (81%),8,4,39,0.99,12,4,1,1,233 (74%),17,8,,6,8,0,8,9,,6,2,1,9,3,0.84,0.45,1.29,0.34,0.39,0.60,0.99,1.15,502,193,212,19 (46%),2 (13%),26,1,317,144,89,20 (32%),4 (24%),20,0,,18,16,2,12,2,,15,19,8,18,3,,62,45 (60%),17 (55%),13 (59%),,44,30 (40%),14 (45%),7 (47%),,1,0,,1,0,22.0,16.0,0,1.8,1.4,56.0,1.274,9.6,3.6,2.0,44.0,1.37,11.2,4.2,3.0,15.0,18.0,1.4,0.188,0.5,0.125,0.333
8588,2020-12-23T18:00:00.000Z,8521,Brest,2,1,True,47,2.08,11,4,4,3,377 (82%),13,3,53,1.27,10,3,1,0,419 (83%),13,6,,6,1,1,10,1,,3,4,0,8,2,1.29,0.00,1.29,1.99,0.33,0.15,0.48,1.09,459,218,159,44 (54%),2 (17%),19,1,505,228,191,26 (48%),5 (22%),27,1,,15,12,3,17,2,,19,6,1,11,2,,54,36 (49%),18 (49%),9 (64%),,56,37 (51%),19 (51%),6 (50%),,0,0,,2,0,21.0,17.0,3,1.6,1.6,58.4,1.346,11.6,4.0,2.2,41.6,1.152,11.4,4.4,2.6,17.0,16.6,1.2,0.138,0.4,0.14,0.364
