team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8639,2020-08-22T19:00:00.000Z,9851,Rennes,1,1,True,51,0.44,5,1,1,0,421 (84%),12,4,49,1.59,16,2,2,1,407 (85%),16,2,,4,0,0,1,4,,9,5,1,9,7,0.44,0.00,0.44,0.81,0.92,0.67,1.59,0.98,501,239,182,25 (45%),1 (8%),32,0,480,268,139,28 (57%),4 (29%),20,0,,16,9,5,9,1,,13,11,0,14,0,,45,31 (48%),14 (47%),3 (38%),,50,34 (52%),16 (53%),11 (52%),,0,1,,1,1,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8639,2020-08-30T11:00:00.000Z,9837,Reims,1,0,False,50,1.17,10,3,1,1,434 (82%),11,2,50,0.26,4,0,1,1,449 (84%),20,1,,6,1,0,4,6,,4,0,0,1,3,0.56,0.61,1.17,1.07,0.24,0.02,0.26,0.00,532,256,178,28 (46%),4 (44%),21,2,535,285,164,32 (52%),2 (14%),18,2,,18,8,0,11,0,,22,17,1,4,2,,70,42 (51%),28 (67%),6 (29%),,55,41 (49%),14 (33%),8 (44%),,1,0,,4,0,,,3,1.0,1.0,51.0,0.44,5.0,1.0,1.0,49.0,1.59,16.0,2.0,2.0,0.0,0.0,1.0,0.2,1.0,0.062,0.5
8639,2020-09-13T11:00:00.000Z,8550,Metz,1,0,True,62,1.50,16,6,2,2,464 (83%),12,8,38,0.77,5,1,1,1,249 (74%),14,3,,6,4,0,7,9,,3,1,0,5,0,1.37,0.14,1.50,1.09,0.64,0.13,0.77,0.07,558,189,275,23 (50%),4 (17%),21,1,336,163,86,32 (43%),6 (33%),17,2,,22,15,1,12,1,,23,19,3,29,5,,74,49 (53%),25 (49%),14 (74%),,69,43 (47%),26 (51%),9 (47%),,4,0,,4,0,,,3,1.0,0.5,50.5,0.805,7.5,2.0,1.0,49.5,0.925,10.0,1.0,1.5,0.0,0.0,2.0,0.133,0.5,0.05,0.5
8639,2020-09-20T19:00:00.000Z,8592,Marseille,1,1,False,43,1.45,14,7,2,2,300 (77%),18,4,57,0.75,11,2,1,0,385 (77%),12,5,,6,1,2,9,5,,6,3,1,6,5,1.25,0.20,1.45,0.99,0.32,0.43,0.75,0.66,391,142,158,26 (38%),5 (36%),22,5,499,227,158,29 (41%),3 (12%),26,0,,15,12,3,16,1,,18,8,1,6,6,,60,32 (48%),28 (52%),7 (47%),,61,35 (52%),26 (48%),2 (22%),,3,0,,3,0,,,1,1.0,0.333,54.333,1.037,10.333,3.333,1.333,45.667,0.873,8.333,1.0,1.333,0.0,0.0,2.333,0.097,0.3,0.04,0.333
8639,2020-09-25T19:00:00.000Z,9830,Nantes,2,0,True,54,1.84,12,4,2,1,396 (80%),16,4,46,0.82,12,6,0,0,309 (76%),12,7,,3,5,1,9,3,,1,5,0,7,5,0.87,0.18,1.05,1.17,0.46,0.35,0.82,1.25,498,216,180,28 (41%),2 (15%),21,3,408,169,140,27 (50%),3 (14%),24,1,,26,13,5,23,6,,19,15,5,21,3,,66,50 (53%),16 (47%),14 (56%),,63,45 (47%),18 (53%),13 (57%),,0,0,,2,0,,,3,1.0,0.5,51.5,1.14,11.25,4.25,1.5,48.5,0.843,9.0,1.25,1.25,0.0,0.0,2.0,0.089,0.235,0.056,0.4
8639,2020-10-04T13:00:00.000Z,9848,Strasbourg,3,0,False,54,2.04,12,6,5,3,442 (83%),10,1,46,1.60,15,3,1,1,337 (80%),11,11,,3,3,0,6,6,,7,5,0,13,2,2.04,0.00,2.04,2.05,0.60,1.00,1.60,1.18,530,249,193,17 (36%),1 (20%),10,2,421,187,150,52 (59%),12 (38%),25,0,,23,7,6,17,2,,16,17,3,8,3,,53,41 (50%),12 (36%),7 (58%),,62,41 (50%),21 (64%),15 (68%),,1,0,,1,0,15.0,37.0,3,1.2,0.4,52.0,1.28,11.4,4.2,1.6,48.0,0.838,9.6,2.2,1.0,0.0,0.0,2.2,0.105,0.286,0.042,0.182
8639,2020-10-18T19:00:00.000Z,8588,Lens,4,0,True,57,2.54,16,6,4,1,431 (84%),13,7,43,0.44,7,2,0,0,290 (74%),16,2,,4,6,0,12,4,,3,2,0,4,3,2.02,0.53,2.54,3.25,0.18,0.27,0.44,0.54,515,231,200,19 (48%),4 (31%),25,1,393,195,95,25 (41%),4 (44%),16,1,,11,11,2,9,2,,23,10,6,7,2,,51,38 (48%),13 (45%),12 (57%),,58,42 (53%),16 (55%),8 (62%),,0,0,,1,2,22.0,11.0,3,1.6,0.2,52.6,1.6,12.8,5.2,2.4,47.4,0.84,9.4,2.4,0.8,3.0,7.4,2.6,0.125,0.308,0.021,0.083
8639,2020-10-25T16:00:00.000Z,9831,Nice,1,1,False,47,0.64,12,4,1,0,433 (88%),19,3,53,1.25,8,3,2,1,489 (87%),13,5,,6,2,0,5,7,,3,2,0,6,2,0.61,0.02,0.64,0.74,0.61,0.64,1.25,0.95,493,227,206,27 (56%),3 (27%),10,3,559,342,147,37 (62%),6 (35%),14,1,,15,19,2,13,2,,13,9,2,7,3,,50,44 (51%),6 (60%),18 (75%),,47,43 (49%),4 (40%),12 (60%),,6,0,,1,0,19.0,17.0,1,2.2,0.2,54.0,1.874,14.0,5.8,3.0,46.0,0.876,10.0,2.8,0.6,7.4,9.6,2.6,0.157,0.379,0.02,0.071
8639,2020-11-01T20:00:00.000Z,9748,Lyon,1,1,True,60,0.58,15,6,0,0,532 (89%),14,9,40,0.61,8,1,1,1,325 (81%),10,4,,4,5,0,4,11,,4,3,0,5,3,0.58,0.00,0.58,1.23,0.54,0.07,0.61,0.23,600,167,365,39 (60%),3 (10%),26,0,400,202,123,29 (50%),5 (42%),20,0,,19,9,3,7,1,,19,15,5,22,5,,51,38 (48%),13 (42%),12 (75%),,60,42 (53%),18 (58%),10 (50%),,3,0,,1,1,25.0,15.0,1,2.2,0.4,51.0,1.702,13.2,5.4,2.8,49.0,0.972,10.6,3.2,0.8,11.2,13.0,2.2,0.167,0.407,0.038,0.125
8639,2020-11-08T12:00:00.000Z,8521,Brest,2,3,False,63,2.96,22,7,5,3,487 (89%),15,11,37,1.37,12,8,2,2,236 (75%),13,3,,5,10,1,13,9,,2,2,0,11,1,1.76,0.42,2.18,2.61,1.18,0.19,1.37,2.93,545,198,289,32 (68%),6 (18%),22,5,316,156,80,32 (43%),8 (44%),13,1,,11,10,2,19,5,,12,12,7,24,5,,64,36 (51%),28 (68%),14 (74%),,47,34 (49%),13 (32%),8 (53%),,4,0,,4,0,39.0,24.0,0,2.2,0.4,54.4,1.528,13.4,5.2,2.4,45.6,0.944,10.0,3.0,0.8,16.2,16.0,2.2,0.164,0.423,0.04,0.133
