team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8550,2020-08-30T13:00:00.000Z,9829,Monaco,0,1,True,55,0.75,14,4,1,1,379 (80%),14,10,45,0.23,3,2,0,0,302 (75%),20,1,,8,2,0,7,7,,1,0,0,2,1,0.34,0.41,0.75,0.92,0.09,0.13,0.23,0.34,471,226,153,36 (51%),7 (26%),22,0,404,201,101,19 (33%),0 (0%),21,4,,21,11,0,10,1,,26,11,2,25,4,,71,52 (53%),19 (46%),12 (44%),,68,46 (47%),22 (54%),7 (39%),,0,0,,3,1,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8550,2020-09-13T11:00:00.000Z,8639,Lille,0,1,False,38,0.77,5,1,1,1,249 (74%),14,3,62,1.50,16,6,2,2,464 (83%),12,8,,3,1,0,5,0,,6,4,0,7,9,0.64,0.13,0.77,0.07,1.37,0.14,1.50,1.09,336,163,86,32 (43%),6 (33%),17,2,558,189,275,23 (50%),4 (17%),21,1,,23,19,3,29,5,,22,15,1,12,1,,69,43 (47%),26 (51%),9 (47%),,74,49 (53%),25 (49%),14 (74%),,4,0,,4,0,,,0,0.0,1.0,55.0,0.75,14.0,4.0,1.0,45.0,0.23,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.5
8550,2020-09-16T19:00:00.000Z,9847,Paris Saint-Germain,0,1,False,28,0.95,7,1,2,2,172 (68%),6,2,72,2.23,20,8,4,3,556 (87%),8,8,,3,3,0,4,3,,10,2,0,12,8,0.94,0.01,0.95,0.31,2.02,0.22,2.23,1.63,254,82,90,24 (38%),2 (22%),18,3,638,255,301,29 (62%),7 (23%),25,1,,16,13,2,29,7,,12,9,2,9,1,,54,37 (59%),17 (53%),13 (68%),,41,26 (41%),15 (47%),8 (57%),,2,0,,1,1,,,0,0.0,1.0,46.5,0.76,9.5,2.5,1.0,53.5,0.865,9.5,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.105,0.25
8550,2020-09-20T13:00:00.000Z,9837,Reims,2,1,True,60,1.68,14,4,3,1,373 (83%),14,8,40,1.19,10,4,1,0,233 (73%),7,5,,7,3,0,7,7,,3,3,0,4,6,1.45,0.23,1.68,1.74,0.40,0.00,0.40,1.37,450,144,229,20 (43%),10 (27%),21,1,318,137,96,28 (48%),1 (8%),22,0,,21,12,3,13,3,,17,7,3,21,2,,57,40 (49%),17 (55%),13 (76%),,55,41 (51%),14 (45%),10 (45%),,1,0,,4,1,,,3,0.0,1.0,40.333,0.823,8.667,2.0,1.333,59.667,1.32,13.0,5.333,2.0,0.0,0.0,0.0,0.0,0.0,0.077,0.188
8550,2020-09-26T19:00:00.000Z,8592,Marseille,1,1,False,39,1.16,14,3,2,1,284 (77%),11,5,61,0.95,17,3,0,0,476 (85%),15,5,,5,6,0,7,7,,11,3,0,9,8,0.93,0.23,1.16,1.42,0.74,0.22,0.95,1.10,368,161,123,30 (48%),3 (20%),17,4,563,261,215,31 (67%),6 (27%),21,2,,11,24,2,21,2,,23,17,6,16,3,,53,41 (45%),12 (32%),15 (63%),,76,51 (55%),25 (68%),18 (82%),,2,0,,0,0,12.0,23.0,1,0.5,1.0,45.25,1.038,10.0,2.5,1.75,54.75,1.288,12.25,5.0,1.75,0.0,0.0,0.75,0.05,0.2,0.082,0.2
8550,2020-10-04T13:00:00.000Z,8689,Lorient,3,1,True,58,1.58,16,8,1,0,456 (85%),10,4,42,0.76,10,4,1,0,295 (76%),15,3,,7,1,0,8,8,,3,3,0,3,7,0.70,0.10,0.80,2.55,0.18,0.58,0.76,1.02,534,223,233,38 (61%),7 (29%),21,0,386,174,121,20 (38%),3 (20%),19,1,,13,21,3,10,3,,19,9,1,13,5,,65,48 (59%),17 (71%),21 (70%),,40,33 (41%),7 (29%),4 (50%),,1,0,,2,0,22.0,5.0,3,0.6,1.0,44.0,1.062,10.8,2.6,1.8,56.0,1.22,13.2,4.6,1.4,2.4,4.6,0.8,0.056,0.231,0.076,0.217
8550,2020-10-18T13:00:00.000Z,8121,Angers,1,1,False,54,1.14,7,3,1,0,399 (81%),13,5,46,1.11,7,2,1,0,327 (78%),18,2,,3,1,0,3,4,,2,3,0,5,2,0.99,0.15,1.14,1.60,0.21,0.11,0.32,1.35,493,266,133,30 (45%),2 (12%),25,1,421,172,155,24 (44%),1 (6%),25,2,,29,17,3,15,1,,22,12,1,15,2,,74,59 (58%),15 (43%),13 (68%),,63,43 (42%),20 (57%),8 (42%),,2,0,,4,0,14.0,26.0,1,1.2,1.0,44.6,1.228,11.2,3.4,1.8,55.4,1.326,14.6,5.0,1.6,6.8,5.6,1.4,0.107,0.353,0.068,0.2
8550,2020-10-25T14:00:00.000Z,9853,Saint-Etienne,2,0,True,42,0.38,6,3,1,1,232 (72%),11,5,58,0.46,10,0,1,1,349 (79%),18,3,,3,0,0,2,4,,6,4,0,5,5,0.08,0.30,0.38,0.44,0.21,0.24,0.46,0.00,323,125,107,23 (37%),2 (13%),31,1,439,210,139,38 (70%),3 (16%),36,1,,22,22,4,18,0,,21,15,0,19,2,,71,50 (53%),21 (45%),13 (59%),,71,45 (47%),26 (55%),15 (56%),,3,0,,3,0,10.0,21.0,3,1.4,1.0,47.8,1.302,11.6,3.8,1.8,52.2,1.248,12.8,4.2,1.4,9.6,10.8,1.6,0.121,0.368,0.078,0.238
8550,2020-11-01T14:00:00.000Z,6394,Nimes,1,0,False,33,0.84,8,5,1,0,190 (67%),15,1,67,0.94,16,2,0,0,458 (82%),13,10,,1,2,0,4,4,,8,6,0,7,9,0.72,0.13,0.84,1.18,0.64,0.30,0.94,0.25,283,111,79,21 (30%),1 (11%),16,1,560,219,239,40 (56%),7 (18%),42,1,,21,22,6,28,2,,12,9,2,7,4,,62,39 (57%),23 (49%),5 (56%),,54,30 (43%),24 (51%),4 (50%),,2,1,,3,0,9.0,18.0,3,1.8,0.8,50.6,1.188,11.4,4.2,1.6,49.4,0.894,10.8,2.6,0.8,11.6,15.0,2.2,0.158,0.429,0.074,0.308
8550,2020-11-08T14:00:00.000Z,9836,Dijon,1,1,True,45,2.26,15,4,4,4,310 (84%),19,5,55,2.06,15,7,2,1,409 (85%),12,6,,7,4,0,10,5,,7,1,1,11,4,0.56,0.92,1.47,1.80,0.99,0.28,1.27,2.30,370,171,139,30 (61%),5 (20%),23,1,484,294,115,27 (51%),5 (33%),17,0,,13,7,1,17,6,,14,5,4,19,3,,51,32 (44%),19 (49%),7 (50%),,61,41 (56%),20 (51%),10 (56%),,2,0,,1,0,22.0,28.0,1,1.6,0.6,45.2,1.02,10.2,4.4,1.2,54.8,0.844,12.0,2.2,0.6,13.4,18.6,2.2,0.157,0.364,0.05,0.273
