team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9830,2020-08-21T17:00:00.000Z,9827,Bordeaux,0,0,False,56,0.25,6,1,0,0,551 (89%),15,3,44,0.53,5,1,1,1,401 (83%),10,2,,3,2,0,0,6,,4,0,0,1,4,0.16,0.09,0.25,0.20,0.09,0.44,0.53,0.02,618,228,323,21 (60%),1 (5%),19,3,482,251,150,41 (53%),2 (22%),25,0,,13,10,0,15,1,,14,9,2,28,1,,43,28 (43%),15 (44%),5 (38%),,56,37 (57%),19 (56%),9 (64%),,3,0,,2,1,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9830,2020-08-30T13:00:00.000Z,6394,Nimes,2,1,True,34,1.85,8,4,4,2,174 (63%),17,4,66,1.18,18,9,0,0,429 (81%),9,8,,3,1,0,7,1,,5,4,0,14,4,0.63,0.42,1.06,1.93,0.67,0.52,1.18,1.98,275,99,75,20 (30%),3 (27%),12,2,532,218,211,36 (52%),8 (25%),37,1,,26,13,4,30,8,,11,10,1,9,2,,56,34 (50%),22 (59%),2 (17%),,49,34 (50%),15 (41%),7 (35%),,1,2,,2,0,,,3,0.0,0.0,56.0,0.25,6.0,1.0,0.0,44.0,0.53,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9830,2020-09-13T15:00:00.000Z,9829,Monaco,1,2,False,42,1.22,7,2,2,1,336 (80%),11,4,58,2.32,18,5,4,3,497 (85%),14,9,,4,1,0,3,4,,10,3,2,16,2,1.19,0.03,1.22,1.05,1.91,0.41,2.32,1.60,420,201,135,17 (35%),4 (25%),16,1,582,282,215,38 (60%),6 (27%),14,3,,16,7,3,26,3,,27,10,1,16,1,,48,39 (44%),9 (35%),9 (47%),,66,49 (56%),17 (65%),11 (52%),,1,0,,3,0,,,0,1.0,0.5,45.0,1.05,7.0,2.5,2.0,55.0,0.855,11.5,5.0,0.5,0.0,0.0,2.0,0.143,0.4,0.043,0.1
9830,2020-09-20T15:00:00.000Z,9853,Saint-Etienne,2,2,True,56,1.40,15,3,2,0,347 (83%),12,4,44,1.03,6,4,2,1,245 (72%),17,2,,10,2,0,11,4,,1,1,0,2,4,0.70,0.70,1.40,1.04,1.03,0.00,1.03,1.62,418,132,215,24 (53%),10 (29%),47,3,339,187,58,14 (25%),1 (13%),25,0,,10,14,2,10,1,,22,9,2,25,1,,60,36 (46%),24 (65%),11 (61%),,56,43 (54%),13 (35%),11 (65%),,2,0,,2,0,,,1,1.0,1.0,44.0,1.107,7.0,2.333,2.0,56.0,1.343,13.667,5.0,1.667,0.0,0.0,1.333,0.143,0.429,0.073,0.2
9830,2020-09-25T19:00:00.000Z,8639,Lille,0,2,False,46,0.82,12,6,0,0,309 (76%),12,7,54,1.84,12,4,2,1,396 (80%),16,4,,1,5,0,7,5,,3,5,1,9,3,0.46,0.35,0.82,1.25,0.87,0.18,1.05,1.17,408,169,140,27 (50%),3 (14%),24,1,498,216,180,28 (41%),2 (15%),21,3,,19,15,5,21,3,,26,13,5,23,6,,63,45 (47%),18 (53%),13 (57%),,66,50 (53%),16 (47%),14 (56%),,2,0,,0,0,,,0,1.25,1.25,47.0,1.18,9.0,2.5,2.0,53.0,1.265,11.75,4.75,1.75,0.0,0.0,1.25,0.139,0.5,0.106,0.263
9830,2020-10-03T19:00:00.000Z,9831,Nice,1,2,False,27,1.47,11,1,1,0,195 (71%),8,2,73,1.63,19,8,2,1,681 (90%),13,9,,6,4,0,6,5,,6,5,0,13,6,0.32,0.36,0.68,0.97,1.04,0.59,1.63,1.65,274,112,83,19 (37%),5 (50%),10,2,758,324,357,24 (73%),5 (19%),29,2,,18,20,5,23,6,,15,18,3,4,1,,51,43 (53%),8 (44%),14 (78%),,48,38 (47%),10 (56%),15 (52%),,1,1,,2,0,14.0,35.0,0,1.0,1.4,46.8,1.108,9.6,3.2,1.6,53.2,1.38,11.8,4.6,1.8,0.0,0.0,1.0,0.104,0.312,0.119,0.304
9830,2020-10-18T13:00:00.000Z,8521,Brest,3,1,True,40,1.39,12,8,1,0,243 (70%),15,2,60,1.09,14,5,1,1,419 (81%),15,6,,2,2,3,10,2,,8,1,0,7,7,1.37,0.02,1.39,2.18,0.71,0.38,1.09,0.91,347,82,161,22 (35%),2 (20%),18,6,520,240,179,46 (62%),8 (40%),27,3,,20,12,1,11,4,,17,15,1,5,5,,74,47 (54%),27 (47%),14 (64%),,70,40 (46%),30 (53%),10 (43%),,3,0,,2,0,19.0,17.0,3,1.2,1.8,41.0,1.352,10.6,3.2,1.8,59.0,1.6,14.6,6.0,2.0,2.8,7.0,0.8,0.113,0.375,0.123,0.3
9830,2020-10-31T20:00:00.000Z,9847,Paris Saint-Germain,0,3,True,37,1.68,6,1,2,2,356 (83%),12,2,63,2.40,13,4,5,2,679 (91%),13,4,,3,2,0,3,3,,7,2,1,10,3,0.81,0.08,0.89,0.99,1.21,0.40,1.62,1.81,428,225,131,23 (46%),0 (0%),13,0,747,414,265,29 (74%),4 (24%),18,4,,15,16,2,17,1,,12,5,2,6,1,,52,43 (54%),9 (47%),15 (79%),,47,37 (46%),10 (53%),13 (62%),,2,0,,1,0,11.0,32.0,0,1.4,1.8,42.2,1.26,11.4,4.0,1.2,57.8,1.582,13.8,5.2,2.2,6.6,10.4,0.8,0.123,0.35,0.13,0.346
9830,2020-11-08T14:00:00.000Z,8689,Lorient,2,0,False,52,1.24,16,4,1,0,330 (76%),10,5,48,1.80,18,4,3,3,282 (70%),18,5,,5,7,0,5,11,,9,5,1,10,8,1.08,0.16,1.24,1.90,1.57,0.23,1.80,0.58,436,161,169,35 (47%),3 (14%),32,0,401,149,133,29 (36%),3 (21%),27,0,,20,6,4,12,4,,22,19,6,17,2,,66,45 (54%),21 (43%),10 (63%),,66,38 (46%),28 (57%),6 (38%),,1,0,,3,0,15.0,15.0,3,1.2,2.0,41.2,1.352,11.2,3.8,1.2,58.8,1.598,12.8,5.0,2.4,8.8,16.8,0.8,0.107,0.316,0.156,0.4
9830,2020-11-22T12:00:00.000Z,8550,Metz,1,1,True,66,1.35,18,5,1,0,487 (86%),18,6,34,1.36,11,4,1,0,195 (71%),15,2,,8,5,0,13,5,,2,5,0,9,2,1.29,0.06,1.35,0.95,0.57,0.00,0.57,1.25,568,235,252,31 (61%),3 (18%),28,2,274,102,93,23 (39%),6 (33%),24,2,,20,9,4,19,3,,26,16,5,19,4,,73,49 (51%),24 (63%),16 (55%),,61,47 (49%),14 (37%),4 (27%),,2,0,,3,0,41.0,14.0,1,1.2,1.6,40.4,1.32,11.4,4.0,1.0,59.6,1.752,15.2,5.0,2.6,11.8,19.8,1.2,0.105,0.3,0.105,0.32
9830,2020-11-25T18:00:00.000Z,8588,Lens,1,1,False,51,2.08,11,3,3,2,348 (77%),18,2,49,0.93,7,1,1,0,320 (73%),14,6,,3,5,0,9,2,,3,3,0,3,4,1.20,0.09,1.29,1.03,0.62,0.31,0.93,0.61,452,199,149,23 (36%),3 (30%),28,0,439,192,128,33 (43%),3 (19%),25,1,,9,10,3,13,0,,23,9,5,11,2,,59,37 (43%),22 (42%),16 (70%),,80,50 (57%),30 (58%),10 (67%),,2,0,,4,0,23.0,12.0,1,1.4,1.4,44.4,1.426,12.6,3.8,1.2,55.6,1.656,15.0,5.0,2.4,20.0,22.6,1.4,0.111,0.368,0.093,0.28
9830,2020-11-28T16:00:00.000Z,8592,Marseille,1,3,False,43,0.36,6,2,0,0,278 (81%),11,7,57,2.79,15,9,5,3,399 (83%),16,3,,3,1,1,3,3,,4,2,0,12,3,0.12,0.24,0.36,0.06,1.73,0.27,2.00,3.90,343,168,110,12 (33%),4 (17%),22,1,478,285,114,23 (48%),4 (33%),28,2,,18,12,1,9,6,,21,9,1,18,1,,51,45 (54%),6 (43%),11 (46%),,46,38 (46%),8 (57%),8 (40%),,2,0,,4,0,10.0,24.0,0,1.4,1.2,49.2,1.548,12.6,4.2,1.6,50.8,1.516,12.6,3.6,2.2,21.8,18.0,1.6,0.111,0.333,0.095,0.333
9830,2020-12-06T14:00:00.000Z,9848,Strasbourg,0,4,True,62,0.74,14,2,0,0,487 (86%),13,7,38,2.67,12,8,4,1,261 (74%),13,3,,6,6,0,9,5,,4,0,0,9,3,0.36,0.38,0.74,0.17,0.54,0.55,1.09,3.55,568,220,267,17 (47%),5 (21%),23,1,352,144,117,42 (48%),3 (43%),18,2,,14,8,0,11,4,,16,21,5,10,2,,45,33 (49%),12 (32%),8 (38%),,60,35 (51%),25 (68%),7 (58%),,3,0,,2,0,22.0,28.0,0,1.0,1.6,49.8,1.342,11.4,3.0,1.4,50.2,1.856,12.8,4.4,3.0,20.0,19.4,1.0,0.088,0.333,0.125,0.364
9830,2020-12-13T14:00:00.000Z,9836,Dijon,1,1,True,37,2.80,17,6,4,3,227 (67%),11,4,63,1.20,13,4,2,1,477 (84%),16,4,,6,5,0,11,6,,7,2,0,9,4,1.81,0.20,2.01,2.44,1.12,0.08,1.20,1.18,339,130,97,25 (38%),6 (32%),27,0,569,273,204,39 (60%),3 (10%),30,3,,15,18,3,26,2,,10,17,5,7,5,,58,36 (58%),22 (67%),6 (55%),,37,26 (42%),11 (33%),6 (55%),,2,0,,2,0,26.0,19.0,1,1.0,1.8,54.8,1.154,13.0,3.2,1.0,45.2,1.91,12.6,5.2,2.8,22.2,18.6,1.0,0.077,0.312,0.143,0.346
9830,2020-12-16T18:00:00.000Z,9837,Reims,2,3,False,55,2.04,18,7,2,1,381 (81%),13,6,45,1.81,13,4,2,1,309 (79%),13,3,,5,6,0,8,10,,6,3,0,8,5,1.20,0.84,2.04,2.14,0.78,0.24,1.02,1.78,470,142,239,26 (42%),5 (22%),21,0,389,172,137,31 (46%),4 (31%),28,4,,19,16,1,18,1,,18,11,5,26,5,,61,44 (51%),17 (44%),14 (74%),,64,42 (49%),22 (56%),15 (58%),,2,0,,2,0,28.0,23.0,0,0.8,2.0,51.8,1.466,13.2,3.6,1.6,48.2,1.79,11.6,5.2,2.6,24.4,19.4,0.6,0.061,0.222,0.172,0.385
