team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9831,2020-08-23T15:00:00.000Z,8588,Lens,2,1,True,58,0.18,4,2,0,0,441 (86%),17,1,42,3.09,16,4,4,3,292 (83%),18,7,,0,2,0,2,2,,9,3,0,12,4,0.13,0.04,0.18,0.90,1.74,0.56,2.30,1.65,515,290,151,27 (54%),0 (0%),16,0,353,166,126,36 (60%),11 (38%),26,1,,12,11,3,17,4,,6,18,2,6,0,,45,35 (51%),10 (42%),8 (89%),,47,33 (49%),14 (58%),11 (73%),,2,0,,3,0,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9831,2020-08-29T19:00:00.000Z,9848,Strasbourg,2,0,False,56,1.30,3,2,2,0,495 (86%),11,1,44,0.28,6,0,0,0,360 (82%),14,3,,1,0,0,3,0,,6,0,0,3,3,0.51,0.00,0.51,1.87,0.11,0.17,0.28,0.00,573,332,163,31 (48%),2 (20%),11,1,441,201,159,49 (65%),2 (11%),30,1,,19,11,0,11,0,,10,12,0,8,0,,60,44 (65%),16 (62%),13 (81%),,34,24 (35%),10 (38%),4 (25%),,6,0,,2,0,,,3,2.0,1.0,58.0,0.18,4.0,2.0,0.0,42.0,3.09,16.0,4.0,4.0,0.0,0.0,3.0,0.5,1.0,0.062,0.25
9831,2020-09-12T15:00:00.000Z,10249,Montpellier,1,3,False,63,0.72,9,1,0,0,416 (86%),16,9,37,1.72,20,13,2,1,213 (76%),18,8,,4,4,0,6,3,,3,4,0,13,7,0.27,0.45,0.72,0.09,0.83,0.89,1.72,2.17,483,215,201,28 (57%),5 (20%),12,0,280,100,113,38 (58%),7 (35%),23,1,,10,13,4,14,10,,13,8,4,20,0,,54,34 (48%),20 (50%),8 (62%),,57,37 (52%),20 (50%),9 (75%),,2,0,,0,0,,,0,2.0,0.5,57.0,0.74,3.5,2.0,1.0,43.0,1.685,11.0,2.0,2.0,0.0,0.0,3.0,0.571,1.0,0.045,0.25
9831,2020-09-20T11:00:00.000Z,9847,Paris Saint-Germain,0,3,True,50,1.03,14,5,2,2,502 (91%),9,4,50,3.43,14,6,4,1,497 (92%),9,7,,5,4,0,5,9,,3,5,1,14,0,0.88,0.15,1.03,1.32,1.38,1.26,2.64,3.49,551,299,203,33 (73%),5 (31%),15,0,539,233,264,38 (79%),8 (31%),8,2,,8,5,5,15,3,,14,6,4,8,5,,32,29 (45%),3 (60%),12 (63%),,38,36 (55%),2 (40%),14 (74%),,1,0,,2,0,,,0,1.667,1.333,59.0,0.733,5.333,1.667,0.667,41.0,1.697,14.0,5.667,2.0,0.0,0.0,2.0,0.313,1.0,0.095,0.235
9831,2020-09-27T11:00:00.000Z,9827,Bordeaux,0,0,False,54,0.80,13,2,1,1,487 (87%),15,7,46,1.16,18,5,1,1,409 (86%),9,7,,9,2,3,4,9,,7,6,0,13,5,0.70,0.11,0.80,0.68,0.79,0.37,1.16,0.61,561,279,208,20 (56%),1 (5%),12,0,475,256,153,25 (48%),5 (22%),7,1,,18,16,6,12,5,,17,28,2,14,2,,48,37 (49%),11 (50%),11 (52%),,50,39 (51%),11 (50%),8 (62%),,1,0,,1,0,22.0,33.0,1,1.25,1.75,56.75,0.807,7.5,2.5,1.0,43.25,2.13,14.0,5.75,2.5,0.0,0.0,1.5,0.167,0.5,0.125,0.304
9831,2020-10-03T19:00:00.000Z,9830,Nantes,2,1,True,73,1.63,19,8,2,1,681 (90%),13,9,27,1.47,11,1,1,0,195 (71%),8,2,,6,5,0,13,6,,6,4,0,6,5,1.04,0.59,1.63,1.65,0.32,0.36,0.68,0.97,758,324,357,24 (73%),5 (19%),29,2,274,112,83,19 (37%),5 (50%),10,2,,15,18,3,4,1,,18,20,5,23,6,,48,38 (47%),10 (56%),15 (52%),,51,43 (53%),8 (44%),14 (78%),,2,0,,1,1,35.0,14.0,3,1.0,1.4,56.2,0.806,8.6,2.4,1.0,43.8,1.936,14.8,5.6,2.2,4.4,6.6,1.4,0.116,0.417,0.095,0.25
9831,2020-10-18T15:00:00.000Z,9853,Saint-Etienne,3,1,False,54,2.41,10,5,4,2,427 (81%),10,3,46,0.80,11,4,1,0,360 (84%),15,7,,4,1,0,7,3,,2,5,0,7,4,2.07,0.34,2.41,2.33,0.59,0.21,0.80,1.22,525,319,108,23 (37%),2 (20%),27,1,428,189,171,33 (62%),4 (15%),19,2,,27,10,5,23,3,,18,12,1,8,2,,62,57 (58%),5 (33%),15 (68%),,52,42 (42%),10 (67%),14 (58%),,5,0,,2,0,17.0,21.0,3,1.0,1.4,59.2,1.096,11.6,3.6,1.4,40.8,1.612,13.8,5.0,1.6,11.4,9.4,1.4,0.086,0.278,0.101,0.28
9831,2020-10-25T16:00:00.000Z,8639,Lille,1,1,True,53,1.25,8,3,2,1,489 (87%),13,5,47,0.64,12,4,1,0,433 (88%),19,3,,3,2,0,6,2,,6,2,0,5,7,0.61,0.64,1.25,0.95,0.61,0.02,0.64,0.74,559,342,147,37 (62%),6 (35%),14,1,493,227,206,27 (56%),3 (27%),10,3,,13,9,2,7,3,,15,19,2,13,2,,47,43 (49%),4 (40%),12 (60%),,50,44 (51%),6 (60%),18 (75%),,1,0,,6,0,17.0,19.0,1,1.2,1.6,58.8,1.318,13.0,4.2,1.8,41.2,1.716,14.8,5.8,1.8,14.8,13.6,1.4,0.092,0.286,0.108,0.276
9831,2020-11-01T14:00:00.000Z,8121,Angers,3,0,False,48,2.91,12,5,4,1,379 (82%),12,5,52,0.45,11,5,0,0,408 (86%),18,9,,2,5,0,7,5,,4,2,0,6,5,1.77,0.35,2.13,2.38,0.26,0.19,0.45,0.51,461,251,128,27 (44%),4 (31%),19,1,477,182,226,18 (47%),4 (14%),25,0,,22,11,2,27,5,,22,4,4,9,2,,67,54 (56%),13 (54%),15 (56%),,54,43 (44%),11 (46%),9 (56%),,2,0,,5,0,23.0,21.0,3,1.2,1.2,56.8,1.424,12.8,4.6,2.2,43.2,1.5,13.2,4.0,1.6,18.2,17.4,1.6,0.094,0.261,0.091,0.3
9831,2020-11-08T16:00:00.000Z,9829,Monaco,1,2,True,62,1.06,8,4,1,0,514 (85%),8,1,38,1.97,15,8,4,3,279 (77%),16,4,,2,2,0,3,5,,5,2,2,12,3,0.98,0.08,1.06,1.36,1.68,0.28,1.97,2.14,603,303,211,32 (52%),1 (6%),28,2,362,183,96,27 (39%),2 (20%),13,1,,11,10,2,10,6,,23,10,2,19,3,,62,44 (54%),18 (58%),17 (65%),,51,38 (46%),13 (42%),7 (70%),,2,0,,2,0,12.0,24.0,0,1.8,0.6,56.4,1.8,12.4,4.6,2.6,43.6,0.904,12.6,3.8,0.8,22.8,21.6,2.2,0.145,0.391,0.048,0.158
