team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9847,2020-09-10T19:00:00.000Z,8588,Lens,0,1,False,78,0.43,8,1,0,0,813 (91%),10,2,22,1.52,7,3,4,3,164 (69%),21,4,,5,2,0,2,6,,3,1,1,6,1,0.36,0.07,0.43,0.04,1.11,0.41,1.52,1.49,896,366,447,18 (60%),0 (0%),19,3,236,93,71,19 (39%),3 (19%),13,3,,17,5,1,11,2,,24,23,2,21,1,,58,52 (55%),6 (32%),15 (58%),,55,42 (45%),13 (68%),11 (73%),,2,0,,2,0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9847,2020-09-13T19:00:00.000Z,8592,Marseille,0,1,True,66,2.40,14,4,4,4,463 (88%),17,4,34,0.75,5,2,1,0,206 (74%),19,2,,6,4,0,9,5,,1,2,0,3,2,2.29,0.12,2.40,1.25,0.04,0.71,0.75,0.70,529,181,282,22 (55%),8 (30%),24,4,279,112,94,33 (56%),2 (22%),23,3,,19,5,2,6,1,,19,11,3,26,4,,64,52 (55%),12 (43%),14 (61%),,58,42 (45%),16 (57%),8 (50%),,4,3,,6,2,,,0,0.0,1.0,78.0,0.43,8.0,1.0,0.0,22.0,1.52,7.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.143,0.333
9847,2020-09-16T19:00:00.000Z,8550,Metz,1,0,True,72,2.23,20,8,4,3,556 (87%),8,8,28,0.95,7,1,2,2,172 (68%),6,2,,10,2,0,12,8,,3,3,0,4,3,2.02,0.22,2.23,1.63,0.94,0.01,0.95,0.31,638,255,301,29 (62%),7 (23%),25,1,254,82,90,24 (38%),2 (22%),18,3,,12,9,2,9,1,,16,13,2,29,7,,41,26 (41%),15 (47%),8 (57%),,54,37 (59%),17 (53%),13 (68%),,1,1,,2,0,,,3,0.0,1.0,72.0,1.415,11.0,2.5,2.0,28.0,1.135,6.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.167,0.4
9847,2020-09-20T11:00:00.000Z,9831,Nice,3,0,False,50,3.43,14,6,4,1,497 (92%),9,7,50,1.03,14,5,2,2,502 (91%),9,4,,3,5,1,14,0,,5,4,0,5,9,1.38,1.26,2.64,3.49,0.88,0.15,1.03,1.32,539,233,264,38 (79%),8 (31%),8,2,551,299,203,33 (73%),5 (31%),15,0,,14,6,4,8,5,,8,5,5,15,3,,38,36 (55%),2 (40%),14 (74%),,32,29 (45%),3 (60%),12 (63%),,2,0,,1,0,,,3,0.333,0.667,72.0,1.687,14.0,4.333,2.667,28.0,1.073,6.333,2.0,2.333,0.0,0.0,1.0,0.024,0.077,0.105,0.334
9847,2020-09-27T19:00:00.000Z,9837,Reims,2,0,False,65,3.79,21,7,9,7,614 (91%),10,7,35,0.28,8,3,0,0,313 (85%),11,3,,12,2,0,15,6,,4,1,1,4,4,3.23,0.55,3.79,2.27,0.26,0.02,0.28,0.46,676,257,357,23 (58%),5 (26%),10,1,370,203,110,23 (61%),2 (14%),8,1,,14,7,1,7,3,,11,18,2,17,5,,38,37 (55%),1 (20%),13 (72%),,34,30 (45%),4 (80%),9 (50%),,2,0,,2,0,47.0,17.0,3,1.0,0.5,66.5,2.123,14.0,4.75,3.0,33.5,1.062,8.25,2.75,2.25,0.0,0.0,1.5,0.071,0.211,0.061,0.182
9847,2020-10-02T19:00:00.000Z,8121,Angers,6,1,True,57,2.39,18,12,5,1,594 (92%),11,6,43,1.03,8,2,3,2,418 (87%),9,2,,2,4,0,12,6,,5,1,0,5,3,2.26,0.14,2.39,4.51,0.72,0.31,1.03,0.38,648,161,433,8 (42%),1 (9%),11,2,478,259,159,18 (51%),3 (30%),12,0,,21,11,1,5,1,,19,10,4,9,6,,56,50 (55%),6 (55%),20 (65%),,46,41 (45%),5 (45%),11 (61%),,1,0,,2,0,31.0,10.0,3,1.2,0.4,66.2,2.456,15.4,5.2,4.2,33.8,0.906,8.2,2.8,1.8,9.4,3.4,1.8,0.078,0.231,0.049,0.143
9847,2020-10-16T19:00:00.000Z,6394,Nimes,4,0,False,76,3.91,30,11,5,2,631 (89%),12,9,24,0.18,5,2,0,0,144 (64%),10,1,,12,7,3,23,7,,3,0,0,1,4,3.76,0.15,3.91,4.34,0.18,0.00,0.18,0.10,706,207,424,21 (68%),13 (52%),14,0,224,91,53,25 (43%),1 (14%),23,1,,11,9,0,8,2,,12,13,5,21,7,,51,31 (53%),20 (65%),10 (83%),,38,27 (47%),11 (35%),5 (45%),,2,0,,1,1,54.0,4.0,3,2.4,0.4,62.0,2.848,17.4,7.4,5.2,38.0,0.808,8.4,2.6,1.6,15.6,5.4,2.4,0.138,0.324,0.048,0.154
9847,2020-10-24T19:00:00.000Z,9836,Dijon,4,0,True,55,3.87,20,9,6,3,489 (91%),12,4,45,1.66,16,3,2,2,374 (89%),18,10,,8,3,2,17,3,,8,5,0,11,5,3.20,0.66,3.87,2.43,1.22,0.45,1.66,0.29,538,252,237,20 (67%),7 (58%),11,2,420,236,138,20 (54%),8 (33%),9,0,,21,11,5,16,3,,15,12,3,8,5,,55,47 (57%),8 (67%),8 (57%),,40,36 (43%),4 (33%),9 (56%),,0,0,,2,0,36.0,16.0,3,3.2,0.2,64.0,3.15,20.6,8.8,5.4,36.0,0.694,8.4,2.6,1.4,26.4,6.2,3.0,0.155,0.364,0.024,0.077
9847,2020-10-31T20:00:00.000Z,9830,Nantes,3,0,False,63,2.40,13,4,5,2,679 (91%),13,4,37,1.68,6,1,2,2,356 (83%),12,2,,7,2,1,10,3,,3,2,0,3,3,1.21,0.40,1.62,1.81,0.81,0.08,0.89,0.99,747,414,265,29 (74%),4 (24%),18,4,428,225,131,23 (46%),0 (0%),13,0,,12,5,2,6,1,,15,16,2,17,1,,47,37 (46%),10 (53%),13 (62%),,52,43 (54%),9 (47%),15 (79%),,1,0,,2,0,32.0,11.0,3,3.8,0.2,60.6,3.478,20.6,9.0,5.8,39.4,0.836,10.2,3.0,1.4,33.6,9.4,3.0,0.184,0.422,0.02,0.067
9847,2020-11-07T20:00:00.000Z,9851,Rennes,3,0,True,49,0.91,9,5,2,1,435 (85%),19,2,51,0.96,16,3,1,1,435 (85%),15,7,,4,0,1,3,6,,7,6,0,10,6,0.58,0.32,0.91,1.37,0.46,0.51,0.96,0.21,513,259,176,33 (54%),2 (29%),15,1,509,219,216,31 (58%),8 (31%),16,1,,7,18,5,24,3,,14,17,0,6,3,,43,29 (45%),14 (50%),9 (75%),,50,36 (55%),14 (50%),6 (60%),,3,0,,0,0,8.0,26.0,3,3.8,0.2,63.2,3.272,20.4,8.6,6.0,36.8,0.966,8.6,2.2,1.4,40.0,11.6,3.0,0.186,0.442,0.023,0.091
