team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9851,2020-08-22T19:00:00.000Z,8639,Lille,1,1,False,49,1.59,16,2,2,1,407 (85%),16,2,51,0.44,5,1,1,0,421 (84%),12,4,,9,5,1,9,7,,4,0,0,1,4,0.92,0.67,1.59,0.98,0.44,0.00,0.44,0.81,480,268,139,28 (57%),4 (29%),20,0,501,239,182,25 (45%),1 (8%),32,0,,13,11,0,14,0,,16,9,5,9,1,,50,34 (52%),16 (53%),11 (52%),,45,31 (48%),14 (47%),3 (38%),,1,1,,0,1,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9851,2020-08-29T15:00:00.000Z,10249,Montpellier,2,1,True,67,1.47,16,7,3,3,523 (86%),18,2,33,0.55,10,3,0,0,212 (72%),16,1,,8,1,2,7,9,,6,1,1,6,4,1.20,0.28,1.47,2.00,0.29,0.27,0.55,0.43,611,290,233,29 (54%),3 (38%),17,1,293,109,103,34 (49%),6 (50%),28,1,,21,8,1,12,2,,17,13,1,12,6,,66,47 (52%),19 (50%),12 (60%),,62,43 (48%),19 (50%),9 (50%),,3,1,,2,1,,,3,1.0,1.0,49.0,1.59,16.0,2.0,2.0,51.0,0.44,5.0,1.0,1.0,0.0,0.0,1.0,0.062,0.5,0.2,1.0
9851,2020-09-13T13:00:00.000Z,6394,Nimes,4,2,False,55,2.06,10,6,5,2,352 (79%),13,4,45,1.30,17,9,1,1,281 (79%),17,8,,3,1,0,6,4,,5,3,0,11,6,1.76,0.30,2.06,2.08,1.02,0.28,1.30,1.62,444,208,144,32 (45%),5 (36%),18,0,354,179,102,36 (53%),8 (32%),14,1,,13,4,3,15,7,,18,12,1,8,2,,53,39 (51%),14 (39%),10 (40%),,59,37 (49%),22 (61%),6 (50%),,6,0,,2,0,,,3,1.5,1.0,58.0,1.53,16.0,4.5,2.5,42.0,0.495,7.5,2.0,0.5,0.0,0.0,2.0,0.094,0.333,0.133,0.5
9851,2020-09-19T19:00:00.000Z,9829,Monaco,2,1,True,58,1.03,15,3,1,0,530 (88%),11,9,42,0.97,14,2,1,1,344 (81%),12,10,,7,5,1,9,6,,6,6,1,9,5,0.89,0.14,1.03,0.41,0.20,0.77,0.97,0.65,601,271,259,33 (67%),6 (25%),17,0,424,232,112,21 (41%),8 (40%),17,3,,10,9,6,15,1,,16,13,4,17,1,,47,33 (52%),14 (42%),11 (52%),,49,30 (48%),19 (58%),5 (63%),,1,0,,2,0,,,3,2.333,1.333,57.0,1.707,14.0,5.0,3.333,43.0,0.763,10.667,4.333,0.667,0.0,0.0,2.333,0.167,0.467,0.125,0.308
9851,2020-09-26T15:00:00.000Z,9853,Saint-Etienne,3,0,False,52,1.02,10,6,3,0,414 (86%),12,4,48,0.32,6,4,0,0,358 (83%),11,6,,1,3,0,8,2,,2,0,0,4,2,0.88,0.14,1.02,1.47,0.23,0.09,0.32,0.50,482,269,145,41 (62%),5 (29%),19,0,432,249,109,32 (53%),2 (8%),26,5,,22,12,0,20,4,,22,8,3,9,3,,57,46 (50%),11 (46%),13 (52%),,59,46 (50%),13 (54%),12 (52%),,1,0,,1,0,23.0,18.0,3,2.25,1.25,57.25,1.538,14.25,4.5,2.75,42.75,0.815,11.5,3.75,0.75,0.0,0.0,2.5,0.158,0.5,0.109,0.333
9851,2020-10-04T15:00:00.000Z,9837,Reims,2,2,True,74,1.82,19,3,3,1,577 (89%),12,10,26,1.14,9,4,3,2,156 (67%),16,2,,9,7,1,12,7,,4,1,0,6,3,1.06,0.76,1.82,1.16,0.84,0.30,1.14,0.95,651,320,257,27 (57%),11 (30%),26,0,232,111,45,12 (25%),4 (44%),16,2,,8,7,1,5,2,,18,11,7,29,1,,48,33 (47%),15 (63%),10 (42%),,46,37 (53%),9 (38%),8 (62%),,4,0,,3,0,27.0,13.0,1,2.4,1.0,56.2,1.434,13.4,4.8,2.8,43.8,0.716,10.4,3.8,0.6,4.6,3.6,2.6,0.179,0.5,0.096,0.263
9851,2020-10-16T17:00:00.000Z,9836,Dijon,1,1,False,61,0.95,12,3,0,0,465 (83%),13,5,39,1.10,12,4,2,1,280 (78%),22,3,,6,3,1,6,6,,5,3,0,7,5,0.49,0.45,0.95,0.85,0.97,0.13,1.10,1.18,561,238,227,33 (58%),2 (10%),16,1,361,167,113,32 (46%),4 (40%),20,2,,21,14,3,9,3,,17,15,3,29,2,,76,56 (55%),20 (61%),15 (65%),,58,45 (45%),13 (39%),16 (62%),,2,0,,4,0,24.0,19.0,1,2.6,1.2,61.2,1.48,14.0,5.0,3.0,38.8,0.856,11.2,4.4,1.0,10.0,6.2,2.6,0.186,0.52,0.107,0.273
9851,2020-10-23T19:00:00.000Z,8121,Angers,1,2,True,64,1.39,11,1,1,0,616 (90%),11,5,36,1.17,10,4,2,2,328 (82%),5,4,,7,3,0,9,2,,1,5,0,8,2,1.23,0.16,1.39,0.95,1.09,0.08,1.17,0.72,688,251,365,32 (62%),5 (18%),23,2,399,211,117,16 (36%),1 (10%),20,2,,19,10,4,7,2,,17,17,3,30,0,,53,41 (47%),12 (57%),18 (69%),,56,47 (53%),9 (43%),19 (70%),,2,0,,0,0,28.0,19.0,0,2.4,1.2,60.0,1.376,13.2,4.2,2.4,40.0,0.966,11.6,4.6,1.4,14.8,10.0,2.2,0.182,0.571,0.103,0.261
9851,2020-10-31T16:00:00.000Z,8521,Brest,2,1,True,69,1.45,24,8,1,0,726 (90%),2,8,31,1.06,9,4,2,2,280 (77%),12,1,,8,8,2,16,8,,3,2,0,7,2,0.84,0.60,1.45,1.29,1.05,0.02,1.06,1.00,808,378,348,47 (77%),12 (43%),17,0,365,191,89,35 (54%),5 (50%),17,3,,6,15,2,9,3,,11,20,8,21,7,,41,24 (57%),17 (53%),6 (46%),,33,18 (43%),15 (47%),5 (83%),,1,0,,3,0,32.0,18.0,3,1.8,1.2,61.8,1.242,13.4,3.2,1.6,38.2,0.94,10.2,3.6,1.6,20.4,13.8,1.6,0.134,0.562,0.118,0.333
9851,2020-11-07T20:00:00.000Z,9847,Paris Saint-Germain,0,3,False,51,0.96,16,3,1,1,435 (85%),15,7,49,0.91,9,5,2,1,435 (85%),19,2,,7,6,0,10,6,,4,0,1,3,6,0.46,0.51,0.96,0.21,0.58,0.32,0.91,1.37,509,219,216,31 (58%),8 (31%),16,1,513,259,176,33 (54%),2 (29%),15,1,,14,17,0,6,3,,7,18,5,24,3,,50,36 (55%),14 (50%),6 (60%),,43,29 (45%),14 (50%),9 (75%),,0,0,,3,0,26.0,8.0,0,1.8,1.2,64.0,1.326,15.2,4.2,1.6,36.0,0.958,9.2,4.0,1.8,26.8,17.4,1.6,0.118,0.429,0.13,0.3
9851,2020-11-20T18:00:00.000Z,9827,Bordeaux,0,1,True,59,1.89,14,2,3,3,406 (78%),18,7,41,0.64,6,3,1,1,274 (74%),19,3,,9,3,2,8,6,,2,1,0,3,3,1.74,0.15,1.89,0.23,0.50,0.14,0.64,0.73,519,201,205,24 (42%),8 (32%),28,3,372,137,137,22 (35%),2 (22%),26,1,,22,4,1,10,2,,15,15,3,31,2,,63,41 (54%),22 (48%),3 (33%),,59,35 (46%),24 (52%),5 (63%),,2,0,,2,0,16.0,5.0,0,1.2,1.8,63.8,1.314,16.4,3.6,1.2,36.2,1.076,9.8,4.2,2.2,27.4,15.4,1.0,0.073,0.333,0.184,0.429
9851,2020-11-27T20:00:00.000Z,9848,Strasbourg,1,1,False,69,2.56,21,7,4,3,548 (88%),12,7,31,0.86,6,3,1,0,210 (72%),11,2,,8,6,1,13,8,,2,1,0,2,4,1.94,0.61,2.56,2.73,0.85,0.01,0.86,1.20,620,208,340,29 (60%),9 (24%),20,0,291,109,101,31 (43%),0 (0%),19,1,,9,10,1,9,2,,16,14,6,23,6,,50,29 (46%),21 (53%),11 (79%),,53,34 (54%),19 (48%),7 (78%),,0,0,,0,1,31.0,9.0,1,0.8,1.6,60.8,1.328,15.4,3.4,1.2,39.2,0.976,9.2,4.0,1.8,25.2,13.8,0.8,0.052,0.235,0.174,0.4
9851,2020-12-05T16:00:00.000Z,8588,Lens,0,2,True,60,0.52,10,4,0,0,387 (77%),17,8,40,1.06,6,4,2,1,226 (66%),16,3,,4,2,0,6,4,,2,0,0,3,3,0.41,0.11,0.52,0.44,1.03,0.04,1.06,2.18,501,216,171,41 (55%),2 (7%),30,0,341,116,110,33 (41%),0 (0%),17,1,,19,8,0,16,2,,18,12,2,23,4,,67,37 (47%),30 (55%),3 (30%),,66,41 (53%),25 (45%),8 (53%),,1,0,,3,0,19.0,9.0,0,0.8,1.6,62.4,1.65,17.2,4.2,2.0,37.6,0.928,8.0,3.8,1.6,26.6,11.8,0.8,0.047,0.19,0.2,0.421
