team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9853,2020-08-30T13:00:00.000Z,8689,Lorient,2,0,True,52,1.41,13,5,3,2,357 (83%),14,2,48,0.26,6,1,0,0,295 (78%),23,5,,4,4,0,10,3,,2,3,0,4,2,0.95,0.45,1.41,1.79,0.21,0.05,0.26,0.06,431,257,100,30 (46%),4 (40%),36,0,378,162,133,17 (41%),4 (19%),30,1,,29,10,3,15,1,,19,12,4,11,3,,75,69 (62%),6 (30%),18 (62%),,56,42 (38%),14 (70%),13 (54%),,2,0,,1,0,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9853,2020-09-12T19:00:00.000Z,9848,Strasbourg,2,0,True,48,2.00,9,4,2,0,265 (76%),13,6,52,1.41,14,7,2,2,283 (74%),19,3,,4,1,0,6,3,,4,3,0,8,6,0.81,0.40,1.21,2.58,0.95,0.46,1.41,1.29,347,160,105,18 (39%),4 (17%),35,3,381,141,142,29 (41%),3 (30%),34,0,,18,12,4,18,6,,13,8,1,18,2,,61,39 (53%),22 (50%),5 (50%),,57,35 (47%),22 (50%),9 (60%),,1,0,,3,0,,,3,2.0,0.0,52.0,1.41,13.0,5.0,3.0,48.0,0.26,6.0,1.0,0.0,0.0,0.0,3.0,0.154,0.4,0.0,0.0
9853,2020-09-17T19:00:00.000Z,8592,Marseille,2,0,False,40,1.30,12,5,2,2,267 (78%),15,6,60,2.42,13,2,6,6,427 (82%),13,7,,2,5,0,8,4,,8,3,1,10,3,0.91,0.39,1.30,1.42,1.98,0.43,2.42,0.16,344,189,78,24 (39%),5 (28%),25,4,519,193,234,29 (56%),5 (25%),28,3,,20,15,3,22,2,,16,14,5,17,3,,52,37 (48%),15 (60%),5 (36%),,50,40 (52%),10 (40%),9 (53%),,2,0,,2,0,,,3,2.0,0.0,50.0,1.705,11.0,4.5,2.5,50.0,0.835,10.0,4.0,1.0,0.0,0.0,3.0,0.182,0.444,0.0,0.0
9853,2020-09-20T15:00:00.000Z,9830,Nantes,2,2,False,44,1.03,6,4,2,1,245 (72%),17,2,56,1.40,15,3,2,0,347 (83%),12,4,,1,1,0,2,4,,10,2,0,11,4,1.03,0.00,1.03,1.62,0.70,0.70,1.40,1.04,339,187,58,14 (25%),1 (13%),25,0,418,132,215,24 (53%),10 (29%),47,3,,22,9,2,25,1,,10,14,2,10,1,,56,43 (54%),13 (35%),11 (65%),,60,36 (46%),24 (65%),11 (61%),,2,0,,2,0,,,1,2.0,0.0,46.667,1.57,11.333,4.667,2.333,53.333,1.363,11.0,3.333,2.667,0.0,0.0,3.0,0.176,0.429,0.0,0.0
9853,2020-09-26T15:00:00.000Z,9851,Rennes,0,3,True,48,0.32,6,4,0,0,358 (83%),11,6,52,1.02,10,6,3,0,414 (86%),12,4,,2,0,0,4,2,,1,3,0,8,2,0.23,0.09,0.32,0.50,0.88,0.14,1.02,1.47,432,249,109,32 (53%),2 (8%),26,5,482,269,145,41 (62%),5 (29%),19,0,,22,8,3,9,3,,22,12,0,20,4,,59,46 (50%),13 (54%),12 (52%),,57,46 (50%),11 (46%),13 (52%),,1,0,,1,0,18.0,23.0,0,2.0,0.5,46.0,1.435,10.0,4.5,2.25,54.0,1.373,12.0,3.25,2.5,0.0,0.0,2.5,0.2,0.444,0.042,0.154
9853,2020-10-03T15:00:00.000Z,8588,Lens,0,2,False,33,0.13,2,1,0,0,198 (72%),10,0,67,2.11,13,5,4,3,457 (86%),23,12,,1,0,0,2,0,,6,2,0,8,5,0.07,0.06,0.13,0.05,1.24,0.08,1.32,1.34,275,140,58,20 (34%),0 (0%),25,0,533,231,226,43 (55%),4 (14%),21,2,,13,8,2,20,4,,25,5,0,8,1,,68,53 (58%),15 (36%),20 (69%),,66,39 (42%),27 (64%),6 (46%),,1,2,,1,0,6.0,26.0,0,1.6,1.0,46.4,1.212,9.2,4.4,1.8,53.6,1.302,11.6,3.8,2.6,3.6,4.6,2.0,0.174,0.364,0.086,0.263
9853,2020-10-18T15:00:00.000Z,9831,Nice,1,3,True,46,0.80,11,4,1,0,360 (84%),15,7,54,2.41,10,5,4,2,427 (81%),10,3,,2,5,0,7,4,,4,1,0,7,3,0.59,0.21,0.80,1.22,2.07,0.34,2.41,2.33,428,189,171,33 (62%),4 (15%),19,2,525,319,108,23 (37%),2 (20%),27,1,,18,12,1,8,2,,27,10,5,23,3,,52,42 (42%),10 (67%),14 (58%),,62,57 (58%),5 (33%),15 (68%),,2,0,,5,0,21.0,17.0,0,1.2,1.4,42.6,0.956,7.0,3.6,1.2,57.4,1.672,13.0,4.6,3.4,4.8,9.8,1.4,0.171,0.333,0.108,0.304
9853,2020-10-25T14:00:00.000Z,8550,Metz,0,2,False,58,0.46,10,0,1,1,349 (79%),18,3,42,0.38,6,3,1,1,232 (72%),11,5,,6,4,0,5,5,,3,0,0,2,4,0.21,0.24,0.46,0.00,0.08,0.30,0.38,0.44,439,210,139,38 (70%),3 (16%),36,1,323,125,107,23 (37%),2 (13%),31,1,,21,15,0,19,2,,22,22,4,18,0,,71,45 (47%),26 (55%),15 (56%),,71,50 (53%),21 (45%),13 (59%),,3,0,,3,0,21.0,10.0,0,1.0,2.0,42.2,0.716,7.4,3.6,1.0,57.8,1.872,12.2,4.2,3.8,9.0,13.2,0.8,0.135,0.278,0.164,0.476
9853,2020-11-01T12:00:00.000Z,10249,Montpellier,0,1,True,55,0.74,8,0,1,1,394 (84%),16,8,45,0.67,10,2,1,1,311 (79%),17,2,,4,4,0,4,4,,6,2,1,6,4,0.61,0.12,0.74,0.00,0.53,0.14,0.67,0.30,467,238,156,27 (57%),3 (11%),22,0,392,179,132,42 (60%),4 (27%),32,2,,17,13,2,13,1,,11,14,3,23,0,,67,55 (61%),12 (30%),21 (68%),,63,35 (39%),28 (70%),11 (55%),,3,0,,3,0,15.0,23.0,0,0.6,2.4,45.8,0.548,7.0,2.6,0.8,54.2,1.464,10.8,4.4,2.8,13.2,15.2,0.2,0.086,0.231,0.222,0.545
9853,2020-11-08T20:00:00.000Z,9748,Lyon,1,2,False,40,1.91,15,4,3,3,193 (67%),19,5,60,2.82,18,6,5,3,364 (81%),19,3,,3,8,1,8,7,,9,3,1,14,4,0.58,0.54,1.12,0.45,1.86,0.96,2.82,2.42,287,117,76,19 (29%),8 (47%),24,0,447,192,172,20 (57%),2 (29%),35,3,,31,18,3,8,4,,20,10,8,17,4,,69,59 (55%),10 (29%),13 (59%),,74,49 (45%),25 (71%),11 (44%),,3,0,,5,0,22.0,28.0,0,0.2,2.2,48.0,0.49,7.4,1.8,0.6,52.0,1.318,9.8,4.2,2.6,16.2,19.8,0.0,0.027,0.111,0.224,0.524
