team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8406,2020-09-19T13:30:00.000Z,8149,Union Berlin,3,1,False,41,1.46,9,5,3,0,286 (74%),9,1,59,1.16,15,3,2,1,433 (81%),9,8,,1,3,0,7,2,,6,6,0,8,7,1.34,0.13,1.46,1.44,1.01,0.15,1.16,0.39,386,199,87,31 (42%),3 (30%),20,1,533,275,158,46 (55%),8 (23%),27,4,,16,13,6,29,2,,17,13,3,7,2,,58,30 (47%),28 (60%),5 (42%),,53,34 (53%),19 (40%),9 (53%),,0,0,,2,0,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8406,2020-09-26T13:30:00.000Z,9789,Borussia Dortmund,2,0,True,20,1.24,6,4,2,0,133 (65%),7,3,80,1.81,18,6,2,2,745 (91%),8,11,,2,0,0,5,1,,7,5,0,13,5,0.64,0.60,1.24,1.84,1.39,0.42,1.81,2.15,204,83,50,17 (35%),1 (14%),11,3,817,290,455,33 (79%),9 (23%),28,0,,21,18,5,54,6,,12,9,0,9,2,,46,35 (49%),11 (55%),6 (43%),,45,36 (51%),9 (45%),17 (81%),,3,0,,4,0,11.0,40.0,3,3.0,1.0,41.0,1.46,9.0,5.0,3.0,59.0,1.16,15.0,3.0,2.0,0.0,0.0,3.0,0.333,0.6,0.067,0.333
8406,2020-10-04T13:30:00.000Z,8721,Wolfsburg,0,0,False,36,1.20,8,1,2,2,234 (67%),13,2,64,1.04,18,6,0,0,513 (84%),7,12,,5,2,0,4,4,,7,5,0,9,9,1.18,0.02,1.20,0.33,0.57,0.47,1.04,1.23,347,140,94,25 (37%),1 (10%),20,0,611,243,270,41 (60%),7 (21%),29,3,,19,18,5,29,6,,17,13,2,17,1,,57,39 (48%),18 (46%),15 (75%),,63,42 (52%),21 (54%),13 (68%),,1,0,,0,0,19.0,39.0,1,2.5,0.5,30.5,1.35,7.5,4.5,2.5,69.5,1.485,16.5,4.5,2.0,5.5,20.0,3.0,0.333,0.556,0.03,0.111
8406,2020-10-17T13:30:00.000Z,178475,RB Leipzig,0,2,True,32,0.95,5,2,1,1,213 (69%),9,5,68,2.17,16,5,3,2,548 (85%),13,8,,1,2,0,3,2,,6,5,1,12,4,0.44,0.51,0.95,0.75,1.74,0.43,2.17,1.81,309,161,52,24 (34%),2 (18%),18,5,645,250,298,21 (62%),5 (17%),19,1,,16,21,6,33,2,,15,5,2,8,2,,47,36 (53%),11 (37%),8 (57%),,51,32 (47%),19 (63%),9 (56%),,0,0,,1,0,8.0,36.0,0,1.667,0.333,32.333,1.3,7.667,3.333,2.333,67.667,1.337,17.0,5.0,1.333,10.0,26.333,2.333,0.217,0.5,0.02,0.067
8406,2020-10-26T19:30:00.000Z,8178,Bayer Leverkusen,1,3,False,34,0.32,6,3,0,0,264 (73%),8,3,66,2.41,15,7,4,1,615 (88%),14,3,,2,1,0,4,2,,6,2,2,11,4,0.23,0.08,0.32,0.20,1.53,0.10,1.63,2.32,362,189,75,23 (45%),1 (13%),17,3,701,398,217,50 (60%),6 (30%),32,2,,17,10,1,15,4,,11,10,1,9,2,,54,38 (61%),16 (62%),7 (70%),,34,24 (39%),10 (38%),7 (54%),,2,0,,1,0,9.0,24.0,0,1.25,0.75,32.25,1.212,7.0,3.0,2.0,67.75,1.545,16.75,5.0,1.75,9.5,28.75,1.75,0.179,0.417,0.045,0.15
8406,2020-10-31T14:30:00.000Z,9905,Mainz 05,3,1,True,50,1.90,13,6,2,1,392 (81%),12,4,50,1.04,9,4,1,0,396 (81%),10,1,,4,3,0,9,4,,3,2,0,7,2,1.66,0.24,1.90,2.56,0.96,0.09,1.04,0.66,485,234,158,38 (53%),3 (21%),24,2,488,278,118,33 (52%),5 (36%),25,3,,8,18,2,7,3,,24,13,3,11,3,,37,24 (36%),13 (54%),7 (58%),,54,43 (64%),11 (46%),8 (80%),,5,0,,1,0,15.0,16.0,3,1.2,1.2,32.6,1.034,6.8,3.0,1.6,67.4,1.718,16.4,5.4,2.2,9.4,27.8,1.4,0.176,0.4,0.073,0.222
8406,2020-11-07T14:30:00.000Z,8177,Hertha BSC,0,3,True,47,0.32,8,1,0,0,347 (79%),12,2,53,2.22,12,5,3,1,403 (82%),10,6,,4,3,0,3,5,,5,2,1,9,3,0.28,0.04,0.32,0.26,1.16,0.27,1.43,2.85,437,212,135,32 (53%),2 (18%),14,3,494,265,138,20 (45%),5 (31%),26,1,,16,16,2,7,2,,10,14,3,12,1,,36,28 (46%),8 (44%),3 (38%),,43,33 (54%),10 (56%),13 (68%),,3,0,,0,0,15.0,27.0,0,1.2,1.2,34.4,1.122,7.6,3.2,1.4,65.6,1.694,15.2,5.6,2.0,12.4,31.0,1.4,0.158,0.375,0.079,0.214
8406,2020-11-21T14:30:00.000Z,9788,Borussia Mönchengladbach,1,1,False,48,0.83,9,5,2,2,397 (80%),12,1,52,2.12,14,6,5,5,454 (83%),7,2,,2,2,0,4,5,,7,1,1,9,5,0.83,0.00,0.83,1.39,2.02,0.10,2.12,1.08,494,283,114,24 (42%),4 (29%),23,1,546,264,190,30 (54%),4 (27%),20,7,,12,18,1,14,5,,20,15,2,13,4,,43,30 (45%),13 (46%),12 (57%),,52,37 (55%),15 (54%),5 (56%),,2,1,,1,0,14.0,26.0,1,0.8,1.8,39.8,0.938,8.0,2.6,1.0,60.2,1.776,14.0,5.4,2.2,13.2,28.4,0.8,0.1,0.308,0.129,0.333
8406,2020-11-28T14:30:00.000Z,8358,Freiburg,1,1,True,59,0.47,10,2,0,0,463 (80%),15,4,41,0.80,10,5,1,0,296 (74%),8,1,,5,3,0,6,4,,2,3,0,7,3,0.27,0.20,0.47,0.42,0.71,0.09,0.80,0.43,579,322,141,41 (48%),5 (25%),15,3,399,191,105,34 (44%),6 (30%),20,6,,11,5,2,14,4,,12,14,2,15,1,,49,28 (49%),21 (47%),9 (75%),,53,29 (51%),24 (53%),3 (43%),,3,0,,1,0,13.0,15.0,1,1.0,2.0,42.2,0.864,8.2,3.4,1.0,57.8,1.992,13.2,5.4,3.2,12.2,25.8,0.8,0.122,0.294,0.152,0.37
8406,2020-12-07T19:30:00.000Z,8226,Hoffenheim,1,3,False,45,0.94,12,2,1,1,334 (79%),9,3,55,1.46,10,7,3,0,463 (87%),15,4,,6,4,0,7,5,,3,0,0,8,2,0.71,0.23,0.94,0.20,1.34,0.12,1.46,2.58,424,205,129,39 (58%),8 (35%),28,6,533,293,170,21 (43%),3 (13%),20,7,,16,12,0,21,4,,18,12,4,22,1,,55,41 (56%),14 (56%),11 (65%),,43,32 (44%),11 (44%),7 (50%),,1,0,,0,0,26.0,30.0,0,1.2,1.8,47.6,0.768,9.2,3.4,0.8,52.4,1.718,12.0,5.4,2.8,13.2,21.6,1.0,0.13,0.353,0.15,0.333
8406,2020-12-13T14:30:00.000Z,10189,Schalke 04,2,2,True,41,1.36,9,4,2,1,204 (63%),17,2,59,2.26,16,4,5,3,366 (78%),13,3,,3,2,0,6,3,,7,5,0,11,5,1.33,0.02,1.36,1.17,2.06,0.20,2.26,1.43,323,128,76,21 (33%),4 (29%),25,0,472,229,137,27 (40%),5 (33%),27,3,,15,11,4,14,2,,17,8,2,8,3,,65,39 (51%),26 (54%),11 (79%),,59,37 (49%),22 (46%),7 (44%),,1,1,,4,0,14.0,22.0,1,1.2,1.8,49.8,0.892,10.4,3.2,1.0,50.2,1.528,11.0,5.4,2.6,16.6,22.8,1.0,0.115,0.375,0.164,0.333
8406,2020-12-16T19:30:00.000Z,9912,Arminia Bielefeld,1,0,False,52,0.38,9,2,0,0,293 (69%),15,3,48,0.62,12,2,0,0,285 (71%),13,1,,4,3,0,3,6,,7,3,0,6,6,0.34,0.04,0.38,0.34,0.51,0.11,0.62,0.15,423,163,130,31 (46%),3 (14%),30,1,401,146,139,38 (42%),2 (11%),22,1,,23,8,3,20,2,,17,11,3,11,1,,73,44 (55%),29 (47%),10 (59%),,69,36 (45%),33 (53%),6 (33%),,2,0,,1,0,11.0,15.0,3,1.0,2.0,48.0,0.784,9.6,2.8,1.0,52.0,1.772,12.4,5.4,3.4,16.4,24.0,0.6,0.104,0.357,0.161,0.37
8406,2020-12-19T14:30:00.000Z,9810,Eintracht Frankfurt,0,2,True,46,1.56,15,4,2,2,307 (73%),10,2,54,2.19,15,6,5,4,373 (76%),10,4,,9,2,0,10,5,,8,1,1,12,3,1.56,0.00,1.56,0.83,2.04,0.14,2.19,1.48,423,145,162,29 (45%),4 (27%),22,0,492,183,190,35 (48%),5 (22%),27,4,,22,15,1,19,5,,17,14,2,18,4,,61,45 (58%),16 (36%),14 (67%),,60,32 (42%),28 (64%),5 (38%),,1,0,,4,0,30.0,20.0,0,1.2,1.4,49.0,0.796,9.8,3.0,1.0,51.0,1.452,12.4,4.8,2.8,15.6,21.6,1.2,0.122,0.4,0.113,0.292
8406,2021-01-02T14:30:00.000Z,8722,1. FC Köln,1,0,False,55,1.42,11,4,1,0,389 (83%),12,3,45,0.62,12,2,0,0,263 (71%),20,8,,3,4,0,6,5,,5,5,1,6,6,1.21,0.21,1.42,1.46,0.16,0.46,0.62,0.11,468,246,143,25 (44%),2 (15%),26,5,369,155,108,32 (48%),8 (33%),28,3,,13,11,5,16,2,,20,11,4,16,3,,56,42 (49%),14 (41%),10 (53%),,63,43 (51%),20 (59%),11 (79%),,3,0,,2,0,18.0,13.0,3,1.0,1.6,48.6,0.942,11.0,2.8,1.0,51.4,1.466,12.6,4.8,2.8,18.8,20.4,1.0,0.091,0.357,0.127,0.333
8406,2021-01-10T14:30:00.000Z,10269,VfB Stuttgart,1,4,True,44,1.02,12,3,1,0,305 (79%),7,4,56,3.52,26,10,6,2,424 (85%),12,11,,7,2,1,6,6,,9,7,0,19,7,0.76,0.26,1.02,1.24,2.15,0.58,2.74,3.00,386,185,120,28 (44%),2 (13%),12,0,498,232,192,21 (60%),5 (24%),24,2,,27,19,7,19,6,,15,10,2,10,2,,52,44 (53%),8 (35%),6 (60%),,54,39 (47%),15 (65%),17 (71%),,1,1,,2,0,16.0,52.0,0,1.0,1.4,47.8,1.132,11.2,3.2,1.2,52.2,1.43,13.0,4.2,2.6,19.8,20.0,1.4,0.089,0.312,0.108,0.333
8406,2021-01-16T14:30:00.000Z,8697,Werder Bremen,0,2,False,51,0.79,6,0,1,1,383 (80%),18,4,49,1.32,11,5,2,0,364 (79%),10,4,,5,1,0,5,1,,2,4,0,7,4,0.15,0.64,0.79,0.00,1.07,0.25,1.32,2.77,478,224,159,22 (46%),6 (38%),24,1,460,216,148,18 (39%),2 (13%),20,2,,8,5,4,15,3,,12,4,1,16,1,,51,29 (47%),22 (54%),12 (75%),,52,33 (53%),19 (46%),3 (75%),,1,0,,0,0,15.0,12.0,0,1.0,1.6,47.6,1.148,11.2,3.4,1.2,52.4,1.842,16.2,4.8,3.2,17.8,24.4,1.4,0.089,0.294,0.099,0.333
8406,2021-01-20T19:30:00.000Z,9823,Bayern München,0,1,True,36,1.24,9,0,1,1,238 (77%),15,5,64,1.71,13,4,2,1,476 (87%),11,7,,6,3,1,4,5,,7,2,1,6,7,0.33,0.12,0.45,0.00,0.92,0.00,0.92,1.16,310,142,96,37 (54%),2 (12%),27,2,550,222,254,44 (66%),5 (19%),20,4,,15,10,2,26,4,,21,8,3,12,0,,47,33 (41%),14 (50%),9 (64%),,62,48 (59%),14 (50%),13 (62%),,2,0,,0,0,9.0,36.0,0,0.6,1.6,49.6,1.034,10.6,2.6,1.0,50.4,1.654,15.2,5.0,2.6,18.0,22.4,1.2,0.057,0.231,0.105,0.32
