team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
6266,2020-09-26T16:00:00.000Z,9882,Sampdoria,3,2,False,60,1.08,14,5,0,0,403 (82%),12,4,40,1.04,9,3,2,0,229 (70%),17,6,,6,3,0,8,6,,4,2,1,7,2,0.58,0.50,1.08,1.18,0.72,0.32,1.04,1.15,493,240,163,35 (56%),6 (33%),27,18.0,1,326,93,136,24 (44%),5 (21%),13,14.0,4,,10,8,2,18,1,,9,16,3,18,2,,44,26 (51%),18 (53%),1 (20%),,41,25 (49%),16 (47%),6 (46%),,1,0,,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6266,2020-09-30T16:00:00.000Z,8636,Inter,2,5,True,34,1.54,11,5,3,2,262 (79%),10,5,66,3.65,18,8,7,4,614 (91%),15,1,,6,0,1,9,2,,8,2,2,13,5,1.34,0.20,1.54,1.62,3.60,0.05,3.65,3.40,330,136,126,23 (47%),3 (17%),11,13.0,1,676,322,292,32 (71%),4 (50%),15,32.0,3,,12,14,2,14,3,,7,12,0,19,3,,39,32 (59%),7 (47%),5 (71%),,30,22 (41%),8 (53%),5 (45%),,1,0,,0,0,0,3.0,2.0,60.0,1.08,14.0,5.0,0.0,40.0,1.04,9.0,3.0,2.0,18.0,14.0,3.0,0.214,0.6,0.222,0.667
6266,2020-10-04T13:00:00.000Z,9857,Bologna,1,0,True,40,1.03,7,2,1,0,205 (71%),13,4,60,2.02,17,7,4,4,360 (85%),15,10,,3,2,0,5,2,,6,4,0,9,8,0.31,0.72,1.03,0.99,1.71,0.31,2.02,1.81,289,109,96,20 (34%),4 (33%),17,19.0,0,425,155,205,35 (65%),10 (37%),23,28.0,5,,16,7,4,16,7,,13,7,2,13,1,,41,32 (44%),9 (31%),5 (42%),,61,41 (56%),20 (69%),16 (76%),,2,0,,1,0,3,2.5,3.5,47.0,1.31,12.5,5.0,1.5,53.0,2.345,13.5,5.5,4.5,15.5,23.0,1.5,0.2,0.5,0.259,0.636
6266,2020-10-18T18:45:00.000Z,8686,Roma,2,5,False,48,1.56,10,4,3,2,349 (83%),7,4,52,4.02,20,7,6,3,385 (87%),17,6,,4,2,0,7,3,,8,5,0,16,4,0.53,0.23,0.77,2.21,2.34,0.89,3.23,4.55,419,201,148,21 (51%),1 (11%),12,18.0,4,444,210,175,23 (58%),4 (20%),13,32.0,6,,15,13,4,16,2,,20,13,2,13,2,,56,44 (55%),12 (48%),12 (57%),,49,36 (45%),13 (52%),12 (57%),,2,0,,3,0,0,2.0,2.333,44.667,1.217,10.667,4.0,1.333,55.333,2.237,14.667,6.0,4.333,16.667,24.667,2.0,0.187,0.5,0.159,0.389
6266,2020-10-25T14:00:00.000Z,9875,Napoli,1,2,True,34,0.79,9,3,1,0,204 (69%),16,3,66,2.18,19,5,5,4,500 (88%),13,15,,4,2,0,4,5,,12,2,2,12,7,0.55,0.24,0.79,0.92,1.68,0.50,2.18,1.77,296,132,72,30 (42%),4 (31%),17,9.0,1,570,238,262,28 (57%),5 (20%),19,34.0,3,,20,6,2,23,3,,13,9,2,10,2,,62,38 (50%),24 (56%),5 (45%),,57,38 (50%),19 (44%),10 (53%),,3,0,,1,0,0,2.0,3.0,45.5,1.302,10.5,4.0,1.75,54.5,2.683,16.0,6.25,4.75,17.0,26.5,1.5,0.19,0.5,0.188,0.48
6266,2020-11-02T19:45:00.000Z,9876,Hellas Verona,1,3,False,56,1.52,15,5,4,3,370 (79%),14,5,44,2.11,14,6,4,2,271 (75%),20,4,,5,5,0,11,4,,4,4,1,10,4,1.17,0.35,1.52,1.27,1.88,0.23,2.11,3.07,469,167,203,29 (48%),4 (22%),12,20.0,0,362,169,102,17 (30%),4 (27%),21,20.0,0,,14,11,4,8,3,,9,20,5,23,4,,59,38 (52%),21 (58%),6 (100%),,50,35 (48%),15 (42%),12 (67%),,4,1,,5,0,0,1.8,2.8,43.2,1.2,10.2,3.8,1.6,56.8,2.582,16.6,6.0,4.8,15.4,28.0,1.2,0.176,0.474,0.169,0.467
6266,2020-11-07T17:05:00.000Z,9881,Spezia,0,3,True,38,0.24,3,1,0,0,259 (78%),13,2,62,1.13,12,6,3,0,473 (84%),19,4,,2,0,1,3,0,,4,2,1,9,3,0.24,0.00,0.24,0.18,0.87,0.26,1.13,1.98,334,189,70,17 (34%),1 (11%),18,10.0,6,560,256,217,61 (65%),6 (40%),20,18.0,3,,12,10,2,11,3,,12,12,0,11,1,,52,36 (47%),16 (46%),7 (50%),,60,41 (53%),19 (54%),16 (84%),,3,0,,3,0,0,1.4,3.0,42.4,1.288,10.4,3.8,2.4,57.6,2.796,17.6,6.6,5.2,15.8,29.2,0.6,0.135,0.368,0.17,0.455
6266,2020-11-22T11:30:00.000Z,8535,Fiorentina,1,0,False,38,0.56,13,4,0,0,236 (74%),17,4,62,1.10,7,2,2,2,450 (84%),14,4,,7,2,0,6,7,,3,2,0,7,0,0.40,0.16,0.56,1.14,0.54,0.56,1.10,0.59,320,141,95,28 (49%),2 (14%),16,17.0,1,538,200,250,28 (61%),3 (19%),30,21.0,3,,14,13,1,20,2,,16,7,2,16,3,,52,36 (46%),16 (55%),8 (73%),,55,42 (54%),13 (45%),9 (69%),,3,0,,2,0,3,1.0,2.6,43.2,1.028,8.8,3.0,1.8,56.8,2.292,16.4,6.2,4.4,15.2,26.4,0.6,0.114,0.333,0.159,0.419
6266,2020-11-28T17:05:00.000Z,9885,Juventus,1,1,True,36,0.52,8,3,0,0,270 (76%),13,5,64,1.53,16,5,2,2,568 (89%),13,8,,4,1,0,7,1,,7,4,0,11,5,0.25,0.27,0.52,1.22,1.21,0.32,1.53,1.25,357,171,99,24 (36%),4 (19%),16,16.0,2,641,216,352,43 (75%),4 (19%),16,30.0,5,,18,20,4,20,4,,12,13,1,16,2,,46,37 (51%),9 (38%),7 (64%),,50,35 (49%),15 (63%),12 (63%),,5,0,,1,1,1,1.0,2.6,42.8,0.934,10.0,3.4,1.6,57.2,2.108,14.4,5.2,4.0,14.8,25.0,0.6,0.1,0.294,0.181,0.5
6266,2020-12-06T14:00:00.000Z,10167,Parma,0,0,False,42,0.41,8,2,0,0,328 (83%),11,3,58,0.68,10,0,0,0,471 (88%),13,6,,5,1,0,5,3,,7,3,0,6,4,0.24,0.17,0.41,0.22,0.19,0.49,0.68,0.00,396,213,115,36 (62%),4 (24%),19,20.0,2,537,235,236,46 (77%),5 (24%),17,18.0,0,,12,12,3,16,0,,12,14,1,20,2,,37,29 (50%),8 (30%),5 (50%),,48,29 (50%),19 (70%),7 (50%),,4,0,,4,0,1,0.8,1.8,40.4,0.726,9.6,3.2,1.0,59.6,1.61,13.6,4.8,3.2,14.4,24.6,0.8,0.083,0.25,0.132,0.375
