team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
10233,2020-09-20T13:00:00.000Z,9884,Crotone,4,1,True,48,2.43,14,6,5,2,408 (86%),13,6,52,1.65,13,3,2,1,430 (86%),14,4,,3,5,1,10,4,,9,1,1,6,7,2.11,0.32,2.43,3.05,1.27,0.38,1.65,1.23,473,268,140,34 (55%),6 (50%),17,7,502,235,195,16 (46%),5 (31%),12,0,,19,19,1,15,2,,15,6,5,4,2,,48,42 (54%),6 (35%),11 (55%),,47,36 (46%),11 (65%),8 (62%),,4,0,,2,0,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10233,2020-09-27T16:00:00.000Z,9875,Napoli,0,6,False,43,0.69,6,0,1,1,420 (88%),13,2,57,2.88,18,9,4,1,590 (93%),6,4,,2,4,0,4,2,,9,0,1,14,4,0.69,0.00,0.69,0.00,2.35,0.53,2.88,4.28,476,261,159,34 (59%),3 (20%),17,2,637,339,251,50 (83%),7 (32%),13,0,,5,11,0,14,3,,24,6,4,7,0,,19,16 (26%),3 (27%),5 (42%),,53,45 (74%),8 (73%),9 (75%),,2,0,,1,0,11.0,26.0,0,4.0,1.0,48.0,2.43,14.0,6.0,5.0,52.0,1.65,13.0,3.0,2.0,0.0,0.0,3.0,0.286,0.667,0.077,0.333
10233,2020-10-19T18:45:00.000Z,9876,Hellas Verona,0,0,False,42,0.44,6,2,0,0,259 (69%),13,2,58,1.14,18,10,0,0,416 (82%),14,14,,3,1,0,4,2,,7,1,0,13,5,0.26,0.18,0.44,0.15,0.60,0.54,1.14,1.70,373,143,116,30 (45%),2 (20%),16,1,506,208,208,21 (40%),9 (20%),18,1,,11,17,1,36,10,,11,19,1,10,2,,54,27 (42%),27 (54%),7 (70%),,60,37 (58%),23 (46%),13 (93%),,4,0,,1,0,9.0,28.0,1,2.0,3.5,45.5,1.56,10.0,3.0,3.0,54.5,2.265,15.5,6.0,3.0,5.5,13.0,1.5,0.2,0.667,0.226,0.583
10233,2020-10-24T16:00:00.000Z,8636,Inter,0,2,True,40,0.02,1,0,0,0,335 (76%),11,1,60,1.71,14,4,2,0,566 (87%),17,9,,1,0,0,0,1,,4,6,0,9,5,0.02,0.00,0.02,0.00,0.92,0.79,1.71,2.02,438,255,80,29 (39%),0 (0%),17,2,653,259,307,36 (67%),7 (26%),23,2,,15,20,5,22,2,,16,12,0,7,0,,54,39 (52%),15 (48%),9 (56%),,52,36 (48%),16 (52%),9 (53%),,1,0,,1,0,2.0,26.0,0,1.333,2.333,44.333,1.187,8.667,2.667,2.0,55.667,1.89,16.333,7.333,2.0,6.667,18.0,1.333,0.154,0.5,0.143,0.318
10233,2020-11-01T19:45:00.000Z,9882,Sampdoria,1,1,False,45,1.24,11,4,3,2,328 (79%),11,4,55,0.75,9,3,1,1,412 (82%),19,7,,3,4,0,5,6,,6,0,1,5,4,1.00,0.23,1.24,0.79,0.54,0.21,0.75,0.71,417,201,127,28 (44%),2 (17%),26,5,504,239,173,33 (66%),3 (14%),28,1,,19,23,0,20,2,,8,12,4,10,3,,51,42 (63%),9 (43%),6 (67%),,37,25 (37%),12 (57%),7 (39%),,1,0,,5,0,11.0,15.0,1,1.0,2.25,43.25,0.895,6.75,2.0,1.5,56.75,1.845,15.75,6.5,2.0,5.5,20.0,1.0,0.148,0.5,0.143,0.346
10233,2020-11-04T16:00:00.000Z,9804,Torino,1,2,True,52,1.41,17,2,2,2,417 (83%),10,5,48,0.35,7,1,0,0,400 (82%),18,2,,7,8,0,10,7,,4,2,1,3,4,0.92,0.50,1.41,0.28,0.35,0.00,0.35,0.24,500,239,178,39 (60%),6 (17%),15,0,486,233,167,33 (52%),0 (0%),22,2,,19,15,2,14,0,,11,21,8,25,1,,57,44 (57%),13 (50%),7 (47%),,46,33 (43%),13 (50%),12 (60%),,2,0,,4,0,38.0,16.0,0,1.0,2.0,43.6,0.964,7.6,2.4,1.8,56.4,1.626,14.4,5.8,1.8,6.6,19.0,1.0,0.132,0.417,0.139,0.345
10233,2020-11-08T14:00:00.000Z,8686,Roma,1,3,True,50,0.63,7,5,1,0,436 (84%),10,1,50,2.57,18,9,5,2,411 (83%),11,8,,1,1,0,5,2,,6,3,1,14,4,0.59,0.04,0.63,1.08,2.02,0.54,2.57,2.53,522,285,151,28 (49%),0 (0%),21,2,496,228,183,34 (55%),4 (19%),15,2,,6,9,3,24,6,,19,18,1,14,4,,36,24 (37%),12 (39%),9 (53%),,60,41 (63%),19 (61%),12 (80%),,1,0,,0,0,9.0,27.0,0,0.4,2.2,44.4,0.76,8.2,1.6,1.2,55.6,1.366,13.2,5.4,1.4,14.2,22.2,0.4,0.049,0.25,0.167,0.407
10233,2020-11-22T17:05:00.000Z,8600,Udinese,0,1,False,54,0.64,11,1,1,1,408 (83%),15,8,46,0.42,8,2,0,0,354 (84%),16,4,,4,6,0,8,3,,4,2,1,2,6,0.49,0.15,0.64,0.10,0.11,0.31,0.42,0.25,494,179,229,38 (61%),5 (21%),18,2,423,191,163,31 (56%),2 (13%),14,0,,16,13,2,9,1,,18,15,6,24,1,,55,42 (51%),13 (34%),10 (71%),,65,40 (49%),25 (66%),8 (57%),,3,1,,2,0,23.0,11.0,0,0.6,1.6,45.8,0.748,8.4,2.6,1.2,54.2,1.304,13.2,5.4,1.6,13.8,22.4,0.4,0.071,0.231,0.121,0.296
10233,2020-11-30T19:50:00.000Z,10167,Parma,1,2,True,52,1.62,14,5,3,2,376 (80%),12,2,48,1.14,9,3,2,1,345 (78%),16,2,,8,1,0,5,9,,4,2,1,9,0,1.61,0.02,1.62,0.98,1.07,0.06,1.14,0.69,469,197,179,41 (55%),4 (16%),26,4,444,184,161,44 (56%),3 (50%),22,6,,13,14,2,9,1,,17,11,1,20,4,,55,39 (48%),16 (36%),11 (61%),,71,42 (52%),29 (64%),14 (82%),,2,0,,2,0,12.0,26.0,0,0.6,1.8,48.2,0.788,9.4,2.4,1.4,51.8,1.16,11.2,3.8,1.6,16.6,19.0,0.2,0.064,0.25,0.161,0.474
10233,2020-12-07T19:45:00.000Z,8535,Fiorentina,1,1,False,38,1.31,5,3,3,2,282 (77%),20,1,62,2.65,19,7,5,4,483 (84%),7,5,,0,2,0,4,1,,8,4,0,14,5,1.31,0.00,1.31,1.42,2.47,0.18,2.65,1.72,368,175,107,26 (46%),3 (19%),14,2,576,240,243,28 (52%),8 (24%),25,1,,15,20,4,31,5,,10,9,1,10,2,,44,26 (38%),18 (50%),5 (50%),,60,42 (62%),18 (50%),12 (60%),,2,0,,2,0,13.0,28.0,1,0.8,1.8,50.6,1.108,12.0,3.4,2.0,49.4,1.046,10.2,3.6,1.6,18.6,19.0,0.2,0.067,0.235,0.176,0.5
