team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9876,2020-09-19T18:45:00.000Z,8686,Roma,3,0,True,40,0.61,8,3,1,1,237 (68%),19,0,60,1.96,21,4,3,3,400 (77%),20,6,,3,2,1,6,2,,10,7,1,9,12,0.58,0.03,0.61,0.11,1.80,0.17,1.96,1.24,351,122,115,26 (36%),1 (13%),15,3,520,199,201,28 (43%),3 (19%),18,2,,11,17,7,19,4,,12,8,2,11,3,,58,40 (47%),18 (43%),11 (69%),,69,45 (53%),24 (57%),15 (65%),,2,0,,0,0,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9876,2020-09-27T13:00:00.000Z,8600,Udinese,1,0,True,47,0.86,14,2,0,0,267 (69%),13,1,53,2.41,22,5,2,2,312 (74%),12,9,,11,1,0,8,6,,11,6,2,14,8,0.75,0.11,0.86,0.84,0.75,1.66,2.41,0.50,388,132,135,30 (38%),5 (50%),29,1,423,165,147,30 (47%),6 (21%),22,0,,14,17,5,30,5,,13,10,1,13,1,,62,34 (46%),28 (48%),9 (75%),,70,40 (54%),30 (52%),14 (74%),,1,0,,0,0,14.0,28.0,3,3.0,0.0,40.0,0.61,8.0,3.0,1.0,60.0,1.96,21.0,4.0,3.0,0.0,0.0,3.0,0.375,1.0,0.0,0.0
9876,2020-10-04T13:00:00.000Z,10167,Parma,0,1,False,60,0.62,8,2,3,3,430 (85%),19,6,40,1.09,11,4,1,0,254 (75%),11,7,,2,4,0,7,1,,3,4,0,7,4,0.48,0.14,0.62,0.31,0.99,0.11,1.09,1.25,504,213,217,27 (63%),7 (22%),17,5,338,108,146,25 (40%),4 (31%),18,2,,10,8,4,8,3,,9,13,3,23,2,,44,27 (47%),17 (47%),7 (58%),,50,31 (53%),19 (53%),4 (40%),,1,0,,1,0,26.0,18.0,0,2.0,0.0,43.5,0.735,11.0,2.5,0.5,56.5,2.185,21.5,4.5,2.5,7.0,14.0,3.0,0.182,0.8,0.0,0.0
9876,2020-10-19T18:45:00.000Z,10233,Genoa,0,0,True,58,1.14,18,10,0,0,416 (82%),14,14,42,0.44,6,2,0,0,259 (69%),13,2,,7,1,0,13,5,,3,1,0,4,2,0.60,0.54,1.14,1.70,0.26,0.18,0.44,0.15,506,208,208,21 (40%),9 (20%),18,1,373,143,116,30 (45%),2 (20%),16,1,,11,19,1,10,2,,11,17,1,36,10,,60,37 (58%),23 (46%),13 (93%),,54,27 (42%),27 (54%),7 (70%),,1,0,,4,0,28.0,9.0,1,1.333,0.333,49.0,0.697,10.0,2.333,1.333,51.0,1.82,18.0,4.333,2.0,13.333,15.333,2.0,0.133,0.571,0.019,0.077
9876,2020-10-25T19:45:00.000Z,9885,Juventus,1,1,False,38,0.67,6,2,1,0,277 (77%),19,3,62,1.53,22,6,2,2,512 (87%),14,6,,3,1,0,4,2,,8,8,2,13,9,0.49,0.18,0.67,0.84,1.16,0.37,1.53,1.46,358,120,157,18 (38%),4 (22%),10,3,587,237,275,28 (70%),3 (19%),18,4,,12,7,8,21,5,,20,13,1,20,1,,48,34 (43%),14 (42%),9 (43%),,64,45 (57%),19 (58%),8 (50%),,4,0,,1,0,20.0,43.0,1,1.0,0.25,51.25,0.807,12.0,4.25,1.0,48.75,1.475,15.0,3.75,1.5,17.0,13.75,1.75,0.083,0.235,0.017,0.067
9876,2020-11-02T19:45:00.000Z,6266,Benevento,3,1,True,44,2.11,14,6,4,2,271 (75%),20,4,56,1.52,15,5,4,3,370 (79%),14,5,,4,4,1,10,4,,5,5,0,11,4,1.88,0.23,2.11,3.07,1.17,0.35,1.52,1.27,362,169,102,17 (30%),4 (27%),21,0,469,167,203,29 (48%),4 (22%),12,0,,9,20,5,23,4,,14,11,4,8,3,,50,35 (48%),15 (42%),12 (67%),,59,38 (52%),21 (58%),6 (100%),,5,0,,4,1,20.0,20.0,3,1.0,0.4,48.6,0.78,10.8,3.8,1.0,51.4,1.486,16.4,4.2,1.6,17.6,19.6,1.6,0.093,0.263,0.024,0.095
9876,2020-11-08T19:45:00.000Z,8564,Milan,2,2,False,34,2.01,7,2,4,3,182 (64%),20,1,66,3.90,34,8,4,4,418 (80%),16,14,,4,1,1,6,1,,18,8,1,22,12,0.97,1.03,2.01,1.57,1.90,1.21,3.11,2.67,283,74,108,19 (28%),3 (50%),8,2,522,191,227,36 (55%),17 (45%),22,3,,14,18,7,32,7,,11,4,1,4,1,,53,29 (46%),24 (41%),3 (50%),,69,34 (54%),35 (59%),5 (42%),,3,0,,1,0,12.0,56.0,1,1.0,0.6,49.4,1.08,12.0,4.4,1.6,50.6,1.398,15.2,4.4,1.8,21.6,23.6,1.6,0.083,0.227,0.039,0.136
9876,2020-11-22T14:00:00.000Z,7943,Sassuolo,0,2,True,52,1.50,19,3,1,1,312 (77%),13,6,48,0.44,11,4,0,0,310 (77%),20,1,,10,6,4,13,6,,4,3,0,2,9,0.70,0.80,1.50,0.27,0.37,0.07,0.44,0.78,406,113,199,30 (46%),10 (31%),19,6,404,169,141,20 (34%),1 (17%),19,0,,11,9,3,9,2,,10,10,6,26,3,,62,43 (56%),19 (54%),13 (76%),,50,34 (44%),16 (46%),11 (100%),,1,0,,3,0,32.0,16.0,0,1.2,1.0,46.8,1.31,10.6,4.4,2.4,53.2,1.696,17.6,5.0,2.2,21.2,29.2,1.2,0.113,0.273,0.057,0.2
9876,2020-11-28T19:50:00.000Z,8524,Atalanta,2,0,False,42,1.87,7,2,3,1,313 (75%),15,1,58,1.50,20,5,1,1,462 (81%),12,4,,5,0,1,3,4,,11,4,0,14,6,1.08,0.00,1.08,1.67,0.81,0.69,1.50,0.55,419,170,143,35 (41%),1 (8%),15,1,568,202,260,29 (48%),8 (42%),20,2,,20,20,4,22,5,,12,14,0,8,0,,54,35 (54%),19 (41%),3 (43%),,57,30 (46%),27 (59%),4 (33%),,3,0,,2,0,13.0,45.0,3,1.2,1.2,45.2,1.486,12.8,4.6,2.0,54.8,1.566,17.6,5.0,2.0,22.4,28.8,1.2,0.094,0.261,0.068,0.24
9876,2020-12-06T11:30:00.000Z,8529,Cagliari,1,1,True,52,2.92,18,3,4,3,343 (81%),11,7,48,1.52,13,3,3,2,295 (76%),14,5,,11,4,2,15,3,,6,4,1,11,2,1.58,1.34,2.92,0.79,1.43,0.09,1.52,0.87,421,180,163,40 (60%),8 (29%),22,3,390,90,205,25 (48%),4 (14%),18,0,,14,4,3,22,2,,20,12,4,20,2,,67,37 (49%),30 (59%),11 (65%),,60,39 (51%),21 (41%),8 (53%),,2,0,,0,0,32.0,35.0,1,1.6,1.2,42.0,1.632,10.6,3.0,2.6,58.0,1.778,20.4,5.6,2.2,19.4,36.0,1.6,0.151,0.533,0.059,0.214
9876,2020-12-12T19:45:00.000Z,8543,Lazio,2,1,False,40,0.90,7,4,2,1,282 (74%),15,3,60,0.72,12,4,0,0,437 (79%),13,5,,2,1,0,6,1,,3,5,0,11,1,0.86,0.04,0.90,0.54,0.52,0.19,0.72,0.68,380,157,125,25 (43%),3 (23%),19,4,555,247,190,48 (54%),7 (25%),20,0,,11,15,5,37,4,,9,10,1,10,3,,53,33 (53%),20 (54%),11 (79%),,46,29 (47%),17 (46%),5 (56%),,3,0,,5,0,13.0,27.0,3,1.6,1.2,44.8,2.082,13.0,3.2,3.2,55.2,1.776,18.6,5.0,2.4,21.8,34.4,1.6,0.123,0.5,0.065,0.24
9876,2020-12-16T19:45:00.000Z,9882,Sampdoria,1,2,True,56,1.77,8,3,2,1,386 (75%),20,6,44,0.98,11,3,1,0,292 (71%),17,3,,1,4,0,3,5,,4,4,0,5,6,0.73,0.25,0.99,1.78,0.87,0.10,0.98,1.42,518,237,149,28 (39%),5 (20%),25,1,409,89,203,33 (42%),3 (16%),34,0,,15,12,4,21,1,,20,15,4,22,2,,65,39 (47%),26 (44%),9 (64%),,77,44 (53%),33 (56%),5 (45%),,2,1,,4,0,21.0,25.0,0,1.4,1.2,44.0,1.84,11.6,2.8,2.8,56.0,1.616,18.0,4.8,1.6,20.4,35.8,1.6,0.121,0.5,0.067,0.25
9876,2020-12-19T14:00:00.000Z,8535,Fiorentina,1,1,False,40,1.56,6,3,2,1,173 (59%),16,1,60,1.58,10,1,2,1,312 (71%),11,4,,2,1,0,3,3,,5,4,0,5,5,0.42,0.35,0.77,1.47,0.22,0.57,0.79,0.95,295,114,59,13 (23%),1 (6%),25,2,437,135,177,35 (40%),2 (8%),27,2,,19,4,3,37,0,,19,14,1,14,2,,71,40 (51%),31 (47%),10 (63%),,74,39 (49%),35 (53%),4 (40%),,2,0,,2,0,8.0,16.0,1,1.2,1.2,48.4,1.792,11.8,3.0,2.4,51.6,1.032,13.4,3.8,1.0,22.2,29.6,1.4,0.102,0.4,0.09,0.316
9876,2020-12-23T17:30:00.000Z,8636,Inter,1,2,True,41,1.46,6,2,2,1,252 (70%),16,2,59,1.82,18,5,1,1,419 (82%),20,8,,3,1,0,4,2,,7,6,0,14,4,1.21,0.24,1.46,1.72,1.35,0.46,1.82,0.74,359,118,134,24 (36%),2 (18%),16,0,512,244,175,28 (48%),8 (29%),24,0,,12,15,6,21,3,,13,14,1,11,1,,60,34 (49%),26 (46%),5 (63%),,66,36 (51%),30 (54%),7 (78%),,4,0,,2,0,9.0,30.0,0,1.4,1.0,46.0,1.804,9.2,3.0,2.6,54.0,1.26,13.2,3.2,1.4,17.4,29.6,1.6,0.152,0.467,0.076,0.312
9876,2021-01-03T14:00:00.000Z,9881,Spezia,1,0,False,46,1.32,12,3,2,2,266 (71%),10,5,54,0.89,7,1,1,1,313 (72%),22,3,,6,3,0,8,4,,5,1,0,6,1,0.92,0.40,1.32,0.97,0.42,0.47,0.89,0.05,377,128,138,23 (32%),5 (28%),23,9,437,153,160,54 (47%),8 (42%),25,1,,15,18,1,26,1,,10,11,3,13,2,,68,42 (64%),26 (46%),7 (58%),,54,24 (36%),30 (54%),4 (31%),,0,0,,4,1,19.0,19.0,3,1.2,1.4,45.8,1.722,9.0,3.0,2.4,54.2,1.324,12.8,3.2,1.4,16.6,26.6,1.0,0.133,0.4,0.109,0.437
9876,2021-01-06T14:00:00.000Z,9804,Torino,1,1,False,55,0.38,8,2,0,0,346 (76%),18,3,45,1.38,17,2,1,0,266 (72%),12,9,,4,2,0,5,3,,5,10,0,11,6,0.25,0.13,0.38,0.86,0.49,0.90,1.38,1.32,453,181,165,22 (37%),1 (7%),21,2,369,121,145,29 (41%),5 (21%),25,1,,7,11,10,24,1,,10,15,2,15,1,,49,22 (37%),27 (64%),5 (45%),,53,38 (63%),15 (36%),10 (91%),,3,0,,1,0,17.0,28.0,1,1.2,1.2,44.6,1.402,7.8,3.0,2.0,55.4,1.198,11.6,2.8,1.0,14.0,23.4,1.4,0.154,0.4,0.103,0.429
9876,2021-01-10T14:00:00.000Z,9884,Crotone,2,1,True,43,1.41,13,6,3,3,225 (68%),16,6,57,1.05,9,2,1,0,343 (76%),16,4,,5,2,1,9,4,,3,4,0,3,6,0.95,0.47,1.41,1.04,1.05,0.00,1.05,1.06,329,76,149,17 (28%),4 (16%),27,1,450,198,145,23 (46%),2 (14%),13,0,,10,6,2,13,1,,17,9,2,18,4,,57,36 (44%),21 (48%),11 (65%),,68,45 (56%),23 (52%),12 (80%),,3,0,,3,0,31.0,21.0,3,1.0,1.2,47.6,1.298,8.0,2.6,1.6,52.4,1.33,12.6,2.4,1.2,14.8,23.6,1.0,0.125,0.385,0.095,0.5
9876,2021-01-16T14:00:00.000Z,9857,Bologna,0,1,False,52,0.76,8,1,1,1,364 (77%),10,3,48,2.29,20,5,3,2,321 (74%),15,7,,6,1,0,4,4,,8,7,0,16,4,0.66,0.10,0.76,0.35,1.19,0.31,1.50,1.83,473,151,213,19 (38%),3 (19%),19,1,433,133,188,22 (40%),6 (32%),19,1,,15,15,5,22,4,,18,14,1,10,1,,53,37 (48%),16 (38%),8 (67%),,66,40 (52%),26 (62%),13 (59%),,1,0,,2,0,10.0,37.0,0,1.2,1.0,45.0,1.226,9.0,3.2,1.8,55.0,1.344,12.2,2.2,1.2,16.8,22.8,1.6,0.133,0.375,0.082,0.455
