team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8543,2020-09-26T16:00:00.000Z,8529,Cagliari,2,0,False,55,2.33,16,6,2,1,435 (85%),13,6,45,1.21,9,2,1,1,340 (83%),8,3,,4,6,0,10,6,,6,1,0,4,5,1.98,0.35,2.33,2.71,0.58,0.64,1.21,0.36,514,250,185,49 (65%),3 (18%),26,32.0,2,412,230,110,20 (59%),3 (21%),25,7.0,2,,13,12,1,10,2,,20,11,6,15,4,,41,30 (45%),11 (50%),9 (41%),,48,37 (55%),11 (50%),6 (43%),,1,0,,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8543,2020-09-30T18:50:00.000Z,8524,Atalanta,1,4,True,61,2.29,14,6,4,3,529 (82%),16,7,39,1.83,10,6,4,1,315 (75%),11,3,,5,3,1,10,4,,1,3,0,9,1,2.29,0.00,2.29,1.76,1.75,0.07,1.83,3.12,644,283,246,21 (41%),6 (30%),22,33.0,0,418,156,159,23 (35%),2 (18%),6,18.0,0,,9,14,3,12,2,,22,13,4,19,4,,40,27 (39%),13 (45%),8 (53%),,59,43 (61%),16 (55%),9 (82%),,6,0,,3,0,0,2.0,0.0,55.0,2.33,16.0,6.0,2.0,45.0,1.21,9.0,2.0,1.0,32.0,7.0,3.0,0.125,0.333,0.0,0.0
8543,2020-10-04T13:00:00.000Z,8636,Inter,1,1,True,40,1.23,12,4,2,1,330 (82%),14,7,60,0.60,12,3,0,0,522 (87%),13,8,,6,2,0,10,2,,6,3,1,7,5,0.85,0.38,1.23,0.82,0.57,0.04,0.60,0.56,401,191,139,22 (46%),6 (40%),13,22.0,0,597,220,302,39 (70%),6 (20%),15,25.0,0,,16,15,3,25,2,,15,10,2,8,3,,49,36 (46%),13 (62%),7 (47%),,50,42 (54%),8 (38%),13 (59%),,3,1,,4,1,1,1.5,2.0,58.0,2.31,15.0,6.0,3.0,42.0,1.52,9.5,4.0,2.5,32.5,12.5,1.5,0.1,0.25,0.211,0.5
8543,2020-10-17T16:00:00.000Z,9882,Sampdoria,0,3,False,48,0.48,10,0,0,0,413 (84%),10,3,52,1.36,12,7,4,3,435 (81%),12,4,,7,3,0,4,6,,4,1,0,7,5,0.28,0.20,0.48,0.00,1.19,0.17,1.36,2.44,493,205,208,41 (68%),3 (18%),18,20.0,2,534,233,202,36 (51%),3 (12%),21,24.0,0,,10,25,1,22,4,,13,7,3,15,0,,35,23 (41%),12 (43%),4 (36%),,49,33 (59%),16 (57%),11 (73%),,2,0,,2,0,0,1.333,1.667,52.0,1.95,14.0,5.333,2.667,48.0,1.213,10.333,3.667,1.667,29.0,16.667,1.333,0.095,0.25,0.161,0.455
8543,2020-10-24T18:45:00.000Z,9857,Bologna,2,1,True,48,1.50,10,3,3,1,368 (82%),14,8,52,1.75,21,5,2,1,404 (85%),16,9,,4,3,0,7,3,,12,4,2,11,10,1.34,0.16,1.50,1.05,1.02,0.73,1.75,1.75,449,223,145,31 (53%),4 (18%),17,17.0,3,473,174,230,24 (50%),7 (29%),19,28.0,2,,27,18,4,23,4,,12,14,3,15,1,,66,50 (56%),16 (57%),9 (64%),,51,39 (44%),12 (43%),13 (59%),,3,0,,3,0,3,1.0,2.0,51.0,1.583,13.0,4.0,2.0,49.0,1.25,10.75,4.5,2.25,26.75,18.5,1.0,0.077,0.25,0.186,0.444
8543,2020-11-01T14:00:00.000Z,9804,Torino,4,3,False,55,1.89,12,5,2,1,473 (88%),11,1,45,2.43,11,4,5,2,383 (86%),11,7,,4,3,0,9,3,,3,4,1,7,4,0.84,0.26,1.11,2.27,1.47,0.18,1.64,2.60,540,222,251,27 (61%),4 (21%),15,22.0,3,445,255,128,30 (63%),3 (27%),15,18.0,2,,26,16,4,12,1,,11,8,3,18,0,,48,37 (53%),11 (48%),3 (43%),,45,33 (47%),12 (52%),11 (50%),,4,0,,2,0,3,1.2,1.8,50.4,1.566,12.4,3.8,2.2,49.6,1.35,12.8,4.6,2.2,24.8,20.4,1.4,0.097,0.316,0.141,0.391
8543,2020-11-08T11:30:00.000Z,9885,Juventus,1,1,True,54,1.01,14,4,1,1,509 (87%),12,4,46,1.34,11,5,1,0,440 (88%),11,2,,5,5,0,8,6,,5,1,1,6,5,0.92,0.09,1.01,1.08,1.10,0.24,1.34,2.00,584,191,318,45 (76%),2 (9%),22,25.0,0,500,255,185,23 (55%),3 (33%),12,17.0,2,,11,7,1,5,4,,13,15,5,30,3,,43,35 (45%),8 (47%),13 (68%),,51,42 (55%),9 (53%),17 (74%),,2,0,,2,0,1,1.6,2.4,50.4,1.478,11.6,3.6,2.2,49.6,1.594,13.2,5.0,3.0,22.8,22.6,1.4,0.138,0.444,0.182,0.48
8543,2020-11-21T14:00:00.000Z,9884,Crotone,2,0,False,49,1.65,15,9,5,4,302 (66%),10,6,51,0.97,13,4,1,1,328 (70%),11,2,,6,0,0,10,5,,8,1,1,5,8,1.53,0.12,1.65,1.97,0.90,0.07,0.97,0.19,459,135,167,28 (31%),6 (33%),19,22.0,2,471,139,189,25 (32%),5 (20%),31,24.0,2,,23,16,1,29,4,,19,22,0,17,7,,51,37 (48%),14 (50%),5 (45%),,54,40 (52%),14 (50%),11 (44%),,4,0,,3,0,3,1.6,1.8,49.0,1.222,11.6,3.2,1.6,51.0,1.496,13.4,4.8,2.4,21.2,22.4,1.6,0.138,0.5,0.134,0.375
8543,2020-11-29T11:30:00.000Z,8600,Udinese,1,3,True,56,1.23,11,6,1,0,461 (85%),16,4,44,1.52,9,4,2,1,363 (82%),10,4,,2,3,0,4,7,,2,3,1,6,3,0.37,0.07,0.44,1.97,0.88,0.64,1.52,1.91,544,174,287,31 (63%),4 (16%),18,14.0,3,441,192,171,27 (44%),4 (36%),13,18.0,0,,20,11,3,8,1,,14,16,3,22,5,,50,37 (49%),13 (46%),7 (54%),,53,38 (51%),15 (54%),9 (47%),,3,0,,4,0,0,1.8,1.6,50.8,1.306,12.2,4.2,2.2,49.2,1.57,13.6,5.0,2.6,21.2,22.2,2.0,0.148,0.429,0.118,0.32
8543,2020-12-05T14:00:00.000Z,9881,Spezia,2,1,False,35,0.50,4,2,1,0,261 (76%),12,0,65,1.50,15,4,3,3,563 (87%),15,7,,1,1,0,3,1,,8,3,2,10,5,0.37,0.13,0.50,0.41,1.22,0.28,1.50,1.49,343,177,84,29 (52%),1 (25%),13,5.0,4,644,287,276,37 (61%),2 (11%),16,29.0,1,,16,10,3,18,3,,13,7,1,8,0,,52,38 (51%),14 (52%),8 (57%),,50,37 (49%),13 (48%),12 (60%),,1,0,,3,0,3,2.0,1.6,52.4,1.456,12.4,5.4,2.4,47.6,1.602,13.0,4.4,2.2,20.0,21.0,2.0,0.161,0.37,0.123,0.364
