team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG non-penalty,xG on target (xGOT),xG open play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,xG set play,xG set play against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9875,2020-09-20T10:30:00.000Z,10167,Parma Calcio 1913,2,0,False,61,1.56,17,6,1,0,574 (89%),12,2,39,0.25,6,2,0,0,344 (85%),16,4,,6,5,1,8,9,,2,2,0,1,5,1.56,1.56,1.74,0.25,0.25,0.08,645,252,322,28 (80%),1 (8%),22,1,404,239,105,29 (54%),1 (7%),17,2,,19,7,2,12,2,,17,17,5,15,4,,60,45 (57%),15 (54%),11 (46%),,47,34 (43%),13 (46%),7 (47%),,1,0,,4,0,,,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9875,2020-09-27T16:00:00.000Z,10233,Genoa,6,0,True,57,2.88,18,9,4,1,590 (93%),6,4,43,0.69,6,0,1,1,420 (88%),13,2,,9,0,1,14,4,,2,4,0,4,2,2.35,2.88,4.28,0.69,0.69,0.00,637,339,251,50 (83%),7 (32%),13,0,476,261,159,34 (59%),3 (20%),17,2,,24,6,4,7,0,,5,11,0,14,3,,53,45 (74%),8 (73%),9 (75%),,19,16 (26%),3 (27%),5 (42%),,1,0,,2,0,0.53,0.00,26.0,11.0,3,2.0,0.0,61.0,1.56,17.0,6.0,1.0,39.0,0.25,6.0,2.0,0.0,0.0,0.0,3.0,0.118,0.333,0.0,0.0
9875,2020-10-17T13:00:00.000Z,8524,Atalanta,4,1,True,49,1.62,19,11,1,0,396 (82%),12,6,51,0.75,13,4,1,0,429 (87%),23,2,,4,4,0,14,5,,8,1,0,7,6,1.48,1.62,2.54,0.71,0.75,0.84,481,215,181,40 (60%),4 (22%),23,1,495,202,227,23 (61%),2 (20%),13,1,,21,8,1,7,3,,13,17,4,10,7,,63,51 (62%),12 (55%),9 (56%),,41,31 (38%),10 (45%),8 (47%),,1,0,,3,0,0.14,0.03,24.0,19.0,3,4.0,0.0,59.0,2.22,17.5,7.5,2.5,41.0,0.47,6.0,1.0,0.5,13.0,5.5,3.0,0.229,0.533,0.0,0.0
9875,2020-10-25T14:00:00.000Z,6266,Benevento,2,1,False,66,2.18,19,5,5,4,500 (88%),13,15,34,0.79,9,3,1,0,204 (69%),16,3,,12,2,2,12,7,,4,2,0,4,5,1.68,2.18,1.77,0.55,0.79,0.92,570,238,262,28 (57%),5 (20%),19,3,296,132,72,30 (42%),4 (31%),17,1,,13,9,2,10,2,,20,6,2,23,3,,57,38 (50%),19 (44%),10 (53%),,62,38 (50%),24 (56%),5 (45%),,1,0,,3,0,0.50,0.24,34.0,9.0,3,4.0,0.333,55.667,2.02,18.0,8.667,2.0,44.333,0.563,8.333,2.0,0.667,16.667,10.0,3.0,0.222,0.462,0.04,0.167
9875,2020-11-01T17:00:00.000Z,7943,Sassuolo,0,2,True,43,2.10,22,6,3,3,389 (85%),7,12,57,1.80,8,4,2,0,561 (90%),9,3,,10,6,0,15,7,,3,1,0,5,3,1.44,2.10,1.02,0.75,1.01,2.17,458,152,237,22 (63%),11 (34%),14,3,625,358,203,30 (68%),1 (25%),13,0,,22,9,1,4,2,,12,15,6,13,6,,52,39 (56%),13 (50%),9 (56%),,44,31 (44%),13 (50%),13 (54%),,2,0,,2,0,0.67,0.26,37.0,17.0,0,3.5,0.5,58.25,2.06,18.25,7.75,2.75,41.75,0.62,8.5,2.25,0.75,21.0,9.75,3.0,0.192,0.452,0.059,0.222
9875,2020-11-08T17:05:00.000Z,9857,Bologna,1,0,False,52,1.37,19,4,1,0,412 (83%),11,7,48,0.70,9,3,1,1,366 (82%),12,4,,6,9,0,10,9,,2,4,0,5,4,1.20,1.37,1.04,0.70,0.70,0.33,495,154,258,24 (49%),4 (18%),21,0,448,206,160,30 (54%),2 (11%),15,6,,13,10,4,19,3,,10,14,9,17,3,,50,33 (61%),17 (49%),9 (75%),,39,21 (39%),18 (51%),3 (50%),,0,0,,3,0,0.17,0.00,29.0,18.0,3,2.8,0.8,55.2,2.068,19.0,7.4,2.8,44.8,0.856,8.4,2.6,1.0,24.2,11.2,2.4,0.147,0.378,0.095,0.308
9875,2020-11-22T19:45:00.000Z,8564,Milan,1,3,True,63,1.62,19,7,2,1,527 (87%),8,8,37,2.39,15,7,4,2,288 (81%),16,5,,8,4,1,11,8,,5,3,0,9,6,0.87,1.62,1.57,2.02,2.39,2.76,603,235,292,27 (69%),3 (13%),21,2,355,158,130,22 (50%),4 (25%),15,3,,14,9,3,10,4,,26,7,4,24,6,,53,43 (48%),10 (38%),14 (50%),,63,47 (52%),16 (62%),13 (68%),,1,1,,4,0,0.75,0.37,35.0,24.0,0,2.6,0.8,53.4,2.03,19.4,7.0,2.8,46.6,0.946,9.0,2.8,1.2,30.0,14.8,2.4,0.134,0.371,0.089,0.286
9875,2020-11-29T19:45:00.000Z,8686,Roma,4,0,True,54,1.65,14,8,2,0,471 (87%),3,11,46,0.46,8,1,0,0,389 (86%),11,4,,3,3,0,7,7,,5,2,0,5,3,1.58,1.65,2.47,0.28,0.46,0.07,541,272,199,17 (52%),4 (19%),20,4,453,241,148,19 (45%),1 (8%),7,3,,10,6,2,13,1,,10,14,3,15,4,,35,28 (61%),7 (50%),8 (80%),,25,18 (39%),7 (50%),5 (56%),,1,0,,2,0,0.07,0.18,26.0,12.0,3,1.6,1.4,54.6,1.778,19.6,6.6,2.4,45.4,1.286,10.8,4.2,1.8,31.8,17.4,1.8,0.082,0.242,0.13,0.333
9875,2020-12-06T17:00:00.000Z,9884,Crotone,4,0,False,61,1.71,13,6,3,1,651 (92%),9,1,39,0.31,6,1,0,0,377 (86%),14,4,,5,2,0,8,5,,3,2,0,4,2,1.49,1.71,3.14,0.31,0.31,0.03,707,333,318,36 (65%),4 (40%),10,1,440,260,117,21 (49%),4 (25%),19,0,,17,10,2,12,1,,17,6,2,6,2,,41,37 (50%),4 (50%),7 (47%),,41,37 (50%),4 (50%),12 (67%),,3,0,,3,1,0.22,0.00,24.0,14.0,3,1.6,1.2,55.6,1.784,18.6,6.0,2.6,44.4,1.228,9.8,3.6,1.6,32.2,16.0,1.8,0.086,0.267,0.122,0.333
9875,2020-12-13T14:00:00.000Z,9882,Sampdoria,2,1,True,67,1.48,18,7,3,1,680 (89%),7,7,33,1.12,7,3,1,0,288 (78%),13,5,,6,5,1,8,10,,2,2,0,6,1,1.29,1.48,2.24,0.37,1.12,1.65,762,316,364,15 (58%),8 (24%),19,1,369,194,94,20 (38%),4 (22%),14,5,,15,5,1,9,2,,11,14,5,24,5,,51,38 (54%),13 (46%),11 (65%),,48,33 (46%),15 (54%),15 (75%),,3,0,,4,0,0.19,0.76,31.0,10.0,3,2.0,1.0,54.6,1.69,17.4,6.2,2.2,45.4,1.132,9.2,3.2,1.4,30.2,17.0,1.8,0.115,0.323,0.109,0.312
