team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG non-penalty,xG on target (xGOT),xG open play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,xG set play,xG set play against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
10167,2020-09-20T10:30:00.000Z,9875,Napoli,0,2,True,39,0.25,6,2,0,0,344 (85%),16,4,61,1.56,17,6,1,0,574 (89%),12,2,,2,2,0,1,5,,6,5,1,8,9,0.25,0.25,0.08,1.56,1.56,1.74,404,239,105,29 (54%),1 (7%),17,2,645,252,322,28 (80%),1 (8%),22,1,,17,17,5,15,4,,19,7,2,12,2,,47,34 (43%),13 (46%),7 (47%),,60,45 (57%),15 (54%),11 (46%),,4,0,,1,0,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10167,2020-09-28T18:45:00.000Z,9857,Bologna,1,4,False,42,1.41,9,3,2,1,286 (79%),9,9,58,1.61,12,8,4,2,448 (87%),12,8,,5,1,0,6,3,,3,1,0,9,3,1.21,1.41,1.14,1.32,1.61,2.49,363,173,113,18 (42%),2 (10%),23,0,516,219,229,24 (52%),3 (14%),21,2,,20,9,1,16,4,,24,12,1,20,2,,56,41 (47%),15 (63%),11 (58%),,56,47 (53%),9 (38%),14 (52%),,2,1,,1,0,0.20,0.29,18.0,30.0,0,0.0,2.0,39.0,0.25,6.0,2.0,0.0,61.0,1.56,17.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.118,0.333
10167,2020-10-04T13:00:00.000Z,9876,Hellas Verona,1,0,True,40,1.09,11,4,1,0,254 (75%),11,7,60,0.62,8,2,3,3,430 (85%),19,6,,3,4,0,7,4,,2,4,0,7,1,0.99,1.09,1.25,0.48,0.62,0.31,338,108,146,25 (40%),4 (31%),18,2,504,213,217,27 (63%),7 (22%),17,5,,9,13,3,23,2,,10,8,4,8,3,,50,31 (53%),19 (53%),4 (40%),,44,27 (47%),17 (47%),7 (58%),,1,0,,1,0,0.11,0.14,18.0,26.0,3,0.5,3.0,40.5,0.83,7.5,2.5,1.0,59.5,1.585,14.5,7.0,2.5,9.0,15.0,0.0,0.067,0.2,0.207,0.429
10167,2020-10-18T16:00:00.000Z,8600,Udinese,2,3,False,58,1.03,9,3,1,0,455 (85%),11,2,42,1.31,16,4,3,2,300 (85%),12,11,,4,2,0,5,4,,7,5,0,9,7,0.93,1.03,1.50,0.87,1.31,1.10,535,257,198,52 (60%),3 (20%),14,1,352,145,155,25 (52%),7 (18%),11,2,,8,9,5,22,2,,19,18,2,15,1,,44,30 (44%),14 (58%),12 (80%),,48,38 (56%),10 (42%),10 (83%),,2,0,,3,0,0.10,0.43,14.0,28.0,0,0.667,2.0,40.333,0.917,8.667,3.0,1.0,59.667,1.263,12.333,5.333,2.667,12.0,18.667,1.0,0.077,0.222,0.162,0.375
10167,2020-10-25T14:00:00.000Z,9881,Spezia,2,2,True,48,3.55,17,6,6,4,326 (80%),11,12,52,0.80,14,6,1,0,366 (82%),21,3,,9,2,0,13,4,,6,2,3,11,3,1.49,2.76,3.82,0.72,0.80,1.33,409,172,154,30 (47%),10 (36%),23,4,448,229,137,48 (65%),3 (19%),20,1,,15,8,2,4,4,,14,11,2,20,4,,58,46 (57%),12 (48%),11 (58%),,48,35 (43%),13 (52%),10 (83%),,3,0,,2,0,1.27,0.08,31.0,33.0,1,1.0,2.25,44.75,0.945,8.75,3.0,1.0,55.25,1.275,13.25,5.0,2.75,12.5,21.0,0.75,0.114,0.333,0.17,0.45
10167,2020-10-31T17:00:00.000Z,8636,Inter,2,2,False,31,0.90,5,3,2,0,189 (68%),7,2,69,2.92,25,9,6,5,524 (88%),13,15,,1,1,0,3,2,,10,6,0,13,12,0.90,0.90,1.70,2.00,2.92,1.36,279,140,49,27 (43%),0 (0%),16,2,594,128,396,30 (75%),11 (24%),21,3,,24,11,5,43,7,,11,16,1,4,1,,64,44 (64%),20 (50%),7 (54%),,45,25 (36%),20 (50%),8 (42%),,1,0,,1,0,0.00,0.92,4.0,40.0,1,1.2,2.2,45.4,1.466,10.4,3.6,2.0,54.6,1.18,13.4,5.2,2.4,16.2,23.4,0.8,0.115,0.333,0.164,0.423
10167,2020-11-07T19:45:00.000Z,8535,Fiorentina,0,0,True,36,0.18,5,0,0,0,334 (85%),17,2,64,0.49,6,4,1,1,637 (90%),17,3,,3,2,0,0,5,,1,1,0,4,2,0.09,0.18,0.00,0.45,0.49,0.27,395,208,126,31 (63%),2 (20%),16,3,705,276,361,25 (60%),3 (16%),22,0,,29,9,1,15,4,,11,8,2,8,0,,59,50 (54%),9 (75%),5 (50%),,46,43 (46%),3 (25%),16 (50%),,1,0,,2,0,0.09,0.04,10.0,12.0,1,1.6,2.2,43.8,1.596,10.2,3.8,2.4,56.2,1.452,15.0,5.8,3.4,17.0,31.4,1.0,0.157,0.421,0.147,0.379
10167,2020-11-22T14:00:00.000Z,8686,Roma,0,3,False,42,0.05,1,1,0,0,444 (88%),4,1,58,3.13,21,7,5,3,645 (91%),5,4,,0,0,0,1,0,,7,7,1,13,8,0.05,0.05,0.07,3.04,3.13,2.56,507,294,150,24 (47%),0 (0%),9,4,706,290,355,38 (75%),2 (12%),11,1,,17,20,7,17,4,,12,14,0,6,1,,33,31 (51%),2 (50%),9 (75%),,32,30 (49%),2 (50%),14 (64%),,0,0,,0,0,0.00,0.09,4.0,36.0,0,1.4,1.4,42.6,1.35,9.4,3.2,2.0,57.4,1.228,13.8,5.0,2.8,15.4,27.8,1.2,0.149,0.437,0.101,0.28
10167,2020-11-30T19:50:00.000Z,10233,Genoa,2,1,False,48,1.14,9,3,2,1,345 (78%),16,2,52,1.62,14,5,3,2,376 (80%),12,2,,4,2,1,9,0,,8,1,0,5,9,1.07,1.14,0.69,1.61,1.62,0.98,444,184,161,44 (56%),3 (50%),22,6,469,197,179,41 (55%),4 (16%),26,4,,17,11,1,20,4,,13,14,2,9,1,,71,42 (52%),29 (64%),14 (82%),,55,39 (48%),16 (36%),11 (61%),,2,0,,2,0,0.06,0.02,26.0,12.0,3,1.2,2.0,43.0,1.142,7.4,2.6,1.8,57.0,1.73,16.4,6.0,3.2,12.6,29.8,0.6,0.162,0.462,0.122,0.333
10167,2020-12-06T14:00:00.000Z,6266,Benevento,0,0,True,58,0.68,10,0,0,0,471 (88%),13,6,42,0.41,8,2,0,0,328 (83%),11,3,,7,3,0,6,4,,5,1,0,5,3,0.19,0.68,0.00,0.24,0.41,0.22,537,235,236,46 (77%),5 (24%),17,0,396,213,115,36 (62%),4 (24%),19,2,,12,14,1,20,2,,12,12,3,16,0,,48,29 (50%),19 (70%),7 (50%),,37,29 (50%),8 (30%),5 (50%),,4,0,,4,0,0.49,0.17,18.0,20.0,1,1.2,1.6,41.0,1.164,7.4,2.6,2.0,59.0,1.792,16.0,6.2,3.2,15.0,26.6,1.2,0.162,0.462,0.1,0.258
