team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9882,2020-09-20T18:45:00.000Z,9885,Juventus,0,3,False,34,0.85,15,1,0,0,274 (77%),9,4,66,2.11,20,8,3,2,657 (90%),15,6,,10,4,0,8,7,,6,6,1,13,7,0.51,0.34,0.85,0.03,0.87,1.24,2.11,2.80,355,160,114,22 (49%),4 (22%),16,2,728,325,332,39 (70%),7 (41%),11,3,,11,12,5,15,5,,17,16,4,19,2,,46,36 (52%),10 (48%),11 (65%),,44,33 (48%),11 (52%),8 (73%),,1,0,,1,0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9882,2020-09-26T16:00:00.000Z,6266,Benevento,2,3,True,40,1.04,9,3,2,0,229 (70%),17,6,60,1.08,14,5,0,0,403 (82%),12,4,,4,2,1,7,2,,6,3,0,8,6,0.72,0.32,1.04,1.15,0.58,0.50,1.08,1.18,326,93,136,24 (44%),5 (21%),13,4,493,240,163,35 (56%),6 (33%),27,1,,9,16,3,18,2,,10,8,2,18,1,,41,25 (49%),16 (47%),6 (46%),,44,26 (51%),18 (53%),1 (20%),,3,0,,1,0,14.0,18.0,0,0.0,3.0,34.0,0.85,15.0,1.0,0.0,66.0,2.11,20.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.15,0.375
9882,2020-10-02T18:45:00.000Z,8535,Fiorentina,2,1,False,35,2.20,18,8,4,2,210 (70%),16,4,65,1.74,22,5,3,2,450 (84%),11,8,,5,5,1,12,6,,13,4,1,15,7,1.27,0.14,1.41,1.82,1.26,0.48,1.74,1.18,298,113,97,28 (48%),3 (25%),17,1,537,214,236,35 (51%),11 (31%),21,0,,23,8,4,29,4,,10,7,5,8,6,,55,39 (53%),16 (52%),6 (60%),,49,34 (47%),15 (48%),10 (50%),,3,0,,0,0,20.0,32.0,3,1.0,3.0,37.0,0.945,12.0,2.0,1.0,63.0,1.595,17.0,6.5,1.5,7.0,9.0,0.0,0.083,0.5,0.176,0.462
9882,2020-10-17T16:00:00.000Z,8543,Lazio,3,0,True,52,1.36,12,7,4,3,435 (81%),12,4,48,0.48,10,0,0,0,413 (84%),10,3,,4,1,0,7,5,,7,3,0,4,6,1.19,0.17,1.36,2.44,0.28,0.20,0.48,0.00,534,233,202,36 (51%),3 (12%),21,0,493,205,208,41 (68%),3 (18%),18,2,,13,7,3,15,0,,10,25,1,22,4,,49,33 (59%),16 (57%),11 (73%),,35,23 (41%),12 (43%),4 (36%),,2,0,,2,0,24.0,20.0,3,1.333,2.333,36.333,1.363,14.0,4.0,2.0,63.667,1.643,18.667,6.0,2.0,11.333,16.667,1.0,0.095,0.333,0.125,0.389
9882,2020-10-24T13:00:00.000Z,8524,Atalanta,3,1,False,34,2.15,7,4,4,2,243 (72%),19,1,66,2.13,20,5,2,1,575 (88%),12,3,,1,2,0,6,1,,7,8,0,11,9,0.85,0.51,1.36,2.49,1.12,0.22,1.34,1.71,336,153,90,17 (29%),2 (22%),26,0,657,215,360,33 (62%),7 (28%),16,1,,21,15,8,26,4,,14,16,1,8,1,,54,37 (43%),17 (49%),6 (43%),,67,49 (57%),18 (51%),20 (71%),,4,0,,3,0,9.0,39.0,3,1.75,1.75,40.25,1.363,13.5,4.75,2.5,59.75,1.353,16.5,4.5,1.5,14.5,17.5,1.5,0.13,0.368,0.106,0.389
9882,2020-11-01T19:45:00.000Z,10233,Genoa,1,1,True,55,0.75,9,3,1,1,412 (82%),19,7,45,1.24,11,4,3,2,328 (79%),11,4,,6,0,1,5,4,,3,4,0,5,6,0.54,0.21,0.75,0.71,1.00,0.23,1.24,0.79,504,239,173,33 (66%),3 (14%),28,1,417,201,127,28 (44%),2 (17%),26,5,,8,12,4,10,3,,19,23,0,20,2,,37,25 (37%),12 (57%),7 (39%),,51,42 (63%),9 (43%),6 (67%),,5,0,,1,0,15.0,11.0,1,2.0,1.6,39.0,1.52,12.2,4.6,2.8,61.0,1.508,17.2,4.6,1.6,13.4,21.8,1.8,0.164,0.435,0.093,0.348
9882,2020-11-07T14:00:00.000Z,8529,Cagliari,0,2,False,44,0.18,5,1,0,0,347 (81%),16,6,56,1.91,13,5,3,1,469 (83%),12,2,,2,2,0,1,4,,5,3,1,9,4,0.09,0.09,0.18,0.16,1.12,0.00,1.12,2.01,429,187,160,30 (50%),2 (10%),19,5,562,299,170,20 (45%),1 (8%),20,4,,16,18,3,6,3,,12,7,2,17,1,,61,45 (54%),16 (55%),18 (75%),,52,39 (46%),13 (45%),11 (58%),,2,1,,0,0,14.0,16.0,0,2.2,1.2,43.2,1.5,11.0,5.0,3.0,56.8,1.334,15.4,3.8,1.6,16.4,24.0,2.0,0.2,0.44,0.078,0.316
9882,2020-11-22T14:00:00.000Z,9857,Bologna,1,2,True,45,0.85,11,4,1,1,299 (73%),12,9,55,1.57,11,3,3,2,412 (82%),9,10,,5,2,0,7,4,,4,4,2,7,4,0.67,0.18,0.85,0.42,1.57,0.00,1.57,1.31,410,111,188,24 (35%),6 (25%),18,2,505,205,207,25 (53%),4 (17%),17,5,,20,12,4,20,2,,12,20,2,24,3,,51,34 (50%),17 (53%),7 (58%),,49,34 (50%),15 (47%),10 (48%),,2,0,,2,0,14.0,25.0,0,1.8,1.0,44.0,1.328,10.2,4.6,2.6,56.0,1.5,15.2,3.8,2.2,16.4,23.6,2.0,0.176,0.391,0.066,0.263
9882,2020-11-30T17:30:00.000Z,9804,Torino,2,2,False,47,1.36,11,2,3,1,377 (82%),17,2,53,1.86,14,7,3,2,440 (86%),17,6,,7,2,0,8,3,,4,3,0,13,1,1.36,0.00,1.36,1.26,1.42,0.44,1.86,2.62,458,220,157,26 (50%),4 (24%),17,3,510,270,170,36 (56%),7 (24%),15,5,,17,12,3,17,5,,14,14,2,14,0,,54,40 (49%),14 (54%),9 (60%),,53,41 (51%),12 (46%),12 (57%),,2,0,,1,0,19.0,25.0,1,1.6,1.2,46.0,1.058,8.8,3.8,2.0,54.0,1.466,13.0,3.4,2.2,15.2,22.2,1.4,0.182,0.421,0.092,0.353
9882,2020-12-06T19:45:00.000Z,8564,Milan,1,2,True,37,1.30,9,3,1,1,202 (68%),10,9,63,2.51,13,6,4,2,449 (83%),17,6,,3,3,0,7,2,,4,3,2,9,4,0.30,1.00,1.30,0.72,1.51,0.21,1.72,1.92,299,93,109,31 (44%),6 (21%),24,1,541,228,221,24 (40%),5 (33%),17,2,,10,15,4,18,3,,10,5,3,30,2,,51,32 (52%),19 (53%),6 (50%),,47,30 (48%),17 (47%),11 (73%),,2,0,,1,0,21.0,34.0,0,1.4,1.6,45.0,1.058,8.6,2.8,1.8,55.0,1.742,13.8,4.8,2.8,14.2,23.2,1.0,0.163,0.5,0.116,0.333
