team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9881,2020-09-27T10:30:00.000Z,7943,Sassuolo,1,4,True,34,1.41,12,5,3,2,258 (79%),13,3,66,2.06,17,6,4,2,580 (90%),8,5,,5,2,1,7,5,,4,7,1,12,5,1.32,0.08,1.41,1.24,0.83,0.45,1.28,1.62,325,159,99,32 (53%),4 (27%),14,22.0,0,645,344,236,29 (63%),4 (24%),22,36.0,4,,11,12,7,15,2,,20,11,2,13,4,,34,28 (39%),6 (55%),9 (50%),,48,43 (61%),5 (45%),12 (67%),,2,0,,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9881,2020-09-30T16:00:00.000Z,8600,Udinese,2,0,False,52,0.82,4,2,2,0,408 (83%),17,2,48,1.85,13,3,3,3,371 (83%),13,2,,2,0,0,4,0,,6,4,1,10,3,0.82,0.00,0.82,1.01,1.47,0.38,1.85,0.64,489,258,150,41 (56%),2 (29%),23,11.0,3,447,163,208,22 (50%),5 (25%),22,29.0,6,,16,14,4,21,3,,18,3,0,5,0,,39,29 (39%),10 (48%),2 (33%),,57,46 (61%),11 (52%),12 (63%),,3,1,,0,0,3,1.0,4.0,34.0,1.41,12.0,5.0,3.0,66.0,2.06,17.0,6.0,4.0,22.0,36.0,0.0,0.083,0.2,0.235,0.667
9881,2020-10-04T16:00:00.000Z,8564,Milan,0,3,False,38,0.17,4,2,0,0,268 (77%),19,6,62,2.66,17,5,3,1,490 (85%),14,4,,1,1,0,2,2,,6,6,0,12,5,0.15,0.01,0.17,0.42,1.76,0.89,2.66,2.43,348,156,112,30 (48%),2 (14%),21,14.0,0,574,269,221,33 (55%),10 (48%),23,32.0,1,,21,13,6,24,2,,22,12,1,16,3,,46,37 (41%),9 (35%),3 (30%),,71,54 (59%),17 (65%),15 (52%),,2,0,,1,0,0,1.5,2.0,43.0,1.115,8.0,3.5,2.5,57.0,1.955,15.0,4.5,3.5,16.5,32.5,1.5,0.188,0.429,0.133,0.444
9881,2020-10-18T13:00:00.000Z,8535,Fiorentina,2,2,True,52,0.90,12,2,2,1,404 (84%),15,5,48,1.05,9,3,2,1,371 (85%),18,5,,5,5,0,4,8,,2,4,0,9,0,0.83,0.07,0.90,0.89,0.56,0.49,1.05,0.42,483,201,203,39 (61%),1 (8%),15,17.0,1,438,242,129,36 (56%),6 (38%),22,21.0,3,,29,10,4,10,1,,13,10,5,18,0,,66,53 (58%),13 (48%),9 (69%),,53,39 (42%),14 (52%),11 (50%),,2,0,,2,0,1,1.0,2.333,41.333,0.8,6.667,3.0,1.667,58.667,2.19,15.667,4.667,3.333,15.667,32.333,1.0,0.15,0.333,0.149,0.5
9881,2020-10-25T14:00:00.000Z,10167,Parma,2,2,False,52,0.80,14,6,1,0,366 (82%),21,3,48,3.55,17,6,6,4,326 (80%),11,12,,6,2,3,11,3,,9,2,0,13,4,0.72,0.08,0.80,1.33,1.49,1.27,2.76,3.82,448,229,137,48 (65%),3 (19%),20,33.0,1,409,172,154,30 (47%),10 (36%),23,31.0,4,,14,11,2,20,4,,15,8,2,4,4,,48,35 (43%),13 (52%),10 (83%),,58,46 (57%),12 (48%),11 (58%),,2,0,,3,0,1,1.25,2.25,44.0,0.825,8.0,2.75,1.75,56.0,1.905,14.0,4.25,3.0,16.0,29.5,1.0,0.156,0.455,0.161,0.529
9881,2020-11-01T14:00:00.000Z,9885,Juventus,1,4,True,44,0.72,16,3,0,0,367 (85%),14,4,56,2.75,7,4,5,1,494 (88%),7,3,,8,5,0,8,8,,2,1,0,7,0,0.62,0.11,0.72,0.30,1.96,0.00,1.96,3.44,430,202,165,34 (58%),7 (44%),16,23.0,3,560,330,164,19 (44%),1 (17%),16,27.0,5,,15,8,1,6,0,,10,16,5,9,2,,38,31 (47%),7 (54%),10 (59%),,41,35 (53%),6 (46%),11 (55%),,3,0,,1,0,0,1.4,2.2,45.6,0.82,9.2,3.4,1.6,54.4,2.234,14.6,4.6,3.6,19.4,29.8,1.0,0.152,0.412,0.151,0.478
9881,2020-11-07T17:05:00.000Z,6266,Benevento,3,0,False,62,1.13,12,6,3,0,473 (84%),19,4,38,0.24,3,1,0,0,259 (78%),13,2,,4,2,1,9,3,,2,0,1,3,0,0.87,0.26,1.13,1.98,0.24,0.00,0.24,0.18,560,256,217,61 (65%),6 (40%),20,18.0,3,334,189,70,17 (34%),1 (11%),18,10.0,6,,12,12,0,11,1,,12,10,2,11,3,,60,41 (53%),19 (54%),16 (84%),,52,36 (47%),16 (46%),7 (50%),,3,0,,3,0,3,1.4,2.2,47.6,0.682,10.0,3.0,1.0,52.4,2.372,12.6,4.2,3.8,19.6,28.0,1.0,0.14,0.467,0.175,0.524
9881,2020-11-21T17:00:00.000Z,8524,Atalanta,0,0,True,55,0.43,9,2,0,0,438 (77%),19,1,45,2.11,11,4,5,5,347 (76%),18,2,,3,4,1,5,4,,4,3,1,8,3,0.43,0.00,0.43,0.17,2.06,0.04,2.11,1.26,570,254,184,50 (50%),0 (0%),20,23.0,2,459,163,184,27 (38%),1 (8%),20,25.0,5,,20,10,3,22,4,,9,26,3,13,2,,64,53 (58%),11 (31%),14 (88%),,62,38 (42%),24 (69%),11 (55%),,3,0,,3,0,1,1.6,2.2,49.6,0.744,11.6,3.8,1.2,50.4,2.05,10.6,3.8,3.2,21.0,24.2,1.0,0.138,0.421,0.208,0.579
9881,2020-11-29T17:00:00.000Z,8529,Cagliari,2,2,False,61,2.50,15,5,4,2,426 (80%),18,5,39,1.89,12,5,2,2,238 (72%),16,4,,10,0,0,11,4,,5,2,0,9,3,1.37,0.35,1.72,2.09,1.50,0.38,1.89,1.06,530,245,181,44 (53%),8 (50%),18,39.0,6,330,142,96,31 (47%),2 (13%),29,24.0,1,,20,20,2,15,3,,12,17,0,19,3,,58,44 (49%),14 (50%),10 (77%),,59,45 (51%),14 (50%),16 (57%),,4,0,,0,0,1,1.6,1.6,53.0,0.796,12.6,3.8,1.2,47.0,1.94,9.4,3.6,3.6,22.8,22.8,1.2,0.127,0.421,0.17,0.444
9881,2020-12-05T14:00:00.000Z,8543,Lazio,1,2,True,65,1.50,15,4,3,3,563 (87%),15,7,35,0.50,4,2,1,0,261 (76%),12,0,,8,3,2,10,5,,1,1,0,3,1,1.22,0.28,1.50,1.49,0.37,0.13,0.50,0.41,644,287,276,37 (61%),2 (11%),16,29.0,1,343,177,84,29 (52%),1 (25%),13,5.0,4,,13,7,1,8,0,,16,10,3,18,3,,50,37 (49%),13 (48%),12 (60%),,52,38 (51%),14 (52%),8 (57%),,3,0,,1,0,0,1.6,1.6,54.8,1.116,13.2,4.4,1.6,45.2,2.108,10.0,4.0,3.6,27.2,23.4,1.2,0.121,0.364,0.16,0.4
