team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9910,2020-09-12T14:00:00.000Z,8372,Eibar,0,0,False,50,0.65,6,3,2,2,192 (57%),13,3,50,0.43,8,1,0,0,182 (55%),17,3,,3,0,0,6,0,,5,2,0,4,4,0.38,0.27,0.65,0.36,0.24,0.19,0.43,0.16,338,90,102,25 (28%),1 (10%),38,5,331,74,108,36 (41%),2 (11%),38,0,,15,13,1,30,1,,15,5,0,14,3,,64,38 (54%),26 (38%),10 (67%),,76,33 (46%),43 (62%),5 (45%),,4,0,,2,1,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9910,2020-09-19T19:00:00.000Z,10267,Valencia,2,1,True,51,1.99,23,6,2,1,351 (82%),12,6,49,0.50,9,3,0,0,326 (81%),13,6,,10,7,2,14,9,,4,2,0,5,4,1.65,0.34,1.99,3.30,0.24,0.26,0.50,0.97,430,195,156,20 (39%),6 (35%),16,2,401,145,181,40 (56%),4 (15%),14,0,,10,13,2,22,2,,15,14,7,14,4,,42,33 (50%),9 (35%),11 (73%),,50,33 (50%),17 (65%),7 (50%),,3,0,,1,0,,,3,0.0,0.0,50.0,0.65,6.0,3.0,2.0,50.0,0.43,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9910,2020-09-27T16:30:00.000Z,10281,Real Valladolid,1,1,False,46,1.25,5,1,2,1,229 (71%),17,1,54,1.52,10,4,2,1,261 (74%),26,4,,3,1,0,3,2,,5,1,1,6,4,1.21,0.05,1.25,0.76,0.47,0.26,0.73,1.67,321,133,96,19 (32%),0 (0%),24,2,352,111,150,32 (47%),4 (14%),32,2,,20,18,1,32,3,,17,13,1,8,0,,76,55 (56%),21 (68%),11 (50%),,54,44 (44%),10 (32%),13 (59%),,4,0,,3,0,7.0,17.0,1,1.0,0.5,50.5,1.32,14.5,4.5,2.0,49.5,0.465,8.5,2.0,0.0,0.0,0.0,2.0,0.069,0.222,0.059,0.25
9910,2020-10-01T19:30:00.000Z,8634,Barcelona,0,3,True,44,0.52,10,3,0,0,345 (81%),22,3,56,0.66,7,4,1,1,477 (86%),10,7,,2,5,1,6,4,,2,1,1,4,3,0.36,0.16,0.52,0.26,0.59,0.06,0.66,0.65,425,154,191,13 (42%),3 (19%),15,1,557,192,285,26 (46%),1 (9%),17,2,,12,13,1,11,2,,10,10,5,15,3,,38,32 (43%),6 (55%),10 (63%),,48,43 (57%),5 (45%),11 (73%),,5,0,,3,1,21.0,20.0,0,1.0,0.667,49.0,1.297,11.333,3.333,2.0,51.0,0.817,9.0,2.667,0.667,2.333,5.667,1.667,0.088,0.3,0.074,0.25
9910,2020-10-04T10:00:00.000Z,8371,Osasuna,0,2,False,61,0.50,9,3,0,0,375 (79%),10,5,39,1.27,13,5,2,1,202 (69%),19,6,,5,1,0,4,5,,8,0,0,8,5,0.33,0.16,0.50,0.24,1.14,0.13,1.27,1.53,477,188,187,28 (44%),2 (13%),25,3,291,77,125,36 (50%),4 (14%),26,2,,19,11,1,21,2,,17,16,1,12,3,,70,48 (59%),22 (56%),13 (59%),,50,33 (41%),17 (44%),6 (55%),,3,0,,3,0,21.0,23.0,0,0.75,1.25,47.75,1.103,11.0,3.25,1.5,52.25,0.777,8.5,3.0,0.75,7.0,9.25,1.25,0.068,0.231,0.147,0.417
9910,2020-10-17T14:00:00.000Z,9906,Atletico Madrid,0,2,True,52,1.94,15,5,3,3,384 (80%),16,8,48,1.41,9,4,3,1,361 (80%),18,4,,8,2,1,13,2,,4,1,2,7,2,1.17,0.77,1.94,1.18,1.26,0.15,1.41,2.10,483,189,195,25 (52%),7 (41%),7,1,451,162,199,36 (50%),2 (20%),23,0,,14,7,1,9,2,,8,14,2,9,5,,57,44 (63%),13 (50%),12 (75%),,39,26 (37%),13 (50%),3 (33%),,3,0,,4,0,28.0,16.0,0,0.6,1.4,50.4,0.982,10.6,3.2,1.2,49.6,0.876,9.4,3.4,1.0,9.8,12.0,1.0,0.057,0.187,0.149,0.412
9910,2020-10-26T20:00:00.000Z,8581,Levante,1,1,False,41,0.84,11,3,1,0,247 (70%),19,2,59,1.25,10,3,2,1,407 (81%),11,3,,3,5,0,6,5,,4,3,0,4,6,0.78,0.06,0.84,0.53,0.40,0.06,0.46,1.09,351,120,127,24 (41%),2 (13%),27,0,505,196,211,37 (58%),2 (13%),20,5,,17,20,3,19,2,,17,20,5,15,2,,45,34 (43%),11 (58%),7 (41%),,54,46 (58%),8 (42%),12 (71%),,2,0,,2,0,10.0,28.0,1,0.6,1.8,50.8,1.24,12.4,3.6,1.4,49.2,1.072,9.6,4.0,1.6,15.4,15.2,0.8,0.048,0.167,0.188,0.45
9910,2020-11-01T15:00:00.000Z,8560,Real Sociedad,1,4,True,46,1.60,9,2,3,2,311 (77%),19,2,54,2.05,9,7,4,1,390 (82%),16,3,,5,2,0,7,2,,1,1,1,7,2,0.57,0.24,0.81,1.03,1.83,0.22,2.05,3.05,402,195,116,25 (50%),2 (33%),19,2,474,240,150,33 (51%),5 (36%),23,2,,18,10,1,7,3,,17,17,2,6,1,,50,42 (49%),8 (42%),11 (48%),,54,43 (51%),11 (58%),7 (50%),,0,1,,5,0,18.0,16.0,0,0.4,1.8,48.8,1.01,10.0,3.0,1.2,51.2,1.222,9.8,4.0,2.0,17.4,20.8,0.4,0.04,0.133,0.184,0.45
9910,2020-11-06T20:00:00.000Z,10268,Elche,1,1,False,49,2.08,14,6,5,5,384 (84%),12,3,51,1.54,8,1,2,1,393 (84%),18,3,,7,1,0,8,6,,5,2,0,7,1,1.93,0.15,2.08,2.26,0.22,0.53,0.75,0.95,458,211,173,17 (39%),2 (22%),20,3,467,241,152,33 (53%),7 (26%),21,0,,19,11,1,15,0,,11,13,1,5,5,,59,47 (57%),12 (50%),10 (67%),,47,35 (43%),12 (50%),13 (68%),,5,0,,3,0,16.0,16.0,1,0.4,2.4,48.8,1.08,10.8,3.2,1.4,51.2,1.328,9.6,4.6,2.4,19.6,20.6,0.2,0.037,0.125,0.25,0.522
9910,2020-11-21T17:30:00.000Z,8302,Sevilla,2,4,False,43,2.08,10,7,4,3,306 (79%),20,2,57,2.62,15,10,5,2,429 (85%),14,3,,2,1,0,8,2,,4,1,0,12,3,2.08,0.00,2.08,2.91,1.91,0.71,2.62,3.56,387,177,129,28 (58%),0 (0%),20,1,502,191,238,63 (75%),9 (31%),26,2,,9,6,1,23,6,,9,9,1,9,5,,47,28 (38%),19 (49%),7 (54%),,65,45 (62%),20 (51%),16 (80%),,2,0,,2,0,11.0,30.0,0,0.6,2.0,49.8,1.392,11.6,3.8,2.4,50.2,1.504,9.8,4.0,2.6,18.6,19.8,0.4,0.052,0.158,0.204,0.5
