team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9866,2020-09-13T12:00:00.000Z,8603,Real Betis,0,1,True,42,1.23,7,2,1,1,223 (75%),19,6,58,0.45,11,4,1,1,336 (79%),17,4,,3,2,0,6,1,,5,2,2,4,7,0.00,1.23,1.23,1.09,0.24,0.21,0.45,0.29,299,131,92,30 (53%),5 (36%),26,8,428,149,187,30 (44%),4 (33%),23,3,,12,14,2,10,3,,15,7,2,9,2,,57,33 (46%),24 (75%),5 (31%),,47,39 (54%),8 (25%),7 (78%),,3,0,,3,0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9866,2020-09-20T16:30:00.000Z,7878,Granada,1,2,False,44,0.67,5,3,1,1,197 (68%),12,4,56,2.24,10,3,5,3,280 (76%),9,4,,0,2,0,2,3,,5,2,0,8,2,0.59,0.08,0.67,0.99,1.79,0.45,2.24,2.65,289,87,110,31 (42%),4 (21%),25,0,369,134,146,25 (40%),6 (26%),27,5,,18,8,2,16,1,,17,6,2,18,2,,49,29 (45%),20 (48%),4 (29%),,58,36 (55%),22 (52%),9 (64%),,3,0,,0,0,,,0,0.0,1.0,42.0,1.23,7.0,2.0,1.0,58.0,0.45,11.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.091,0.25
9866,2020-09-26T11:00:00.000Z,8305,Getafe,0,0,True,47,1.32,9,0,3,3,174 (54%),13,1,53,1.14,11,4,1,1,230 (65%),13,5,,8,1,0,5,4,,6,1,0,8,3,1.21,0.11,1.32,0.00,1.07,0.07,1.14,0.43,320,72,102,42 (44%),6 (50%),30,2,352,101,129,30 (31%),9 (39%),31,3,,18,12,1,16,4,,18,9,1,24,0,,66,30 (44%),36 (62%),1 (13%),,60,38 (56%),22 (38%),9 (50%),,2,0,,2,0,,,1,0.5,1.5,43.0,0.95,6.0,2.5,1.0,57.0,1.345,10.5,3.5,3.0,0.0,0.0,0.0,0.083,0.2,0.143,0.429
9866,2020-09-30T17:00:00.000Z,10205,Villarreal,1,3,False,41,1.14,8,3,3,2,286 (76%),13,0,59,2.33,10,6,5,2,458 (83%),11,2,,5,0,0,7,1,,4,0,1,7,3,1.14,0.00,1.14,0.70,1.51,0.04,1.55,3.20,377,159,127,34 (57%),5 (33%),21,2,549,288,170,34 (47%),4 (29%),24,4,,14,16,1,18,2,,15,19,0,10,2,,50,29 (40%),21 (70%),5 (36%),,53,44 (60%),9 (30%),16 (67%),,2,0,,0,0,14.0,17.0,0,0.333,1.0,44.333,1.073,7.0,1.667,1.667,55.667,1.277,10.667,3.667,2.333,0.0,0.0,0.333,0.048,0.2,0.094,0.273
9866,2020-10-04T12:00:00.000Z,8315,Athletic Club,1,0,True,41,0.62,8,3,1,1,197 (66%),20,0,59,0.56,8,0,1,1,317 (73%),17,6,,4,1,0,6,2,,7,1,0,5,3,0.53,0.09,0.62,0.55,0.47,0.09,0.56,0.00,299,89,108,27 (39%),9 (50%),20,2,432,171,146,43 (52%),4 (15%),29,3,,7,13,1,32,0,,13,10,1,13,2,,59,35 (49%),24 (46%),14 (70%),,65,37 (51%),28 (54%),7 (70%),,0,1,,3,0,22.0,20.0,3,0.5,1.5,43.5,1.09,7.25,2.0,2.0,56.5,1.54,10.5,4.25,3.0,3.5,4.25,0.25,0.069,0.25,0.143,0.353
9866,2020-10-18T16:30:00.000Z,10268,Elche,0,2,True,47,1.74,13,2,3,3,327 (84%),11,2,53,0.76,7,3,1,0,382 (82%),11,6,,7,4,0,9,4,,1,3,1,5,2,1.65,0.09,1.74,0.44,0.74,0.02,0.76,1.19,390,165,162,30 (61%),3 (11%),19,4,465,281,101,38 (63%),1 (7%),14,4,,15,18,2,14,1,,14,11,4,14,2,,50,37 (56%),13 (57%),11 (61%),,39,29 (44%),10 (43%),9 (69%),,2,0,,5,0,24.0,11.0,0,0.6,1.2,43.0,0.996,7.4,2.2,1.8,57.0,1.344,10.0,3.4,2.6,7.2,7.4,0.8,0.081,0.273,0.12,0.353
9866,2020-10-25T13:00:00.000Z,10281,Real Valladolid,2,0,False,56,2.61,14,4,3,1,344 (79%),7,4,44,0.33,5,1,0,0,244 (71%),9,2,,8,2,1,12,2,,3,1,0,5,0,1.54,0.28,1.82,1.88,0.24,0.09,0.33,0.26,437,174,170,35 (52%),6 (29%),23,3,344,114,130,27 (41%),3 (20%),34,4,,12,12,1,13,1,,16,11,3,16,1,,55,29 (53%),26 (63%),8 (62%),,41,26 (47%),15 (37%),3 (38%),,0,0,,1,1,24.0,11.0,3,0.6,1.4,44.0,1.098,8.6,2.2,2.2,56.0,1.406,9.2,3.2,2.6,12.0,9.6,0.8,0.07,0.273,0.152,0.437
9866,2020-10-31T20:00:00.000Z,8634,Barcelona,1,1,True,21,1.16,4,3,1,0,138 (65%),16,2,79,1.95,25,9,2,1,745 (90%),4,14,,1,0,0,3,1,,8,8,0,15,10,1.12,0.05,1.16,1.26,1.40,0.55,1.95,0.90,213,84,54,24 (45%),1 (14%),15,1,830,232,513,19 (76%),2 (14%),24,3,,27,21,9,28,7,,18,4,0,6,2,,45,35 (39%),10 (59%),4 (29%),,61,54 (61%),7 (41%),21 (55%),,2,1,,3,0,6.0,60.0,1,0.8,1.0,46.4,1.486,10.4,2.4,2.6,53.6,1.024,8.2,2.8,1.6,16.8,11.8,1.4,0.077,0.333,0.122,0.357
9866,2020-11-08T17:30:00.000Z,8581,Levante,1,1,False,28,0.77,6,2,2,1,144 (67%),16,1,72,2.11,17,5,3,3,443 (83%),12,12,,1,3,0,6,0,,8,4,1,11,6,0.62,0.14,0.77,0.54,1.90,0.21,2.11,0.77,215,71,73,35 (52%),1 (20%),16,1,531,147,296,39 (75%),6 (19%),23,6,,18,19,4,33,4,,16,18,3,5,1,,56,36 (47%),20 (63%),7 (64%),,53,41 (53%),12 (38%),10 (50%),,4,1,,1,0,11.0,50.0,1,1.0,1.2,41.2,1.454,9.4,3.0,2.2,58.8,1.186,11.0,3.8,1.8,18.0,23.8,1.4,0.106,0.333,0.109,0.316
9866,2020-11-22T20:00:00.000Z,10267,Valencia,2,2,True,34,1.72,13,3,2,1,171 (68%),21,4,66,1.87,13,5,5,3,415 (84%),16,5,,0,10,0,9,4,,7,1,0,9,4,0.51,0.43,0.94,1.54,1.62,0.25,1.87,1.70,250,79,92,16 (31%),4 (27%),12,3,492,207,208,44 (66%),3 (18%),20,1,,9,11,1,18,3,,7,4,8,13,1,,42,29 (47%),13 (54%),5 (63%),,44,33 (53%),11 (46%),8 (57%),,1,0,,1,0,21.0,25.0,1,1.0,0.8,38.6,1.38,9.0,2.8,2.0,61.4,1.142,12.4,3.6,1.4,17.4,30.4,1.6,0.111,0.357,0.065,0.222
