team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8372,2020-09-12T14:00:00.000Z,9910,Celta Vigo,0,0,True,50,0.43,8,1,0,0,182 (55%),17,3,50,0.65,6,3,2,2,192 (57%),13,3,,5,2,0,4,4,,3,0,0,6,0,0.24,0.19,0.43,0.16,0.38,0.27,0.65,0.36,331,74,108,36 (41%),2 (11%),38,0,338,90,102,25 (28%),1 (10%),38,5,,15,5,0,14,3,,15,13,1,30,1,,76,33 (46%),43 (62%),5 (45%),,64,38 (54%),26 (38%),10 (67%),,2,1,,4,0,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8372,2020-09-19T14:00:00.000Z,10205,Villarreal,1,2,False,42,1.54,12,4,2,1,216 (71%),12,3,58,2.94,14,8,6,5,339 (78%),5,4,,6,2,0,7,5,,6,0,0,12,2,1.54,0.00,1.54,1.70,2.24,0.70,2.94,2.99,305,87,129,36 (47%),4 (17%),19,5,434,216,123,36 (50%),9 (60%),24,9,,19,11,1,12,5,,12,10,2,21,3,,52,35 (50%),17 (44%),11 (58%),,57,35 (50%),22 (56%),11 (61%),,1,0,,1,0,,,0,0.0,0.0,50.0,0.43,8.0,1.0,0.0,50.0,0.65,6.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8372,2020-09-27T12:00:00.000Z,8315,Athletic Club,1,2,True,49,0.62,7,1,1,1,205 (63%),15,5,51,0.59,9,5,0,0,222 (63%),12,4,,6,0,0,3,4,,3,1,0,7,2,0.49,0.13,0.62,0.32,0.43,0.16,0.59,2.35,328,94,111,32 (40%),6 (23%),30,5,355,111,111,47 (44%),1 (7%),25,4,,13,16,1,23,3,,10,7,0,23,0,,62,29 (52%),33 (42%),5 (83%),,72,27 (48%),45 (58%),6 (60%),,1,0,,1,0,7.0,20.0,0,0.5,1.0,46.0,0.985,10.0,2.5,1.0,54.0,1.795,10.0,5.5,4.0,0.0,0.0,0.5,0.05,0.2,0.1,0.182
8372,2020-09-30T19:30:00.000Z,10268,Elche,0,1,True,61,1.25,12,4,1,1,418 (83%),9,3,39,0.35,5,2,0,0,220 (66%),14,2,,7,1,0,6,6,,1,2,0,5,0,0.34,0.12,0.46,0.42,0.22,0.14,0.35,0.74,504,172,246,55 (61%),5 (12%),34,0,331,138,82,37 (41%),2 (22%),27,1,,17,26,2,6,1,,14,15,1,26,4,,57,39 (52%),18 (49%),9 (64%),,55,36 (48%),19 (51%),14 (61%),,2,0,,2,0,15.0,11.0,0,0.667,1.333,47.0,0.863,9.0,2.0,1.0,53.0,1.393,9.667,5.333,2.667,2.333,6.667,0.333,0.074,0.334,0.138,0.25
8372,2020-10-03T11:00:00.000Z,10281,Real Valladolid,2,1,False,47,1.71,11,5,2,0,195 (65%),21,4,53,1.14,9,3,1,1,238 (69%),11,3,,5,1,0,5,6,,4,2,0,6,3,0.66,0.25,0.92,2.68,0.23,0.11,0.35,1.58,302,93,102,25 (35%),4 (21%),24,1,347,131,107,28 (33%),5 (29%),23,3,,19,8,2,14,2,,15,8,1,16,3,,59,36 (49%),23 (66%),9 (69%),,50,38 (51%),12 (34%),6 (60%),,3,1,,2,0,18.0,17.0,3,0.5,1.25,50.5,0.96,9.75,2.5,1.0,49.5,1.133,8.5,4.5,2.0,5.5,7.75,0.25,0.051,0.2,0.147,0.278
8372,2020-10-18T10:00:00.000Z,8371,Osasuna,0,0,True,53,0.35,10,6,0,0,227 (63%),14,6,47,1.04,8,2,3,3,196 (60%),14,7,,1,3,1,5,5,,4,2,0,6,2,0.25,0.10,0.35,0.87,0.75,0.29,1.04,0.58,358,83,144,30 (33%),0 (0%),26,1,327,86,110,37 (44%),4 (17%),33,2,,9,7,2,26,3,,21,10,3,25,6,,66,36 (46%),30 (40%),13 (81%),,87,42 (54%),45 (60%),8 (73%),,2,0,,1,1,9.0,23.0,1,0.8,1.2,49.8,1.11,10.0,3.0,1.2,50.2,1.134,8.6,4.2,1.8,8.0,9.6,0.8,0.08,0.267,0.14,0.286
8372,2020-10-24T16:30:00.000Z,8302,Sevilla,1,0,False,28,0.22,3,1,0,0,179 (69%),12,3,72,1.87,21,3,2,2,561 (86%),11,13,,1,1,0,2,1,,14,4,0,13,8,0.22,0.00,0.22,0.15,0.83,1.04,1.87,0.26,261,81,98,24 (39%),5 (31%),16,0,652,340,221,47 (63%),10 (24%),37,2,,13,23,4,33,3,,17,11,1,11,0,,61,32 (43%),29 (71%),8 (50%),,54,42 (57%),12 (29%),14 (82%),,3,0,,0,0,8.0,29.0,3,0.8,1.2,50.4,1.094,10.4,4.0,1.2,49.6,1.212,9.0,4.0,2.0,9.8,14.2,0.8,0.077,0.2,0.133,0.3
8372,2020-10-30T20:00:00.000Z,8385,Cadiz,0,2,True,73,0.55,9,3,1,1,519 (81%),10,7,27,0.99,6,4,2,0,110 (46%),10,2,,5,1,0,6,3,,2,0,0,3,3,0.48,0.08,0.55,0.64,0.84,0.15,0.99,1.71,639,240,279,58 (59%),8 (22%),33,2,241,53,57,34 (32%),3 (33%),27,2,,13,10,0,11,2,,16,13,1,31,3,,58,28 (52%),30 (55%),7 (44%),,51,26 (48%),25 (45%),1 (11%),,1,0,,1,0,16.0,11.0,0,0.8,0.8,47.6,0.83,8.6,3.4,0.8,52.4,0.998,10.4,3.0,1.2,11.4,20.0,1.4,0.093,0.235,0.077,0.267
8372,2020-11-07T13:00:00.000Z,96925,SD Huesca,1,1,False,42,0.88,8,3,1,0,242 (71%),30,3,58,2.26,14,6,6,5,368 (78%),16,4,,4,1,0,2,6,,8,0,1,13,1,0.22,0.67,0.88,1.13,2.16,0.10,2.26,1.74,343,111,131,35 (41%),3 (18%),26,0,473,265,103,17 (27%),7 (25%),31,6,,11,16,1,26,4,,11,10,1,21,2,,41,26 (37%),15 (41%),2 (29%),,67,45 (63%),22 (59%),7 (64%),,0,0,,2,0,7.0,17.0,1,0.6,0.8,52.4,0.816,9.0,3.8,0.8,47.6,1.078,9.8,2.8,1.6,13.2,18.2,1.4,0.067,0.158,0.082,0.286
8372,2020-11-22T13:00:00.000Z,8305,Getafe,0,0,True,52,1.30,14,5,4,4,180 (59%),16,3,48,0.39,8,3,0,0,157 (54%),22,4,,8,1,2,8,6,,4,1,0,5,3,0.81,0.49,1.30,1.31,0.34,0.05,0.39,0.25,307,82,98,39 (39%),5 (23%),22,2,291,52,105,31 (36%),1 (5%),30,2,,9,16,1,15,3,,8,12,2,17,4,,77,45 (63%),32 (54%),18 (78%),,54,27 (38%),27 (46%),5 (63%),,1,1,,4,0,16.0,14.0,1,0.8,0.8,48.6,0.742,8.2,3.6,0.8,51.4,1.46,11.6,3.6,2.8,11.6,19.4,1.6,0.098,0.222,0.069,0.222
8372,2020-11-30T20:00:00.000Z,8603,Real Betis,2,0,False,37,2.95,11,6,5,3,171 (57%),14,2,63,0.71,7,3,1,1,392 (74%),13,6,,5,0,0,7,4,,2,2,0,4,3,0.52,0.86,1.37,3.30,0.55,0.17,0.71,0.84,300,85,86,23 (28%),5 (26%),21,4,529,240,152,43 (52%),4 (33%),33,4,,15,11,2,22,3,,13,14,0,15,4,,65,39 (58%),26 (40%),11 (73%),,67,28 (42%),39 (60%),3 (38%),,1,0,,2,0,19.0,15.0,3,0.4,0.6,49.6,0.66,8.8,3.6,1.2,50.4,1.31,11.4,3.6,2.6,11.2,18.8,1.2,0.045,0.111,0.053,0.167
8372,2020-12-07T20:00:00.000Z,10267,Valencia,0,0,True,64,1.31,19,3,0,0,343 (75%),15,8,36,0.55,6,4,2,2,127 (47%),10,0,,12,4,2,14,5,,2,0,1,3,3,0.83,0.48,1.31,0.31,0.36,0.19,0.55,0.34,456,143,200,51 (52%),12 (36%),29,0,269,53,74,25 (28%),4 (44%),28,5,,12,12,0,12,4,,8,6,4,23,3,,49,26 (53%),23 (40%),5 (50%),,58,23 (47%),35 (60%),3 (60%),,3,0,,2,0,34.0,9.0,1,0.8,0.6,46.4,1.18,9.0,3.6,2.2,53.6,1.244,11.2,3.8,2.2,13.2,17.2,1.6,0.089,0.222,0.054,0.158
8372,2020-12-13T13:00:00.000Z,8560,Real Sociedad,1,1,False,51,1.66,16,4,2,1,246 (73%),11,4,49,1.17,8,2,3,3,233 (68%),14,5,,7,5,0,9,7,,4,2,1,5,3,1.55,0.12,1.66,1.29,1.01,0.16,1.17,0.15,339,100,146,43 (51%),7 (23%),30,5,344,174,59,29 (40%),1 (8%),25,4,,11,17,2,11,1,,14,9,5,35,3,,51,28 (51%),23 (50%),6 (60%),,50,27 (49%),23 (50%),3 (50%),,3,0,,4,0,27.0,14.0,1,0.6,0.6,53.6,1.398,12.2,4.0,2.2,46.4,0.98,8.2,4.0,2.2,18.4,13.2,1.2,0.049,0.15,0.073,0.15
8372,2020-12-20T20:00:00.000Z,8633,Real Madrid,1,3,True,34,0.68,10,3,1,1,220 (72%),11,4,66,2.16,11,5,5,3,545 (84%),7,4,,6,1,1,4,6,,3,3,0,6,5,0.63,0.05,0.68,0.84,1.97,0.19,2.16,1.40,307,112,108,31 (42%),3 (11%),18,2,651,348,197,50 (55%),2 (20%),20,5,,8,15,4,11,1,,9,13,1,18,2,,37,26 (43%),11 (38%),11 (79%),,52,34 (57%),18 (62%),15 (94%),,1,0,,0,0,9.0,24.0,0,0.8,0.4,49.2,1.62,13.6,4.2,2.4,50.8,1.016,8.6,3.6,2.4,20.6,13.8,1.4,0.059,0.19,0.047,0.111
8372,2020-12-23T21:00:00.000Z,9866,Deportivo Alaves,1,2,False,56,0.97,8,4,2,2,286 (70%),14,7,44,1.91,13,3,3,1,190 (60%),10,2,,3,1,0,5,3,,7,3,1,9,4,0.63,0.34,0.97,0.54,1.76,0.15,1.91,1.34,407,127,159,51 (46%),5 (24%),34,3,319,93,97,46 (52%),9 (50%),27,4,,8,11,3,12,1,,7,11,1,14,3,,47,28 (44%),19 (33%),11 (73%),,74,36 (56%),38 (67%),16 (89%),,2,0,,4,0,10.0,24.0,0,0.8,0.8,47.6,1.58,14.0,4.2,2.4,52.4,0.996,8.0,3.4,2.2,21.0,15.2,1.2,0.057,0.19,0.1,0.235
8372,2020-12-29T18:15:00.000Z,8634,Barcelona,1,1,False,27,0.57,9,3,1,0,141 (62%),15,7,73,2.17,16,5,3,2,580 (88%),6,5,,2,4,0,3,6,,9,2,0,11,5,0.38,0.19,0.57,0.72,1.19,0.19,1.38,1.10,229,43,98,25 (38%),3 (13%),23,0,660,348,232,32 (62%),9 (50%),25,6,,19,9,2,11,4,,17,7,4,21,2,,39,29 (40%),10 (29%),5 (45%),,68,44 (60%),24 (71%),12 (67%),,2,0,,0,0,15.0,35.0,1,1.0,1.2,48.4,1.514,12.8,4.0,2.0,51.6,1.3,9.0,3.4,2.8,19.8,17.2,1.0,0.078,0.25,0.133,0.353
8372,2021-01-03T17:30:00.000Z,7878,Granada,2,0,True,56,1.88,15,7,3,2,210 (61%),10,4,44,0.92,6,3,2,2,139 (49%),9,2,,1,7,1,9,6,,2,1,0,5,1,1.02,0.07,1.09,2.30,0.85,0.07,0.92,1.31,343,63,147,38 (38%),2 (6%),45,3,284,57,82,30 (33%),3 (23%),38,3,,10,9,1,18,3,,21,9,7,39,5,,66,24 (39%),42 (49%),7 (39%),,81,38 (61%),43 (51%),8 (57%),,2,0,,1,0,17.0,14.0,3,0.8,1.4,46.4,1.038,12.4,3.4,1.2,53.6,1.592,10.8,3.8,3.2,19.0,21.2,0.6,0.065,0.235,0.13,0.368
8372,2021-01-10T13:00:00.000Z,8581,Levante,1,2,False,46,1.14,17,4,2,1,240 (70%),8,9,54,0.98,4,2,2,0,291 (71%),12,4,,8,5,0,12,5,,1,1,0,2,2,0.59,0.55,1.14,0.49,0.98,0.00,0.98,1.37,341,69,171,35 (42%),8 (32%),30,1,408,215,76,30 (39%),1 (7%),25,4,,19,11,1,18,0,,16,13,5,34,3,,50,32 (51%),18 (43%),3 (23%),,55,31 (49%),24 (57%),9 (56%),,0,0,,2,0,28.0,14.0,0,1.2,1.4,44.8,1.152,11.6,4.2,1.8,55.2,1.666,10.8,3.6,3.2,15.6,22.2,1.0,0.103,0.286,0.13,0.389
8372,2021-01-21T20:30:00.000Z,9906,Atletico Madrid,1,2,True,35,1.49,12,2,1,0,150 (56%),24,3,65,1.24,9,4,1,0,401 (78%),9,3,,9,1,0,6,6,,2,3,1,7,2,0.47,0.23,0.70,1.06,0.33,0.12,0.45,1.89,266,51,99,24 (34%),6 (23%),32,0,517,281,120,34 (42%),0 (0%),28,2,,17,7,3,17,2,,16,15,1,27,1,,48,25 (36%),23 (51%),0 (0%),,67,45 (64%),22 (49%),8 (89%),,3,0,,2,0,15.0,23.0,0,1.2,1.6,43.8,1.048,11.8,4.2,1.8,56.2,1.628,10.0,3.6,3.0,15.8,22.2,0.8,0.102,0.286,0.16,0.444
8372,2021-01-24T17:30:00.000Z,9910,Celta Vigo,1,1,False,44,0.89,9,2,1,0,258 (71%),16,6,56,1.57,8,4,3,2,372 (77%),10,0,,4,3,0,7,2,,3,1,1,8,0,0.54,0.35,0.89,0.90,1.51,0.07,1.57,1.30,364,118,140,41 (50%),4 (17%),26,1,483,240,132,39 (43%),4 (36%),28,2,,15,16,1,10,3,,20,6,3,25,1,,61,33 (46%),28 (52%),9 (60%),,64,38 (54%),26 (48%),5 (56%),,3,0,,4,0,9.0,14.0,1,1.2,1.4,44.0,1.21,12.2,4.0,1.8,56.0,1.444,9.6,3.4,2.2,17.0,22.0,0.8,0.098,0.3,0.146,0.412
8372,2021-01-30T13:00:00.000Z,8302,Sevilla,0,2,True,50,0.90,17,6,1,1,331 (77%),10,6,50,1.49,7,4,2,0,347 (74%),12,2,,9,2,2,11,6,,3,0,0,4,3,0.46,0.44,0.90,0.87,0.70,0.00,0.70,2.36,432,131,200,41 (48%),7 (21%),16,0,469,231,116,38 (48%),0 (0%),28,5,,7,9,0,4,2,,20,7,2,22,6,,47,31 (46%),16 (38%),14 (70%),,62,36 (54%),26 (62%),8 (80%),,4,0,,3,0,30.0,14.0,0,1.2,1.2,41.6,1.194,12.4,3.6,1.6,58.4,1.376,8.6,3.6,2.2,16.8,20.0,1.0,0.097,0.333,0.14,0.333
8372,2021-02-07T17:30:00.000Z,8371,Osasuna,1,2,False,46,1.22,12,3,1,0,252 (68%),11,1,54,1.69,12,4,3,2,311 (69%),10,2,,5,4,0,7,5,,5,3,2,8,4,0.99,0.24,1.22,1.86,0.27,1.42,1.69,1.79,371,108,144,29 (35%),7 (32%),34,1,448,152,159,42 (45%),4 (20%),25,5,,19,11,3,23,2,,15,9,3,18,2,,65,33 (52%),32 (49%),5 (50%),,64,31 (48%),33 (51%),7 (41%),,0,0,,0,0,19.0,18.0,0,1.0,1.4,46.2,1.26,14.0,4.2,1.6,53.8,1.24,6.8,3.4,2.0,19.8,15.8,0.8,0.071,0.238,0.206,0.412
8372,2021-02-13T17:30:00.000Z,10281,Real Valladolid,1,1,True,54,2.50,14,2,3,2,245 (68%),15,7,46,1.03,5,1,1,0,189 (59%),12,3,,7,5,0,11,3,,2,2,0,4,1,1.85,0.65,2.50,0.95,0.19,0.06,0.24,1.00,358,57,188,45 (49%),12 (30%),36,3,322,72,117,31 (33%),2 (12%),28,4,,12,10,2,24,0,,12,12,5,33,1,,75,37 (51%),38 (59%),14 (78%),,61,35 (49%),26 (41%),8 (53%),,2,0,,3,0,38.0,9.0,1,0.8,1.8,44.2,1.128,13.4,3.4,1.2,55.8,1.394,8.0,3.6,2.2,20.2,16.6,0.2,0.06,0.235,0.225,0.5
8372,2021-02-20T13:00:00.000Z,10268,Elche,0,1,False,52,1.77,13,3,3,3,275 (72%),9,4,48,0.42,6,2,0,0,270 (71%),16,1,,8,2,0,11,2,,4,0,0,5,1,1.05,0.71,1.77,0.28,0.22,0.20,0.42,0.64,384,122,153,34 (44%),10 (29%),25,2,382,148,122,48 (45%),3 (33%),17,1,,9,8,0,8,1,,17,12,2,22,3,,54,33 (48%),21 (45%),10 (83%),,62,36 (52%),26 (55%),12 (71%),,1,0,,2,0,26.0,8.0,0,0.8,1.6,45.8,1.4,12.8,3.0,1.4,54.2,1.404,8.2,3.4,2.0,22.2,15.6,0.4,0.062,0.267,0.195,0.471
8372,2021-02-27T13:00:00.000Z,96925,SD Huesca,1,1,True,55,1.60,17,3,2,1,352 (80%),19,6,45,0.52,4,1,1,0,266 (70%),11,2,,11,3,1,12,5,,2,1,0,2,2,1.07,0.53,1.60,0.92,0.52,0.00,0.52,0.90,438,168,184,51 (58%),9 (30%),13,3,379,200,66,23 (29%),2 (22%),27,9,,12,9,1,19,0,,10,13,3,16,2,,51,27 (45%),24 (49%),5 (71%),,58,33 (55%),25 (51%),7 (47%),,2,0,,2,0,23.0,14.0,1,0.6,1.4,49.2,1.456,13.0,3.2,1.8,50.8,1.24,7.6,3.0,1.8,24.4,12.6,0.4,0.046,0.187,0.184,0.467
8372,2021-03-06T17:30:00.000Z,8385,Cadiz,0,1,False,68,1.76,16,1,3,3,389 (77%),11,12,32,1.57,6,2,4,3,137 (56%),7,0,,10,5,0,10,6,,4,0,0,5,1,0.60,0.37,0.97,0.98,1.51,0.06,1.57,0.84,502,155,234,51 (48%),9 (21%),30,2,244,55,82,29 (41%),2 (17%),26,3,,12,4,0,9,1,,12,9,5,30,1,,52,25 (47%),27 (49%),8 (57%),,56,28 (53%),28 (51%),6 (46%),,2,0,,2,0,27.0,7.0,0,0.6,1.4,51.4,1.598,14.6,3.4,2.0,48.6,1.03,6.8,2.4,1.4,27.2,12.6,0.4,0.041,0.176,0.206,0.583
8372,2021-03-14T17:30:00.000Z,10205,Villarreal,1,3,True,60,1.43,16,7,1,1,419 (84%),12,7,40,2.78,13,8,6,3,252 (72%),9,2,,5,4,0,10,6,,3,2,0,11,2,0.48,0.16,0.64,1.54,2.63,0.16,2.78,3.31,500,190,229,50 (65%),5 (13%),23,3,352,141,111,29 (40%),4 (50%),19,3,,17,4,2,14,5,,21,7,4,34,6,,51,34 (49%),17 (52%),10 (71%),,51,35 (51%),16 (48%),4 (40%),,2,0,,2,1,24.0,26.0,0,0.6,1.2,55.0,1.77,14.4,2.4,2.4,45.0,1.046,6.6,2.0,1.8,26.6,11.2,0.4,0.042,0.25,0.182,0.6
8372,2021-03-20T13:00:00.000Z,8315,Athletic Club,1,1,False,44,0.57,4,2,1,0,304 (75%),15,1,56,1.59,18,4,2,2,391 (78%),5,10,,1,1,0,4,0,,8,6,0,11,7,0.57,0.00,0.57,0.85,0.99,0.60,1.59,0.98,406,136,168,41 (51%),3 (25%),20,2,500,206,185,41 (57%),5 (18%),34,1,,13,10,6,22,3,,14,12,1,8,1,,55,26 (43%),29 (56%),9 (56%),,58,35 (57%),23 (44%),6 (46%),,1,0,,1,0,8.0,24.0,1,0.6,1.4,57.8,1.812,15.2,3.2,2.4,42.2,1.264,6.8,2.8,2.4,27.6,12.8,0.4,0.039,0.187,0.206,0.5
8372,2021-04-03T14:15:00.000Z,8633,Real Madrid,0,2,False,36,0.37,10,4,0,0,245 (75%),8,9,64,1.86,21,8,3,1,537 (88%),6,6,,6,0,0,4,6,,6,7,1,10,11,0.24,0.13,0.37,0.37,1.47,0.40,1.86,1.80,327,111,134,31 (48%),5 (16%),22,0,611,325,212,47 (69%),6 (35%),23,4,,14,17,7,9,6,,10,15,0,24,4,,41,26 (49%),15 (44%),7 (64%),,46,27 (51%),19 (56%),9 (82%),,2,0,,0,0,18.0,30.0,0,0.6,1.4,55.8,1.426,13.2,3.2,2.0,44.2,1.376,9.4,3.4,2.6,21.6,15.8,0.4,0.045,0.187,0.149,0.412
8372,2021-04-10T16:30:00.000Z,8581,Levante,0,1,True,53,0.45,10,4,0,0,330 (73%),9,6,47,0.28,6,1,0,0,299 (72%),7,3,,4,2,0,5,5,,3,2,0,4,2,0.34,0.11,0.45,0.54,0.28,0.00,0.28,0.22,449,154,176,45 (45%),5 (19%),20,1,417,194,105,27 (33%),1 (14%),30,5,,15,14,2,7,0,,4,14,2,24,4,,57,30 (55%),27 (59%),9 (82%),,44,25 (45%),19 (41%),12 (63%),,3,0,,2,0,16.0,10.0,0,0.6,1.6,52.6,1.146,12.6,3.4,1.4,47.4,1.664,12.4,4.6,3.2,20.0,20.2,0.4,0.048,0.176,0.129,0.348
8372,2021-04-18T14:15:00.000Z,9906,Atletico Madrid,0,5,False,39,0.00,0,0,0,0,325 (77%),10,3,61,1.93,10,7,3,0,584 (87%),10,8,,0,0,0,0,0,,3,0,0,8,2,0.00,0.00,0.00,0.00,1.31,0.62,1.93,2.96,423,184,141,38 (48%),1 (8%),29,0,671,415,169,47 (68%),3 (21%),22,2,,10,13,0,9,2,,14,10,0,9,0,,37,22 (39%),15 (58%),4 (40%),,46,35 (61%),11 (42%),12 (63%),,1,0,,0,0,5.0,29.0,0,0.4,1.6,52.2,0.916,11.2,3.6,1.0,47.8,1.616,12.8,4.6,3.0,18.6,19.4,0.2,0.036,0.111,0.125,0.348
8372,2021-04-22T19:00:00.000Z,7878,Granada,1,4,False,67,1.73,16,3,3,2,387 (82%),10,7,33,1.45,8,4,4,1,156 (65%),13,4,,11,2,0,11,5,,4,0,0,4,4,1.19,0.53,1.73,1.17,1.07,0.38,1.45,1.91,474,187,200,41 (53%),8 (24%),20,1,240,86,70,25 (41%),1 (9%),37,3,,14,9,0,13,0,,10,6,1,30,2,,58,39 (61%),19 (50%),13 (76%),,44,25 (39%),19 (50%),7 (47%),,1,0,,1,0,20.0,9.0,0,0.4,2.4,46.4,0.564,8.0,3.4,0.4,53.6,1.688,13.6,5.6,2.8,14.2,23.8,0.2,0.05,0.118,0.176,0.429
8372,2021-04-26T19:00:00.000Z,8560,Real Sociedad,0,1,True,53,1.20,14,5,0,0,348 (75%),8,2,47,0.74,5,2,2,1,294 (71%),20,3,,2,7,0,10,4,,1,2,0,4,1,0.51,0.69,1.20,0.74,0.42,0.32,0.74,0.42,462,150,198,55 (57%),7 (29%),29,3,415,199,95,27 (39%),2 (29%),26,1,,14,13,2,6,1,,16,12,7,19,5,,68,40 (57%),28 (61%),10 (71%),,48,30 (43%),18 (39%),6 (55%),,5,0,,1,0,,,0,0.4,2.6,47.8,0.624,8.0,2.6,0.8,52.2,1.422,12.6,4.8,2.4,13.4,20.4,0.2,0.05,0.154,0.206,0.542
8372,2021-05-01T12:00:00.000Z,9866,Deportivo Alaves,3,0,True,45,1.51,15,4,2,0,192 (63%),12,10,55,0.23,6,2,0,0,281 (71%),12,5,,5,6,0,11,4,,4,0,0,3,3,0.94,0.57,1.51,2.49,0.09,0.13,0.23,0.53,303,76,116,30 (39%),8 (29%),26,2,394,167,114,38 (46%),4 (25%),27,0,,18,12,0,14,2,,13,16,6,29,1,,68,38 (54%),30 (49%),9 (69%),,64,33 (46%),31 (51%),9 (50%),,0,0,,2,0,18.0,12.0,3,0.2,2.6,49.6,0.75,10.0,3.2,0.6,50.4,1.252,10.0,4.4,2.4,14.64,20.36,0.0,0.02,0.062,0.26,0.591
8372,2021-05-09T12:00:00.000Z,8305,Getafe,1,0,False,61,1.17,7,3,1,0,268 (68%),11,2,39,0.82,10,2,1,1,131 (52%),11,4,,3,1,0,5,2,,7,1,0,7,3,0.30,0.08,0.38,1.21,0.71,0.11,0.82,0.58,393,115,153,36 (44%),5 (23%),30,5,252,42,89,34 (37%),4 (24%),37,3,,22,14,1,27,2,,6,9,0,12,2,,78,39 (66%),39 (62%),7 (58%),,44,20 (34%),24 (38%),5 (33%),,2,0,,1,0,,,3,0.8,2.2,51.4,0.978,11.0,3.2,1.0,48.6,0.926,7.0,3.2,1.8,14.64,16.76,0.6,0.073,0.25,0.314,0.688
8372,2021-05-13T18:00:00.000Z,8603,Real Betis,1,1,True,64,1.23,14,4,1,0,454 (80%),12,5,36,0.76,9,4,1,1,198 (60%),8,4,,8,2,0,10,4,,3,2,0,3,6,0.86,0.37,1.23,1.41,0.65,0.11,0.76,0.66,570,167,287,43 (54%),7 (19%),33,1,328,116,82,14 (17%),2 (33%),25,0,,12,6,2,6,3,,14,19,2,36,3,,66,31 (45%),35 (61%),11 (73%),,60,38 (55%),22 (39%),13 (72%),,3,0,,1,0,,,1,1.0,2.0,53.0,1.122,10.4,3.0,1.2,47.0,1.034,7.8,3.4,2.0,14.368,18.832,1.2,0.096,0.333,0.256,0.588
