team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
10268,2020-09-26T16:30:00.000Z,8560,Real Sociedad,0,3,True,40,1.04,5,2,2,2,260 (77%),11,2,60,3.33,27,7,3,1,423 (86%),12,11,,2,1,0,2,3,,7,13,1,20,7,1.02,0.02,1.04,1.47,1.79,0.76,2.54,3.55,338,198,62,25 (44%),3 (25%),15,7.0,1,492,173,250,26 (57%),8 (22%),29,47.0,2,,15,10,13,46,4,,15,10,1,11,2,,47,35 (51%),12 (36%),8 (42%),,55,34 (49%),21 (64%),8 (67%),,3,0,,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10268,2020-09-30T19:30:00.000Z,8372,Eibar,1,0,False,39,0.35,5,2,0,0,220 (66%),14,2,61,1.25,12,4,1,1,418 (83%),9,3,,1,2,0,5,0,,7,1,0,6,6,0.22,0.14,0.35,0.74,0.34,0.12,0.46,0.42,331,138,82,37 (41%),2 (22%),27,11.0,1,504,172,246,55 (61%),5 (12%),34,15.0,0,,14,15,1,26,4,,17,26,2,6,1,,55,36 (48%),19 (51%),14 (61%),,57,39 (52%),18 (49%),9 (64%),,2,0,,2,0,3,0.0,3.0,40.0,1.04,5.0,2.0,2.0,60.0,3.33,27.0,7.0,3.0,7.0,47.0,0.0,0.0,0.0,0.111,0.429
10268,2020-10-03T16:30:00.000Z,96925,SD Huesca,0,0,True,51,0.13,2,0,0,0,425 (83%),8,0,49,1.63,18,4,2,2,407 (86%),26,5,,2,0,0,2,0,,10,4,0,12,6,0.13,0.00,0.13,0.00,1.52,0.10,1.63,0.58,511,312,113,33 (46%),1 (14%),19,5.0,3,475,152,255,26 (60%),4 (17%),14,27.0,2,,21,13,4,21,4,,19,13,0,8,0,,70,61 (63%),9 (56%),15 (60%),,43,36 (37%),7 (44%),10 (59%),,0,0,,2,0,1,0.5,1.5,39.5,0.695,5.0,2.0,1.0,60.5,2.29,19.5,5.5,2.0,9.0,31.0,1.5,0.1,0.25,0.077,0.273
10268,2020-10-18T16:30:00.000Z,9866,Deportivo Alaves,2,0,False,53,0.76,7,3,1,0,382 (82%),11,6,47,1.74,13,2,3,3,327 (84%),11,2,,1,3,1,5,2,,7,4,0,9,4,0.74,0.02,0.76,1.19,1.65,0.09,1.74,0.44,465,281,101,38 (63%),1 (7%),14,11.0,4,390,165,162,30 (61%),3 (11%),19,24.0,4,,14,11,4,14,2,,15,18,2,14,1,,39,29 (44%),10 (43%),9 (69%),,50,37 (56%),13 (57%),11 (61%),,5,0,,2,0,3,0.333,1.0,43.333,0.507,4.0,1.333,0.667,56.667,2.07,19.0,5.0,2.0,7.667,29.667,1.333,0.083,0.25,0.053,0.2
10268,2020-10-23T19:00:00.000Z,10267,Valencia,2,1,True,47,0.15,3,2,0,0,377 (83%),15,0,53,1.62,14,4,2,1,445 (86%),8,7,,0,1,0,2,1,,6,4,0,7,7,0.15,0.00,0.15,0.50,1.14,0.49,1.62,1.20,456,257,120,33 (48%),1 (8%),30,3.0,1,515,200,245,18 (44%),3 (18%),17,23.0,4,,23,14,5,17,2,,15,16,1,8,0,,50,38 (49%),12 (67%),7 (44%),,46,40 (51%),6 (33%),10 (45%),,3,0,,1,0,3,0.75,0.75,45.75,0.57,4.75,1.75,0.75,54.25,1.988,17.5,4.25,2.25,8.5,28.25,1.75,0.158,0.429,0.043,0.176
10268,2020-11-01T13:00:00.000Z,8603,Real Betis,1,3,False,40,0.69,4,2,1,1,380 (86%),12,1,60,3.23,17,10,6,3,593 (90%),13,1,,2,0,0,3,1,,5,2,0,12,5,0.67,0.02,0.69,1.03,2.28,0.16,2.44,3.76,440,276,104,19 (46%),0 (0%),17,6.0,4,656,325,268,43 (65%),3 (20%),20,31.0,0,,12,12,2,11,7,,18,17,0,2,1,,43,34 (45%),9 (64%),10 (56%),,47,42 (55%),5 (36%),12 (63%),,1,0,,2,0,0,1.0,0.8,46.0,0.486,4.4,1.8,0.6,54.0,1.914,16.8,4.2,2.2,7.4,27.2,2.0,0.227,0.556,0.048,0.19
10268,2020-11-06T20:00:00.000Z,9910,Celta Vigo,1,1,True,51,1.54,8,1,2,1,393 (84%),18,3,49,2.08,14,6,5,5,384 (84%),12,3,,5,2,0,7,1,,7,1,0,8,6,0.22,0.53,0.75,0.95,1.93,0.15,2.08,2.26,467,241,152,33 (53%),7 (26%),21,16.0,0,458,211,173,17 (39%),2 (22%),20,16.0,3,,11,13,1,5,5,,19,11,1,15,0,,47,35 (43%),12 (50%),13 (68%),,59,47 (57%),12 (50%),10 (67%),,3,0,,5,0,1,1.2,0.8,46.0,0.416,4.2,1.8,0.4,54.0,1.894,14.8,4.8,2.8,7.2,24.0,2.0,0.286,0.667,0.054,0.167
10268,2020-11-21T13:00:00.000Z,8581,Levante,1,1,False,56,0.64,11,5,1,0,411 (85%),11,4,44,0.75,13,5,1,0,298 (82%),15,5,,1,5,0,7,4,,4,4,0,6,7,0.33,0.31,0.64,0.60,0.35,0.41,0.75,1.58,483,287,124,23 (45%),5 (28%),18,11.0,1,365,140,158,16 (44%),4 (24%),23,23.0,0,,25,15,4,14,4,,17,12,5,11,4,,57,50 (57%),7 (50%),10 (63%),,44,37 (43%),7 (50%),9 (47%),,4,0,,1,0,1,1.2,1.0,48.4,0.654,4.8,1.6,0.8,51.6,2.06,15.2,5.2,3.6,8.2,24.2,1.6,0.25,0.75,0.066,0.192
10268,2020-11-28T13:00:00.000Z,8385,Cadiz,1,1,True,47,0.13,4,3,0,0,326 (82%),16,1,53,0.54,6,2,1,0,355 (85%),15,9,,1,0,0,1,3,,2,2,0,4,2,0.05,0.07,0.13,0.81,0.50,0.04,0.54,0.75,400,228,98,30 (54%),3 (60%),12,7.0,1,418,154,201,25 (50%),5 (14%),15,14.0,0,,16,8,2,29,1,,16,13,0,7,2,,62,35 (49%),27 (75%),8 (62%),,46,37 (51%),9 (25%),6 (55%),,4,1,,2,0,1,1.4,1.2,49.4,0.756,6.6,2.6,1.0,50.6,1.884,14.2,5.4,3.4,9.4,23.4,1.6,0.212,0.538,0.085,0.222
10268,2020-12-06T17:30:00.000Z,10205,Villarreal,0,0,False,43,0.07,3,0,0,0,323 (80%),13,0,57,0.59,12,3,0,0,480 (88%),16,4,,2,1,0,0,3,,6,3,1,7,5,0.05,0.02,0.07,0.00,0.51,0.08,0.59,0.49,403,237,86,28 (44%),0 (0%),21,5.0,1,544,164,316,20 (61%),5 (36%),12,22.0,2,,20,10,3,12,3,,9,10,1,6,0,,61,49 (58%),12 (48%),14 (70%),,48,35 (42%),13 (52%),13 (65%),,2,0,,3,0,1,1.2,1.4,48.2,0.63,6.0,2.6,0.8,51.8,1.644,12.8,5.4,3.0,8.6,21.4,1.2,0.2,0.462,0.109,0.259
