team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against
161750,2021-08-14T20:00:00.000Z,8005,Ponferradina,0,1,False,51,11,3,1,1,277 (73%),12,7,49,6,2,2,1,278 (73%),13,3,,6,2,0,7,4,,3,1,0,5,1,382,134,143,25 (46%),8 (36%),30,0,383,155,123,32 (40%),0 (0%),14,1,,17,7,1,8,1,,18,8,2,18,3,,76,44 (57%),32 (60%),14 (64%),,54,33 (43%),21 (40%),4 (24%),,2,1,,2,0,,
161750,2021-08-21T20:00:00.000Z,8555,Fuenlabrada,0,2,True,63,16,5,1,1,373 (80%),13,3,37,12,5,3,2,173 (61%),11,1,,7,4,0,11,5,,2,5,1,6,6,465,192,181,28 (51%),11 (50%),28,0,282,66,107,21 (32%),2 (29%),22,0,,13,9,4,9,3,,25,12,4,17,5,,61,34 (40%),27 (52%),11 (41%),,75,50 (60%),25 (48%),12 (55%),,0,0,,0,0,,
161750,2021-08-27T20:00:00.000Z,9864,Malaga,0,1,False,47,11,3,0,0,223 (76%),14,2,53,19,7,2,2,245 (77%),26,6,,5,3,0,2,9,,10,2,1,9,10,292,115,108,25 (54%),1 (7%),18,0,319,112,133,30 (44%),3 (11%),16,4,,15,3,0,27,6,,24,8,0,22,3,,69,51 (55%),18 (53%),11 (69%),,58,42 (45%),16 (47%),6 (43%),,0,0,,0,0,,
161750,2021-09-05T16:15:00.000Z,8394,Real Zaragoza,1,2,True,38,8,2,2,1,182 (63%),12,4,62,15,4,3,1,376 (79%),11,4,,5,1,1,5,3,,8,3,0,11,4,288,93,89,29 (39%),6 (38%),24,0,474,215,161,42 (51%),7 (33%),20,4,,14,4,0,17,2,,16,5,0,23,1,,53,29 (48%),24 (53%),5 (38%),,53,32 (52%),21 (47%),5 (63%),,0,0,,0,0,,
161750,2021-09-11T19:00:00.000Z,4032,CD Mirandes,3,1,False,42,13,6,3,1,303 (81%),16,2,58,15,7,1,0,438 (86%),9,6,,7,0,0,9,4,,3,5,0,10,5,372,176,127,21 (58%),9 (45%),12,0,511,199,239,25 (45%),0 (0%),17,1,,20,15,0,23,6,,17,3,0,19,3,,57,34 (44%),23 (77%),6 (50%),,50,43 (56%),7 (23%),13 (57%),,0,0,,0,0,,
161750,2021-09-17T19:00:00.000Z,9865,Almeria,0,4,True,54,10,1,1,1,351 (79%),14,5,46,16,5,4,3,299 (78%),7,2,,6,3,1,9,1,,7,4,2,13,3,447,230,121,20 (31%),8 (36%),25,3,385,169,130,30 (50%),3 (33%),17,7,,14,11,4,9,2,,18,19,3,16,1,,44,27 (39%),17 (45%),6 (55%),,63,42 (61%),21 (55%),11 (61%),,4,0,,2,0,18.0,23.0
161750,2021-09-26T19:00:00.000Z,10281,Real Valladolid,0,2,False,41,10,4,2,2,315 (80%),9,0,59,19,8,4,3,455 (85%),11,10,,2,4,1,6,4,,8,3,0,14,5,392,201,114,29 (48%),2 (33%),17,2,534,205,250,41 (71%),9 (26%),24,0,,12,13,3,30,6,,18,8,2,7,4,,44,31 (46%),13 (54%),8 (62%),,48,37 (54%),11 (46%),12 (60%),,1,0,,2,0,14.0,35.0
161750,2021-10-02T19:00:00.000Z,161744,Real Sociedad B,1,4,True,62,15,6,2,1,493 (88%),9,5,38,10,7,3,0,263 (76%),10,3,,7,2,1,9,6,,3,0,0,5,5,561,281,212,42 (69%),6 (22%),25,3,348,181,82,17 (33%),1 (11%),13,0,,14,12,0,10,3,,17,2,2,29,5,,44,31 (44%),13 (68%),8 (42%),,46,40 (56%),6 (32%),14 (64%),,5,0,,0,0,23.0,20.0
161750,2021-10-10T16:15:00.000Z,7876,Burgos CF,1,0,True,58,12,4,1,1,381 (81%),21,7,42,4,0,0,0,252 (75%),13,6,,7,1,1,8,4,,3,1,0,3,1,471,225,156,26 (39%),2 (13%),17,0,335,134,118,37 (51%),4 (21%),27,1,,22,11,1,17,0,,14,7,1,16,3,,56,40 (51%),16 (40%),5 (38%),,62,38 (49%),24 (60%),5 (31%),,1,0,,3,0,15.0,12.0
161750,2021-10-16T19:00:00.000Z,9869,Sporting Gijon,0,1,False,53,8,2,0,0,362 (79%),16,6,47,19,9,5,4,314 (78%),13,7,,3,3,1,3,5,,6,4,0,15,4,459,241,121,34 (50%),3 (16%),24,3,401,188,126,25 (45%),6 (26%),15,3,,17,10,4,14,8,,21,7,3,18,2,,50,42 (47%),8 (31%),13 (62%),,65,47 (53%),18 (69%),12 (63%),,4,1,,2,0,9.0,26.0
