team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against
9865,2021-08-16T20:00:00.000Z,8554,Cartagena,3,1,False,46,20,9,3,1,234 (74%),16,3,54,10,4,1,1,275 (76%),17,6,,7,4,0,13,7,,3,3,0,7,3,318,111,123,20 (43%),4 (36%),17,2,363,183,92,24 (44%),3 (10%),25,5,,14,8,0,29,3,,7,15,0,12,6,,53,44 (58%),9 (43%),14 (88%),,44,32 (42%),12 (57%),10 (56%),,0,0,,0,0,,
9865,2021-08-20T20:00:00.000Z,8670,Real Oviedo,2,1,True,60,14,4,2,0,464 (87%),11,4,40,4,1,0,0,267 (77%),16,3,,7,3,0,9,5,,3,0,0,4,0,536,272,192,37 (59%),2 (18%),19,2,345,162,105,32 (51%),5 (36%),20,3,,9,6,0,15,0,,22,7,0,16,2,,52,35 (51%),17 (53%),12 (57%),,49,34 (49%),15 (47%),3 (50%),,0,0,,0,0,,
9865,2021-08-29T15:00:00.000Z,189624,SD Amorebieta,1,2,False,50,6,3,2,2,319 (81%),12,1,50,17,5,1,0,298 (80%),13,7,,2,1,0,4,2,,4,8,0,7,10,394,220,99,23 (33%),0 (0%),24,0,371,127,171,35 (60%),11 (32%),17,5,,6,7,8,23,3,,16,9,2,12,1,,37,24 (44%),13 (36%),5 (36%),,54,31 (56%),23 (64%),4 (67%),,1,1,,4,0,,
9865,2021-09-04T19:00:00.000Z,9864,Malaga,2,0,True,42,9,3,4,3,250 (80%),10,1,58,17,6,1,1,342 (82%),14,5,,5,1,0,7,2,,10,1,1,10,7,311,148,102,28 (53%),2 (22%),14,3,416,162,180,29 (46%),6 (21%),20,4,,11,17,0,28,6,,15,11,0,9,1,,55,39 (53%),16 (52%),14 (74%),,50,35 (47%),15 (48%),10 (67%),,0,0,,0,0,,
9865,2021-09-12T16:15:00.000Z,8005,Ponferradina,0,1,False,59,9,1,0,0,355 (81%),7,3,41,12,6,1,1,217 (72%),14,5,,5,3,1,3,6,,4,2,0,7,5,438,224,131,17 (38%),1 (13%),22,5,300,93,124,32 (44%),3 (18%),28,6,,6,4,2,16,5,,16,6,3,13,1,,42,28 (49%),14 (42%),9 (56%),,48,29 (51%),19 (58%),6 (67%),,2,0,,2,0,,
9865,2021-09-17T19:00:00.000Z,161750,Alcorcon,4,0,False,46,16,5,4,3,299 (78%),7,2,54,10,1,1,1,351 (79%),14,5,,7,4,2,13,3,,6,3,1,9,1,385,169,130,30 (50%),3 (33%),17,7,447,230,121,20 (31%),8 (36%),25,3,,18,19,3,16,1,,14,11,4,9,2,,63,42 (61%),21 (55%),11 (61%),,44,27 (39%),17 (45%),6 (55%),,2,0,,4,0,23.0,18.0
9865,2021-09-24T19:00:00.000Z,9867,Tenerife,3,1,True,64,15,6,3,1,495 (87%),9,7,36,12,5,2,1,236 (74%),10,3,,6,3,0,10,5,,4,3,0,6,6,568,262,233,24 (69%),3 (16%),22,2,318,122,114,31 (50%),4 (29%),21,1,,12,14,3,7,4,,18,16,2,21,4,,49,37 (54%),12 (50%),16 (55%),,44,32 (46%),12 (50%),7 (64%),,2,0,,3,0,,
9865,2021-10-04T19:00:00.000Z,7732,Girona,2,1,False,49,14,4,4,3,367 (77%),14,4,51,9,3,2,1,371 (79%),17,5,,7,3,0,6,8,,5,1,0,8,1,474,231,136,18 (35%),1 (13%),12,3,469,193,178,26 (41%),7 (28%),20,2,,23,10,1,27,2,,19,12,3,11,2,,66,48 (52%),18 (45%),8 (44%),,67,45 (48%),22 (55%),14 (56%),,3,0,,2,0,15.0,20.0
9865,2021-10-09T16:15:00.000Z,8306,Las Palmas,1,1,True,40,17,5,1,1,250 (76%),20,9,60,11,4,1,0,421 (83%),13,4,,6,6,0,11,6,,6,1,0,4,7,331,147,103,21 (40%),7 (44%),16,4,510,247,174,23 (62%),3 (25%),15,3,,17,16,1,12,3,,26,9,6,13,4,,55,44 (44%),11 (61%),14 (50%),,64,57 (56%),7 (39%),11 (55%),,2,0,,4,0,28.0,14.0
9865,2021-10-15T19:00:00.000Z,8372,Eibar,0,1,False,60,12,2,0,0,514 (84%),10,5,40,9,4,2,2,309 (76%),15,1,,6,4,0,5,7,,3,2,0,7,2,610,295,219,34 (53%),4 (22%),31,1,404,165,144,32 (48%),5 (31%),20,4,,17,14,2,21,3,,11,15,5,20,1,,54,40 (59%),14 (45%),9 (53%),,45,28 (41%),17 (55%),7 (37%),,4,0,,3,0,16.0,16.0
