team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against
7876,2021-08-15T15:00:00.000Z,9869,Sporting Gijon,0,1,False,39,11,4,1,1,264 (72%),8,5,61,14,2,0,0,504 (85%),9,0,,4,3,0,9,2,,9,3,0,5,9,369,123,141,34 (47%),6 (38%),19,2,596,250,254,37 (52%),6 (33%),23,1,,14,12,0,23,1,,9,11,0,12,4,,52,24 (43%),28 (61%),2 (25%),,50,32 (57%),18 (39%),16 (64%),,0,0,,0,0,,
7876,2021-08-23T20:00:00.000Z,7854,Leganes,0,0,False,29,5,1,0,0,174 (62%),9,0,71,24,6,2,2,587 (88%),12,4,,2,2,0,3,2,,12,6,0,10,14,280,111,63,26 (34%),2 (29%),17,0,669,178,409,24 (62%),8 (19%),17,2,,11,3,0,40,6,,8,10,0,5,1,,46,29 (50%),17 (37%),6 (86%),,58,29 (50%),29 (63%),13 (93%),,0,0,,0,0,,
7876,2021-08-29T20:00:00.000Z,8372,Eibar,0,1,True,44,12,2,1,1,251 (71%),13,4,56,10,3,1,1,351 (77%),10,5,,6,4,0,7,5,,5,2,0,4,6,354,129,122,32 (46%),7 (37%),23,0,457,191,160,31 (41%),4 (17%),24,0,,9,10,2,30,2,,12,9,4,14,2,,47,25 (45%),22 (48%),7 (64%),,54,30 (55%),24 (52%),5 (71%),,1,0,,0,0,,
7876,2021-09-05T14:00:00.000Z,10281,Real Valladolid,3,0,True,34,14,8,3,1,175 (72%),16,4,66,10,1,0,0,405 (86%),13,1,,5,1,0,13,1,,7,2,0,4,6,244,95,80,29 (48%),7 (54%),19,4,472,203,202,30 (68%),4 (17%),17,0,,22,5,2,14,1,,9,8,1,8,5,,51,39 (57%),12 (50%),4 (36%),,42,30 (43%),12 (50%),5 (26%),,4,0,,2,0,25.0,13.0
7876,2021-09-11T14:00:00.000Z,189624,SD Amorebieta,2,2,False,49,9,2,3,1,308 (75%),9,3,51,16,4,1,0,311 (79%),12,5,,4,3,0,6,3,,8,4,0,12,4,412,163,145,37 (46%),1 (9%),27,3,396,143,168,41 (54%),15 (36%),17,1,,12,11,4,27,4,,11,11,3,12,0,,46,27 (48%),19 (41%),5 (50%),,56,29 (52%),27 (59%),9 (56%),,1,1,,2,0,,
7876,2021-09-20T19:00:00.000Z,8306,Las Palmas,0,0,True,41,10,2,0,0,309 (78%),10,1,59,14,3,1,1,513 (88%),13,4,,7,1,0,3,7,,7,4,0,7,7,397,192,117,52 (62%),4 (31%),27,1,586,264,249,31 (65%),3 (33%),29,2,,20,13,0,14,3,,17,14,0,12,2,,57,40 (49%),17 (63%),8 (67%),,52,42 (51%),10 (37%),15 (56%),,0,0,,0,0,,
7876,2021-09-25T14:00:00.000Z,1123073,UD Ibiza,0,2,False,51,11,2,2,2,260 (76%),12,3,49,15,5,3,3,240 (74%),21,5,,6,3,1,5,6,,9,1,0,11,4,343,135,125,42 (53%),6 (35%),22,2,326,127,113,23 (37%),5 (25%),18,1,,10,11,0,20,3,,17,16,0,13,2,,48,35 (49%),13 (48%),6 (35%),,50,36 (51%),14 (52%),7 (78%),,0,0,,0,0,,
7876,2021-10-03T16:15:00.000Z,4032,CD Mirandes,1,0,True,38,7,3,1,1,249 (75%),12,2,62,13,3,0,0,489 (87%),8,5,,2,2,0,4,3,,9,1,1,7,6,333,135,114,35 (51%),6 (33%),17,0,561,238,251,47 (71%),5 (17%),25,4,,16,11,0,30,3,,7,6,3,11,1,,49,26 (52%),23 (72%),2 (50%),,33,24 (48%),9 (28%),5 (42%),,1,0,,1,0,14.0,20.0
7876,2021-10-10T16:15:00.000Z,161750,Alcorcon,0,1,False,42,4,0,0,0,252 (75%),13,6,58,12,4,1,1,381 (81%),21,7,,3,1,0,3,1,,7,1,1,8,4,335,134,118,37 (51%),4 (21%),27,1,471,225,156,26 (39%),2 (13%),17,0,,14,7,1,16,3,,22,11,1,17,0,,62,38 (49%),24 (60%),5 (31%),,56,40 (51%),16 (40%),5 (38%),,3,0,,1,0,12.0,15.0
7876,2021-10-17T16:15:00.000Z,8206,Lugo,1,1,True,50,12,3,5,4,247 (78%),15,4,50,16,6,1,0,268 (81%),23,6,,7,2,0,7,5,,6,4,0,8,8,318,130,117,43 (62%),4 (18%),20,3,330,146,122,21 (45%),9 (43%),21,0,,23,6,4,21,5,,18,8,2,26,2,,72,48 (56%),24 (49%),4 (36%),,63,38 (44%),25 (51%),8 (35%),,3,0,,4,0,15.0,18.0
7876,2021-10-21T19:00:00.000Z,8670,Real Oviedo,3,1,False,36,7,5,2,1,205 (63%),10,4,64,14,2,1,0,463 (81%),9,6,,1,1,0,4,3,,5,7,2,6,8,324,115,90,32 (41%),2 (13%),22,0,575,213,250,25 (44%),2 (7%),25,5,,21,10,7,33,0,,6,16,1,10,2,,54,35 (59%),19 (49%),5 (71%),,44,24 (41%),20 (51%),9 (50%),,2,0,,0,0,6.0,25.0
7876,2021-10-24T16:15:00.000Z,96925,SD Huesca,3,1,True,42,9,3,1,0,211 (68%),17,2,58,9,4,1,0,361 (84%),16,7,,5,1,1,6,3,,3,2,0,5,4,309,91,120,20 (33%),10 (59%),36,4,430,214,147,17 (41%),6 (32%),21,3,,20,8,2,20,3,,14,11,0,12,0,,62,43 (53%),19 (61%),9 (56%),,50,38 (47%),12 (39%),7 (35%),,2,0,,2,0,17.0,15.0
