team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against
8372,2021-08-13T18:00:00.000Z,96925,SD Huesca,0,2,False,46,12,5,2,2,334 (81%),16,3,54,5,3,1,0,426 (85%),10,4,,2,5,1,9,3,,0,2,0,3,2,410,156,178,31 (57%),6 (27%),30,0,500,279,147,37 (56%),3 (20%),20,0,,16,10,2,11,1,,8,14,6,19,4,,49,34 (49%),15 (47%),8 (62%),,53,36 (51%),17 (53%),12 (75%),,1,0,,1,0,,
8372,2021-08-22T17:30:00.000Z,8005,Ponferradina,0,1,True,64,21,10,2,2,405 (81%),11,10,36,4,3,1,1,200 (68%),14,1,,6,5,1,13,8,,1,0,0,3,1,498,201,204,46 (68%),11 (37%),25,1,295,112,88,27 (40%),1 (13%),20,0,,16,9,0,15,2,,15,17,7,22,9,,59,37 (54%),22 (56%),8 (53%),,48,31 (46%),17 (44%),5 (38%),,4,0,,1,1,,
8372,2021-08-29T20:00:00.000Z,7876,Burgos CF,1,0,False,56,10,3,1,1,351 (77%),10,5,44,12,2,1,1,251 (71%),13,4,,5,2,0,4,6,,6,4,0,7,5,457,191,160,31 (41%),4 (17%),24,0,354,129,122,32 (46%),7 (37%),23,0,,12,9,4,14,2,,9,10,2,30,2,,54,30 (55%),24 (52%),5 (71%),,47,25 (45%),22 (48%),7 (64%),,0,0,,1,0,,
8372,2021-09-04T14:00:00.000Z,7854,Leganes,1,1,True,59,14,3,2,2,421 (81%),13,2,41,8,2,1,1,256 (72%),18,3,,10,1,1,7,7,,3,3,1,7,1,517,217,204,26 (46%),6 (29%),24,0,354,122,134,39 (53%),7 (35%),21,0,,11,7,3,19,2,,16,6,1,28,2,,52,38 (49%),14 (30%),10 (50%),,71,39 (51%),32 (70%),10 (77%),,2,0,,2,0,,
8372,2021-09-11T14:00:00.000Z,161744,Real Sociedad B,3,2,False,39,11,4,2,0,271 (77%),10,2,61,10,7,1,0,450 (85%),8,7,,6,1,0,5,6,,1,2,0,5,5,350,121,150,29 (54%),3 (30%),22,0,531,258,192,23 (50%),1 (4%),21,1,,18,9,2,31,5,,12,5,1,13,1,,49,34 (52%),15 (56%),8 (47%),,43,31 (48%),12 (44%),9 (53%),,2,0,,2,0,,
8372,2021-09-19T16:15:00.000Z,9869,Sporting Gijon,3,2,True,46,13,4,2,1,304 (80%),17,9,54,9,3,3,2,384 (82%),9,4,,7,2,0,12,1,,3,3,1,3,6,382,127,177,32 (54%),11 (48%),23,1,466,255,129,30 (43%),0 (0%),26,2,,9,7,3,16,2,,19,8,2,15,1,,38,24 (36%),14 (56%),8 (44%),,54,43 (64%),11 (44%),11 (65%),,5,0,,3,0,,
8372,2021-09-25T16:15:00.000Z,189624,SD Amorebieta,1,1,False,63,10,5,4,3,370 (76%),13,5,37,11,5,2,1,192 (68%),15,3,,4,1,0,9,1,,4,2,0,7,4,486,171,199,28 (39%),8 (38%),24,3,284,80,112,32 (47%),4 (20%),22,2,,10,10,2,14,4,,9,9,1,24,4,,51,29 (56%),22 (39%),6 (67%),,57,23 (44%),34 (61%),4 (50%),,0,0,,1,1,,
8372,2021-10-03T12:00:00.000Z,1123073,UD Ibiza,3,1,True,44,11,5,2,1,336 (79%),9,3,56,13,1,1,0,436 (82%),8,11,,4,2,1,5,6,,2,10,0,11,2,426,181,155,30 (56%),3 (20%),22,0,533,260,176,37 (46%),4 (12%),20,3,,17,16,10,27,1,,12,12,2,19,3,,55,31 (57%),24 (53%),6 (55%),,44,23 (43%),21 (47%),2 (14%),,0,0,,0,0,17.0,26.0
8372,2021-10-09T14:00:00.000Z,4032,CD Mirandes,3,3,False,50,22,12,5,4,337 (79%),16,7,50,11,6,4,1,326 (79%),13,2,,8,2,0,17,5,,4,1,0,6,5,429,171,166,28 (50%),7 (39%),18,0,415,188,138,28 (44%),6 (32%),19,0,,22,5,1,18,3,,17,7,1,18,9,,55,41 (47%),14 (56%),8 (53%),,58,47 (53%),11 (44%),14 (47%),,1,0,,0,0,32.0,17.0
8372,2021-10-15T19:00:00.000Z,9865,Almeria,1,0,True,40,9,4,2,2,309 (76%),15,1,60,12,2,0,0,514 (84%),10,5,,3,2,0,7,2,,6,4,0,5,7,404,165,144,32 (48%),5 (31%),20,4,610,295,219,34 (53%),4 (22%),31,1,,11,15,5,20,1,,17,14,2,21,3,,45,28 (41%),17 (55%),7 (37%),,54,40 (59%),14 (45%),9 (53%),,3,0,,4,0,16.0,16.0
