team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against
8206,2021-08-15T17:30:00.000Z,8670,Real Oviedo,2,2,False,50,10,6,2,0,246 (70%),14,1,50,10,6,3,1,250 (73%),13,2,,3,1,0,7,3,,3,1,0,8,2,350,161,85,35 (52%),2 (22%),24,0,344,133,117,25 (39%),8 (53%),20,1,,14,6,0,10,4,,13,10,0,17,4,,61,31 (48%),30 (58%),5 (63%),,55,33 (52%),22 (42%),10 (53%),,0,0,,0,0,,
8206,2021-08-21T15:00:00.000Z,161744,Real Sociedad B,0,0,True,33,9,1,0,0,165 (66%),15,6,67,12,1,0,0,480 (87%),10,5,,6,2,0,7,2,,5,6,0,7,5,251,95,70,24 (44%),5 (22%),16,1,549,238,242,23 (55%),4 (29%),22,1,,27,17,5,16,1,,8,12,2,19,1,,74,46 (57%),28 (52%),10 (67%),,61,35 (43%),26 (48%),13 (54%),,1,0,,1,0,,
8206,2021-08-29T17:30:00.000Z,10281,Real Valladolid,0,2,True,52,10,2,2,2,300 (77%),18,5,48,5,3,1,0,278 (73%),10,1,,5,3,0,6,4,,2,0,0,3,2,392,132,168,20 (38%),6 (22%),25,2,383,152,126,24 (37%),2 (25%),21,0,,12,9,0,15,1,,20,6,2,24,3,,53,29 (39%),24 (50%),9 (50%),,69,45 (61%),24 (50%),8 (62%),,1,0,,4,1,19.0,10.0
8206,2021-09-04T19:00:00.000Z,8555,Fuenlabrada,1,1,False,47,4,2,2,1,194 (67%),18,3,53,13,4,2,2,221 (68%),14,4,,2,0,0,3,1,,6,3,0,6,7,291,126,68,26 (39%),1 (8%),22,0,326,100,121,27 (36%),6 (32%),28,2,,20,13,2,17,3,,13,12,0,13,1,,63,39 (51%),24 (52%),8 (62%),,59,37 (49%),22 (48%),8 (44%),,0,0,,0,0,,
8206,2021-09-13T19:00:00.000Z,96925,SD Huesca,3,2,True,38,21,8,3,0,207 (78%),14,4,62,6,3,1,0,387 (86%),13,3,,8,5,0,15,6,,2,1,0,6,0,267,109,98,33 (58%),10 (48%),13,1,451,251,136,35 (58%),4 (33%),15,1,,16,8,0,11,2,,16,7,0,24,5,,54,39 (48%),15 (60%),11 (52%),,52,42 (52%),10 (40%),12 (67%),,0,0,,0,0,,
8206,2021-09-18T19:00:00.000Z,8554,Cartagena,1,2,False,30,7,3,1,0,121 (60%),19,3,70,13,4,3,1,376 (84%),12,8,,4,0,0,5,2,,5,4,0,10,3,201,62,59,18 (32%),4 (50%),13,2,449,180,196,22 (50%),4 (11%),25,3,,15,15,0,32,2,,11,10,0,9,2,,60,37 (49%),23 (56%),11 (69%),,56,38 (51%),18 (44%),10 (56%),,0,0,,0,0,,
8206,2021-09-26T18:30:00.000Z,8394,Real Zaragoza,1,1,True,37,15,3,2,1,181 (69%),9,3,63,13,2,3,2,398 (84%),8,3,,10,2,0,10,5,,9,2,0,8,5,262,93,88,18 (38%),5 (26%),19,1,476,197,201,31 (54%),5 (33%),23,3,,23,10,0,14,1,,14,4,0,22,2,,55,39 (59%),16 (46%),9 (53%),,46,27 (41%),19 (54%),4 (31%),,0,0,,0,0,,
8206,2021-10-03T19:00:00.000Z,7854,Leganes,1,1,False,33,5,3,0,0,142 (61%),16,1,67,13,3,0,0,353 (78%),9,8,,1,1,0,4,1,,7,3,0,4,9,232,59,83,23 (36%),3 (50%),19,1,452,173,180,34 (49%),2 (8%),39,2,,17,8,2,33,2,,17,6,1,10,2,,61,33 (45%),28 (62%),7 (47%),,57,40 (55%),17 (38%),9 (60%),,2,0,,2,0,15.0,15.0
8206,2021-10-09T14:00:00.000Z,7732,Girona,1,0,True,43,11,5,1,1,175 (69%),17,8,57,8,1,1,1,266 (78%),15,6,,5,1,0,8,3,,4,3,0,4,4,254,88,87,21 (36%),7 (35%),28,1,341,135,131,14 (33%),6 (38%),18,3,,10,4,3,19,1,,12,6,1,20,4,,47,34 (43%),13 (48%),10 (67%),,60,46 (58%),14 (52%),18 (86%),,3,0,,5,0,16.0,16.0
8206,2021-10-17T16:15:00.000Z,7876,Burgos CF,1,1,False,50,16,6,1,0,268 (81%),23,6,50,12,3,5,4,247 (78%),15,4,,6,4,0,8,8,,7,2,0,7,5,330,146,122,21 (45%),9 (43%),21,0,318,130,117,43 (62%),4 (18%),20,3,,18,8,2,26,2,,23,6,4,21,5,,63,38 (44%),25 (51%),8 (35%),,72,48 (56%),24 (49%),4 (36%),,4,0,,3,0,18.0,15.0
