team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against
9869,2021-08-15T15:00:00.000Z,7876,Burgos CF,1,0,True,61,14,2,0,0,504 (85%),9,0,39,11,4,1,1,264 (72%),8,5,,9,3,0,5,9,,4,3,0,9,2,596,250,254,37 (52%),6 (33%),23,1,369,123,141,34 (47%),6 (38%),19,2,,9,11,0,12,4,,14,12,0,23,1,,50,32 (57%),18 (39%),16 (64%),,52,24 (43%),28 (61%),2 (25%),,0,0,,0,0,,
9869,2021-08-21T17:30:00.000Z,9867,Tenerife,0,0,False,52,7,1,1,1,391 (81%),15,3,48,16,5,1,1,343 (78%),12,5,,3,3,0,2,5,,7,4,2,7,9,482,222,169,17 (38%),0 (0%),26,3,439,140,203,32 (48%),1 (6%),20,1,,11,9,4,20,5,,18,11,3,12,1,,48,27 (40%),21 (55%),7 (44%),,57,40 (60%),17 (45%),8 (53%),,0,0,,1,0,,
9869,2021-08-28T15:00:00.000Z,4032,CD Mirandes,2,1,True,47,20,7,0,0,376 (85%),18,7,53,5,3,1,0,429 (84%),14,2,,10,3,0,11,9,,1,1,0,3,2,442,221,155,30 (61%),1 (7%),13,2,509,254,175,37 (63%),1 (11%),14,0,,13,15,0,9,2,,8,16,0,17,5,,43,37 (55%),6 (43%),10 (67%),,38,30 (45%),8 (57%),4 (50%),,0,0,,0,0,,
9869,2021-09-03T19:00:00.000Z,7732,Girona,2,1,False,36,15,6,2,0,228 (74%),11,2,64,20,6,2,2,446 (84%),9,9,,6,3,0,4,11,,6,8,0,12,8,308,141,87,18 (33%),2 (17%),15,1,533,208,238,25 (63%),6 (19%),25,3,,20,7,8,35,5,,13,2,3,8,4,,37,31 (44%),6 (29%),5 (42%),,55,40 (56%),15 (71%),16 (67%),,1,0,,1,0,,
9869,2021-09-10T19:00:00.000Z,7854,Leganes,2,1,True,45,14,5,1,0,358 (85%),7,3,55,14,2,1,1,422 (84%),8,4,,7,2,0,8,6,,8,4,1,6,8,422,226,132,29 (55%),3 (43%),14,5,500,190,232,36 (60%),7 (24%),23,2,,9,18,0,38,1,,17,3,0,9,3,,52,27 (45%),25 (68%),10 (59%),,45,33 (55%),12 (32%),9 (60%),,0,0,,0,0,,
9869,2021-09-19T16:15:00.000Z,8372,Eibar,2,3,False,54,9,3,3,2,384 (82%),9,4,46,13,4,2,1,304 (80%),17,9,,3,3,1,3,6,,7,2,0,12,1,466,255,129,30 (43%),0 (0%),26,2,382,127,177,32 (54%),11 (48%),23,1,,19,8,2,15,1,,9,7,3,16,2,,54,43 (64%),11 (44%),11 (65%),,38,24 (36%),14 (56%),8 (44%),,3,0,,5,0,,
9869,2021-09-26T14:00:00.000Z,9864,Malaga,2,1,True,73,27,4,2,1,502 (88%),13,6,27,3,3,0,0,121 (58%),17,2,,13,10,0,14,13,,0,0,0,1,2,572,179,323,25 (51%),7 (19%),26,2,209,57,64,21 (34%),2 (14%),16,4,,8,7,0,15,2,,10,10,0,28,2,,55,38 (59%),17 (65%),14 (74%),,35,26 (41%),9 (35%),4 (57%),,0,0,,0,0,,
9869,2021-10-02T14:00:00.000Z,189624,SD Amorebieta,1,1,False,64,10,2,1,0,455 (82%),11,6,36,11,5,3,3,197 (64%),13,4,,5,3,0,6,4,,3,3,0,7,4,556,299,156,29 (53%),2 (11%),24,4,307,90,107,38 (42%),2 (15%),16,2,,19,5,3,29,4,,18,8,3,26,1,,60,40 (55%),20 (41%),9 (53%),,62,33 (45%),29 (59%),6 (35%),,4,0,,2,0,17.0,20.0
9869,2021-10-09T19:00:00.000Z,8670,Real Oviedo,1,1,False,63,8,3,1,0,475 (85%),9,4,37,12,4,0,0,250 (77%),13,2,,3,2,0,4,4,,4,4,0,8,4,562,317,158,39 (54%),1 (6%),24,2,326,116,134,26 (46%),3 (16%),20,2,,11,3,4,20,3,,23,8,2,23,2,,54,34 (47%),20 (59%),12 (46%),,53,39 (53%),14 (41%),7 (64%),,2,0,,5,0,15.0,13.0
9869,2021-10-16T19:00:00.000Z,161750,Alcorcon,1,0,True,47,19,9,5,4,314 (78%),13,7,53,8,2,0,0,362 (79%),16,6,,6,4,0,15,4,,3,3,1,3,5,401,188,126,25 (45%),6 (26%),15,3,459,241,121,34 (50%),3 (16%),24,3,,21,7,3,18,2,,17,10,4,14,8,,65,47 (53%),18 (69%),12 (63%),,50,42 (47%),8 (31%),13 (62%),,2,0,,4,1,26.0,9.0
