team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
10252,2021-08-14T14:00:00.000Z,9817,Watford,2,3,False,62,1.19,11,2,1,0,435 (86%),13,4,38,1.17,13,7,1,1,234 (74%),18,2,,6,3,0,4,7,,4,2,0,9,4,0.31,0.09,0.41,1.32,0.87,0.30,1.17,1.57,508,250,185,28 (56%),2 (8%),21,2,317,156,78,21 (33%),2 (25%),17,0,,13,11,2,6,4,,15,9,3,25,0,,62,45 (52%),17 (41%),14 (88%),,65,41 (48%),24 (59%),13 (72%),,1,0,,3,0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10252,2021-08-21T14:00:00.000Z,10261,Newcastle United,2,0,True,47,1.34,10,2,1,0,238 (79%),8,3,53,0.70,9,1,1,1,257 (77%),18,4,,7,1,0,6,4,,7,1,0,6,3,0.16,0.40,0.55,1.47,0.54,0.16,0.70,0.04,303,117,121,24 (50%),5 (31%),15,3,333,164,93,18 (34%),7 (35%),24,2,,13,4,1,23,1,,14,2,0,20,0,,48,31 (54%),17 (49%),2 (33%),,44,26 (46%),18 (51%),4 (33%),,3,0,,4,0,,,3,2.0,3.0,62.0,1.19,11.0,2.0,1.0,38.0,1.17,13.0,7.0,1.0,0.0,0.0,0.0,0.182,1.0,0.231,0.429
10252,2021-08-28T14:00:00.000Z,9937,Brentford,1,1,True,46,0.73,7,5,1,1,269 (74%),15,3,54,0.87,9,2,2,1,334 (77%),14,2,,2,0,0,5,2,,2,5,0,7,2,0.26,0.46,0.73,1.09,0.69,0.18,0.87,0.96,364,160,109,23 (35%),5 (24%),17,1,435,240,94,29 (40%),1 (14%),21,2,,13,4,5,15,1,,16,6,0,21,4,,57,36 (51%),21 (51%),10 (71%),,55,35 (49%),20 (49%),5 (42%),,3,0,,3,0,,,1,2.0,1.5,54.5,1.265,10.5,2.0,1.0,45.5,0.935,11.0,4.0,1.0,0.0,0.0,1.5,0.19,1.0,0.136,0.375
10252,2021-09-11T16:30:00.000Z,8455,Chelsea,0,3,False,43,1.19,18,6,1,1,270 (78%),11,11,57,1.27,12,4,2,0,396 (83%),11,4,,3,9,0,11,7,,6,2,0,6,6,0.83,0.36,1.19,0.83,1.25,0.02,1.27,2.19,344,139,131,30 (48%),6 (20%),16,1,476,248,148,27 (48%),1 (7%),16,2,,12,12,2,18,1,,15,7,9,40,6,,56,42 (54%),14 (47%),19 (61%),,52,36 (46%),16 (53%),11 (65%),,4,0,,1,0,,,0,1.667,1.333,51.667,1.087,9.333,3.0,1.0,48.333,0.913,10.333,3.333,1.333,0.0,0.0,1.333,0.179,0.556,0.129,0.4
10252,2021-09-18T16:30:00.000Z,8668,Everton,3,0,True,56,0.85,15,3,0,0,308 (80%),7,5,44,0.75,11,1,1,1,228 (74%),10,4,,6,6,0,7,8,,5,5,0,8,3,0.50,0.35,0.85,0.57,0.52,0.24,0.75,0.05,384,152,156,34 (61%),6 (25%),15,0,310,125,103,16 (36%),5 (28%),22,2,,10,9,5,9,1,,22,6,6,17,1,,56,32 (48%),24 (60%),13 (50%),,51,35 (52%),16 (40%),6 (55%),,1,0,,1,0,,,3,1.25,1.75,49.5,1.113,11.5,3.75,1.0,50.5,1.002,10.75,3.5,1.5,0.0,0.0,1.0,0.109,0.333,0.163,0.5
10252,2021-09-25T11:30:00.000Z,10260,Manchester United,1,0,False,40,1.04,7,3,3,3,187 (69%),13,5,60,2.21,28,4,2,2,313 (77%),9,5,,3,1,0,4,3,,11,13,0,17,11,0.63,0.40,1.04,0.88,1.12,0.30,1.42,0.28,271,87,100,24 (40%),3 (15%),25,3,409,164,149,36 (59%),9 (43%),27,2,,9,15,12,14,4,,12,9,1,21,2,,35,24 (38%),11 (37%),6 (43%),,58,39 (62%),19 (63%),16 (80%),,2,0,,2,0,,,3,1.6,1.4,50.8,1.06,12.2,3.6,0.8,49.2,0.952,10.8,3.0,1.4,0.0,0.0,1.4,0.131,0.444,0.13,0.467
10252,2021-10-03T13:00:00.000Z,8586,Tottenham Hotspur,1,2,False,44,1.21,14,3,1,0,226 (71%),14,8,56,1.29,17,8,3,3,349 (80%),11,5,,5,6,0,9,5,,6,3,0,9,8,1.02,0.19,1.21,1.03,1.20,0.09,1.29,2.12,318,128,98,22 (36%),4 (15%),18,1,438,176,173,18 (37%),4 (36%),22,0,,21,12,4,6,6,,14,12,5,37,2,,58,36 (45%),22 (51%),4 (29%),,65,44 (55%),21 (49%),16 (64%),,1,0,,2,0,37.0,28.0,0,1.4,0.8,46.4,1.03,11.4,3.8,1.2,53.6,1.16,13.8,2.4,1.6,0.0,0.0,2.0,0.123,0.368,0.058,0.333
10252,2021-10-16T14:00:00.000Z,8602,Wolverhampton Wanderers,2,3,True,48,1.01,14,5,2,1,314 (80%),8,6,52,2.12,9,4,4,2,332 (80%),17,7,,7,2,0,10,4,,3,2,1,6,3,0.97,0.04,1.01,1.75,0.39,1.73,2.12,1.74,391,196,118,22 (44%),3 (13%),15,1,415,174,158,24 (44%),1 (5%),15,2,,12,9,2,22,1,,7,9,2,20,3,,53,39 (63%),14 (54%),11 (69%),,35,23 (37%),12 (46%),8 (62%),,2,0,,3,0,23.0,21.0,0,1.2,1.2,45.8,1.004,12.2,4.0,1.2,54.2,1.278,15.4,3.8,2.0,7.4,5.6,1.4,0.098,0.3,0.078,0.316
10252,2021-10-22T19:00:00.000Z,9825,Arsenal,1,3,False,46,1.44,10,4,2,2,310 (79%),10,4,54,2.72,22,9,4,3,369 (81%),17,7,,3,3,0,5,5,,8,5,1,14,8,0.78,0.66,1.44,1.28,1.36,0.58,1.94,3.14,392,192,118,21 (42%),2 (17%),19,0,454,185,184,22 (48%),5 (33%),14,1,,14,11,5,16,6,,13,7,3,20,3,,54,38 (58%),16 (59%),9 (60%),,38,27 (42%),11 (41%),4 (33%),,5,0,,2,0,16.0,34.0,0,1.4,1.6,46.2,1.06,13.6,4.0,1.4,53.8,1.528,15.4,4.2,2.4,12.0,9.8,1.2,0.103,0.35,0.104,0.381
10252,2021-10-31T16:30:00.000Z,8654,West Ham United,1,4,True,42,0.68,9,3,1,0,244 (73%),7,3,58,2.36,21,8,3,1,382 (83%),13,6,,5,1,1,6,3,,5,8,0,13,8,0.59,0.08,0.68,0.72,1.94,0.42,2.36,4.31,333,125,119,21 (34%),4 (27%),21,2,459,205,177,25 (45%),2 (13%),21,0,,16,5,8,11,4,,20,13,1,23,2,,62,37 (52%),25 (61%),8 (40%),,50,34 (48%),16 (39%),7 (44%),,1,1,,2,0,17.0,25.0,0,1.6,1.6,46.8,1.11,12.0,3.6,1.6,53.2,1.818,17.4,5.2,2.8,15.2,16.6,1.2,0.133,0.444,0.092,0.308
