team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8650,2021-08-14T16:30:00.000Z,9850,Norwich City,3,0,False,50,1.66,19,8,4,2,432 (84%),14,11,50,1.42,14,3,1,1,441 (85%),4,3,,7,4,0,13,6,,8,3,0,9,5,1.14,0.51,1.66,1.17,0.31,1.11,1.42,1.71,512,233,199,29 (66%),6 (24%),19,0,520,320,121,34 (49%),4 (21%),17,2,,16,5,2,16,3,,19,9,6,36,3,,40,26 (38%),14 (64%),7 (35%),,51,43 (62%),8 (36%),10 (56%),,1,0,,1,0,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8650,2021-08-21T11:30:00.000Z,8191,Burnley,2,0,True,66,2.80,27,9,3,1,434 (82%),6,8,34,0.91,9,3,2,2,174 (66%),12,4,,10,8,0,21,6,,5,1,0,7,2,2.06,0.73,2.80,1.48,0.77,0.14,0.91,0.62,527,215,219,20 (38%),11 (39%),21,3,263,58,116,33 (45%),4 (21%),27,7,,14,5,1,25,3,,18,11,8,20,6,,54,30 (48%),24 (50%),4 (33%),,57,33 (52%),24 (50%),9 (64%),,0,0,,0,0,,,3,3.0,0.0,50.0,1.66,19.0,8.0,4.0,50.0,1.42,14.0,3.0,1.0,0.0,0.0,3.0,0.158,0.375,0.0,0.0
8650,2021-08-28T16:30:00.000Z,8455,Chelsea,1,1,True,66,2.99,24,7,4,3,598 (86%),13,12,34,0.64,6,3,0,0,268 (72%),4,3,,12,5,1,17,7,,1,2,0,6,0,1.36,0.85,2.20,2.03,0.61,0.03,0.64,0.44,695,202,396,27 (59%),10 (25%),16,0,370,184,84,24 (36%),2 (17%),20,2,,16,11,2,8,2,,26,21,4,34,6,,43,22 (34%),21 (62%),4 (33%),,55,42 (66%),13 (38%),4 (57%),,0,0,,2,1,,,1,2.5,0.0,58.0,2.23,23.0,8.5,3.5,42.0,1.165,11.5,3.0,1.5,0.0,0.0,3.0,0.109,0.294,0.0,0.0
8650,2021-09-12T15:30:00.000Z,8463,Leeds United,3,0,False,56,4.54,30,9,5,3,454 (87%),8,11,44,1.23,9,4,0,0,328 (81%),9,2,,6,15,0,22,8,,4,1,0,8,1,4.14,0.40,4.54,2.84,1.19,0.04,1.23,0.47,524,230,224,25 (54%),5 (24%),21,4,404,236,92,18 (41%),4 (21%),13,2,,8,8,1,15,4,,16,10,15,17,5,,34,26 (46%),8 (53%),9 (50%),,37,30 (54%),7 (47%),7 (64%),,1,0,,2,1,,,3,2.0,0.333,60.667,2.483,23.333,8.0,3.667,39.333,0.99,9.667,3.0,1.0,0.0,0.0,2.333,0.086,0.25,0.034,0.111
8650,2021-09-18T14:00:00.000Z,9826,Crystal Palace,3,0,True,60,3.09,25,10,4,2,412 (84%),17,10,40,0.60,13,2,2,2,253 (76%),11,5,,5,10,0,17,8,,5,6,1,6,7,1.91,1.17,3.09,1.75,0.34,0.25,0.60,0.11,490,180,232,24 (53%),11 (31%),18,1,332,144,109,20 (36%),4 (24%),19,3,,21,10,6,27,2,,24,12,10,24,7,,63,42 (47%),21 (75%),12 (57%),,54,47 (53%),7 (25%),7 (41%),,3,0,,1,0,,,3,2.25,0.25,59.5,2.998,25.0,8.25,4.0,40.5,1.05,9.5,3.25,0.75,0.0,0.0,2.5,0.09,0.273,0.026,0.077
8650,2021-09-25T16:30:00.000Z,9937,Brentford,3,3,False,67,2.84,16,6,5,3,465 (83%),7,11,33,2.24,12,4,5,2,181 (67%),8,2,,6,4,1,9,7,,6,2,1,10,2,2.72,0.12,2.84,2.20,1.83,0.41,2.24,2.07,561,166,299,33 (47%),8 (31%),14,4,271,73,108,20 (34%),5 (38%),15,4,,11,9,3,18,0,,14,15,5,31,3,,46,23 (45%),23 (48%),5 (33%),,53,28 (55%),25 (52%),8 (73%),,1,0,,1,0,,,1,2.4,0.2,59.6,3.016,25.0,8.6,4.0,40.4,0.96,10.2,3.0,1.0,0.0,0.0,2.6,0.096,0.279,0.02,0.067
8650,2021-10-03T15:30:00.000Z,8456,Manchester City,2,2,True,48,0.90,6,4,3,1,423 (84%),10,3,52,1.24,12,3,1,1,443 (84%),12,4,,0,2,0,5,1,,4,5,0,9,3,0.59,0.31,0.90,1.85,1.20,0.04,1.24,1.35,501,262,161,28 (50%),3 (16%),28,2,529,261,182,39 (57%),2 (14%),20,5,,17,17,5,14,1,,11,8,3,17,1,,48,39 (53%),9 (50%),10 (71%),,44,35 (47%),9 (50%),14 (74%),,3,0,,3,0,18.0,26.0,1,2.4,0.8,63.0,3.252,24.4,8.2,4.2,37.0,1.124,9.8,3.2,1.8,0.0,0.0,2.2,0.098,0.293,0.082,0.25
8650,2021-10-16T11:30:00.000Z,9817,Watford,5,0,False,76,3.29,19,8,5,1,711 (87%),10,9,24,0.46,6,2,0,0,165 (65%),4,1,,6,5,1,12,7,,3,1,1,5,1,3.27,0.01,3.29,3.36,0.44,0.02,0.46,0.29,816,377,334,39 (66%),2 (11%),22,2,252,110,55,21 (34%),2 (29%),11,8,,18,4,1,8,2,,14,11,5,33,4,,42,32 (49%),10 (34%),10 (67%),,52,33 (51%),19 (66%),9 (45%),,0,0,,0,0,35.0,15.0,3,2.4,1.2,59.4,2.872,20.2,7.2,4.2,40.6,1.19,10.4,3.2,1.6,3.6,5.2,1.8,0.119,0.333,0.115,0.375
8650,2021-10-24T15:30:00.000Z,10260,Manchester United,5,0,False,63,3.42,19,8,6,1,651 (89%),8,3,37,1.57,12,4,2,2,334 (82%),10,6,,5,6,0,12,7,,6,2,1,10,2,3.10,0.32,3.42,4.44,1.09,0.48,1.57,0.86,731,275,376,30 (59%),2 (22%),10,0,409,186,148,20 (43%),6 (29%),13,7,,11,11,3,19,3,,5,11,6,13,3,,32,23 (49%),9 (39%),2 (50%),,38,24 (51%),14 (61%),12 (80%),,0,0,,6,1,24.0,23.0,3,3.2,1.0,61.4,2.932,19.2,7.4,4.4,38.6,1.154,10.4,3.0,1.6,10.6,8.2,2.2,0.167,0.432,0.096,0.333
8650,2021-10-30T14:00:00.000Z,10204,Brighton & Hove Albion,2,2,True,58,1.46,14,3,2,1,552 (86%),8,5,42,1.01,9,6,2,1,361 (78%),5,3,,5,6,0,6,8,,2,1,1,6,3,1.37,0.09,1.46,0.99,0.97,0.04,1.01,1.50,641,280,272,30 (52%),3 (15%),20,1,464,223,138,32 (44%),3 (27%),19,5,,10,16,0,18,4,,20,16,5,17,1,,36,25 (40%),11 (50%),10 (71%),,49,38 (60%),11 (50%),11 (85%),,2,0,,2,0,33.0,21.0,1,3.6,1.0,62.8,2.708,17.0,7.2,4.6,37.2,1.222,11.0,3.0,2.0,15.4,12.8,2.2,0.212,0.5,0.091,0.333
