team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8456,2021-08-15T15:30:00.000Z,8586,Tottenham Hotspur,0,1,False,66,1.78,18,4,3,3,469 (86%),8,11,34,1.05,13,3,1,1,227 (77%),11,3,,9,5,0,11,7,,5,5,0,5,8,1.00,0.78,1.78,0.44,0.80,0.25,1.05,0.75,548,195,274,9 (41%),4 (13%),17,1,293,93,134,25 (49%),3 (25%),17,3,,16,3,5,10,1,,15,10,5,24,4,,66,47 (56%),19 (58%),20 (74%),,51,37 (44%),14 (42%),14 (74%),,1,0,,2,0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8456,2021-08-21T14:00:00.000Z,9850,Norwich City,5,0,True,67,2.65,16,4,3,0,684 (94%),13,6,33,0.06,1,0,0,0,307 (85%),7,1,,6,6,0,7,9,,1,0,0,1,0,2.21,0.44,2.65,2.72,0.06,0.00,0.06,0.00,730,209,475,42 (82%),2 (8%),20,2,362,258,49,14 (37%),1 (17%),10,3,,14,6,0,3,0,,18,8,6,25,0,,38,29 (44%),9 (75%),9 (60%),,40,37 (56%),3 (25%),6 (46%),,1,0,,0,0,,,3,0.0,1.0,66.0,1.78,18.0,4.0,3.0,34.0,1.05,13.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.077,0.333
8456,2021-08-28T11:30:00.000Z,9825,Arsenal,5,0,True,80,4.02,25,10,7,3,693 (92%),5,14,20,0.21,1,0,0,0,125 (68%),7,0,,5,10,0,17,8,,1,0,0,1,0,3.06,0.96,4.02,5.38,0.21,0.00,0.21,0.00,757,231,462,17 (52%),7 (23%),23,1,185,75,50,16 (36%),1 (33%),12,3,,14,4,0,3,0,,9,12,9,31,5,,41,28 (64%),13 (59%),7 (50%),,25,16 (36%),9 (41%),2 (25%),,1,0,,2,1,,,3,2.5,0.5,66.5,2.215,17.0,4.0,3.0,33.5,0.555,7.0,1.5,0.5,0.0,0.0,1.5,0.147,0.625,0.071,0.333
8456,2021-09-11T14:00:00.000Z,8197,Leicester City,1,0,False,60,2.98,25,8,3,2,501 (90%),11,8,40,0.66,6,1,1,1,295 (81%),4,5,,7,10,0,21,4,,3,2,1,6,0,2.65,0.33,2.98,2.02,0.54,0.12,0.66,0.41,557,222,279,21 (64%),8 (26%),20,4,364,223,72,27 (47%),5 (36%),12,2,,14,5,2,6,2,,18,3,10,21,7,,31,23 (40%),8 (40%),5 (36%),,46,34 (60%),12 (60%),6 (50%),,2,0,,1,0,,,3,3.333,0.333,71.0,2.817,19.667,6.0,4.333,29.0,0.44,5.0,1.0,0.333,0.0,0.0,2.0,0.169,0.555,0.067,0.333
8456,2021-09-18T14:00:00.000Z,8466,Southampton,0,0,True,64,1.03,16,1,2,2,484 (87%),5,8,36,0.42,10,2,0,0,239 (75%),12,5,,8,7,0,9,7,,2,6,0,6,4,0.61,0.42,1.03,0.19,0.40,0.02,0.42,0.28,555,291,193,21 (58%),8 (35%),21,4,319,142,97,19 (35%),0 (0%),17,0,,13,8,6,14,2,,21,17,7,23,1,,58,36 (48%),22 (59%),13 (52%),,54,39 (52%),15 (41%),13 (72%),,0,0,,2,0,,,1,2.75,0.25,68.25,2.857,21.0,6.5,4.0,31.75,0.495,5.25,1.0,0.5,0.0,0.0,2.25,0.131,0.423,0.048,0.25
8456,2021-09-25T11:30:00.000Z,8455,Chelsea,1,0,False,59,1.69,15,4,3,3,528 (88%),10,13,41,0.24,5,0,0,0,341 (83%),12,4,,5,6,0,11,4,,1,4,0,2,3,1.08,0.61,1.69,0.68,0.19,0.05,0.24,0.00,599,243,285,24 (50%),4 (15%),12,4,413,259,82,26 (53%),1 (6%),13,3,,16,8,4,17,0,,13,7,6,24,2,,46,37 (54%),9 (33%),9 (60%),,50,32 (46%),18 (67%),10 (56%),,2,0,,3,0,,,3,2.2,0.2,67.4,2.492,20.0,5.4,3.6,32.6,0.48,6.2,1.2,0.4,0.0,0.0,2.0,0.11,0.407,0.032,0.167
8456,2021-10-03T15:30:00.000Z,8650,Liverpool,2,2,False,52,1.24,12,3,1,1,443 (84%),12,4,48,0.90,6,4,3,1,423 (84%),10,3,,4,5,0,9,3,,0,2,0,5,1,1.20,0.04,1.24,1.35,0.59,0.31,0.90,1.85,529,261,182,39 (57%),2 (14%),20,5,501,262,161,28 (50%),3 (16%),28,2,,11,8,3,17,1,,17,17,5,14,1,,44,35 (47%),9 (50%),14 (74%),,48,39 (53%),9 (50%),10 (71%),,3,0,,3,0,26.0,18.0,1,2.4,0.0,66.0,2.474,19.4,5.4,3.6,34.0,0.318,4.6,0.6,0.2,0.0,0.0,2.6,0.124,0.444,0.0,0.0
8456,2021-10-16T14:00:00.000Z,8191,Burnley,2,0,True,71,2.14,15,6,2,1,687 (89%),11,6,29,0.91,7,2,2,2,228 (72%),5,2,,5,4,1,13,2,,4,1,1,6,1,1.99,0.15,2.14,1.98,0.55,0.37,0.91,0.15,768,287,400,35 (58%),3 (13%),15,0,318,96,132,34 (44%),2 (17%),15,3,,11,10,1,9,2,,17,10,4,22,4,,36,25 (45%),11 (39%),9 (50%),,47,30 (55%),17 (61%),5 (42%),,1,0,,0,0,52.0,15.0,3,1.8,0.4,63.0,2.192,18.6,5.2,3.2,37.0,0.486,5.6,1.4,0.8,5.2,3.6,2.2,0.097,0.346,0.071,0.286
8456,2021-10-23T16:30:00.000Z,10204,Brighton & Hove Albion,4,1,False,52,4.23,23,14,4,1,491 (87%),6,6,48,1.30,10,5,1,0,422 (84%),10,7,,3,6,0,18,5,,4,1,0,7,3,4.07,0.16,4.23,3.86,0.51,0.00,0.51,1.19,566,219,272,33 (57%),2 (29%),16,1,501,309,113,24 (51%),5 (25%),17,2,,7,8,1,15,4,,16,13,6,9,8,,33,28 (45%),5 (26%),12 (55%),,48,34 (55%),14 (74%),12 (86%),,3,0,,2,0,35.0,27.0,3,1.2,0.4,61.2,1.816,16.6,4.4,2.2,38.8,0.626,6.8,1.8,1.2,15.6,6.6,2.2,0.072,0.273,0.059,0.222
8456,2021-10-30T14:00:00.000Z,9826,Crystal Palace,0,2,True,68,0.71,14,3,0,0,562 (86%),11,7,32,0.67,8,3,1,0,231 (72%),11,1,,4,7,0,10,4,,4,1,0,6,2,0.29,0.43,0.71,0.12,0.55,0.12,0.67,1.40,654,222,340,32 (62%),5 (16%),34,2,319,156,75,22 (33%),2 (50%),13,5,,16,6,1,4,1,,21,11,7,29,3,,48,35 (48%),13 (48%),9 (50%),,52,38 (52%),14 (52%),6 (46%),,2,1,,3,0,44.0,10.0,0,1.8,0.6,59.6,2.066,16.2,5.6,2.4,40.4,0.754,7.6,2.6,1.2,22.6,12.0,2.2,0.111,0.321,0.079,0.231
