team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8283,2021-08-07T14:00:00.000Z,8344,Cardiff City,1,1,False,55,0.44,10,3,0,0,226 (57%),6,4,45,1.74,10,6,2,2,144 (43%),7,2,,5,2,0,4,6,,3,1,0,6,4,0.40,0.04,0.44,0.56,1.26,0.48,1.74,0.72,399,126,100,20 (20%),0 (0%),35,4,333,80,64,22 (21%),7 (64%),25,6,,8,14,1,9,5,,17,15,1,17,2,,50,23 (49%),27 (36%),8 (80%),,71,24 (51%),47 (64%),2 (50%),,0,0,,0,0,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8283,2021-08-14T14:00:00.000Z,8669,Coventry City,1,0,True,38,0.52,8,1,0,0,130 (50%),16,1,62,1.99,12,2,2,2,273 (65%),14,5,,3,4,0,5,3,,8,2,1,9,3,0.37,0.15,0.52,0.70,0.94,0.25,1.20,1.04,258,47,83,18 (23%),4 (29%),29,2,422,172,101,32 (38%),5 (24%),33,5,,17,14,2,14,2,,15,8,4,12,1,,62,35 (48%),27 (44%),5 (33%),,72,38 (52%),34 (56%),7 (47%),,8,0,,2,0,,,3,1.0,1.0,55.0,0.44,10.0,3.0,0.0,45.0,1.74,10.0,6.0,2.0,0.0,0.0,1.0,0.1,0.333,0.1,0.167
8283,2021-08-17T18:45:00.000Z,8346,Luton Town,0,1,True,70,0.95,10,3,1,1,380 (74%),13,4,30,0.73,7,4,0,0,85 (39%),13,4,,6,1,0,7,3,,2,1,0,6,1,0.54,0.41,0.95,1.04,0.46,0.27,0.73,0.72,511,207,173,21 (30%),4 (18%),39,2,220,39,46,22 (25%),4 (44%),23,7,,11,6,1,14,3,,31,23,1,19,3,,65,35 (41%),30 (44%),11 (69%),,89,51 (59%),38 (56%),7 (44%),,1,0,,4,0,,,0,1.0,0.5,46.5,0.48,9.0,2.0,0.0,53.5,1.865,11.0,4.0,2.0,0.0,0.0,2.0,0.111,0.5,0.045,0.125
8283,2021-08-21T11:30:00.000Z,10172,Queens Park Rangers,2,2,False,34,1.55,12,4,2,1,178 (60%),15,9,66,1.54,13,6,1,0,443 (79%),3,6,,5,3,0,6,6,,5,2,0,8,5,0.61,0.94,1.55,1.32,1.18,0.36,1.54,1.24,295,64,114,20 (29%),2 (17%),20,4,562,312,131,33 (42%),5 (20%),26,5,,14,15,2,25,4,,16,6,3,14,2,,40,23 (31%),17 (40%),6 (60%),,77,52 (69%),25 (60%),21 (72%),,3,0,,2,0,25.0,21.0,1,0.667,0.667,54.333,0.637,9.333,2.333,0.333,45.667,1.487,9.667,4.0,1.333,0.0,0.0,1.333,0.071,0.286,0.069,0.167
8283,2021-08-28T14:00:00.000Z,8658,Birmingham City,1,1,True,49,0.26,7,2,0,0,175 (61%),10,2,51,2.60,14,4,6,5,186 (63%),11,2,,2,3,1,1,6,,9,1,0,11,3,0.15,0.11,0.26,0.35,1.64,0.96,2.60,2.58,285,116,59,16 (23%),1 (11%),25,2,293,96,90,32 (40%),3 (17%),27,3,,19,10,1,21,3,,13,14,3,9,1,,59,36 (51%),23 (43%),6 (55%),,65,35 (49%),30 (57%),12 (55%),,2,0,,4,0,6.0,22.0,1,1.0,1.0,49.25,0.865,10.0,2.75,0.75,50.75,1.5,10.5,4.5,1.25,6.25,5.25,1.25,0.1,0.364,0.095,0.222
8283,2021-09-11T14:00:00.000Z,8678,AFC Bournemouth,0,3,False,37,0.05,2,0,0,0,208 (65%),11,0,63,2.28,14,8,5,2,455 (81%),10,6,,0,2,0,0,2,,2,4,0,11,3,0.02,0.03,0.05,0.00,2.07,0.21,2.28,4.25,321,116,92,17 (23%),0 (0%),31,4,565,286,169,34 (46%),4 (36%),26,3,,24,16,4,14,5,,18,13,2,19,0,,57,44 (49%),13 (45%),10 (71%),,62,46 (51%),16 (55%),18 (60%),,3,0,,3,0,,,0,1.0,1.0,49.2,0.744,9.4,2.6,0.6,50.8,1.72,11.2,4.4,2.2,6.2,8.6,1.2,0.106,0.385,0.089,0.227
8283,2021-09-15T18:45:00.000Z,10194,Stoke City,1,1,False,41,1.07,9,4,1,1,243 (70%),12,4,59,2.52,12,7,7,6,377 (76%),12,11,,4,1,0,3,6,,4,1,1,11,1,1.01,0.06,1.07,0.93,1.29,0.43,1.73,3.63,345,110,133,12 (22%),3 (19%),19,4,496,242,135,34 (45%),8 (32%),21,0,,16,11,1,26,6,,20,11,1,14,3,,51,29 (42%),22 (50%),1 (9%),,62,40 (58%),22 (50%),8 (62%),,5,0,,1,1,,,1,0.8,1.4,45.6,0.666,7.8,2.0,0.6,54.4,1.828,12.0,4.8,2.8,7.45,9.65,1.0,0.103,0.4,0.117,0.292
8283,2021-09-18T14:00:00.000Z,8655,Blackburn Rovers,0,0,True,60,1.14,13,4,1,1,359 (76%),9,8,40,0.61,3,2,2,2,201 (63%),13,1,,6,3,0,7,6,,0,1,0,3,0,0.84,0.30,1.14,0.64,0.61,0.00,0.61,1.29,472,195,164,23 (38%),6 (27%),27,0,321,104,97,20 (26%),2 (25%),23,7,,24,12,0,14,2,,26,16,3,23,4,,65,47 (52%),18 (60%),10 (53%),,56,44 (48%),12 (40%),10 (59%),,0,0,,1,0,,,1,0.8,1.6,46.2,0.776,8.0,2.6,0.8,53.8,1.934,12.0,5.8,3.8,8.69,11.37,0.6,0.1,0.308,0.133,0.276
8283,2021-09-25T14:00:00.000Z,8483,Blackpool,0,1,False,60,1.10,13,4,2,2,349 (73%),13,4,40,1.30,13,6,1,1,212 (67%),17,6,,6,3,0,5,8,,4,3,0,9,4,0.91,0.19,1.10,0.48,1.20,0.10,1.30,1.73,480,194,155,23 (37%),5 (33%),28,2,316,108,104,33 (38%),5 (29%),31,4,,21,11,3,18,5,,23,9,3,16,4,,84,52 (53%),32 (57%),14 (54%),,70,46 (47%),24 (43%),11 (48%),,3,0,,1,0,,,0,0.8,1.4,44.2,0.814,8.6,2.8,0.8,55.8,1.91,11.2,5.4,4.2,10.18,13.3,0.8,0.093,0.286,0.125,0.259
8283,2021-09-29T18:45:00.000Z,10203,Nottingham Forest,1,3,True,38,1.05,8,3,1,0,152 (55%),13,2,62,2.69,12,7,3,0,316 (71%),6,6,,3,2,0,6,2,,3,2,0,9,3,0.13,0.14,0.26,1.40,2.58,0.10,2.69,2.71,276,47,105,12 (22%),4 (36%),30,3,448,227,89,29 (34%),1 (9%),45,7,,21,13,2,18,4,,29,18,2,10,2,,63,35 (41%),28 (53%),9 (56%),,75,50 (59%),25 (47%),8 (53%),,1,0,,0,0,,,0,0.4,1.2,49.4,0.724,8.8,2.8,0.8,50.6,1.862,11.2,5.4,4.2,6.918,11.374,0.6,0.045,0.143,0.107,0.222
