team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9827,2021-08-08T13:00:00.000Z,8311,Clermont Foot,0,2,True,44,0.68,10,6,1,1,366 (83%),13,5,56,3.13,19,10,6,4,475 (86%),9,10,,3,1,0,5,5,,4,5,0,16,3,0.54,0.14,0.68,0.64,2.78,0.34,3.13,2.63,439,233,133,30 (54%),8 (44%),19,0,552,297,178,37 (65%),6 (30%),23,2,,19,11,5,23,8,,18,9,1,12,6,,44,34 (46%),10 (36%),6 (40%),,58,40 (54%),18 (64%),9 (56%),,1,0,,0,0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9827,2021-08-15T18:45:00.000Z,8592,Marseille,2,2,False,32,0.26,8,2,0,0,271 (83%),11,4,68,1.00,10,2,1,0,645 (92%),6,3,,5,1,0,5,3,,5,3,0,6,4,0.17,0.09,0.26,0.18,0.90,0.10,1.00,1.05,327,178,93,37 (63%),4 (29%),25,1,701,320,325,38 (70%),1 (9%),15,1,,15,14,3,11,0,,14,8,1,10,0,,28,25 (42%),3 (21%),4 (40%),,45,34 (58%),11 (79%),10 (63%),,2,0,,2,1,,,1,0.0,2.0,44.0,0.68,10.0,6.0,1.0,56.0,3.13,19.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.105,0.2
9827,2021-08-22T13:00:00.000Z,8121,Angers,1,1,True,53,0.90,14,5,0,0,448 (89%),19,3,47,0.92,6,3,2,1,388 (86%),5,3,,4,5,0,6,8,,3,0,0,5,1,0.80,0.10,0.90,0.92,0.89,0.03,0.92,1.11,505,248,200,37 (69%),5 (19%),32,1,451,245,143,29 (58%),4 (40%),16,1,,29,9,0,10,2,,25,12,4,27,5,,56,43 (45%),13 (57%),10 (45%),,62,52 (55%),10 (43%),9 (36%),,2,0,,0,0,20.0,10.0,1,1.0,2.0,38.0,0.47,9.0,4.0,0.5,62.0,2.065,14.5,6.0,3.5,0.0,0.0,0.5,0.111,0.25,0.138,0.333
9827,2021-08-28T15:00:00.000Z,9831,Nice,0,4,False,57,1.09,13,4,1,1,448 (86%),11,0,43,3.19,11,5,3,0,326 (81%),18,3,,4,5,0,7,6,,4,2,0,9,2,0.96,0.13,1.09,1.39,2.31,0.09,2.40,2.63,520,251,197,42 (67%),3 (20%),28,1,402,190,136,27 (47%),2 (22%),10,2,,12,12,2,8,2,,22,11,4,11,4,,51,38 (45%),13 (54%),10 (48%),,57,46 (55%),11 (46%),13 (68%),,2,0,,3,0,,,0,1.0,1.667,43.0,0.613,10.667,4.333,0.333,57.0,1.683,11.667,5.0,3.0,6.667,3.333,0.667,0.094,0.231,0.143,0.333
9827,2021-09-12T13:00:00.000Z,8588,Lens,2,3,True,55,0.83,10,3,1,0,428 (84%),8,2,45,2.60,13,5,5,2,325 (81%),11,7,,3,4,0,8,2,,4,4,1,8,5,0.36,0.47,0.83,1.43,1.12,0.69,1.81,3.72,508,277,151,27 (61%),0 (0%),29,2,402,195,130,27 (53%),5 (24%),14,1,,9,11,3,15,2,,14,10,4,13,1,,39,28 (47%),11 (52%),8 (62%),,42,32 (53%),10 (48%),12 (67%),,3,0,,2,0,,,0,0.75,2.25,46.5,0.733,11.25,4.25,0.5,53.5,2.06,11.5,5.0,3.0,5.0,2.5,0.5,0.067,0.176,0.196,0.45
9827,2021-09-18T19:00:00.000Z,9853,Saint-Etienne,2,1,False,45,2.30,13,3,3,2,252 (71%),12,2,55,1.39,12,5,2,2,310 (76%),9,7,,6,4,0,8,5,,6,1,0,8,4,2.23,0.07,2.30,1.44,1.32,0.07,1.39,0.65,355,137,115,23 (31%),6 (60%),23,0,410,169,141,26 (48%),3 (9%),28,3,,24,14,2,29,3,,27,10,4,6,1,,66,52 (49%),14 (74%),20 (61%),,60,55 (51%),5 (26%),17 (55%),,4,0,,1,0,,,3,1.0,2.4,48.2,0.752,11.0,4.0,0.6,51.8,2.168,11.8,5.0,3.4,5.333,2.667,0.4,0.091,0.25,0.203,0.48
9827,2021-09-22T17:00:00.000Z,10249,Montpellier,3,3,False,45,1.36,15,7,2,1,323 (79%),8,6,55,1.27,15,6,2,1,404 (84%),10,6,,5,3,0,6,9,,8,1,0,9,6,1.06,0.30,1.36,2.84,1.13,0.14,1.27,2.31,408,198,125,42 (55%),2 (13%),20,1,479,222,182,28 (54%),7 (22%),26,2,,14,12,1,24,4,,10,5,3,19,4,,63,48 (59%),15 (54%),24 (75%),,46,33 (41%),13 (46%),16 (59%),,2,0,,0,0,,,1,1.4,2.2,48.4,1.076,11.6,3.4,1.0,51.6,1.82,10.4,4.0,2.6,6.333,3.167,1.0,0.121,0.412,0.212,0.55
9827,2021-09-26T11:00:00.000Z,9851,Rennes,1,1,True,46,0.69,10,3,0,0,253 (78%),6,8,54,2.10,18,8,1,0,309 (79%),20,6,,5,2,0,6,4,,8,2,0,11,7,0.33,0.36,0.69,0.22,1.93,0.17,2.10,1.64,326,127,126,39 (50%),4 (18%),17,3,389,166,143,21 (44%),4 (33%),16,2,,15,6,2,21,7,,14,3,2,21,2,,57,45 (61%),12 (46%),10 (59%),,43,29 (39%),14 (54%),11 (55%),,1,0,,4,0,,,1,1.6,2.4,51.0,1.296,13.0,4.4,1.4,49.0,1.874,11.4,4.8,2.8,7.4,3.7,1.0,0.123,0.364,0.211,0.5
9827,2021-10-03T13:00:00.000Z,9829,Monaco,0,3,False,43,0.29,4,1,1,1,290 (81%),13,2,57,1.60,12,4,2,0,395 (82%),12,10,,0,3,0,2,2,,3,5,1,5,7,0.28,0.01,0.29,0.00,0.66,0.14,0.81,2.25,360,188,102,25 (49%),0 (0%),23,2,481,175,220,24 (49%),4 (20%),19,5,,9,8,5,21,2,,29,5,4,11,0,,47,35 (40%),12 (52%),15 (45%),,63,52 (60%),11 (48%),11 (58%),,1,0,,2,0,9.0,17.0,0,1.6,2.4,49.6,1.254,12.2,4.0,1.4,50.4,2.11,13.8,5.8,2.6,4.667,2.333,1.0,0.131,0.4,0.174,0.414
9827,2021-10-17T13:00:00.000Z,9830,Nantes,1,1,True,60,0.52,8,1,1,1,390 (80%),10,2,40,1.29,13,7,2,2,221 (69%),16,5,,6,1,1,6,2,,6,0,1,10,3,0.41,0.11,0.52,0.49,1.10,0.19,1.29,1.36,490,259,131,33 (49%),1 (7%),23,1,321,113,108,22 (39%),5 (28%),23,3,,14,6,0,14,6,,11,10,1,14,0,,67,43 (63%),24 (50%),14 (70%),,49,25 (37%),24 (50%),6 (40%),,2,0,,3,0,14.0,24.0,1,1.6,2.2,46.8,1.094,10.4,3.4,1.4,53.2,1.792,14.0,5.6,2.4,6.467,5.733,1.0,0.154,0.471,0.157,0.393
9827,2021-10-24T13:00:00.000Z,8689,Lorient,1,1,False,46,0.97,11,5,1,0,360 (81%),13,4,54,1.22,15,4,5,4,412 (82%),12,9,,3,3,0,6,5,,8,3,1,9,6,0.73,0.24,0.97,1.46,0.85,0.37,1.22,0.65,447,219,141,40 (56%),3 (27%),16,0,504,220,192,23 (41%),8 (28%),17,3,,10,15,4,29,2,,16,17,3,10,4,,45,33 (47%),12 (41%),13 (65%),,54,37 (53%),17 (59%),11 (65%),,2,1,,4,0,15.0,30.0,1,1.4,1.8,47.8,1.032,10.0,3.0,1.4,52.2,1.53,14.0,6.0,1.8,7.933,9.867,1.2,0.14,0.467,0.129,0.3
9827,2021-10-31T14:00:00.000Z,9837,Reims,3,2,True,52,1.96,16,6,3,1,345 (83%),5,12,48,1.45,12,8,3,2,310 (79%),10,2,,7,3,0,12,4,,4,0,0,9,3,0.74,0.43,1.17,2.32,0.79,0.66,1.45,1.74,414,211,134,28 (55%),3 (12%),26,1,393,185,125,23 (58%),3 (33%),19,0,,13,17,0,7,6,,25,14,2,21,3,,40,32 (43%),8 (35%),10 (42%),,58,43 (57%),15 (65%),13 (72%),,2,0,,2,0,26.0,15.0,3,1.2,1.8,48.0,0.766,9.6,3.4,1.0,52.0,1.496,14.6,5.8,2.4,9.933,15.367,0.8,0.125,0.353,0.123,0.31
9827,2021-11-06T20:00:00.000Z,9847,Paris Saint-Germain,2,3,True,44,1.36,18,6,2,0,368 (86%),9,10,56,1.46,9,5,1,0,482 (85%),10,5,,3,9,0,8,10,,2,2,0,9,0,1.25,0.10,1.36,2.32,1.32,0.14,1.46,1.22,426,182,186,32 (68%),1 (4%),10,3,569,299,183,18 (51%),1 (10%),14,3,,20,12,2,10,2,,12,5,8,26,5,,47,39 (57%),8 (57%),10 (63%),,36,30 (43%),6 (43%),11 (55%),,2,0,,1,0,28.0,28.0,0,1.2,1.6,49.4,0.886,9.8,3.2,1.2,50.6,1.532,14.0,6.2,2.6,14.067,17.833,1.2,0.122,0.375,0.114,0.258
9827,2021-11-21T14:00:00.000Z,8550,Metz,3,3,False,54,2.23,19,5,3,2,395 (82%),11,4,46,1.24,20,9,1,0,321 (81%),12,2,,7,7,0,12,7,,5,6,0,9,11,1.83,0.40,2.23,1.81,0.75,0.49,1.24,1.37,484,242,153,40 (66%),2 (14%),19,1,398,165,156,25 (51%),5 (26%),25,1,,14,11,6,13,6,,13,12,6,23,2,,44,34 (47%),10 (32%),11 (61%),,59,38 (53%),21 (68%),14 (61%),,2,0,,2,1,33.0,16.0,1,1.4,2.0,49.0,1.02,11.4,3.8,1.6,51.0,1.404,12.2,5.6,2.6,18.4,22.8,1.0,0.123,0.368,0.164,0.357
9827,2021-11-28T14:00:00.000Z,8521,Brest,1,2,True,65,1.37,16,4,2,1,497 (87%),13,5,35,2.45,14,4,4,2,217 (71%),11,2,,6,6,0,8,8,,8,2,0,10,4,0.88,0.48,1.37,1.22,2.29,0.17,2.45,1.71,574,315,182,31 (56%),5 (21%),21,1,305,93,124,28 (57%),4 (33%),19,0,,18,16,2,10,2,,15,12,6,29,3,,53,34 (52%),19 (49%),5 (33%),,51,31 (48%),20 (51%),5 (33%),,3,0,,1,0,26.0,23.0,0,2.0,2.0,51.2,1.408,14.4,4.6,2.0,48.8,1.332,13.8,6.6,2.4,23.2,22.6,1.2,0.139,0.435,0.145,0.303
