team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8311,2021-08-08T13:00:00.000Z,9827,Bordeaux,2,0,False,56,3.13,19,10,6,4,475 (86%),9,10,44,0.68,10,6,1,1,366 (83%),13,5,,4,5,0,16,3,,3,1,0,5,5,2.78,0.34,3.13,2.63,0.54,0.14,0.68,0.64,552,297,178,37 (65%),6 (30%),23,2,439,233,133,30 (54%),8 (44%),19,0,,18,9,1,12,6,,19,11,5,23,8,,58,40 (54%),18 (64%),9 (56%),,44,34 (46%),10 (36%),6 (40%),,0,0,,1,0,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8311,2021-08-15T13:00:00.000Z,10242,Troyes,2,0,True,64,2.35,18,8,3,2,589 (93%),6,9,36,0.71,6,1,1,1,304 (85%),11,2,,7,3,0,11,7,,4,1,0,5,1,1.38,0.97,2.35,3.67,0.71,0.00,0.71,0.59,633,318,271,32 (73%),6 (22%),18,2,358,222,82,37 (71%),3 (23%),12,0,,9,6,1,9,1,,19,5,1,17,6,,35,29 (49%),6 (40%),11 (50%),,39,30 (51%),9 (60%),5 (56%),,1,0,,1,1,,,3,2.0,0.0,56.0,3.13,19.0,10.0,6.0,44.0,0.68,10.0,6.0,1.0,0.0,0.0,3.0,0.105,0.2,0.0,0.0
8311,2021-08-22T11:00:00.000Z,9748,Lyon,3,3,False,45,1.57,17,5,3,2,364 (83%),6,8,55,3.29,21,9,6,4,472 (87%),10,5,,7,5,0,11,6,,10,2,0,15,6,1.25,0.32,1.57,1.43,2.37,0.13,2.51,3.26,436,254,110,24 (69%),7 (29%),16,0,543,253,219,25 (57%),4 (27%),16,0,,20,14,2,10,6,,25,15,5,15,3,,45,34 (40%),11 (46%),7 (41%),,63,50 (60%),13 (54%),19 (68%),,2,0,,2,0,,,1,2.0,0.0,60.0,2.74,18.5,9.0,4.5,40.0,0.695,8.0,3.5,1.0,0.0,0.0,3.0,0.108,0.222,0.0,0.0
8311,2021-08-29T13:00:00.000Z,8550,Metz,2,2,True,60,1.63,16,4,2,1,431 (82%),11,6,40,1.36,12,4,2,1,255 (73%),15,3,,10,2,1,14,2,,6,2,0,9,3,0.92,0.70,1.63,1.04,0.38,0.20,0.57,1.98,527,259,172,28 (55%),7 (27%),24,2,348,138,117,19 (33%),4 (21%),17,0,,15,6,2,14,3,,20,16,2,20,3,,51,40 (53%),11 (48%),12 (60%),,47,35 (47%),12 (52%),5 (45%),,1,0,,2,0,,,1,2.333,1.0,55.0,2.35,18.0,7.667,4.0,45.0,1.56,12.333,5.333,2.667,0.0,0.0,2.333,0.13,0.304,0.081,0.188
8311,2021-09-11T15:00:00.000Z,9847,Paris Saint-Germain,0,4,False,48,1.25,14,2,1,1,461 (87%),9,4,52,2.52,13,7,4,2,516 (89%),13,4,,6,6,0,8,6,,3,3,0,10,3,1.16,0.09,1.25,0.09,2.39,0.13,2.52,1.69,529,255,206,24 (57%),5 (23%),19,1,579,308,208,25 (68%),2 (22%),12,1,,19,12,3,8,3,,22,13,5,16,2,,49,43 (46%),6 (50%),13 (72%),,56,50 (54%),6 (50%),19 (63%),,1,0,,0,0,,,0,2.25,1.25,56.25,2.17,17.5,6.75,3.5,43.75,1.51,12.25,5.0,2.5,0.0,0.0,2.0,0.129,0.333,0.102,0.25
8311,2021-09-19T13:00:00.000Z,8521,Brest,1,1,True,58,1.05,7,4,1,1,490 (87%),7,3,42,0.46,5,1,1,0,345 (84%),19,5,,3,0,0,6,1,,1,3,0,3,2,0.39,0.66,1.05,0.84,0.11,0.35,0.46,0.57,565,377,113,31 (62%),6 (30%),21,0,410,194,151,32 (52%),2 (12%),10,1,,19,1,3,18,0,,15,11,0,9,3,,52,42 (58%),10 (42%),5 (63%),,45,31 (42%),14 (58%),9 (69%),,1,1,,1,0,,,1,1.8,1.8,54.6,1.986,16.8,5.8,3.0,45.4,1.712,12.4,5.4,2.8,0.0,0.0,1.6,0.107,0.31,0.145,0.333
8311,2021-09-22T17:00:00.000Z,9851,Rennes,0,6,False,44,0.28,4,1,1,1,335 (82%),5,7,56,2.45,21,10,5,2,447 (86%),14,5,,2,1,0,3,1,,6,5,0,12,9,0.22,0.07,0.28,0.92,2.27,0.18,2.45,3.43,407,211,124,19 (49%),4 (20%),20,0,521,237,210,32 (56%),5 (31%),24,0,,9,8,5,16,4,,20,5,1,14,1,,47,31 (48%),16 (59%),8 (57%),,45,34 (52%),11 (41%),9 (82%),,1,0,,1,0,,,0,1.6,2.0,55.0,1.57,14.4,4.6,2.0,45.0,1.668,11.4,4.4,2.8,0.0,0.0,1.2,0.111,0.348,0.175,0.455
8311,2021-09-26T15:05:00.000Z,9829,Monaco,1,3,True,54,1.08,12,4,2,1,433 (84%),9,5,46,1.64,6,3,3,0,379 (82%),12,1,,5,3,0,7,5,,3,0,0,5,1,1.03,0.04,1.08,0.98,1.58,0.05,1.64,1.71,515,264,169,39 (71%),7 (32%),17,2,462,199,180,20 (36%),2 (33%),17,0,,16,7,0,10,0,,15,12,3,21,3,,50,44 (58%),6 (35%),16 (73%),,43,32 (42%),11 (65%),8 (47%),,2,0,,4,0,,,0,1.2,3.2,51.0,1.156,11.6,3.2,1.6,49.0,2.016,14.4,6.2,3.6,0.0,0.0,0.6,0.103,0.375,0.222,0.516
8311,2021-10-03T13:00:00.000Z,8689,Lorient,1,1,False,54,1.13,8,4,1,0,436 (82%),12,4,46,0.53,6,1,2,1,344 (78%),19,4,,2,2,0,6,2,,2,3,0,5,1,0.91,0.23,1.13,0.93,0.14,0.39,0.53,0.09,529,301,135,23 (41%),2 (17%),28,1,442,175,169,38 (58%),4 (27%),21,0,,20,13,3,13,0,,15,14,2,17,3,,59,44 (53%),15 (54%),7 (70%),,52,39 (47%),13 (46%),12 (63%),,1,0,,2,0,14.0,13.0,1,0.8,3.2,52.8,1.058,10.6,3.0,1.4,47.2,1.686,11.4,5.0,3.0,0.0,0.0,0.4,0.075,0.267,0.281,0.64
8311,2021-10-16T15:00:00.000Z,8639,Lille,1,0,True,43,0.33,9,3,0,0,304 (79%),9,6,57,0.96,9,2,0,0,428 (82%),8,10,,5,1,0,4,5,,4,3,0,7,2,0.27,0.07,0.33,0.82,0.38,0.58,0.96,0.05,387,182,122,15 (33%),7 (30%),25,0,519,238,190,30 (55%),6 (26%),23,1,,16,9,3,16,2,,20,10,1,15,2,,46,36 (49%),10 (33%),12 (43%),,57,37 (51%),20 (67%),10 (59%),,1,0,,3,0,18.0,25.0,3,0.6,3.0,51.6,0.958,9.0,3.0,1.2,48.4,1.52,10.2,4.4,3.0,2.8,2.6,0.4,0.067,0.2,0.294,0.682
8311,2021-10-23T15:00:00.000Z,9830,Nantes,1,2,False,54,1.14,4,1,1,0,465 (85%),11,3,46,1.27,8,4,2,2,383 (83%),15,1,,3,0,0,4,0,,2,2,0,8,0,1.05,0.09,1.14,0.95,1.25,0.02,1.27,1.00,545,330,135,18 (43%),6 (43%),12,1,459,183,200,35 (56%),3 (25%),20,0,,12,13,2,10,1,,14,12,0,8,0,,49,43 (56%),6 (33%),16 (57%),,46,34 (44%),12 (67%),10 (56%),,0,1,,1,1,13.0,20.0,0,0.8,2.2,50.6,0.774,8.0,3.2,1.0,49.4,1.208,9.4,3.4,2.2,6.4,7.6,1.0,0.1,0.25,0.234,0.647
8311,2021-10-31T19:45:00.000Z,8592,Marseille,0,1,True,41,0.67,12,1,1,1,312 (83%),15,4,59,1.05,9,4,2,2,485 (87%),11,2,,6,5,0,4,8,,3,2,1,7,2,0.59,0.08,0.67,0.23,1.05,0.00,1.05,0.79,377,208,104,15 (37%),5 (24%),18,2,557,340,145,20 (45%),3 (30%),20,0,,18,10,2,9,3,,13,5,5,18,1,,42,34 (47%),8 (44%),5 (50%),,48,38 (53%),10 (56%),10 (67%),,1,0,,4,0,14.0,17.0,0,0.8,2.4,49.8,0.792,7.4,2.6,1.0,50.2,1.37,10.0,4.0,2.4,9.0,11.6,0.8,0.108,0.308,0.24,0.6
