team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9748,2021-08-07T15:00:00.000Z,8521,Brest,1,1,True,69.0,1.39,17.0,4.0,1.0,1.0,604 (89%),10.0,9.0,31.0,0.85,13.0,8.0,2.0,2.0,225 (76%),12.0,4.0,,9.0,4.0,0.0,13.0,4.0,,4.0,1.0,0.0,9.0,4.0,1.18,0.22,1.39,0.27,0.56,0.29,0.85,0.78,681.0,340.0,264.0,19 (50%),6 (26%),25.0,1.0,298.0,133.0,92.0,32 (52%),6 (43%),26.0,1.0,,16.0,7.0,2.0,11.0,6.0,,16.0,15.0,3.0,24.0,3.0,,48.0,32 (54%),16 (47%),4 (36%),,45.0,27 (46%),18 (53%),2 (22%),,1.0,0.0,,1.0,0.0,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9748,2021-08-15T11:00:00.000Z,8121,Angers,0,3,False,58.0,0.91,8.0,3.0,2.0,2.0,437 (86%),17.0,4.0,42.0,1.82,13.0,6.0,2.0,1.0,299 (82%),11.0,6.0,,3.0,2.0,0.0,5.0,3.0,,6.0,1.0,1.0,6.0,7.0,0.83,0.08,0.91,0.33,1.07,0.75,1.82,2.08,509.0,249.0,188.0,41 (69%),6 (32%),14.0,0.0,365.0,155.0,144.0,23 (52%),2 (12%),17.0,1.0,,28.0,11.0,1.0,17.0,4.0,,28.0,11.0,2.0,12.0,3.0,,64.0,52 (46%),12 (55%),13 (59%),,71.0,61 (54%),10 (45%),17 (49%),,3.0,1.0,,1.0,0.0,10.0,24.0,0,1.0,1.0,69.0,1.39,17.0,4.0,1.0,31.0,0.85,13.0,8.0,2.0,0.0,0.0,1.0,0.059,0.25,0.077,0.125
9748,2021-08-22T11:00:00.000Z,8311,Clermont Foot,3,3,True,55.0,3.29,21.0,9.0,6.0,4.0,472 (87%),10.0,5.0,45.0,1.57,17.0,5.0,3.0,2.0,364 (83%),6.0,8.0,,10.0,2.0,0.0,15.0,6.0,,7.0,5.0,0.0,11.0,6.0,2.37,0.13,2.51,3.26,1.25,0.32,1.57,1.43,543.0,253.0,219.0,25 (57%),4 (27%),16.0,0.0,436.0,254.0,110.0,24 (69%),7 (29%),16.0,0.0,,25.0,15.0,5.0,15.0,3.0,,20.0,14.0,2.0,10.0,6.0,,63.0,50 (60%),13 (54%),19 (68%),,45.0,34 (40%),11 (46%),7 (41%),,2.0,0.0,,2.0,0.0,,,1,0.5,2.0,63.5,1.15,12.5,3.5,1.5,36.5,1.335,13.0,7.0,2.0,5.0,12.0,0.5,0.04,0.143,0.154,0.286
9748,2021-08-27T19:00:00.000Z,9830,Nantes,1,0,False,64.0,1.25,12.0,5.0,3.0,2.0,493 (83%),11.0,6.0,36.0,1.39,18.0,5.0,1.0,1.0,242 (76%),7.0,6.0,,5.0,2.0,0.0,10.0,2.0,,9.0,4.0,0.0,10.0,8.0,1.06,0.19,1.25,0.93,1.09,0.31,1.39,1.25,593.0,290.0,203.0,26 (49%),5 (42%),29.0,1.0,317.0,97.0,145.0,25 (43%),3 (14%),18.0,2.0,,20.0,9.0,4.0,21.0,5.0,,17.0,16.0,2.0,15.0,4.0,,66.0,40 (54%),26 (65%),14 (74%),,48.0,34 (46%),14 (35%),6 (33%),,0.0,1.0,,2.0,0.0,,,3,1.333,2.333,60.667,1.863,15.333,5.333,3.0,39.333,1.413,14.333,6.333,2.333,3.333,8.0,0.667,0.087,0.25,0.163,0.368
9748,2021-09-12T18:45:00.000Z,9848,Strasbourg,3,1,True,59.0,1.62,14.0,7.0,3.0,1.0,492 (86%),8.0,4.0,41.0,1.66,12.0,4.0,4.0,3.0,308 (82%),11.0,6.0,,7.0,0.0,0.0,8.0,6.0,,6.0,2.0,0.0,12.0,0.0,1.31,0.31,1.62,2.06,0.78,0.09,0.87,1.86,569.0,266.0,226.0,32 (63%),4 (36%),25.0,0.0,376.0,150.0,158.0,20 (51%),8 (23%),24.0,3.0,,8.0,12.0,2.0,26.0,3.0,,18.0,16.0,0.0,18.0,4.0,,49.0,31 (52%),18 (55%),13 (65%),,44.0,29 (48%),15 (45%),4 (67%),,2.0,0.0,,1.0,0.0,26.0,21.0,3,1.25,1.75,61.5,1.71,14.5,5.25,3.0,38.5,1.407,15.25,6.0,2.0,3.75,9.0,1.25,0.086,0.238,0.115,0.292
9748,2021-09-19T18:45:00.000Z,9847,Paris Saint-Germain,1,2,False,46.0,0.80,12.0,5.0,1.0,0.0,382 (87%),19.0,4.0,54.0,2.01,14.0,5.0,3.0,1.0,465 (91%),13.0,10.0,,3.0,4.0,0.0,5.0,7.0,,6.0,3.0,1.0,9.0,5.0,0.63,0.17,0.80,0.86,1.03,0.19,1.22,2.64,438.0,209.0,173.0,35 (64%),2 (20%),15.0,3.0,513.0,231.0,234.0,20 (71%),3 (14%),9.0,2.0,,17.0,9.0,3.0,23.0,3.0,,17.0,8.0,4.0,9.0,4.0,,54.0,48 (46%),6 (43%),21 (78%),,64.0,56 (54%),8 (57%),22 (65%),,1.0,0.0,,3.0,0.0,,,0,1.6,1.6,61.0,1.692,14.4,5.6,3.0,39.0,1.458,14.6,5.6,2.4,8.2,11.4,1.6,0.111,0.286,0.11,0.286
9748,2021-09-22T19:00:00.000Z,10242,Troyes,3,1,True,69.0,1.83,15.0,8.0,4.0,3.0,574 (88%),7.0,7.0,31.0,1.49,12.0,7.0,3.0,3.0,219 (78%),9.0,3.0,,5.0,2.0,0.0,11.0,4.0,,4.0,1.0,0.0,7.0,5.0,1.60,0.23,1.83,2.87,1.49,0.00,1.49,1.16,649.0,328.0,246.0,31 (67%),4 (31%),23.0,5.0,281.0,123.0,96.0,21 (49%),2 (14%),16.0,1.0,,17.0,9.0,1.0,12.0,5.0,,20.0,14.0,2.0,12.0,5.0,,47.0,37 (52%),10 (63%),12 (55%),,40.0,34 (48%),6 (38%),7 (47%),,1.0,0.0,,3.0,0.0,,,3,1.6,1.8,56.4,1.574,13.4,5.8,3.0,43.6,1.69,14.8,5.0,2.6,8.95,13.2,1.4,0.119,0.276,0.122,0.36
9748,2021-09-25T19:00:00.000Z,8689,Lorient,1,1,True,53.0,1.38,12.0,2.0,2.0,1.0,413 (86%),9.0,9.0,47.0,0.70,12.0,5.0,0.0,0.0,370 (85%),10.0,3.0,,5.0,5.0,0.0,9.0,3.0,,5.0,2.0,0.0,3.0,9.0,1.33,0.05,1.38,1.69,0.52,0.18,0.70,1.05,483.0,207.0,206.0,19 (56%),2 (12%),13.0,1.0,436.0,202.0,168.0,28 (49%),4 (33%),15.0,2.0,,10.0,8.0,2.0,13.0,4.0,,8.0,10.0,5.0,27.0,1.0,,38.0,31 (53%),7 (41%),12 (80%),,38.0,28 (47%),10 (59%),12 (71%),,1.0,1.0,,2.0,0.0,17.0,11.0,1,2.2,1.4,58.6,1.758,14.8,6.8,3.4,41.4,1.624,14.6,5.2,2.8,8.59,10.68,2.0,0.149,0.324,0.096,0.269
9748,2021-10-03T18:45:00.000Z,9853,Saint-Etienne,1,1,False,56.0,1.36,15.0,5.0,2.0,2.0,375 (82%),10.0,4.0,44.0,2.41,18.0,6.0,5.0,4.0,271 (78%),14.0,6.0,,3.0,7.0,0.0,9.0,6.0,,9.0,3.0,2.0,9.0,9.0,1.28,0.08,1.36,1.30,1.20,0.42,1.62,1.24,460.0,202.0,173.0,32 (60%),2 (17%),23.0,4.0,349.0,128.0,143.0,27 (46%),7 (32%),22.0,3.0,,8.0,17.0,1.0,15.0,5.0,,14.0,17.0,7.0,9.0,4.0,,43.0,25 (41%),18 (67%),6 (50%),,45.0,36 (59%),9 (33%),14 (88%),,3.0,1.0,,2.0,0.0,25.0,35.0,1,1.8,1.0,58.2,1.376,13.0,5.4,2.6,41.8,1.45,13.6,5.2,2.2,11.99,12.88,2.0,0.138,0.333,0.074,0.192
9748,2021-10-16T19:00:00.000Z,9829,Monaco,2,0,True,62.0,2.57,14.0,8.0,3.0,1.0,596 (89%),8.0,2.0,38.0,0.56,9.0,3.0,0.0,0.0,323 (79%),10.0,4.0,,5.0,1.0,0.0,8.0,6.0,,2.0,4.0,0.0,7.0,2.0,0.82,0.97,1.78,3.51,0.50,0.06,0.56,0.80,673.0,329.0,267.0,33 (60%),3 (25%),16.0,1.0,411.0,185.0,138.0,17 (33%),2 (20%),22.0,2.0,,15.0,13.0,4.0,11.0,3.0,,25.0,8.0,1.0,15.0,6.0,,56.0,40 (47%),16 (73%),15 (56%),,51.0,45 (53%),6 (27%),12 (75%),,1.0,0.0,,2.0,0.0,27.0,16.0,3,1.8,1.2,56.6,1.398,13.6,5.4,2.4,43.4,1.654,13.6,5.4,3.0,15.99,17.48,1.6,0.132,0.333,0.088,0.222
