team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8592,2021-08-08T18:45:00.000Z,10249,Montpellier,3,2,False,59.0,1.87,21.0,7.0,3.0,2.0,466 (88%),5.0,11.0,41.0,0.57,8.0,1.0,1.0,1.0,271 (77%),10.0,6.0,,8.0,6.0,0.0,14.0,7.0,,5.0,2.0,0.0,5.0,3.0,1.34,0.53,1.87,1.56,0.53,0.04,0.57,0.47,530.0,174.0,292.0,31 (69%),5 (18%),15.0,1.0,351.0,158.0,113.0,27 (47%),3 (14%),15.0,1.0,,11.0,15.0,2.0,16.0,0.0,,19.0,12.0,6.0,18.0,4.0,,45.0,31 (51%),14 (54%),10 (63%),,42.0,30 (49%),12 (46%),6 (60%),,1.0,0.0,,0.0,0.0,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8592,2021-08-15T18:45:00.000Z,9827,Bordeaux,2,2,True,68.0,1.00,10.0,2.0,1.0,0.0,645 (92%),6.0,3.0,32.0,0.26,8.0,2.0,0.0,0.0,271 (83%),11.0,4.0,,5.0,3.0,0.0,6.0,4.0,,5.0,1.0,0.0,5.0,3.0,0.90,0.10,1.00,1.05,0.17,0.09,0.26,0.18,701.0,320.0,325.0,38 (70%),1 (9%),15.0,1.0,327.0,178.0,93.0,37 (63%),4 (29%),25.0,1.0,,14.0,8.0,1.0,10.0,0.0,,15.0,14.0,3.0,11.0,0.0,,45.0,34 (58%),11 (79%),10 (63%),,28.0,25 (42%),3 (21%),4 (40%),,2.0,1.0,,2.0,0.0,,,1,3.0,2.0,59.0,1.87,21.0,7.0,3.0,41.0,0.57,8.0,1.0,1.0,0.0,0.0,3.0,0.143,0.429,0.25,2.0
8592,2021-08-22T18:45:00.000Z,9831,Nice,0,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.5,2.0,63.5,1.435,15.5,4.5,2.0,36.5,0.415,8.0,1.5,0.5,0.0,0.0,2.0,0.161,0.556,0.25,1.333
8592,2021-08-28T19:00:00.000Z,9853,Saint-Etienne,3,1,True,64.0,2.14,19.0,5.0,4.0,3.0,570 (90%),11.0,5.0,36.0,1.15,11.0,7.0,3.0,2.0,284 (85%),18.0,4.0,,8.0,6.0,1.0,14.0,5.0,,4.0,0.0,0.0,7.0,4.0,1.93,0.21,2.14,2.71,0.84,0.31,1.15,1.68,631.0,328.0,242.0,24 (65%),5 (45%),21.0,2.0,333.0,151.0,133.0,23 (51%),7 (33%),20.0,1.0,,20.0,6.0,0.0,10.0,6.0,,19.0,11.0,6.0,9.0,2.0,,52.0,47 (55%),5 (36%),11 (61%),,47.0,38 (45%),9 (64%),8 (44%),,1.0,0.0,,3.0,0.0,,,3,1.667,1.667,62.0,1.58,17.333,5.333,2.333,38.0,0.467,8.0,1.333,0.667,0.0,0.0,1.333,0.096,0.313,0.208,1.251
8592,2021-09-11T19:00:00.000Z,9829,Monaco,2,0,False,49.0,1.65,13.0,5.0,2.0,1.0,384 (83%),8.0,2.0,51.0,0.81,7.0,0.0,1.0,1.0,413 (84%),17.0,3.0,,6.0,2.0,2.0,10.0,3.0,,4.0,3.0,0.0,5.0,2.0,1.63,0.02,1.65,1.87,0.65,0.16,0.81,0.00,461.0,244.0,140.0,27 (48%),3 (33%),19.0,1.0,494.0,207.0,206.0,18 (40%),3 (33%),19.0,4.0,,17.0,9.0,3.0,13.0,0.0,,18.0,5.0,2.0,6.0,3.0,,60.0,50 (61%),10 (50%),16 (62%),,42.0,32 (39%),10 (50%),6 (50%),,1.0,0.0,,4.0,0.0,,,3,2.0,1.5,62.5,1.72,17.75,5.25,2.75,37.5,0.637,8.75,2.75,1.25,0.0,0.0,1.75,0.113,0.381,0.171,0.545
8592,2021-09-19T15:05:00.000Z,9851,Rennes,2,0,True,65.0,2.12,17.0,6.0,3.0,2.0,478 (88%),5.0,6.0,35.0,1.82,13.0,2.0,1.0,1.0,227 (78%),17.0,7.0,,7.0,4.0,1.0,9.0,8.0,,9.0,2.0,0.0,10.0,3.0,1.68,0.45,2.12,1.60,1.24,0.58,1.82,0.17,542.0,226.0,252.0,31 (55%),11 (48%),24.0,0.0,291.0,119.0,108.0,26 (59%),5 (31%),22.0,1.0,,13.0,11.0,2.0,11.0,2.0,,15.0,3.0,4.0,20.0,4.0,,48.0,36 (61%),12 (46%),8 (50%),,37.0,23 (39%),14 (54%),3 (43%),,0.0,0.0,,2.0,0.0,,,3,2.0,1.2,59.8,1.706,16.8,5.2,2.6,40.2,0.672,8.4,2.2,1.2,0.0,0.0,2.0,0.119,0.385,0.143,0.545
8592,2021-09-22T19:00:00.000Z,8121,Angers,0,0,False,60.0,0.73,6.0,1.0,2.0,2.0,620 (89%),7.0,2.0,40.0,0.37,9.0,1.0,0.0,0.0,401 (86%),9.0,4.0,,2.0,3.0,0.0,5.0,1.0,,7.0,1.0,0.0,5.0,4.0,0.64,0.09,0.73,0.73,0.27,0.10,0.37,0.24,697.0,342.0,278.0,35 (61%),3 (25%),28.0,1.0,468.0,238.0,163.0,33 (62%),4 (31%),16.0,1.0,,19.0,14.0,1.0,9.0,1.0,,23.0,13.0,3.0,13.0,1.0,,59.0,45 (51%),14 (58%),17 (71%),,53.0,43 (49%),10 (42%),14 (54%),,3.0,0.0,,1.0,0.0,12.0,15.0,1,1.8,0.8,61.0,1.756,16.0,5.0,2.6,39.0,0.922,9.4,2.4,1.2,0.0,0.0,2.0,0.113,0.36,0.085,0.333
8592,2021-09-26T18:45:00.000Z,8588,Lens,2,3,True,60.0,2.05,13.0,4.0,3.0,2.0,485 (88%),4.0,5.0,40.0,2.02,13.0,5.0,4.0,2.0,305 (84%),14.0,7.0,,6.0,3.0,1.0,7.0,6.0,,4.0,4.0,0.0,7.0,6.0,0.75,0.51,1.26,1.92,1.19,0.04,1.23,2.98,554.0,275.0,210.0,23 (56%),5 (45%),29.0,3.0,361.0,189.0,116.0,23 (49%),4 (29%),12.0,0.0,,16.0,7.0,4.0,11.0,2.0,,20.0,8.0,3.0,11.0,2.0,,41.0,36 (50%),5 (56%),7 (47%),,40.0,36 (50%),4 (44%),13 (62%),,2.0,0.0,,1.0,0.0,,,0,1.4,0.4,59.4,1.702,15.2,4.8,2.8,40.6,0.944,9.6,2.2,1.2,2.4,3.0,2.0,0.092,0.292,0.042,0.182
8592,2021-10-03T15:05:00.000Z,8639,Lille,0,2,False,64.0,0.44,10.0,3.0,0.0,0.0,490 (89%),13.0,5.0,36.0,3.14,12.0,5.0,5.0,3.0,250 (79%),10.0,3.0,,5.0,2.0,1.0,5.0,5.0,,6.0,1.0,2.0,10.0,2.0,0.35,0.09,0.44,0.27,3.10,0.04,3.14,2.62,552.0,265.0,225.0,35 (70%),6 (29%),19.0,1.0,316.0,136.0,114.0,28 (54%),0 (0%),18.0,5.0,,10.0,6.0,1.0,15.0,4.0,,22.0,11.0,2.0,16.0,3.0,,32.0,26 (38%),6 (43%),8 (44%),,51.0,43 (62%),8 (57%),8 (57%),,1.0,1.0,,2.0,0.0,15.0,31.0,0,1.8,0.8,59.6,1.738,13.6,4.2,2.8,40.4,1.234,10.6,3.0,1.8,2.4,3.0,2.0,0.132,0.429,0.075,0.267
8592,2021-10-17T18:45:00.000Z,8689,Lorient,4,1,True,64.0,1.80,16.0,5.0,1.0,0.0,513 (89%),7.0,6.0,36.0,2.16,15.0,7.0,3.0,2.0,254 (79%),10.0,4.0,,7.0,4.0,0.0,12.0,4.0,,7.0,1.0,0.0,10.0,5.0,1.34,0.46,1.80,1.80,1.08,0.29,1.38,2.25,574.0,279.0,234.0,24 (60%),4 (24%),14.0,2.0,321.0,162.0,92.0,28 (52%),4 (36%),15.0,1.0,,12.0,13.0,1.0,4.0,6.0,,18.0,13.0,4.0,14.0,2.0,,46.0,40 (56%),6 (50%),18 (67%),,37.0,31 (44%),6 (50%),6 (46%),,0.0,0.0,,1.0,0.0,30.0,15.0,3,1.2,1.0,59.6,1.398,11.8,3.8,2.0,40.4,1.632,10.8,2.6,2.2,5.4,9.2,1.4,0.102,0.316,0.093,0.385
8592,2021-10-24T18:45:00.000Z,9847,Paris Saint-Germain,0,0,True,48.0,1.13,15.0,1.0,3.0,3.0,435 (90%),7.0,4.0,52.0,1.38,10.0,4.0,4.0,4.0,466 (89%),8.0,5.0,,9.0,5.0,0.0,9.0,6.0,,3.0,3.0,1.0,7.0,3.0,0.81,0.32,1.13,0.10,1.26,0.13,1.38,2.58,484.0,230.0,205.0,29 (71%),5 (24%),8.0,4.0,526.0,260.0,206.0,16 (53%),2 (25%),15.0,4.0,,20.0,12.0,3.0,9.0,4.0,,10.0,9.0,4.0,10.0,1.0,,41.0,38 (62%),3 (38%),10 (83%),,28.0,23 (38%),5 (63%),6 (50%),,1.0,0.0,,2.0,1.0,21.0,27.0,1,1.6,1.2,62.6,1.428,12.4,3.8,1.8,37.4,1.902,12.4,4.0,2.6,11.4,12.2,1.4,0.129,0.421,0.097,0.3
8592,2021-10-27T19:00:00.000Z,9831,Nice,1,1,False,55.0,0.50,7.0,1.0,0.0,0.0,460 (86%),8.0,5.0,45.0,1.47,11.0,3.0,4.0,3.0,364 (84%),16.0,6.0,,2.0,4.0,0.0,5.0,2.0,,5.0,3.0,0.0,9.0,2.0,0.47,0.03,0.50,0.26,1.31,0.15,1.47,1.19,535.0,307.0,153.0,36 (60%),5 (36%),21.0,1.0,434.0,227.0,137.0,22 (46%),6 (67%),22.0,8.0,,16.0,6.0,3.0,9.0,3.0,,14.0,15.0,4.0,7.0,0.0,,50.0,40 (55%),10 (50%),9 (56%),,43.0,33 (45%),10 (50%),12 (57%),,4.0,0.0,,6.0,0.0,14.0,23.0,1,1.2,1.2,59.2,1.23,12.0,2.8,1.8,40.8,1.814,11.8,4.4,3.2,15.6,17.6,1.0,0.1,0.429,0.102,0.273
