team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8550,2021-08-08T15:00:00.000Z,8639,Lille,3,3,True,38,0.87,12,5,1,0,243 (73%),9,4,62,1.28,17,6,2,1,438 (81%),10,5,,3,4,0,6,6,,7,4,1,9,8,0.87,0.00,0.87,1.84,0.91,0.37,1.28,0.89,335,122,121,20 (34%),3 (17%),22,17.0,0,538,211,227,20 (44%),7 (29%),28,24.0,2,,16,19,4,13,4,,21,10,4,14,2,,46,30 (44%),16 (50%),6 (38%),,54,38 (56%),16 (50%),8 (50%),,1,1,,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8550,2021-08-15T13:00:00.000Z,9830,Nantes,0,2,False,64,0.65,10,5,2,2,461 (81%),11,6,36,1.68,11,7,2,0,207 (68%),18,6,,3,2,1,6,4,,1,3,0,7,4,0.57,0.08,0.65,1.81,1.55,0.13,1.68,2.03,570,289,172,28 (46%),3 (19%),28,,0,305,92,115,30 (43%),3 (17%),24,,2,,23,5,4,17,4,,17,11,2,17,5,,73,53 (56%),20 (45%),14 (67%),,66,42 (44%),24 (55%),14 (70%),,0,0,,2,0,0,3.0,3.0,38.0,0.87,12.0,5.0,1.0,62.0,1.28,17.0,6.0,2.0,17.0,24.0,1.0,0.25,0.6,0.176,0.5
8550,2021-08-22T13:00:00.000Z,9837,Reims,1,1,True,58,0.51,10,4,0,0,377 (84%),19,5,42,0.89,13,3,2,1,221 (72%),14,8,,3,3,0,3,7,,7,3,0,11,2,0.22,0.30,0.51,0.54,0.69,0.21,0.89,0.77,449,220,157,19 (40%),2 (12%),11,,2,306,107,114,33 (52%),7 (22%),28,,0,,17,9,3,23,2,,11,4,3,15,3,,61,39 (55%),22 (52%),9 (90%),,52,32 (45%),20 (48%),4 (29%),,4,0,,2,0,1,1.5,2.5,51.0,0.76,11.0,5.0,1.5,49.0,1.48,14.0,6.5,2.0,8.5,12.0,0.5,0.136,0.3,0.179,0.385
8550,2021-08-29T13:00:00.000Z,8311,Clermont Foot,2,2,False,40,1.36,12,4,2,1,255 (73%),15,3,60,1.63,16,4,2,1,431 (82%),11,6,,6,2,0,9,3,,10,2,1,14,2,0.38,0.20,0.57,1.98,0.92,0.70,1.63,1.04,348,138,117,19 (33%),4 (21%),17,,0,527,259,172,28 (55%),7 (27%),24,,2,,20,16,2,20,3,,15,6,2,14,3,,47,35 (47%),12 (52%),5 (45%),,51,40 (53%),11 (48%),12 (60%),,2,0,,1,0,1,1.333,2.0,53.333,0.677,10.667,4.667,1.0,46.667,1.283,13.667,5.333,2.0,11.333,16.0,0.667,0.125,0.286,0.146,0.375
8550,2021-09-12T13:00:00.000Z,10242,Troyes,0,2,True,63,0.66,17,2,1,1,523 (87%),15,2,37,0.62,10,5,2,0,270 (75%),14,1,,12,3,1,11,6,,4,1,0,3,7,0.58,0.08,0.66,0.69,0.59,0.04,0.62,1.59,600,255,268,30 (60%),6 (40%),23,,0,358,190,80,18 (30%),1 (13%),29,,0,,17,10,1,6,4,,19,12,3,19,2,,59,34 (46%),25 (68%),4 (44%),,52,40 (54%),12 (32%),7 (70%),,2,0,,1,0,0,1.5,2.0,50.0,0.848,11.0,4.5,1.25,50.0,1.37,14.25,5.0,2.0,10.625,15.0,0.75,0.136,0.333,0.14,0.4
8550,2021-09-17T19:00:00.000Z,9848,Strasbourg,0,3,False,54,0.57,15,5,0,0,367 (84%),8,7,46,2.06,10,6,4,2,293 (80%),16,3,,6,4,1,4,11,,3,1,0,8,2,0.34,0.23,0.57,0.68,1.13,0.14,1.27,3.06,438,172,195,23 (56%),2 (9%),20,,1,368,207,86,38 (60%),6 (46%),20,,1,,17,15,2,8,2,,23,19,4,16,5,,52,43 (51%),9 (47%),11 (65%),,51,41 (49%),10 (53%),10 (77%),,4,0,,2,0,0,1.2,2.0,52.6,0.81,12.2,4.0,1.2,47.4,1.22,13.4,5.0,2.0,10.767,15.2,0.6,0.098,0.3,0.149,0.4
8550,2021-09-22T19:00:00.000Z,9847,Paris Saint-Germain,1,2,True,26,0.93,6,2,1,1,168 (70%),12,3,74,1.32,15,5,1,1,642 (90%),12,3,,3,1,0,5,1,,5,5,0,8,7,0.84,0.09,0.93,0.75,1.32,0.00,1.32,0.79,239,103,65,21 (43%),3 (25%),12,,4,717,251,391,27 (73%),0 (0%),30,,1,,12,17,6,15,2,,13,5,1,10,1,,34,27 (43%),7 (47%),4 (36%),,44,36 (57%),8 (53%),12 (57%),,4,1,,2,0,0,0.6,2.0,55.8,0.75,12.8,4.0,1.0,44.2,1.376,12.0,5.0,2.4,9.492,13.4,0.4,0.047,0.15,0.167,0.4
8550,2021-09-26T13:00:00.000Z,8521,Brest,2,1,False,34,0.58,6,4,1,1,156 (63%),16,3,66,1.61,11,2,3,2,393 (83%),16,4,,1,1,0,4,2,,5,4,0,8,3,0.49,0.09,0.58,1.28,0.70,0.12,0.82,1.04,247,76,80,22 (32%),3 (27%),14,,1,474,189,204,35 (58%),9 (29%),29,,4,,19,15,4,34,1,,17,5,1,12,2,,74,41 (48%),33 (57%),7 (47%),,70,45 (52%),25 (43%),13 (52%),,2,0,,3,0,3,0.8,2.0,48.2,0.806,12.0,3.4,0.8,51.8,1.304,12.8,4.6,2.2,11.645,16.44,0.4,0.067,0.235,0.156,0.435
8550,2021-10-03T13:00:00.000Z,8121,Angers,2,3,False,42,1.15,2,2,2,0,336 (82%),11,2,58,2.44,18,5,3,0,492 (87%),16,12,,0,0,0,2,0,,4,9,1,13,5,0.73,0.41,1.15,1.15,1.23,1.21,2.44,2.24,412,220,116,22 (41%),2 (18%),22,8.0,1,563,289,203,23 (62%),6 (23%),18,25.0,1,,26,18,9,14,2,,14,6,0,6,0,,64,53 (65%),11 (39%),13 (65%),,45,28 (35%),17 (61%),5 (22%),,3,0,,1,0,0,1.0,2.0,43.4,0.82,11.2,3.4,1.0,56.6,1.448,12.4,4.4,2.4,10.143,14.32,0.8,0.089,0.294,0.161,0.455
8550,2021-10-17T13:00:00.000Z,9851,Rennes,0,3,True,35,0.89,9,2,1,1,268 (79%),14,4,65,2.22,21,8,5,3,587 (90%),9,10,,4,3,1,4,5,,8,5,1,16,5,0.86,0.03,0.89,0.25,1.71,0.51,2.22,2.66,338,162,106,33 (58%),4 (21%),16,8.0,2,655,382,205,44 (71%),9 (38%),16,39.0,2,,14,7,5,19,6,,13,4,3,10,2,,44,31 (48%),13 (48%),8 (47%),,47,33 (52%),14 (52%),8 (57%),,3,0,,1,0,0,1.0,2.2,43.8,0.778,9.2,3.0,1.0,56.2,1.61,12.8,4.6,2.6,10.043,16.92,0.6,0.109,0.333,0.172,0.478
8550,2021-10-24T13:00:00.000Z,8588,Lens,1,4,False,44,0.78,9,4,2,2,307 (81%),13,6,56,1.96,12,5,4,0,403 (85%),9,5,,3,2,1,4,5,,3,4,0,8,4,0.43,0.35,0.78,0.49,1.93,0.03,1.96,3.04,378,195,112,23 (52%),4 (22%),25,10.0,0,475,246,157,24 (51%),2 (11%),21,17.0,1,,14,10,3,16,1,,13,15,2,14,3,,48,32 (53%),16 (43%),9 (60%),,49,28 (47%),21 (57%),7 (44%),,3,0,,2,0,0,1.0,2.4,38.2,0.824,7.6,3.0,1.0,61.8,1.93,15.0,5.2,3.2,9.377,21.52,0.6,0.132,0.333,0.16,0.462
