team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9829,2021-08-06T19:00:00.000Z,9830,Nantes,1,1,True,75,1.61,15,3,3,2,650 (88%),6,5,25,0.22,5,1,0,0,149 (61%),14,2,,9,3,0,10,5,,3,1,0,3,2,0.87,0.73,1.61,0.84,0.02,0.20,0.22,0.50,737,290,360,25 (52%),5 (25%),34,1,243,77,72,17 (30%),3 (43%),23,0,,20,11,1,5,0,,19,14,4,26,1,,60,45 (56%),15 (52%),11 (50%),,49,35 (44%),14 (48%),10 (50%),,0,0,,0,0,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9829,2021-08-13T19:00:00.000Z,8689,Lorient,0,1,False,72,1.13,12,3,1,1,532 (84%),15,6,28,0.81,2,2,1,0,152 (60%),17,0,,5,4,0,8,4,,0,0,0,1,1,0.43,0.70,1.13,0.79,0.02,0.00,0.02,1.26,636,226,306,43 (58%),9 (32%),32,1,253,87,65,15 (24%),1 (33%),23,0,,29,15,0,5,1,,23,13,4,36,3,,72,55 (54%),17 (55%),11 (42%),,60,46 (46%),14 (45%),9 (50%),,2,0,,3,0,,,0,1.0,1.0,75.0,1.61,15.0,3.0,3.0,25.0,0.22,5.0,1.0,0.0,0.0,0.0,1.0,0.067,0.333,0.2,1.0
9829,2021-08-21T15:00:00.000Z,8588,Lens,0,2,True,71,0.34,9,2,0,0,502 (86%),11,13,29,0.49,4,2,1,0,173 (72%),14,3,,6,1,0,2,7,,2,0,0,3,1,0.13,0.21,0.34,0.47,0.44,0.05,0.49,0.59,583,226,276,24 (45%),6 (22%),22,2,239,70,103,24 (48%),2 (25%),15,0,,24,1,0,6,0,,13,16,1,36,2,,62,51 (64%),11 (44%),13 (72%),,43,29 (36%),14 (56%),6 (50%),,1,1,,1,1,,,0,0.5,1.0,73.5,1.37,13.5,3.0,2.0,26.5,0.515,3.5,1.5,0.5,0.0,0.0,0.5,0.037,0.167,0.286,0.667
9829,2021-08-29T11:00:00.000Z,10242,Troyes,2,1,False,51,1.87,7,4,3,1,380 (76%),11,3,49,0.69,12,3,0,0,371 (79%),11,5,,3,0,1,6,1,,8,1,2,7,5,1.62,0.25,1.87,1.87,0.57,0.12,0.69,0.29,498,243,137,24 (39%),3 (25%),24,4,472,165,206,35 (51%),8 (33%),22,1,,25,10,1,16,3,,22,19,0,11,2,,62,46 (49%),16 (48%),11 (58%),,65,48 (51%),17 (52%),15 (54%),,2,0,,1,0,21.0,16.0,3,0.333,1.333,72.667,1.027,12.0,2.667,1.333,27.333,0.507,3.667,1.667,0.667,0.0,0.0,0.333,0.028,0.125,0.364,0.8
9829,2021-09-11T19:00:00.000Z,8592,Marseille,0,2,True,51,0.81,7,0,1,1,413 (84%),17,3,49,1.65,13,5,2,1,384 (83%),8,2,,4,3,0,5,2,,6,2,2,10,3,0.65,0.16,0.81,0.00,1.63,0.02,1.65,1.87,494,207,206,18 (40%),3 (33%),19,4,461,244,140,27 (48%),3 (33%),19,1,,18,5,2,6,3,,17,9,3,13,0,,42,32 (39%),10 (50%),6 (50%),,60,50 (61%),10 (50%),16 (62%),,4,0,,1,0,,,0,0.75,1.25,67.25,1.238,10.75,3.0,1.75,32.75,0.552,5.75,2.0,0.5,5.25,4.0,1.0,0.07,0.25,0.217,0.625
9829,2021-09-19T11:00:00.000Z,9831,Nice,2,2,False,51,2.47,8,3,4,2,372 (83%),12,2,49,1.77,12,3,4,2,347 (83%),17,5,,1,4,0,7,1,,7,2,0,8,4,1.50,0.17,1.68,2.45,0.87,0.11,0.98,1.36,448,219,153,17 (41%),2 (22%),18,1,420,248,99,27 (50%),6 (38%),15,1,,17,7,2,14,1,,9,16,3,10,1,,46,39 (57%),7 (58%),6 (55%),,34,29 (43%),5 (42%),9 (45%),,3,0,,2,0,,,1,0.6,1.4,64.0,1.152,10.0,2.4,1.6,36.0,0.772,7.2,2.6,0.8,4.2,3.2,0.8,0.06,0.25,0.194,0.538
9829,2021-09-22T17:00:00.000Z,9853,Saint-Etienne,3,1,True,66,1.72,14,6,2,0,499 (84%),16,6,34,0.42,8,2,0,0,225 (76%),13,3,,6,2,1,9,5,,5,1,2,3,5,0.59,0.34,0.94,2.29,0.34,0.08,0.42,0.20,592,188,311,21 (46%),6 (26%),15,3,298,118,107,30 (52%),2 (14%),14,3,,22,12,1,12,2,,23,22,2,22,3,,62,45 (47%),17 (53%),11 (61%),,66,51 (53%),15 (47%),12 (60%),,1,0,,1,1,,,3,0.8,1.6,59.2,1.324,8.6,2.4,1.8,40.8,1.082,8.6,3.0,1.6,5.25,4.0,0.8,0.093,0.333,0.186,0.533
9829,2021-09-26T15:05:00.000Z,8311,Clermont Foot,3,1,False,46,1.64,6,3,3,0,379 (82%),12,1,54,1.08,12,4,2,1,433 (84%),9,5,,3,0,0,5,1,,5,3,0,7,5,1.58,0.05,1.64,1.71,1.03,0.04,1.08,0.98,462,199,180,20 (36%),2 (33%),17,0,515,264,169,39 (71%),7 (32%),17,2,,15,12,3,21,3,,16,7,0,10,0,,43,32 (42%),11 (65%),8 (47%),,50,44 (58%),6 (35%),16 (73%),,4,0,,2,0,,,3,1.4,1.6,58.0,1.442,9.0,3.0,2.0,42.0,1.004,9.8,3.0,1.4,6.09,4.64,1.4,0.156,0.467,0.163,0.533
9829,2021-10-03T13:00:00.000Z,9827,Bordeaux,3,0,True,57,1.60,12,4,2,0,395 (82%),12,10,43,0.29,4,1,1,1,290 (81%),13,2,,3,5,1,5,7,,0,3,0,2,2,0.66,0.14,0.81,2.25,0.28,0.01,0.29,0.00,481,175,220,24 (49%),4 (20%),19,5,360,188,102,25 (49%),0 (0%),23,2,,29,5,4,11,0,,9,8,5,21,2,,63,52 (60%),11 (48%),11 (58%),,47,35 (40%),12 (52%),15 (45%),,2,0,,1,0,17.0,9.0,3,2.0,1.4,53.0,1.702,8.4,3.2,2.6,47.0,1.122,11.4,3.4,1.6,7.14,5.44,2.0,0.238,0.625,0.123,0.412
9829,2021-10-16T19:00:00.000Z,9748,Lyon,0,2,False,38,0.56,9,3,0,0,323 (79%),10,4,62,2.57,14,8,3,1,596 (89%),8,2,,2,4,0,7,2,,5,1,0,8,6,0.50,0.06,0.56,0.80,0.82,0.97,1.78,3.51,411,185,138,17 (33%),2 (20%),22,2,673,329,267,33 (60%),3 (25%),16,1,,25,8,1,15,6,,15,13,4,11,3,,51,45 (53%),6 (27%),12 (75%),,56,40 (47%),16 (73%),15 (56%),,2,0,,1,0,16.0,27.0,0,2.2,1.2,54.2,1.648,9.4,3.2,2.4,45.8,1.042,9.8,3.0,1.8,6.34,4.04,2.0,0.234,0.688,0.122,0.4
