team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
10242,2021-08-07T19:00:00.000Z,9847,Paris Saint-Germain,1,2,True,43,0.86,15,7,0,0,379 (86%),3,9,57,1.23,12,3,2,1,560 (93%),15,1,,4,4,0,8,7,,6,3,0,8,4,0.51,0.34,0.86,1.11,1.23,0.00,1.23,0.85,443,246,133,31 (58%),5 (19%),23,1,605,165,395,28 (80%),5 (42%),11,1,,17,8,4,14,0,,10,14,4,18,6,,37,35 (60%),2 (17%),4 (57%),,33,23 (40%),10 (83%),10 (45%),,1,0,,4,0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10242,2021-08-15T13:00:00.000Z,8311,Clermont Foot,0,2,False,36,0.71,6,1,1,1,304 (85%),11,2,64,2.35,18,8,3,2,589 (93%),6,9,,4,1,0,5,1,,7,3,0,11,7,0.71,0.00,0.71,0.59,1.38,0.97,2.35,3.67,358,222,82,37 (71%),3 (23%),12,0,633,318,271,32 (73%),6 (22%),18,2,,19,5,1,17,6,,9,6,1,9,1,,39,30 (51%),9 (60%),5 (56%),,35,29 (49%),6 (40%),11 (50%),,1,1,,1,0,,,0,1.0,2.0,43.0,0.86,15.0,7.0,0.0,57.0,1.23,12.0,3.0,2.0,0.0,0.0,0.0,0.067,0.143,0.167,0.667
10242,2021-08-22T13:00:00.000Z,9848,Strasbourg,1,1,False,40,1.36,10,6,2,1,281 (73%),17,3,60,2.15,13,4,5,4,472 (84%),16,6,,2,2,0,8,2,,5,4,0,10,3,1.20,0.15,1.36,1.86,2.04,0.11,2.15,1.12,387,204,77,28 (35%),6 (75%),12,2,564,216,256,29 (59%),10 (31%),27,4,,16,11,4,21,3,,15,10,2,6,5,,47,33 (43%),14 (45%),7 (47%),,60,43 (57%),17 (55%),13 (62%),,1,0,,3,0,,,1,0.5,2.0,39.5,0.785,10.5,4.0,0.5,60.5,1.79,15.0,5.5,2.5,0.0,0.0,0.0,0.048,0.125,0.133,0.364
10242,2021-08-29T11:00:00.000Z,9829,Monaco,1,2,True,49,0.69,12,3,0,0,371 (79%),11,5,51,1.87,7,4,3,1,380 (76%),11,3,,8,1,2,7,5,,3,0,1,6,1,0.57,0.12,0.69,0.29,1.62,0.25,1.87,1.87,472,165,206,35 (51%),8 (33%),22,1,498,243,137,24 (39%),3 (25%),24,4,,22,19,0,11,2,,25,10,1,16,3,,65,48 (51%),17 (52%),15 (54%),,62,46 (49%),16 (48%),11 (58%),,1,0,,2,0,16.0,21.0,0,0.667,1.667,39.667,0.977,10.333,4.667,1.0,60.333,1.91,14.333,5.0,3.333,0.0,0.0,0.333,0.065,0.143,0.116,0.333
10242,2021-09-12T13:00:00.000Z,8550,Metz,2,0,False,37,0.62,10,5,2,0,270 (75%),14,1,63,0.66,17,2,1,1,523 (87%),15,2,,4,1,0,3,7,,12,3,1,11,6,0.59,0.04,0.62,1.59,0.58,0.08,0.66,0.69,358,190,80,18 (30%),1 (13%),29,0,600,255,268,30 (60%),6 (40%),23,0,,19,12,3,19,2,,17,10,1,6,4,,52,40 (54%),12 (32%),7 (70%),,59,34 (46%),25 (68%),4 (44%),,1,0,,2,0,,,3,0.75,1.75,42.0,0.905,10.75,4.25,0.75,58.0,1.9,12.5,4.75,3.25,4.0,5.25,0.25,0.07,0.176,0.14,0.368
10242,2021-09-19T13:00:00.000Z,10249,Montpellier,1,1,True,42,1.07,8,3,1,0,288 (79%),16,1,58,0.24,6,2,0,0,416 (84%),11,6,,4,1,0,3,5,,1,3,1,2,4,0.99,0.09,1.07,1.18,0.24,0.00,0.24,0.47,364,175,113,24 (38%),3 (33%),19,3,493,248,168,38 (59%),5 (21%),28,1,,16,7,3,25,1,,16,7,1,6,2,,53,37 (49%),16 (62%),10 (59%),,49,39 (51%),10 (38%),7 (39%),,4,0,,2,1,10.0,12.0,1,1.0,1.4,41.0,0.848,10.6,4.4,1.0,59.0,1.652,13.4,4.2,2.8,3.2,4.2,0.8,0.094,0.227,0.104,0.333
10242,2021-09-22T19:00:00.000Z,9748,Lyon,1,3,False,31,1.49,12,7,3,3,219 (78%),9,3,69,1.83,15,8,4,3,574 (88%),7,7,,4,1,0,7,5,,5,2,0,11,4,1.49,0.00,1.49,1.16,1.60,0.23,1.83,2.87,281,123,96,21 (49%),2 (14%),16,1,649,328,246,31 (67%),4 (31%),23,5,,20,14,2,12,5,,17,9,1,12,5,,40,34 (48%),6 (38%),7 (47%),,47,37 (52%),10 (63%),12 (55%),,3,0,,1,0,,,0,1.0,1.2,40.8,0.89,9.2,3.6,1.2,59.2,1.454,12.2,4.0,2.4,5.2,6.6,1.0,0.109,0.278,0.098,0.3
10242,2021-09-26T13:00:00.000Z,8121,Angers,1,1,True,37,1.05,6,3,3,2,261 (82%),9,2,63,1.27,17,6,1,0,512 (91%),8,9,,3,0,0,4,2,,5,6,0,7,10,1.05,0.05,1.05,2.10,0.29,0.19,0.49,1.42,319,172,89,28 (64%),4 (22%),11,1,563,257,255,28 (67%),3 (13%),11,0,,20,10,6,21,5,,18,5,0,9,2,,52,40 (53%),12 (63%),12 (52%),,43,36 (47%),7 (37%),9 (60%),,2,1,,2,0,16.0,14.0,1,1.2,1.4,39.8,1.046,10.4,4.8,1.6,60.2,1.35,11.6,4.0,2.6,5.84,7.44,1.0,0.115,0.25,0.121,0.35
10242,2021-10-03T13:00:00.000Z,9830,Nantes,0,2,False,46,1.30,15,4,3,3,310 (84%),10,7,54,1.95,8,4,3,1,363 (82%),14,3,,6,5,0,11,4,,2,2,0,5,3,1.20,0.10,1.30,1.98,0.87,0.29,1.16,1.99,371,169,141,19 (54%),3 (16%),25,1,441,204,159,25 (52%),3 (20%),18,2,,19,11,2,11,2,,20,7,5,21,4,,63,55 (59%),8 (42%),22 (73%),,50,39 (41%),11 (58%),11 (50%),,2,0,,2,0,25.0,14.0,0,1.2,1.4,39.2,0.984,9.6,4.2,1.8,60.8,1.174,12.4,4.4,1.8,9.04,10.24,1.0,0.125,0.286,0.113,0.318
10242,2021-10-17T11:00:00.000Z,9831,Nice,1,0,True,38,0.87,8,3,3,2,259 (77%),10,3,62,0.59,11,3,0,0,498 (87%),20,3,,3,2,0,6,2,,6,2,0,7,4,0.85,0.02,0.87,1.50,0.42,0.18,0.59,0.46,336,146,113,24 (49%),7 (30%),14,2,575,268,230,26 (54%),4 (24%),14,0,,16,13,2,18,3,,12,17,2,19,2,,54,42 (61%),12 (43%),7 (58%),,43,27 (39%),16 (57%),8 (44%),,2,0,,1,0,20.0,13.0,3,1.0,1.4,38.6,1.106,10.2,4.4,2.4,61.4,1.19,12.6,4.4,1.8,10.84,8.84,1.0,0.098,0.227,0.111,0.318
