team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8406,2021-08-14T13:30:00.000Z,8226,Hoffenheim,0,4,True,46,0.62,7,0,1,1,277 (77%),8,6,54,3.83,15,8,5,1,338 (79%),10,5,,5,2,0,5,2,,3,4,0,10,5,0.45,0.17,0.62,0.00,3.76,0.07,3.83,3.57,359,181,96,28 (52%),6 (33%),20,25,2,427,217,121,21 (36%),3 (27%),24,23,2,,8,9,4,10,4,,18,5,2,22,0,,36,20 (39%),16 (62%),5 (33%),,41,31 (61%),10 (38%),6 (75%),,1,0,,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8406,2021-08-21T13:30:00.000Z,9810,Eintracht Frankfurt,0,0,False,38,0.28,4,0,0,0,177 (58%),10,1,62,1.61,21,5,1,1,373 (75%),9,6,,2,2,0,1,3,,10,6,0,13,8,0.28,0.00,0.28,0.00,1.25,0.36,1.61,0.86,303,93,84,20 (31%),3 (21%),35,13,2,497,182,191,30 (43%),10 (42%),31,29,1,,11,12,5,19,5,,15,6,2,15,0,,52,31 (48%),21 (42%),12 (71%),,63,34 (52%),29 (58%),12 (67%),,3,0,,3,0,1,0.0,4.0,46.0,0.62,7.0,0.0,1.0,54.0,3.83,15.0,8.0,5.0,25.0,23.0,0.0,0.0,0.0,0.267,0.5
8406,2021-08-28T13:30:00.000Z,8178,Bayer Leverkusen,1,4,True,42,1.81,14,4,2,1,284 (78%),12,4,58,1.96,14,5,3,2,444 (85%),10,4,,6,4,0,10,4,,6,3,2,11,3,1.75,0.06,1.81,1.57,1.87,0.09,1.96,1.61,366,155,129,41 (64%),7 (29%),26,28,1,524,261,183,31 (48%),3 (33%),18,16,0,,14,10,3,7,3,,20,17,4,16,3,,49,36 (47%),13 (59%),13 (62%),,50,41 (53%),9 (41%),11 (69%),,0,0,,1,0,0,0.0,2.0,42.0,0.45,5.5,0.0,0.5,58.0,2.72,18.0,6.5,3.0,19.0,26.0,0.5,0.0,0.0,0.111,0.308
8406,2021-09-11T13:30:00.000Z,8149,Union Berlin,0,0,False,40,1.00,14,6,2,2,240 (74%),12,4,60,1.03,16,5,2,2,406 (82%),10,6,,7,1,0,10,4,,8,3,3,9,7,0.63,0.37,1.00,0.87,0.91,0.12,1.03,1.10,324,144,96,27 (43%),7 (37%),27,21,1,495,243,163,35 (57%),7 (28%),29,17,1,,13,13,3,23,5,,13,10,1,16,6,,51,29 (51%),22 (54%),7 (58%),,47,28 (49%),19 (46%),3 (25%),,2,0,,1,0,1,0.333,2.667,42.0,0.903,8.333,1.333,1.0,58.0,2.467,16.667,6.0,3.0,22.0,22.667,0.333,0.04,0.25,0.16,0.444
8406,2021-09-18T13:30:00.000Z,9788,Borussia Mönchengladbach,1,0,True,29,0.33,5,1,1,0,148 (64%),12,2,71,0.62,11,0,1,1,505 (86%),9,6,,2,2,1,3,2,,3,8,0,6,5,0.33,0.00,0.33,0.73,0.17,0.45,0.62,0.00,231,79,69,26 (39%),2 (18%),24,16,5,586,266,239,37 (64%),4 (17%),24,19,2,,20,11,8,29,0,,18,8,2,6,0,,50,41 (51%),9 (29%),13 (68%),,62,40 (49%),22 (71%),11 (58%),,1,0,,2,0,3,0.25,2.0,41.5,0.927,9.75,2.5,1.25,58.5,2.107,16.5,5.75,2.75,21.75,21.25,0.5,0.026,0.1,0.121,0.348
8406,2021-09-26T15:30:00.000Z,8358,Freiburg,0,3,False,39,0.24,9,2,0,0,226 (72%),14,3,61,3.10,18,8,6,3,404 (82%),10,6,,4,3,0,1,8,,8,2,0,13,5,0.21,0.03,0.24,0.23,2.14,0.17,2.31,2.56,316,152,74,38 (47%),0 (0%),29,9,0,491,226,178,41 (59%),3 (18%),16,26,2,,6,9,3,17,4,,14,9,3,18,2,,38,20 (36%),18 (49%),4 (40%),,55,36 (64%),19 (51%),9 (69%),,1,0,,0,0,0,0.4,1.6,39.0,0.808,8.8,2.2,1.2,61.0,1.81,15.4,4.6,2.4,20.6,20.8,1.0,0.045,0.182,0.104,0.348
8406,2021-10-02T13:30:00.000Z,9789,Borussia Dortmund,1,2,False,29,0.79,6,3,2,1,152 (59%),16,3,71,3.03,20,4,5,4,543 (84%),9,7,,2,1,1,5,1,,12,4,2,12,8,0.63,0.17,0.79,0.83,2.21,0.04,2.24,1.81,258,76,76,24 (37%),2 (15%),24,10,4,644,304,239,28 (53%),3 (21%),19,32,1,,28,16,4,18,2,,26,18,1,14,2,,57,44 (47%),13 (38%),8 (50%),,71,50 (53%),21 (62%),10 (56%),,3,0,,1,0,0,0.4,1.4,37.6,0.732,9.2,2.6,1.0,62.4,1.664,16.0,4.6,2.6,17.4,21.4,1.0,0.043,0.154,0.087,0.304
8406,2021-10-17T15:30:00.000Z,9912,Arminia Bielefeld,1,1,True,50,0.62,14,6,1,0,265 (72%),8,9,50,0.30,10,2,0,0,274 (72%),15,5,,5,3,1,7,7,,6,2,0,3,7,0.26,0.36,0.62,1.07,0.14,0.16,0.30,0.40,369,164,101,36 (46%),5 (21%),30,18,8,382,127,147,25 (39%),3 (15%),25,14,1,,15,12,2,29,1,,14,16,3,21,5,,58,32 (53%),26 (54%),3 (43%),,50,28 (47%),22 (46%),6 (55%),,3,0,,1,0,1,0.6,1.8,35.8,0.834,9.6,3.2,1.4,64.2,1.948,15.8,4.4,3.4,16.8,22.0,0.8,0.062,0.187,0.114,0.409
8406,2021-10-22T18:30:00.000Z,9905,Mainz 05,1,4,False,46,0.92,6,2,2,1,302 (74%),11,2,54,3.66,21,9,7,4,394 (81%),9,6,,4,0,0,2,4,,7,5,0,17,4,0.92,0.00,0.92,0.71,2.96,0.70,3.66,2.54,407,180,122,37 (45%),4 (33%),27,8,1,485,238,156,28 (56%),5 (26%),26,30,0,,22,12,5,23,5,,15,14,0,18,1,,52,43 (54%),9 (30%),13 (62%),,58,37 (46%),21 (70%),11 (58%),,3,0,,1,0,0,0.6,1.2,37.4,0.596,9.6,3.6,1.2,62.6,1.616,15.0,3.8,2.8,14.8,21.6,1.0,0.062,0.167,0.08,0.316
8406,2021-10-31T14:30:00.000Z,10269,VfB Stuttgart,4,1,True,33,2.08,18,10,4,1,183 (68%),15,7,67,0.89,13,3,0,0,496 (85%),12,5,,4,4,0,10,8,,2,8,0,8,5,0.76,1.32,2.08,3.27,0.44,0.45,0.89,0.61,271,95,88,23 (41%),2 (10%),18,23,2,583,283,213,19 (50%),5 (26%),25,19,0,,17,10,8,17,2,,19,12,4,14,6,,51,39 (43%),12 (46%),12 (60%),,65,51 (57%),14 (54%),17 (65%),,3,0,,4,0,3,0.8,2.0,38.6,0.58,8.0,2.8,1.2,61.4,2.142,16.0,4.6,3.8,12.2,24.2,0.8,0.1,0.286,0.125,0.435
