team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8357,2021-08-14T13:30:00.000Z,10269,VfB Stuttgart,1,5,False,33,1.16,8,5,2,1,251 (80%),8,2,67,3.10,33,15,9,7,587 (92%),10,9,,1,2,0,5,3,,9,9,0,24,9,1.14,0.02,1.16,1.18,2.15,0.95,3.10,5.17,313,176,75,23 (44%),2 (25%),13,11,0,640,289,298,37 (76%),12 (50%),21,46,3,,16,7,9,16,10,,9,3,3,8,3,,40,35 (56%),5 (33%),10 (67%),,38,28 (44%),10 (67%),11 (61%),,1,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8357,2021-08-21T13:30:00.000Z,9912,Arminia Bielefeld,1,1,True,65,2.57,20,5,2,1,442 (82%),12,5,35,0.78,9,2,1,0,187 (65%),14,0,,10,5,1,12,8,,5,2,1,7,2,1.65,0.13,1.78,1.19,0.63,0.15,0.78,0.82,541,250,192,35 (49%),6 (46%),24,31,6,287,93,94,30 (38%),4 (31%),15,10,1,,10,5,2,8,1,,18,21,5,13,4,,57,29 (45%),28 (52%),6 (46%),,62,36 (55%),26 (48%),7 (50%),,4,0,,0,1,1,1.0,5.0,33.0,1.16,8.0,5.0,2.0,67.0,3.1,33.0,15.0,9.0,11.0,46.0,0.0,0.125,0.2,0.152,0.333
8357,2021-08-28T13:30:00.000Z,9905,Mainz 05,0,3,False,52,0.17,9,1,0,0,277 (74%),14,4,48,2.78,18,9,6,4,251 (73%),21,7,,5,3,0,6,3,,5,4,0,14,4,0.12,0.05,0.17,0.42,2.06,0.71,2.78,2.36,373,171,106,26 (38%),4 (25%),24,21,2,343,130,121,14 (30%),6 (33%),17,29,3,,16,10,2,22,6,,21,21,3,15,2,,51,38 (49%),13 (46%),4 (24%),,55,40 (51%),15 (54%),5 (42%),,2,0,,2,0,0,1.0,3.0,49.0,1.865,14.0,5.0,2.0,51.0,1.94,21.0,8.5,5.0,21.0,28.0,0.5,0.071,0.2,0.143,0.353
8357,2021-09-11T13:30:00.000Z,8721,Wolfsburg,0,2,True,29,0.33,9,4,0,0,141 (61%),17,3,71,1.44,9,3,2,0,492 (84%),15,5,,3,2,0,4,5,,2,4,0,7,2,0.08,0.25,0.33,0.70,0.52,0.13,0.66,1.42,231,65,76,20 (31%),4 (31%),21,17,0,585,303,189,51 (63%),2 (12%),22,19,0,,16,12,4,11,1,,14,13,2,13,4,,52,30 (39%),22 (45%),2 (22%),,74,47 (61%),27 (55%),17 (74%),,2,0,,3,0,0,0.667,3.0,50.0,1.3,12.333,3.667,1.333,50.0,2.22,20.0,8.667,5.333,21.0,28.333,0.333,0.054,0.182,0.15,0.346
8357,2021-09-17T18:30:00.000Z,8177,Hertha BSC,1,2,False,42,1.42,11,3,2,1,217 (68%),13,4,58,0.65,14,3,2,1,346 (78%),12,9,,6,2,0,9,2,,6,5,0,10,4,0.21,0.42,0.63,1.26,0.36,0.30,0.65,0.37,319,87,130,26 (43%),6 (21%),25,20,0,441,189,157,38 (61%),7 (32%),18,32,1,,24,10,5,25,2,,11,10,2,35,2,,70,42 (58%),28 (57%),8 (57%),,52,31 (42%),21 (43%),8 (42%),,2,0,,1,0,0,0.5,2.75,44.75,1.057,11.5,3.75,1.0,55.25,2.025,17.25,7.25,4.5,20.0,26.0,0.25,0.043,0.133,0.159,0.379
8357,2021-09-24T18:30:00.000Z,9823,Bayern München,1,3,True,33,0.75,10,5,1,0,224 (76%),19,6,67,0.84,12,4,0,0,539 (86%),13,3,,2,3,0,5,5,,5,3,1,5,7,0.60,0.15,0.75,1.52,0.79,0.06,0.84,1.09,296,121,103,17 (34%),2 (13%),18,12,4,624,320,219,27 (50%),3 (20%),22,19,1,,16,13,3,26,2,,13,10,2,19,4,,36,30 (41%),6 (33%),2 (25%),,56,44 (59%),12 (67%),12 (67%),,4,0,,1,1,0,0.6,2.6,44.2,1.13,11.4,3.6,1.2,55.8,1.75,16.6,6.4,4.0,20.0,27.2,0.2,0.053,0.167,0.157,0.406
8357,2021-10-01T18:30:00.000Z,8722,FC Köln,1,3,False,33,1.33,7,3,3,2,141 (60%),18,1,67,2.95,18,8,4,1,379 (81%),16,8,,3,1,3,6,1,,8,2,1,13,5,1.12,0.20,1.33,0.83,2.02,0.93,2.95,3.59,236,67,74,21 (38%),2 (20%),19,13,2,470,192,187,42 (65%),7 (24%),29,30,1,,13,10,1,32,5,,19,9,1,12,2,,65,40 (48%),25 (58%),11 (52%),,62,44 (52%),18 (42%),8 (50%),,1,0,,1,0,0,0.6,2.2,44.2,1.048,11.8,3.6,1.0,55.8,1.298,12.4,4.2,2.2,20.2,21.8,0.2,0.051,0.167,0.177,0.524
8357,2021-10-16T13:30:00.000Z,9911,Bochum,0,1,True,56,0.84,11,3,2,2,324 (72%),16,4,44,1.58,10,2,3,2,217 (63%),16,3,,5,3,0,6,5,,5,3,0,7,3,0.82,0.01,0.84,0.58,0.84,0.74,1.58,1.48,448,173,151,28 (33%),3 (27%),30,24,0,344,113,104,45 (42%),5 (29%),23,18,2,,17,9,3,8,1,,16,13,3,14,3,,55,40 (51%),15 (30%),9 (60%),,74,39 (49%),35 (70%),8 (57%),,2,0,,4,0,0,0.6,2.6,37.8,0.8,9.2,3.2,1.2,62.2,1.732,14.2,5.4,2.8,16.6,25.8,0.0,0.065,0.187,0.183,0.481
8357,2021-10-23T13:30:00.000Z,178475,RB Leipzig,1,4,False,43,1.43,9,4,4,3,274 (71%),12,4,57,2.34,13,5,2,0,403 (78%),15,3,,2,3,0,5,4,,5,3,0,9,4,0.45,0.19,0.64,1.63,1.50,0.05,1.55,2.22,388,152,122,22 (31%),4 (17%),24,9,2,519,192,211,24 (41%),5 (28%),22,32,3,,19,15,3,14,1,,22,13,3,21,3,,60,42 (49%),18 (47%),8 (47%),,63,43 (51%),20 (53%),9 (53%),,0,0,,2,0,0,0.6,2.2,38.6,0.934,9.6,3.6,1.6,61.4,1.492,12.6,4.0,2.2,17.2,23.6,0.0,0.062,0.167,0.175,0.55
8357,2021-10-30T13:30:00.000Z,8358,Freiburg,1,3,False,50,0.81,8,4,1,0,324 (78%),13,2,50,1.51,12,5,1,0,325 (77%),10,5,,3,1,0,3,5,,4,3,0,5,7,0.81,0.00,0.81,0.85,0.15,0.57,0.72,1.72,415,204,120,22 (41%),1 (11%),23,14,1,422,186,139,27 (48%),2 (20%),23,22,1,,19,10,3,12,3,,22,8,1,12,3,,55,38 (48%),17 (46%),9 (50%),,62,42 (53%),20 (54%),9 (53%),,2,0,,0,0,0,0.8,2.6,41.4,1.154,9.6,3.6,2.4,58.6,1.672,13.4,4.4,2.2,15.6,26.2,0.0,0.083,0.222,0.194,0.591
