team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8149,2021-08-14T13:30:00.000Z,8178,Bayer Leverkusen,1,1,True,33,0.48,8,5,0,0,217 (70%),13,1,67,0.83,16,3,0,0,543 (86%),5,6,,2,1,0,5,3,,7,6,0,10,6,0.33,0.14,0.48,0.60,0.64,0.18,0.83,0.34,309,136,81,22 (44%),3 (30%),25,23,2,633,327,216,35 (58%),6 (35%),25,24,2,,16,9,6,21,2,,17,15,0,12,4,,43,24 (38%),19 (58%),3 (33%),,54,40 (63%),14 (42%),10 (67%),,0,0,,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8149,2021-08-22T13:30:00.000Z,8226,Hoffenheim,2,2,False,36,1.75,12,8,3,1,222 (69%),10,5,64,1.03,7,3,2,0,503 (84%),9,6,,3,1,1,10,2,,2,2,0,3,4,1.29,0.46,1.75,2.73,1.03,0.00,1.03,1.30,323,142,80,25 (43%),5 (28%),26,19,5,602,316,187,18 (38%),1 (6%),28,23,2,,15,7,2,21,1,,11,4,1,19,6,,54,32 (52%),22 (54%),8 (53%),,49,30 (48%),19 (46%),11 (55%),,1,1,,1,0,1,1.0,1.0,33.0,0.48,8.0,5.0,0.0,67.0,0.83,16.0,3.0,0.0,23.0,24.0,1.0,0.125,0.2,0.062,0.333
8149,2021-08-29T13:30:00.000Z,9788,Borussia Mönchengladbach,2,1,True,28,1.92,11,3,3,2,172 (62%),15,4,72,1.79,20,5,3,2,637 (85%),6,8,,5,3,0,8,3,,12,3,0,13,7,1.62,0.30,1.92,1.75,1.33,0.46,1.79,1.88,276,82,90,20 (30%),5 (38%),11,17,0,746,367,270,41 (59%),5 (36%),24,24,3,,20,10,3,20,4,,14,9,3,10,1,,62,41 (51%),21 (50%),15 (71%),,61,40 (49%),21 (50%),12 (50%),,2,0,,0,0,3,1.5,1.5,34.5,1.115,10.0,6.5,1.5,65.5,0.93,11.5,3.0,1.0,21.0,23.5,1.0,0.15,0.231,0.13,0.5
8149,2021-09-11T13:30:00.000Z,8406,Augsburg,0,0,True,60,1.03,16,5,2,2,406 (82%),10,6,40,1.00,14,6,2,2,240 (74%),12,4,,8,3,3,9,7,,7,1,0,10,4,0.91,0.12,1.03,1.10,0.63,0.37,1.00,0.87,495,243,163,35 (57%),7 (28%),29,17,1,324,144,96,27 (43%),7 (37%),27,21,1,,13,10,1,16,6,,13,13,3,23,5,,47,28 (49%),19 (46%),3 (25%),,51,29 (51%),22 (54%),7 (58%),,1,0,,2,0,1,1.667,1.333,32.333,1.383,10.333,5.333,2.0,67.667,1.217,14.333,3.667,1.667,19.667,23.667,1.667,0.161,0.313,0.093,0.364
8149,2021-09-19T15:30:00.000Z,9789,Borussia Dortmund,2,4,False,37,1.65,9,6,3,1,256 (74%),12,6,63,0.93,13,5,1,0,522 (85%),11,3,,3,0,0,8,1,,5,3,1,7,6,0.30,0.56,0.86,1.31,0.61,0.32,0.93,2.37,347,174,82,22 (36%),6 (29%),11,16,3,614,265,257,33 (63%),3 (30%),20,21,0,,19,15,3,12,2,,11,19,0,13,4,,51,34 (50%),17 (55%),5 (45%),,48,34 (50%),14 (45%),11 (69%),,3,0,,2,0,0,1.25,1.0,39.25,1.295,11.75,5.25,2.0,60.75,1.163,14.25,4.25,1.75,19.0,23.0,1.5,0.106,0.238,0.07,0.235
8149,2021-09-25T13:30:00.000Z,9912,Arminia Bielefeld,1,0,True,54,1.24,17,4,2,2,361 (76%),9,5,46,0.48,10,2,0,0,299 (73%),5,4,,9,4,1,13,4,,4,4,0,7,3,1.22,0.02,1.24,0.54,0.43,0.05,0.48,0.19,476,227,134,24 (44%),10 (45%),27,25,4,411,194,105,35 (41%),3 (21%),25,20,1,,15,19,4,26,2,,10,13,3,23,3,,49,21 (41%),28 (65%),4 (57%),,45,30 (59%),15 (35%),11 (55%),,1,0,,0,0,3,1.4,1.6,38.8,1.366,11.2,5.4,2.2,61.2,1.116,14.0,4.4,1.6,18.4,22.6,1.2,0.125,0.259,0.114,0.364
8149,2021-10-03T13:30:00.000Z,9905,Mainz 05,2,1,False,48,1.42,16,2,2,1,288 (71%),6,5,52,1.11,12,4,2,1,336 (77%),15,2,,9,5,0,9,7,,5,3,0,9,3,1.23,0.19,1.42,0.85,0.96,0.15,1.11,1.20,404,190,98,21 (29%),3 (21%),29,18,0,439,188,148,24 (37%),6 (40%),30,27,0,,17,4,3,17,3,,12,9,3,20,0,,59,38 (61%),21 (46%),7 (54%),,49,24 (39%),25 (54%),6 (38%),,4,0,,0,1,3,1.4,1.4,43.0,1.518,13.0,5.2,2.6,57.0,1.046,12.8,4.2,1.6,18.8,21.8,1.6,0.108,0.269,0.109,0.333
8149,2021-10-16T13:30:00.000Z,8721,Wolfsburg,2,0,True,39,0.85,5,3,3,1,243 (69%),7,3,61,1.50,13,4,1,1,458 (82%),16,3,,2,0,0,4,1,,6,3,1,6,7,0.80,0.05,0.85,1.57,1.35,0.15,1.50,1.29,350,136,107,21 (33%),5 (29%),14,12,0,560,277,181,32 (48%),4 (20%),22,16,0,,9,8,3,15,4,,6,14,0,10,1,,52,29 (62%),23 (51%),6 (100%),,40,18 (38%),22 (49%),5 (38%),,3,0,,1,0,3,1.4,1.2,45.4,1.452,13.8,4.0,2.4,54.6,1.062,13.8,4.4,1.6,18.6,22.6,2.0,0.101,0.35,0.087,0.273
8149,2021-10-24T15:30:00.000Z,10269,VfB Stuttgart,1,1,False,45,0.96,12,3,1,1,368 (80%),13,2,55,0.47,8,2,0,0,498 (86%),16,1,,6,3,0,8,4,,4,2,0,7,1,0.83,0.13,0.96,0.78,0.36,0.11,0.47,0.51,458,230,138,22 (40%),3 (16%),15,19,0,579,284,214,29 (52%),2 (17%),27,13,2,,18,22,2,7,1,,13,14,3,17,2,,50,40 (49%),10 (40%),6 (67%),,56,41 (51%),15 (60%),15 (75%),,1,0,,1,1,1,1.4,1.0,47.6,1.238,12.6,4.0,2.4,52.4,1.004,12.4,4.2,1.2,17.6,21.0,2.0,0.111,0.35,0.081,0.238
8149,2021-10-30T13:30:00.000Z,9823,Bayern München,2,5,True,39,0.91,9,6,1,0,292 (78%),9,6,61,3.24,11,6,4,2,518 (86%),7,1,,2,1,0,4,5,,3,2,0,9,2,0.84,0.07,0.91,1.39,2.32,0.12,2.45,4.09,375,167,125,26 (45%),3 (13%),16,14,2,601,287,231,38 (63%),3 (23%),17,31,3,,14,8,1,21,1,,10,9,1,19,4,,40,31 (52%),9 (35%),10 (77%),,46,29 (48%),17 (65%),12 (55%),,1,0,,1,0,0,1.6,1.2,44.6,1.224,11.8,3.6,2.2,55.4,0.898,11.2,3.4,0.8,18.0,19.4,2.0,0.136,0.444,0.107,0.353
8149,2021-11-07T16:30:00.000Z,8722,1. FC Köln,2,2,False,30,1.02,10,3,1,1,134 (53%),19,2,70,1.77,18,5,2,1,471 (81%),9,5,,6,1,0,6,4,,10,3,1,13,5,0.91,0.12,1.02,0.76,1.51,0.26,1.77,1.57,251,64,70,19 (27%),3 (38%),23,12,0,582,315,156,44 (50%),7 (25%),32,21,0,,11,9,3,20,3,,6,16,1,14,1,,45,27 (55%),18 (37%),7 (78%),,53,22 (45%),31 (63%),2 (25%),,2,0,,2,0,1,1.6,1.4,45.0,1.076,11.8,3.6,1.8,55.0,1.36,10.8,3.6,1.4,17.6,21.4,2.0,0.136,0.444,0.13,0.389
8149,2021-11-20T17:30:00.000Z,8177,Hertha BSC,2,0,True,43,1.54,15,5,2,1,258 (72%),17,7,57,0.44,8,2,0,0,371 (79%),13,6,,7,3,1,10,5,,6,0,0,6,2,1.09,0.45,1.54,1.47,0.11,0.33,0.44,0.07,356,149,109,23 (40%),7 (44%),15,18,4,468,218,153,36 (57%),6 (23%),36,18,3,,25,24,0,28,2,,10,18,3,11,3,,63,42 (54%),21 (54%),4 (44%),,54,36 (46%),18 (46%),10 (48%),,1,0,,1,0,3,1.8,1.8,40.2,1.032,10.4,3.4,1.6,59.8,1.618,12.4,4.2,1.8,15.0,21.6,1.6,0.173,0.529,0.145,0.429
8149,2021-11-28T14:30:00.000Z,9810,Eintracht Frankfurt,1,2,False,46,1.11,7,4,1,0,345 (75%),7,2,54,1.34,13,2,3,3,396 (78%),4,7,,1,2,0,5,2,,6,5,1,10,3,0.30,0.02,0.32,1.58,1.25,0.09,1.34,0.56,463,226,119,25 (32%),0 (0%),12,11,1,508,229,167,28 (47%),8 (26%),32,31,1,,15,11,5,33,0,,10,11,2,6,3,,41,29 (51%),12 (39%),10 (83%),,47,28 (49%),19 (61%),11 (65%),,4,0,,0,0,0,1.8,1.6,39.2,1.056,10.2,4.0,1.6,60.8,1.484,11.6,3.8,1.4,15.0,19.8,1.6,0.176,0.45,0.138,0.421
