team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9857,2021-08-22T16:30:00.000Z,6480,Salernitana,3,2,True,73,1.67,18,7,2,0,459 (84%),13,9,27,1.47,10,4,2,1,108 (55%),15,4,,3,8,0,10,8,,4,2,0,6,4,0.85,0.81,1.67,0.97,0.62,0.07,0.68,2.24,549,195,264,23 (62%),5 (28%),18,0,196,38,70,12 (24%),2 (13%),27,2,,12,6,2,20,2,,15,7,7,24,4,,49,31 (49%),18 (55%),6 (40%),,47,32 (51%),15 (45%),4 (100%),,2,2,,1,1,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9857,2021-08-28T16:30:00.000Z,8524,Atalanta,0,0,False,41,0.29,4,1,1,1,260 (70%),14,5,59,0.89,22,3,0,0,443 (81%),11,5,,2,1,0,3,1,,9,10,0,12,10,0.29,0.00,0.29,0.01,0.70,0.19,0.89,0.21,373,164,96,23 (33%),3 (21%),24,0,546,159,284,34 (64%),4 (20%),19,2,,21,14,10,25,3,,12,9,1,11,1,,58,45 (56%),13 (30%),15 (75%),,66,36 (44%),30 (70%),14 (70%),,5,0,,2,0,,,1,3.0,2.0,73.0,1.67,18.0,7.0,2.0,27.0,1.47,10.0,4.0,2.0,0.0,0.0,3.0,0.167,0.429,0.2,0.5
9857,2021-09-13T18:45:00.000Z,9876,Hellas Verona,1,0,True,42,1.10,15,3,1,1,235 (74%),14,6,58,0.29,5,0,0,0,368 (81%),21,2,,8,4,1,8,7,,3,2,0,3,2,0.50,0.59,1.10,0.87,0.29,0.00,0.29,0.00,318,105,130,22 (39%),7 (30%),23,0,454,176,192,24 (42%),2 (14%),14,2,,11,15,2,13,0,,17,10,4,17,2,,64,43 (54%),21 (49%),11 (58%),,59,37 (46%),22 (51%),8 (62%),,1,0,,3,0,,,3,1.5,1.0,57.0,0.98,11.0,4.0,1.5,43.0,1.18,16.0,3.5,1.0,0.0,0.0,2.0,0.136,0.375,0.062,0.286
9857,2021-09-18T16:00:00.000Z,8636,Inter,1,6,False,55,0.50,7,2,4,3,463 (88%),10,1,45,2.81,19,11,7,2,392 (91%),10,5,,5,0,0,5,2,,5,3,1,14,5,0.41,0.08,0.50,0.25,2.52,0.29,2.81,4.69,524,224,239,25 (63%),5 (29%),13,0,430,175,217,26 (67%),2 (17%),15,2,,14,5,3,12,5,,12,10,0,18,1,,39,32 (49%),7 (50%),8 (67%),,40,33 (51%),7 (50%),11 (58%),,3,0,,0,0,,,0,1.333,0.667,52.0,1.02,12.333,3.667,1.333,48.0,0.883,12.333,2.333,0.667,0.0,0.0,2.333,0.108,0.364,0.054,0.286
9857,2021-09-21T16:30:00.000Z,10233,Genoa,2,2,True,60,2.33,17,6,3,2,445 (83%),14,7,40,1.50,11,6,3,1,267 (76%),15,2,,5,6,1,15,2,,4,1,0,7,4,0.34,1.20,1.54,2.23,0.71,0.00,0.71,2.28,535,211,234,23 (53%),4 (27%),22,0,350,157,110,17 (31%),4 (27%),18,2,,14,5,1,13,4,,14,7,7,16,3,,61,42 (57%),19 (73%),13 (59%),,39,32 (43%),7 (27%),4 (33%),,3,0,,4,0,,,1,1.25,2.0,52.75,0.89,11.0,3.25,2.0,47.25,1.365,14.0,4.5,2.25,0.0,0.0,1.75,0.114,0.385,0.143,0.444
9857,2021-09-26T13:00:00.000Z,8534,Empoli,2,4,False,63,2.91,20,5,4,3,377 (83%),22,10,37,1.67,15,7,1,0,207 (76%),15,2,,9,6,3,12,8,,5,3,1,11,4,1.45,0.68,2.12,1.88,0.47,0.41,0.88,2.58,456,161,216,32 (65%),12 (46%),20,1,273,62,145,20 (43%),7 (44%),12,3,,10,6,3,11,4,,14,11,6,24,3,,45,31 (42%),14 (78%),7 (64%),,47,43 (58%),4 (22%),7 (64%),,2,0,,2,0,,,0,1.4,2.0,54.2,1.178,12.2,3.8,2.2,45.8,1.392,13.4,4.8,2.4,0.0,0.0,1.6,0.115,0.368,0.149,0.417
9857,2021-10-03T10:30:00.000Z,8543,Lazio,3,0,True,41,0.63,10,3,1,0,343 (82%),5,3,59,0.63,8,4,2,2,546 (88%),16,3,,6,1,0,5,5,,2,2,0,4,4,0.36,0.28,0.63,1.07,0.63,0.00,0.63,1.06,417,235,108,37 (61%),4 (25%),18,1,618,185,361,26 (62%),2 (11%),18,0,,21,15,2,22,4,,14,10,1,7,0,,63,49 (64%),14 (52%),13 (62%),,41,28 (36%),13 (48%),9 (41%),,2,0,,5,1,11.0,16.0,3,1.2,2.4,52.2,1.426,12.6,3.4,2.6,47.8,1.432,14.4,5.4,2.2,0.0,0.0,1.0,0.095,0.353,0.167,0.444
9857,2021-10-17T13:00:00.000Z,8600,Udinese,1,1,False,60,1.43,24,11,1,1,436 (88%),11,8,40,0.78,10,2,2,1,270 (80%),15,2,,8,5,0,10,14,,5,3,1,7,3,1.01,0.42,1.43,1.23,0.45,0.33,0.78,0.94,495,218,218,30 (68%),4 (25%),12,0,339,127,143,15 (38%),3 (33%),18,1,,15,8,3,11,1,,9,7,5,14,10,,48,37 (56%),11 (58%),7 (64%),,37,29 (44%),8 (42%),10 (67%),,7,0,,1,1,21.0,17.0,1,1.8,2.4,52.2,1.494,13.8,3.8,2.6,47.8,1.38,11.6,5.6,2.6,2.2,3.2,1.4,0.13,0.474,0.207,0.429
9857,2021-10-23T18:45:00.000Z,8564,Milan,2,4,True,37,0.92,9,4,1,0,275 (79%),7,4,63,1.00,15,7,0,0,531 (89%),15,1,,3,2,0,6,3,,3,5,0,7,8,0.69,0.23,0.92,0.88,0.88,0.13,1.00,1.25,349,137,138,28 (49%),4 (36%),17,0,596,216,315,24 (67%),4 (25%),19,2,,19,3,5,19,3,,15,9,1,7,3,,49,39 (58%),10 (50%),6 (46%),,38,28 (42%),10 (50%),6 (40%),,1,2,,3,0,9.0,24.0,0,1.8,2.6,55.8,1.56,15.6,5.4,2.6,44.2,1.478,12.6,6.0,3.0,6.4,6.6,1.0,0.115,0.333,0.206,0.433
9857,2021-10-28T18:45:00.000Z,9875,Napoli,0,3,False,35,0.26,8,1,0,0,301 (84%),5,2,65,2.70,18,6,3,1,641 (93%),20,4,,5,2,0,4,4,,9,3,1,12,6,0.20,0.07,0.26,0.34,1.03,0.09,1.12,2.39,360,169,132,33 (60%),0 (0%),11,1,690,182,459,54 (82%),4 (36%),17,1,,12,6,3,12,3,,9,6,2,8,1,,43,37 (70%),6 (38%),8 (73%),,26,16 (30%),10 (63%),6 (50%),,1,0,,1,0,7.0,36.0,0,2.0,2.2,52.2,1.644,16.0,5.8,2.0,47.8,1.116,11.8,5.2,1.6,8.2,11.4,1.0,0.125,0.345,0.186,0.423
