team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8534,2021-08-21T18:45:00.000Z,8543,Lazio,1,3,True,45,1.21,16,4,1,1,372 (82%),13,5,55,1.51,8,4,2,0,491 (87%),10,3,,7,5,2,11,5,,3,1,0,8,0,1.09,0.11,1.21,0.94,0.47,0.25,0.73,2.10,451,171,201,29 (60%),4 (20%),28,2,567,243,248,42 (75%),4 (36%),15,0,,23,12,1,14,1,,26,15,6,16,2,,42,36 (43%),6 (46%),5 (31%),,54,47 (57%),7 (54%),8 (44%),,2,0,,1,0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8534,2021-08-28T18:45:00.000Z,9885,Juventus,1,0,False,45,0.71,11,3,1,0,259 (76%),6,9,55,1.20,18,5,1,1,346 (84%),10,8,,3,5,0,8,3,,9,4,0,10,8,0.68,0.04,0.71,1.22,0.98,0.22,1.20,0.85,342,140,119,27 (48%),4 (20%),29,3,412,125,221,47 (63%),6 (16%),22,1,,17,5,4,26,5,,14,11,5,25,3,,46,34 (52%),12 (40%),7 (64%),,49,31 (48%),18 (60%),11 (58%),,3,0,,2,0,,,3,1.0,3.0,45.0,1.21,16.0,4.0,1.0,55.0,1.51,8.0,4.0,2.0,0.0,0.0,0.0,0.062,0.25,0.375,0.75
8534,2021-09-11T13:00:00.000Z,7881,Venezia,1,2,True,68,1.90,22,6,2,1,449 (84%),12,8,32,1.75,10,3,4,3,185 (72%),21,2,,8,8,0,12,10,,6,1,0,9,1,0.72,0.39,1.11,2.29,1.62,0.13,1.75,1.75,532,216,233,33 (47%),7 (19%),40,3,256,123,62,26 (41%),3 (33%),18,1,,16,9,1,9,1,,19,7,8,35,5,,61,50 (59%),11 (35%),13 (62%),,55,35 (41%),20 (65%),5 (38%),,2,0,,5,0,,,0,1.0,1.5,45.0,0.96,13.5,3.5,1.0,55.0,1.355,13.0,4.5,1.5,0.0,0.0,1.5,0.074,0.286,0.115,0.333
8534,2021-09-19T10:30:00.000Z,9882,Sampdoria,0,3,True,54,1.41,15,4,1,1,312 (78%),10,8,46,1.04,14,7,1,0,267 (74%),10,8,,5,6,0,8,7,,5,2,1,10,4,1.37,0.04,1.41,0.97,0.66,0.37,1.04,1.79,398,155,157,25 (49%),5 (15%),24,7,360,114,153,40 (53%),3 (20%),17,4,,10,9,2,11,4,,18,11,6,28,4,,33,25 (40%),8 (42%),5 (31%),,49,38 (60%),11 (58%),11 (58%),,2,0,,2,0,,,0,1.0,1.667,52.667,1.273,16.333,4.333,1.333,47.333,1.487,12.0,4.0,2.333,0.0,0.0,1.0,0.061,0.231,0.139,0.417
8534,2021-09-22T18:45:00.000Z,8529,Cagliari,2,0,False,50,0.89,17,5,1,1,353 (81%),13,4,50,1.01,15,1,0,0,339 (78%),15,7,,7,5,1,7,10,,7,7,1,9,6,0.52,0.37,0.89,0.65,0.81,0.20,1.01,0.06,438,164,189,16 (36%),3 (16%),26,4,434,200,139,34 (49%),7 (25%),29,1,,12,9,7,24,1,,10,9,5,16,3,,44,31 (48%),13 (43%),4 (44%),,50,33 (52%),17 (57%),10 (53%),,1,0,,2,0,,,3,0.75,2.0,53.0,1.307,16.0,4.25,1.25,47.0,1.375,12.5,4.75,2.0,0.0,0.0,0.75,0.047,0.176,0.16,0.421
8534,2021-09-26T13:00:00.000Z,9857,Bologna,4,2,True,37,1.67,15,7,1,0,207 (76%),15,2,63,2.91,20,5,4,3,377 (83%),22,10,,5,3,1,11,4,,9,6,3,12,8,0.47,0.41,0.88,2.58,1.45,0.68,2.12,1.88,273,62,145,20 (43%),7 (44%),12,3,456,161,216,32 (65%),12 (46%),20,1,,14,11,6,24,3,,10,6,3,11,4,,47,43 (58%),4 (22%),7 (64%),,45,31 (42%),14 (78%),7 (64%),,2,0,,2,0,,,3,1.0,1.6,52.4,1.224,16.2,4.4,1.2,47.6,1.302,13.0,4.0,1.6,0.0,0.0,1.2,0.062,0.227,0.123,0.4
8534,2021-10-03T16:00:00.000Z,8686,Roma,0,2,False,36,0.68,11,3,0,0,273 (83%),15,5,64,1.34,18,7,2,1,562 (91%),11,5,,5,3,0,6,5,,6,5,1,14,4,0.52,0.16,0.68,0.31,1.00,0.34,1.34,1.71,330,144,129,21 (64%),6 (32%),17,4,617,266,296,34 (68%),7 (41%),10,3,,17,8,6,16,4,,11,7,3,16,3,,44,35 (51%),9 (56%),8 (67%),,41,34 (49%),7 (44%),9 (43%),,3,0,,2,0,15.0,32.0,0,1.6,1.4,50.8,1.316,16.0,5.0,1.2,49.2,1.582,15.4,4.2,2.0,0.0,0.0,1.8,0.1,0.32,0.091,0.333
8534,2021-10-17T13:00:00.000Z,8524,Atalanta,1,4,True,48,0.65,12,6,0,0,329 (79%),10,5,52,3.99,22,7,5,3,375 (81%),16,4,,0,6,0,7,5,,7,8,0,15,7,0.42,0.23,0.65,0.84,3.09,0.11,3.20,2.76,415,188,141,22 (47%),2 (10%),21,6,465,201,174,47 (59%),3 (30%),14,2,,15,14,8,18,4,,16,15,8,16,3,,46,38 (53%),8 (42%),8 (44%),,45,34 (47%),11 (58%),8 (47%),,3,0,,2,0,24.0,36.0,0,1.4,1.8,49.0,1.31,16.0,5.0,1.0,51.0,1.61,15.4,4.6,2.2,3.0,6.4,1.2,0.087,0.28,0.117,0.391
8534,2021-10-23T13:00:00.000Z,6480,Salernitana,4,2,False,40,2.37,10,5,5,2,242 (78%),16,2,60,1.18,12,6,2,1,390 (83%),12,7,,4,1,0,7,3,,5,1,1,9,3,1.58,0.00,1.58,1.72,0.80,0.37,1.18,1.62,311,104,138,26 (47%),2 (17%),16,2,469,185,205,23 (51%),5 (19%),27,2,,21,16,2,30,4,,16,5,1,14,2,,52,37 (49%),15 (43%),4 (33%),,58,38 (51%),20 (57%),7 (41%),,3,0,,1,0,18.0,26.0,3,1.4,2.2,45.0,1.06,14.0,5.0,0.6,55.0,2.058,17.8,5.4,2.4,7.8,13.6,1.2,0.1,0.28,0.124,0.407
8534,2021-10-27T18:45:00.000Z,8636,Inter,0,2,True,31,0.49,9,3,1,1,212 (77%),20,5,69,2.12,21,9,5,3,580 (89%),15,6,,5,1,0,5,4,,7,5,1,16,5,0.12,0.37,0.49,0.44,2.03,0.09,2.12,1.91,276,136,76,20 (48%),4 (24%),14,0,651,294,286,44 (71%),11 (52%),15,3,,11,6,5,19,7,,16,9,2,17,2,,40,31 (42%),9 (41%),7 (58%),,55,42 (58%),13 (59%),7 (58%),,1,1,,3,0,15.0,37.0,0,2.2,2.0,42.2,1.252,13.0,5.2,1.4,57.8,2.086,17.4,5.2,2.6,11.4,18.8,1.8,0.169,0.423,0.115,0.385
