team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8535,2021-08-22T18:45:00.000Z,8686,Roma,1,3,False,58,1.33,11,8,2,1,460 (89%),15,4,42,2.71,11,6,5,2,301 (82%),12,4,,2,1,0,8,3,,5,0,1,8,3,0.85,0.48,1.33,1.22,2.59,0.11,2.71,3.35,515,247,213,40 (80%),5 (36%),19,23.0,2,365,178,123,31 (53%),6 (55%),18,14.0,4,,12,13,0,5,3,,13,11,1,16,7,,39,30 (43%),9 (43%),8 (57%),,51,39 (57%),12 (57%),12 (55%),,2,1,,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8535,2021-08-28T18:45:00.000Z,9804,Torino,2,1,True,58,0.83,9,6,0,0,338 (81%),13,3,42,0.40,5,1,0,0,220 (72%),28,3,,2,1,0,6,3,,2,2,0,5,0,0.67,0.16,0.83,1.32,0.38,0.02,0.40,0.26,416,191,147,50 (64%),4 (21%),24,,3,306,114,106,21 (34%),4 (36%),15,,2,,12,6,2,14,0,,10,13,1,13,4,,63,40 (59%),23 (59%),2 (40%),,44,28 (41%),16 (41%),6 (55%),,4,0,,5,0,3,1.0,3.0,58.0,1.33,11.0,8.0,2.0,42.0,2.71,11.0,6.0,5.0,23.0,14.0,0.0,0.091,0.125,0.273,0.5
8535,2021-09-11T18:45:00.000Z,8524,Atalanta,2,1,False,45,1.76,7,2,2,0,354 (83%),19,3,55,2.23,13,5,5,4,422 (86%),13,10,,2,3,0,6,1,,7,1,0,13,0,0.19,0.00,0.19,1.99,0.82,0.62,1.44,1.87,425,213,141,43 (60%),0 (0%),15,,1,492,215,207,26 (62%),11 (38%),22,,2,,18,6,1,28,4,,11,8,2,8,0,,48,39 (52%),9 (38%),9 (56%),,51,36 (48%),15 (63%),7 (37%),,4,0,,4,0,3,1.5,2.0,58.0,1.08,10.0,7.0,1.0,42.0,1.555,8.0,3.5,2.5,11.5,7.0,1.5,0.15,0.214,0.25,0.571
8535,2021-09-18T13:00:00.000Z,10233,Genoa,2,1,False,65,0.90,16,5,1,1,516 (88%),16,11,35,1.06,9,3,2,1,254 (79%),13,1,,6,5,0,9,7,,3,3,0,4,5,0.74,0.16,0.90,2.04,0.13,0.14,0.27,1.15,584,274,242,52 (71%),5 (19%),18,,1,322,190,64,19 (44%),4 (50%),17,,3,,20,4,3,7,2,,14,12,5,31,3,,48,37 (49%),11 (52%),6 (46%),,49,39 (51%),10 (48%),10 (56%),,4,0,,4,0,3,1.667,1.667,53.667,1.307,9.0,5.333,1.333,46.333,1.78,9.667,4.0,3.333,15.333,9.333,2.0,0.185,0.313,0.172,0.417
8535,2021-09-21T18:45:00.000Z,8636,Inter,1,3,True,53,1.60,14,6,2,1,434 (87%),11,4,47,2.22,17,5,5,2,366 (85%),15,8,,5,3,0,5,9,,7,5,0,13,4,1.60,0.00,1.60,2.29,1.61,0.61,2.22,1.78,497,242,192,30 (53%),3 (20%),14,,1,429,232,134,21 (60%),8 (44%),17,,1,,6,13,5,10,2,,9,5,3,14,5,,29,24 (51%),5 (33%),3 (33%),,33,23 (49%),10 (67%),4 (50%),,0,1,,3,0,0,1.75,1.5,56.5,1.205,10.75,5.25,1.25,43.5,1.6,9.5,3.75,3.0,14.375,8.75,2.25,0.163,0.333,0.158,0.4
8535,2021-09-26T13:00:00.000Z,8600,Udinese,1,0,False,55,1.29,8,2,1,0,495 (86%),11,1,45,0.76,12,5,0,0,404 (86%),14,4,,5,1,0,4,4,,4,3,0,6,6,0.50,0.00,0.50,1.02,0.68,0.08,0.76,1.34,573,298,197,43 (62%),2 (17%),10,,0,472,223,181,23 (50%),2 (13%),29,,0,,19,5,3,18,5,,21,4,1,10,1,,51,37 (42%),14 (61%),4 (29%),,60,51 (58%),9 (39%),21 (64%),,3,0,,2,0,3,1.6,1.8,55.8,1.284,11.4,5.4,1.4,44.2,1.724,11.0,4.0,3.4,14.567,8.867,1.8,0.14,0.296,0.164,0.45
8535,2021-10-03T16:05:00.000Z,9875,Napoli,1,2,True,54,0.38,10,3,0,0,385 (85%),16,8,46,1.66,12,6,3,1,327 (81%),13,2,,2,5,0,6,4,,5,1,0,8,4,0.12,0.27,0.38,0.55,0.29,0.58,0.87,3.34,455,222,163,35 (64%),6 (23%),17,28.0,1,404,216,111,29 (48%),2 (33%),18,17.0,0,,15,4,1,5,4,,13,6,5,20,2,,47,35 (47%),12 (50%),8 (44%),,51,39 (53%),12 (50%),11 (58%),,3,0,,3,0,0,1.6,1.2,55.2,1.276,10.8,4.2,1.2,44.8,1.334,11.2,3.8,2.4,12.842,7.817,2.4,0.148,0.381,0.107,0.316
8535,2021-10-18T18:45:00.000Z,7881,Venezia,0,1,False,62,0.41,10,2,0,0,507 (87%),11,5,38,1.12,4,2,1,0,277 (75%),17,2,,5,3,0,4,6,,0,2,0,4,0,0.24,0.18,0.41,0.46,1.11,0.02,1.12,0.77,580,285,222,58 (70%),6 (25%),18,22.0,2,371,194,83,25 (44%),1 (17%),18,10.0,6,,16,9,2,5,1,,15,9,2,13,2,,54,42 (58%),12 (57%),10 (53%),,40,31 (42%),9 (43%),6 (35%),,3,1,,2,0,0,1.4,1.4,54.4,1.186,11.0,3.6,1.2,45.6,1.586,12.6,4.8,3.0,18.442,11.217,1.8,0.127,0.389,0.111,0.292
8535,2021-10-24T13:00:00.000Z,8529,Cagliari,3,0,True,65,2.92,21,5,5,3,548 (89%),11,4,35,0.11,3,1,0,0,252 (75%),15,1,,11,5,1,12,9,,2,0,0,2,1,1.82,0.31,2.13,1.97,0.11,0.00,0.11,0.02,616,355,193,36 (60%),9 (47%),18,34.0,1,336,149,103,25 (45%),1 (25%),13,8.0,4,,10,4,0,7,1,,16,11,4,16,2,,48,28 (47%),20 (57%),5 (36%),,46,31 (53%),15 (43%),6 (55%),,0,0,,2,0,3,1.0,1.4,57.8,0.916,11.6,3.6,0.8,42.2,1.364,10.8,4.2,2.2,18.242,10.417,1.2,0.086,0.278,0.13,0.333
8535,2021-10-27T18:45:00.000Z,8543,Lazio,0,1,False,51,0.56,9,1,0,0,452 (85%),11,6,49,0.79,5,2,1,1,458 (89%),16,3,,4,4,0,8,1,,3,0,0,4,1,0.32,0.23,0.56,0.23,0.73,0.06,0.79,0.58,530,257,195,55 (69%),9 (36%),19,19.0,1,517,309,149,22 (63%),2 (13%),17,13.0,5,,6,6,0,13,1,,12,7,4,17,1,,43,33 (52%),10 (53%),11 (79%),,39,30 (48%),9 (47%),8 (67%),,3,0,,3,0,0,1.2,1.2,57.8,1.32,12.6,3.6,1.6,42.2,1.174,9.6,3.8,1.8,22.742,10.617,1.2,0.095,0.333,0.125,0.316
