team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8686,2021-08-22T18:45:00.000Z,8535,Fiorentina,3,1,True,42,2.71,11,6,5,2,301 (82%),12,4,58,1.33,11,8,2,1,460 (89%),15,4,,5,0,1,8,3,,2,1,0,8,3,2.59,0.11,2.71,3.35,0.85,0.48,1.33,1.22,365,178,123,31 (53%),6 (55%),18,14.0,4,515,247,213,40 (80%),5 (36%),19,23.0,2,,13,11,1,16,7,,12,13,0,5,3,,51,39 (57%),12 (57%),12 (55%),,39,30 (43%),9 (43%),8 (57%),,1,1,,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8686,2021-08-29T18:45:00.000Z,6480,Salernitana,4,0,False,80,2.08,28,9,1,0,637 (89%),11,10,20,0.35,5,0,0,0,89 (52%),12,1,,8,11,0,18,10,,4,1,0,4,1,1.97,0.11,2.08,3.08,0.31,0.04,0.35,0.00,714,269,368,35 (61%),8 (30%),12,,3,172,49,40,12 (26%),3 (30%),16,,2,,6,8,1,11,0,,13,11,9,28,5,,40,23 (48%),17 (53%),5 (38%),,40,25 (52%),15 (47%),2 (50%),,2,0,,2,0,3,3.0,1.0,42.0,2.71,11.0,6.0,5.0,58.0,1.33,11.0,8.0,2.0,14.0,23.0,3.0,0.273,0.5,0.091,0.125
8686,2021-09-12T18:45:00.000Z,7943,Sassuolo,2,1,True,49,2.12,17,6,3,2,386 (87%),7,4,51,2.03,14,7,4,3,403 (88%),11,6,,9,2,1,13,4,,6,1,1,9,5,1.37,0.74,2.12,0.50,1.92,0.10,2.03,2.74,445,257,129,24 (53%),5 (33%),20,,1,458,274,129,28 (67%),2 (18%),21,,6,,8,3,1,19,6,,9,12,1,11,5,,32,27 (56%),5 (63%),8 (62%),,24,21 (44%),3 (38%),7 (54%),,2,0,,1,0,3,3.5,0.5,61.0,2.395,19.5,7.5,3.0,39.0,0.84,8.0,4.0,1.0,7.0,11.5,3.0,0.179,0.467,0.062,0.125
8686,2021-09-19T16:00:00.000Z,9876,Hellas Verona,2,3,False,48,0.66,15,2,0,0,269 (70%),13,8,52,0.94,10,6,2,1,342 (78%),14,3,,5,8,1,7,8,,3,1,0,4,6,0.61,0.06,0.66,0.38,0.94,0.00,0.94,2.71,385,142,127,27 (41%),5 (26%),13,,2,440,188,154,13 (25%),0 (0%),17,,3,,19,9,1,11,4,,7,10,7,23,1,,66,41 (61%),25 (53%),10 (77%),,48,26 (39%),22 (47%),7 (58%),,2,0,,4,0,0,3.0,0.667,57.0,2.303,18.667,7.0,3.0,43.0,1.237,10.0,5.0,2.0,9.333,15.333,3.0,0.161,0.429,0.067,0.133
8686,2021-09-23T18:45:00.000Z,8600,Udinese,1,0,True,52,1.91,12,2,2,1,435 (86%),22,6,48,0.63,8,3,1,1,392 (84%),8,6,,6,4,2,6,6,,5,0,0,6,2,1.22,0.69,1.91,0.95,0.54,0.09,0.63,0.11,505,200,235,30 (61%),3 (17%),19,,1,469,238,154,25 (49%),3 (19%),18,,2,,19,9,1,17,2,,16,13,4,21,1,,47,35 (41%),12 (60%),8 (53%),,58,50 (59%),8 (40%),13 (59%),,2,1,,1,0,3,2.75,1.25,54.75,1.893,17.75,5.75,2.25,45.25,1.162,10.0,5.25,2.0,8.75,14.375,2.25,0.155,0.478,0.125,0.238
8686,2021-09-26T16:00:00.000Z,8543,Lazio,2,3,False,51,2.19,20,8,2,1,376 (85%),13,9,49,1.84,10,4,5,3,378 (87%),12,1,,6,6,1,17,3,,6,0,0,8,2,0.74,0.66,1.40,3.24,1.50,0.34,1.84,1.60,441,203,173,36 (55%),10 (40%),18,,1,435,253,125,20 (49%),3 (33%),19,,2,,20,11,0,5,1,,19,4,5,27,6,,62,49 (53%),13 (48%),18 (69%),,57,43 (47%),14 (52%),11 (55%),,4,0,,2,0,0,2.4,1.0,54.2,1.896,16.6,5.0,2.2,45.8,1.056,9.6,4.8,1.8,8.867,14.567,2.4,0.145,0.48,0.104,0.208
8686,2021-10-03T16:00:00.000Z,8534,Empoli,2,0,True,64,1.34,18,7,2,1,562 (91%),11,5,36,0.68,11,3,0,0,273 (83%),15,5,,6,5,1,14,4,,5,3,0,6,5,1.00,0.34,1.34,1.71,0.52,0.16,0.68,0.31,617,266,296,34 (68%),7 (41%),10,32.0,3,330,144,129,21 (64%),6 (32%),17,15.0,4,,11,7,3,16,3,,17,8,6,16,4,,41,34 (49%),7 (44%),9 (43%),,44,35 (51%),9 (56%),8 (67%),,2,0,,3,0,3,2.2,1.4,56.0,1.792,18.4,5.4,1.6,44.0,1.158,9.4,4.0,2.4,7.817,12.842,1.8,0.12,0.407,0.149,0.35
8686,2021-10-17T18:45:00.000Z,9885,Juventus,0,1,False,52,1.61,15,4,1,1,450 (88%),13,6,48,1.38,6,2,2,2,414 (85%),18,0,,5,6,0,8,7,,4,0,0,5,1,0.43,0.39,0.83,1.30,1.38,0.00,1.38,0.18,514,228,222,24 (62%),6 (26%),20,23.0,3,487,237,177,32 (48%),3 (33%),8,15.0,3,,10,4,0,6,1,,20,7,5,22,4,,47,37 (51%),10 (50%),10 (53%),,46,36 (49%),10 (50%),3 (33%),,5,0,,3,0,0,1.8,1.4,52.8,1.644,16.4,5.0,1.8,47.2,1.224,10.6,4.6,2.4,14.217,15.842,1.8,0.11,0.36,0.132,0.304
8686,2021-10-24T16:00:00.000Z,9875,Napoli,0,0,True,38,1.48,13,1,3,3,251 (80%),14,7,62,0.75,11,3,1,1,467 (87%),10,4,,6,6,0,8,5,,4,4,2,6,5,1.03,0.45,1.48,0.18,0.64,0.12,0.75,0.41,312,163,88,22 (49%),4 (17%),14,14.0,0,536,265,202,30 (70%),5 (29%),16,22.0,6,,17,16,4,16,2,,17,8,6,12,1,,61,44 (49%),17 (61%),17 (61%),,56,45 (51%),11 (39%),14 (58%),,4,0,,1,0,1,1.4,1.4,53.4,1.542,16.0,4.6,1.4,46.6,1.094,9.0,3.6,2.0,16.017,14.242,1.2,0.087,0.304,0.156,0.389
8686,2021-10-27T18:45:00.000Z,8529,Cagliari,2,1,False,59,2.18,22,3,5,5,374 (85%),16,10,41,1.14,7,5,3,2,238 (76%),16,2,,13,6,1,16,6,,2,0,1,5,2,1.44,0.74,2.18,1.28,1.10,0.04,1.14,1.84,439,163,211,27 (56%),13 (37%),14,35.0,0,315,134,104,24 (42%),6 (32%),20,14.0,1,,12,11,0,12,4,,10,9,5,22,1,,55,35 (53%),20 (57%),7 (54%),,46,31 (47%),15 (43%),6 (50%),,4,0,,3,0,3,1.0,0.8,51.4,1.706,15.6,4.4,2.0,48.6,1.056,9.2,3.0,1.8,17.417,16.342,1.4,0.064,0.227,0.087,0.267
8686,2021-10-31T19:45:00.000Z,8564,Milan,1,2,True,50,1.32,24,6,1,1,327 (87%),19,5,50,1.75,8,3,2,1,341 (85%),13,2,,12,6,0,13,11,,4,1,0,4,4,0.96,0.37,1.32,1.45,0.83,0.13,0.97,1.86,377,128,199,30 (67%),5 (20%),15,34.0,2,400,209,132,32 (58%),1 (11%),10,13.0,5,,15,4,1,13,1,,16,6,5,22,5,,43,32 (43%),11 (48%),5 (56%),,55,43 (57%),12 (52%),8 (67%),,4,0,,5,1,0,1.2,1.0,52.8,1.76,17.6,4.6,2.6,47.2,1.158,9.0,3.4,2.2,22.55,16.075,1.4,0.068,0.261,0.111,0.294
8686,2021-11-07T11:30:00.000Z,7881,Venezia,2,3,False,61,3.88,27,11,3,2,389 (82%),18,11,39,3.00,13,7,6,3,245 (79%),12,4,,8,8,1,21,6,,4,2,2,10,3,3.00,0.89,3.88,3.01,1.37,0.84,2.21,2.96,477,172,217,24 (53%),12 (36%),20,59.0,1,311,171,74,19 (45%),5 (36%),11,15.0,2,,15,5,2,7,4,,14,10,10,33,7,,61,35 (47%),26 (67%),8 (47%),,52,39 (53%),13 (33%),7 (47%),,2,0,,2,0,0,1.0,0.8,52.6,1.586,18.4,4.2,2.4,47.4,1.14,8.6,3.2,1.6,27.6,15.8,1.4,0.054,0.238,0.093,0.25
8686,2021-11-21T19:45:00.000Z,10233,Genoa,2,0,False,59,2.29,19,4,3,2,489 (88%),13,7,41,0.08,1,1,0,0,324 (84%),13,2,,8,7,0,13,6,,0,0,0,1,0,2.06,0.24,2.29,1.73,0.08,0.00,0.08,0.16,557,278,211,41 (69%),11 (42%),15,31.0,0,388,195,129,37 (55%),3 (21%),11,10.0,2,,12,7,0,10,1,,15,13,6,17,2,,53,35 (53%),18 (82%),11 (50%),,35,31 (47%),4 (18%),4 (57%),,2,0,,3,0,3,1.0,1.4,52.0,2.094,20.2,5.0,2.6,48.0,1.604,9.0,4.0,2.8,33.0,15.8,0.8,0.05,0.2,0.156,0.35
8686,2021-11-28T17:00:00.000Z,9804,Torino,1,0,True,32,1.01,10,2,1,0,206 (75%),7,2,68,0.91,17,3,0,0,506 (86%),11,9,,6,2,0,7,3,,6,8,0,11,6,0.80,0.21,1.01,1.06,0.40,0.51,0.91,0.49,274,129,77,29 (49%),1 (17%),19,11.0,1,590,219,287,17 (43%),4 (17%),21,31.0,3,,21,8,8,21,3,,20,15,1,8,1,,56,36 (49%),20 (67%),5 (38%),,48,38 (51%),10 (33%),11 (65%),,2,0,,1,0,3,1.4,1.2,53.4,2.23,21.0,5.0,3.0,46.6,1.344,8.0,3.8,2.4,34.6,14.8,1.4,0.067,0.28,0.15,0.316
8686,2021-12-01T17:30:00.000Z,9857,Bologna,0,1,False,57,0.85,13,5,1,1,442 (85%),18,3,43,0.25,6,3,0,0,311 (80%),9,3,,5,3,0,6,7,,1,2,0,2,4,0.69,0.16,0.85,0.21,0.25,0.00,0.25,0.82,517,230,212,27 (57%),2 (17%),19,12.0,4,387,185,126,34 (57%),0 (0%),18,11.0,2,,20,10,2,20,2,,10,13,3,20,6,,48,34 (52%),14 (47%),5 (50%),,48,32 (48%),16 (53%),7 (50%),,4,0,,3,0,0,1.6,1.2,52.2,2.136,20.4,5.2,2.6,47.8,1.376,9.2,3.8,2.2,34.0,16.6,1.8,0.078,0.308,0.13,0.316
8686,2021-12-04T17:00:00.000Z,8636,Inter,0,3,True,34,0.74,9,1,1,1,329 (87%),9,4,66,1.30,10,4,3,1,712 (93%),6,4,,4,4,0,5,4,,4,2,0,7,3,0.65,0.09,0.74,0.35,1.28,0.01,1.30,1.60,380,198,131,27 (68%),6 (43%),15,14.0,0,765,482,230,42 (81%),4 (27%),19,26.0,1,,9,10,2,14,1,,20,9,4,12,1,,30,25 (42%),5 (33%),10 (56%),,44,34 (58%),10 (67%),5 (50%),,3,0,,1,0,0,1.2,1.2,51.8,1.87,18.6,5.6,1.8,48.2,1.198,9.0,3.4,1.6,29.4,16.0,1.2,0.065,0.214,0.133,0.353
8686,2021-12-13T19:45:00.000Z,9881,Spezia,2,0,True,52,2.21,12,6,4,2,421 (84%),13,9,48,0.56,8,2,1,1,382 (84%),7,4,,2,4,1,10,2,,3,3,0,7,1,1.27,0.94,2.21,1.91,0.42,0.15,0.56,0.12,501,233,188,41 (67%),5 (25%),23,20.0,0,456,216,166,44 (66%),7 (33%),18,19.0,4,,12,15,3,22,2,,17,7,4,18,3,,39,25 (40%),14 (67%),6 (40%),,44,37 (60%),7 (33%),8 (100%),,2,1,,1,0,3,1.0,1.4,48.6,1.754,15.6,4.6,1.8,51.4,1.108,9.4,3.6,1.8,25.4,18.6,1.2,0.064,0.217,0.149,0.389
8686,2021-12-18T14:00:00.000Z,8524,Atalanta,4,1,False,29,1.70,8,5,2,0,200 (74%),16,0,71,1.25,17,6,1,1,568 (88%),11,10,,1,2,0,6,2,,8,3,0,8,9,1.01,0.70,1.70,2.47,0.71,0.54,1.25,1.11,269,105,95,24 (44%),0 (0%),12,9.0,2,648,208,360,17 (50%),9 (29%),17,27.0,3,,21,18,3,31,6,,22,9,2,3,1,,47,37 (41%),10 (40%),7 (41%),,69,54 (59%),15 (60%),16 (57%),,3,0,,1,0,3,1.0,0.8,46.8,1.42,12.6,3.6,2.0,53.2,0.62,8.4,2.6,0.8,17.6,19.4,1.8,0.079,0.278,0.095,0.308
8686,2021-12-22T17:30:00.000Z,9882,Sampdoria,1,1,True,55,1.28,15,4,3,3,429 (82%),6,10,45,1.51,9,2,3,2,359 (80%),8,2,,11,0,0,8,7,,4,3,2,5,4,1.19,0.09,1.28,0.75,0.52,0.98,1.51,1.09,524,220,209,28 (60%),8 (28%),28,35.0,1,450,237,122,20 (36%),1 (11%),20,17.0,3,,18,8,3,5,1,,18,13,0,33,3,,43,33 (52%),10 (50%),7 (50%),,41,31 (48%),10 (50%),7 (44%),,0,0,,3,0,1,1.4,1.0,40.8,1.302,10.4,3.8,1.8,59.2,0.854,11.6,3.6,1.0,13.2,22.8,1.8,0.135,0.368,0.086,0.278
8686,2022-01-06T17:30:00.000Z,8564,Milan,1,3,False,45,0.62,11,5,1,0,243 (74%),20,9,55,2.97,19,5,5,2,319 (80%),6,3,,1,5,0,6,5,,10,4,3,10,9,0.26,0.35,0.62,0.77,1.25,0.14,1.39,2.94,328,159,84,22 (42%),1 (6%),21,15.0,3,401,186,133,26 (46%),1 (8%),20,21.0,1,,19,16,2,19,2,,12,21,3,15,4,,44,32 (46%),12 (60%),7 (54%),,46,38 (54%),8 (40%),9 (47%),,3,2,,2,0,0,1.4,1.2,45.4,1.356,11.4,4.2,2.2,54.6,0.974,10.0,3.4,1.6,18.0,20.0,1.4,0.123,0.333,0.12,0.353
8686,2022-01-09T17:30:00.000Z,9885,Juventus,3,4,True,52,2.17,19,7,4,3,338 (80%),11,8,48,1.03,14,5,2,0,327 (84%),12,1,,3,9,0,11,8,,3,6,0,6,8,0.33,1.05,1.38,2.56,0.98,0.05,1.03,1.88,420,165,173,17 (44%),6 (30%),25,23.0,1,388,178,149,28 (49%),2 (25%),18,13.0,0,,20,7,6,14,1,,9,11,7,14,4,,46,33 (57%),13 (59%),3 (43%),,34,25 (43%),9 (41%),7 (47%),,3,0,,2,1,0,1.6,1.6,43.0,1.31,11.0,4.2,2.2,57.0,1.518,12.6,3.8,2.6,18.6,22.0,1.4,0.145,0.381,0.127,0.421
8686,2022-01-16T17:00:00.000Z,8529,Cagliari,1,0,True,57,1.83,15,7,2,1,434 (81%),13,1,43,0.43,8,2,1,1,286 (74%),18,1,,4,4,0,8,7,,3,3,0,5,3,1.04,0.00,1.04,1.79,0.42,0.01,0.43,0.84,536,270,164,36 (51%),3 (30%),26,27.0,2,386,149,137,21 (39%),8 (33%),24,15.0,2,,7,10,3,13,2,,25,12,3,11,6,,51,30 (42%),21 (51%),6 (33%),,62,42 (58%),20 (49%),6 (75%),,3,0,,4,0,3,2.2,1.8,46.6,1.596,13.0,5.4,2.8,53.4,1.464,13.4,4.0,2.4,20.4,19.4,1.4,0.169,0.407,0.134,0.45
8686,2022-01-23T17:00:00.000Z,8534,Empoli,4,2,False,42,2.86,16,8,3,1,274 (78%),14,3,58,0.90,16,7,1,1,414 (83%),14,2,,5,3,0,13,3,,6,3,0,11,5,1.68,1.18,2.86,3.11,0.64,0.26,0.90,1.00,352,188,86,29 (48%),5 (38%),25,30.0,1,499,193,221,25 (53%),5 (31%),30,27.0,0,,15,13,3,17,5,,10,16,2,6,4,,47,33 (50%),14 (50%),4 (50%),,47,33 (50%),14 (50%),9 (64%),,2,0,,2,0,3,2.0,1.8,47.6,1.52,13.6,5.6,2.4,52.4,1.438,13.4,4.0,2.4,21.8,18.6,1.4,0.147,0.357,0.134,0.45
