team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
7881,2021-08-22T18:45:00.000Z,9875,Napoli,0,2,False,44,0.60,8,4,1,1,379 (89%),22,2,56,2.20,13,4,3,2,499 (89%),5,2,,4,0,1,5,3,,4,5,0,6,7,0.60,0.00,0.60,0.39,0.47,0.15,0.62,1.45,424,206,173,20 (61%),4 (24%),14,1,560,260,239,21 (62%),1 (14%),14,3,,10,10,4,6,2,,13,12,0,8,4,,23,18 (32%),5 (45%),5 (36%),,44,38 (68%),6 (55%),6 (55%),,7,0,,1,1,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7881,2021-08-27T16:30:00.000Z,8600,Udinese,0,3,False,56,1.40,11,3,3,3,447 (84%),8,2,44,2.25,21,10,6,3,336 (79%),11,7,,6,2,0,8,3,,2,9,0,14,7,1.40,0.00,1.40,0.95,1.95,0.30,2.25,2.57,529,258,189,36 (60%),4 (24%),14,2,426,183,153,22 (42%),7 (47%),19,4,,17,9,9,7,7,,15,13,2,17,3,,45,33 (49%),12 (63%),7 (47%),,41,34 (51%),7 (37%),13 (62%),,3,0,,2,0,,,0,0.0,2.0,44.0,0.6,8.0,4.0,1.0,56.0,2.2,13.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.154,0.5
7881,2021-09-11T13:00:00.000Z,8534,Empoli,2,1,False,32,1.75,10,3,4,3,185 (72%),21,2,68,1.90,22,6,2,1,449 (84%),12,8,,6,1,0,9,1,,8,8,0,12,10,1.62,0.13,1.75,1.75,0.72,0.39,1.11,2.29,256,123,62,26 (41%),3 (33%),18,1,532,216,233,33 (47%),7 (19%),40,3,,19,7,8,35,5,,16,9,1,9,1,,55,35 (41%),20 (65%),5 (38%),,61,50 (59%),11 (35%),13 (62%),,5,0,,2,0,,,3,0.0,2.5,50.0,1.0,9.5,3.5,2.0,50.0,2.225,17.0,7.0,4.5,0.0,0.0,0.0,0.0,0.0,0.147,0.357
7881,2021-09-19T13:00:00.000Z,9881,Spezia,1,2,True,44,0.94,14,3,0,0,285 (78%),13,3,56,0.39,12,3,0,0,356 (77%),10,10,,6,5,0,7,7,,6,3,0,4,8,0.69,0.25,0.94,0.46,0.33,0.06,0.39,1.05,365,189,96,30 (44%),2 (9%),26,0,462,180,176,24 (36%),6 (26%),26,0,,17,11,3,20,1,,18,10,5,26,2,,57,34 (45%),23 (61%),7 (50%),,56,41 (55%),15 (39%),10 (67%),,4,0,,1,0,,,0,0.667,2.0,44.0,1.25,9.667,3.333,2.667,56.0,2.117,18.667,6.667,3.667,0.0,0.0,1.0,0.069,0.2,0.107,0.3
7881,2021-09-22T18:45:00.000Z,8564,Milan,0,2,False,33,0.83,8,2,1,1,237 (75%),13,4,67,1.60,14,4,3,1,559 (88%),12,4,,6,0,0,4,4,,7,3,0,8,6,0.13,0.70,0.83,0.17,1.30,0.30,1.60,1.55,314,162,75,25 (49%),2 (22%),19,1,637,272,287,31 (66%),8 (44%),14,1,,17,17,3,19,2,,22,9,0,7,2,,47,31 (37%),16 (59%),3 (21%),,64,53 (63%),11 (41%),18 (60%),,2,0,,0,0,,,0,0.75,2.0,44.0,1.172,10.75,3.25,2.0,56.0,1.685,17.0,5.75,2.75,0.0,0.0,0.75,0.07,0.231,0.118,0.348
7881,2021-09-27T18:45:00.000Z,9804,Torino,1,1,True,44,1.48,7,1,2,1,268 (74%),9,4,56,1.09,8,3,2,1,388 (82%),18,1,,5,1,0,5,2,,2,3,0,4,4,0.48,0.22,0.70,1.00,1.09,0.00,1.09,1.60,360,136,132,27 (43%),4 (25%),18,2,474,207,181,29 (46%),2 (12%),27,1,,19,5,3,16,2,,21,19,1,20,0,,61,48 (55%),13 (37%),11 (73%),,61,39 (45%),22 (63%),9 (69%),,1,0,,2,1,,,1,0.6,2.0,41.8,1.104,10.2,3.0,1.8,58.2,1.668,16.4,5.4,2.8,0.0,0.0,0.6,0.059,0.2,0.122,0.37
7881,2021-10-01T18:45:00.000Z,8529,Cagliari,1,1,False,58,0.69,11,4,1,1,416 (84%),19,4,42,0.50,9,3,1,0,297 (80%),15,2,,5,2,0,8,3,,4,2,1,2,7,0.69,0.01,0.69,0.45,0.48,0.03,0.50,1.20,498,275,141,38 (67%),3 (14%),30,2,370,165,132,36 (52%),1 (7%),19,2,,8,9,2,12,2,,12,9,2,14,3,,48,26 (43%),22 (54%),4 (40%),,53,34 (57%),19 (46%),5 (83%),,5,0,,2,0,,,1,0.8,1.8,41.8,1.28,10.0,2.4,2.0,58.2,1.446,15.4,5.2,2.6,0.0,0.0,0.8,0.08,0.333,0.117,0.346
7881,2021-10-18T18:45:00.000Z,8535,Fiorentina,1,0,True,38,1.12,4,2,1,0,277 (75%),17,2,62,0.41,10,2,0,0,507 (87%),11,5,,0,2,0,4,0,,5,3,0,4,6,1.11,0.02,1.12,0.77,0.24,0.18,0.41,0.46,371,194,83,25 (44%),1 (17%),18,6,580,285,222,58 (70%),6 (25%),18,2,,15,9,2,13,2,,16,9,2,5,1,,40,31 (42%),9 (43%),6 (35%),,54,42 (58%),12 (57%),10 (53%),,2,0,,3,1,10.0,22.0,3,1.0,1.4,42.2,1.138,10.0,2.6,1.6,57.8,1.096,13.0,3.8,1.6,0.0,0.0,1.0,0.1,0.385,0.108,0.368
7881,2021-10-23T16:00:00.000Z,7943,Sassuolo,1,3,False,37,0.60,8,3,1,1,281 (81%),15,4,63,1.51,14,7,3,2,559 (91%),11,5,,1,4,0,5,3,,2,5,0,13,1,0.48,0.12,0.60,0.81,1.32,0.19,1.51,1.95,346,203,78,26 (59%),5 (33%),14,5,616,305,254,40 (77%),3 (16%),15,1,,16,5,5,13,5,,12,14,4,10,1,,44,37 (51%),7 (54%),10 (77%),,41,35 (49%),6 (46%),8 (62%),,2,0,,1,0,13.0,30.0,0,0.8,1.2,43.4,1.012,8.8,2.4,1.0,56.6,0.798,10.6,3.0,1.2,2.0,4.4,1.0,0.091,0.333,0.113,0.4
7881,2021-10-26T16:30:00.000Z,6480,Salernitana,1,2,True,46,0.66,8,4,0,0,322 (82%),17,4,54,1.34,21,7,1,0,394 (82%),13,5,,3,1,0,4,4,,7,7,0,12,9,0.34,0.32,0.66,0.80,1.15,0.19,1.34,0.95,393,202,120,32 (57%),4 (17%),15,0,478,211,183,22 (61%),7 (30%),25,0,,20,10,5,28,5,,8,4,1,16,3,,43,35 (56%),8 (40%),3 (75%),,40,28 (44%),12 (60%),4 (67%),,3,1,,3,0,13.0,40.0,0,0.8,1.4,42.0,0.944,7.6,2.4,1.2,58.0,1.022,11.0,3.8,1.8,4.6,10.4,1.0,0.105,0.333,0.127,0.368
