team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8315,2021-08-16T20:00:00.000Z,10268,Elche,0,0,False,50,0.62,9,3,1,1,294 (79%),19,8,50,1.07,8,2,1,1,299 (80%),13,6,,5,1,0,6,3,,6,0,0,4,4,0.57,0.05,0.62,0.45,0.97,0.10,1.07,0.22,373,132,162,27 (48%),2 (9%),15,1,373,192,107,39 (53%),6 (27%),19,5,,9,7,0,15,2,,7,8,1,26,3,,52,36 (51%),16 (59%),14 (70%),,45,34 (49%),11 (41%),10 (83%),,2,0,,2,0,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8315,2021-08-21T20:00:00.000Z,8634,Barcelona,1,1,True,33,1.37,16,7,2,2,197 (73%),15,13,67,1.05,9,3,1,1,514 (87%),10,2,,4,5,1,10,6,,5,1,1,8,1,1.15,0.22,1.37,1.51,1.01,0.04,1.05,0.61,269,76,121,22 (47%),4 (15%),14,3,589,293,221,46 (65%),1 (6%),21,2,,9,7,1,27,2,,13,6,6,27,5,,36,21 (37%),15 (58%),3 (50%),,47,36 (63%),11 (42%),10 (83%),,1,0,,2,1,,,1,0.0,0.0,50.0,0.62,9.0,3.0,1.0,50.0,1.07,8.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8315,2021-08-28T15:00:00.000Z,9910,Celta Vigo,1,0,False,38,1.44,6,2,3,2,193 (61%),11,4,62,1.15,13,0,1,1,389 (75%),12,5,,2,2,0,6,0,,9,4,0,10,3,1.42,0.02,1.44,1.13,0.79,0.36,1.15,0.00,314,87,106,25 (34%),6 (32%),17,1,517,187,202,56 (54%),7 (27%),31,5,,13,11,4,32,0,,25,13,2,16,1,,50,29 (40%),21 (44%),7 (47%),,71,44 (60%),27 (56%),9 (64%),,1,0,,2,0,,,3,0.5,0.5,41.5,0.995,12.5,5.0,1.5,58.5,1.06,8.5,2.5,1.0,0.0,0.0,1.0,0.04,0.1,0.059,0.2
8315,2021-09-11T19:00:00.000Z,8661,Mallorca,2,0,True,48,1.85,19,5,4,2,266 (74%),7,7,52,0.19,7,1,0,0,310 (76%),13,2,,8,6,0,16,3,,3,3,0,1,6,1.07,0.78,1.85,1.44,0.12,0.08,0.19,0.03,358,118,148,26 (47%),7 (26%),34,3,408,164,146,36 (51%),3 (30%),18,0,,16,8,3,19,1,,13,9,6,25,4,,49,33 (50%),16 (43%),4 (44%),,54,33 (50%),21 (57%),13 (54%),,1,0,,2,0,,,3,0.667,0.333,40.333,1.143,10.333,4.0,2.0,59.667,1.09,10.0,1.667,1.0,0.0,0.0,1.667,0.065,0.167,0.033,0.2
8315,2021-09-18T14:15:00.000Z,9906,Atletico Madrid,0,0,False,45,1.01,6,0,2,2,320 (78%),13,5,55,0.90,14,2,1,1,402 (82%),10,5,,3,3,0,4,2,,7,5,0,8,6,0.94,0.07,1.01,0.00,0.68,0.22,0.90,0.60,409,210,110,22 (34%),2 (13%),16,1,489,191,211,55 (60%),7 (33%),28,1,,13,7,5,21,2,,14,9,3,19,0,,42,30 (42%),12 (44%),9 (53%),,56,41 (58%),15 (56%),15 (65%),,2,0,,4,1,,,1,1.0,0.25,42.25,1.32,12.5,4.25,2.5,57.75,0.865,9.25,1.5,0.75,0.0,0.0,2.0,0.08,0.235,0.027,0.167
8315,2021-09-21T20:00:00.000Z,8370,Rayo Vallecano,1,2,True,47,0.79,8,1,1,1,276 (72%),16,2,53,0.99,8,3,2,0,333 (76%),20,1,,3,4,0,5,3,,3,2,0,4,4,0.70,0.09,0.79,0.11,0.44,0.55,0.99,1.41,386,135,141,25 (46%),1 (8%),26,1,436,183,150,51 (52%),4 (24%),32,2,,14,5,2,16,1,,12,16,4,16,1,,64,42 (54%),22 (61%),10 (77%),,50,36 (46%),14 (39%),9 (47%),,3,0,,3,0,,,0,0.8,0.2,42.8,1.258,11.2,3.4,2.4,57.2,0.872,10.2,1.6,0.8,0.0,0.0,1.8,0.071,0.235,0.02,0.125
8315,2021-09-25T14:15:00.000Z,10267,Valencia,1,1,False,48,0.80,12,4,0,0,228 (70%),17,5,52,0.90,13,6,2,1,262 (74%),14,4,,4,4,0,9,3,,3,4,0,7,6,0.52,0.28,0.80,0.86,0.72,0.18,0.90,1.56,328,112,116,28 (37%),6 (29%),30,3,355,96,166,56 (56%),4 (13%),32,0,,13,6,4,23,5,,13,14,4,22,3,,55,34 (51%),21 (51%),8 (53%),,53,33 (49%),20 (49%),3 (43%),,2,0,,3,1,,,1,1.0,0.6,42.2,1.292,11.0,3.0,2.4,57.8,0.856,10.2,1.8,1.0,0.0,0.0,1.6,0.091,0.333,0.059,0.333
8315,2021-10-01T19:00:00.000Z,9866,Deportivo Alaves,1,0,True,56,1.99,16,5,3,2,339 (80%),16,13,44,0.90,17,5,0,0,255 (75%),12,9,,6,5,0,13,3,,8,4,0,15,2,0.70,0.50,1.20,1.91,0.20,0.69,0.90,0.26,425,146,193,26 (51%),10 (33%),18,0,342,150,105,41 (56%),9 (36%),16,2,,11,10,3,19,5,,11,16,4,26,4,,42,31 (47%),11 (29%),9 (60%),,62,35 (53%),27 (71%),7 (64%),,3,0,,2,0,37.0,26.0,3,1.0,0.6,45.2,1.178,10.2,2.4,2.0,54.8,0.826,11.0,2.4,1.2,0.0,0.0,1.6,0.098,0.417,0.055,0.25
8315,2021-10-23T19:00:00.000Z,10205,Villarreal,2,1,True,52,2.76,14,7,3,1,382 (85%),7,9,48,0.46,11,3,0,0,364 (86%),12,2,,4,3,1,10,4,,4,4,0,7,4,0.87,0.31,1.18,2.77,0.41,0.05,0.46,0.50,448,175,207,18 (43%),5 (24%),23,3,423,212,152,35 (69%),1 (14%),22,4,,6,8,4,7,2,,10,9,3,23,5,,31,24 (39%),7 (50%),7 (54%),,45,38 (61%),7 (50%),23 (92%),,0,0,,3,0,23.0,25.0,3,1.0,0.6,48.8,1.288,12.2,3.0,2.0,51.2,0.776,11.8,3.4,1.0,7.4,5.2,1.6,0.082,0.333,0.051,0.176
8315,2021-10-26T19:00:00.000Z,8558,Espanyol,1,1,False,54,3.75,23,7,5,4,393 (86%),12,12,46,1.28,14,3,1,0,324 (84%),7,8,,9,7,0,19,4,,7,4,1,4,10,3.30,0.45,3.75,2.48,0.40,0.09,0.49,1.27,457,157,236,30 (68%),3 (12%),16,2,384,157,167,25 (45%),0 (0%),12,0,,17,7,4,16,2,,11,7,8,32,5,,48,36 (58%),12 (80%),13 (72%),,29,26 (42%),3 (20%),6 (33%),,2,0,,1,1,52.0,12.0,1,1.0,0.8,49.6,1.47,11.2,3.4,1.8,50.4,0.83,12.6,3.8,1.0,12.0,10.2,1.6,0.089,0.294,0.063,0.211
