team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9906,2021-08-15T15:30:00.000Z,9910,Celta Vigo,2,1,False,47,1.48,13,5,2,2,344 (80%),9,5,53,2.43,10,2,2,1,400 (84%),11,2,,3,5,0,10,3,,3,5,0,7,3,1.03,0.45,1.48,2.49,1.41,0.23,1.64,1.15,429,206,138,40 (59%),3 (33%),25,19.0,1,479,223,177,31 (53%),3 (14%),21,15.0,1,,12,4,5,23,1,,19,11,6,14,2,,67,47 (57%),20 (80%),24 (83%),,41,36 (43%),5 (20%),9 (64%),,5,1,,3,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9906,2021-08-22T17:30:00.000Z,10268,Elche,1,0,True,42,1.07,8,4,1,0,355 (84%),16,2,58,0.17,4,2,0,0,514 (88%),10,1,,4,0,0,5,3,,2,0,0,1,3,0.97,0.09,1.07,1.27,0.08,0.09,0.17,0.11,421,211,144,38 (67%),1 (14%),22,,5,582,359,155,43 (70%),2 (17%),17,,0,,27,8,0,8,2,,12,4,0,10,3,,50,43 (54%),7 (54%),7 (78%),,42,36 (46%),6 (46%),9 (38%),,2,0,,2,0,3,2.0,1.0,47.0,1.48,13.0,5.0,2.0,53.0,2.43,10.0,2.0,2.0,19.0,15.0,3.0,0.154,0.4,0.1,0.5
9906,2021-08-29T20:00:00.000Z,10205,Villarreal,2,2,True,49,1.68,23,4,2,1,362 (87%),11,16,51,0.33,2,2,1,0,390 (83%),6,0,,11,8,1,15,8,,0,0,0,2,0,1.51,0.17,1.68,0.92,0.33,0.00,0.33,0.81,416,160,202,26 (67%),10 (28%),17,,5,472,244,146,29 (48%),1 (25%),19,,1,,12,7,0,8,0,,24,15,9,32,2,,33,25 (37%),8 (38%),8 (44%),,55,42 (63%),13 (62%),7 (41%),,5,0,,2,0,1,1.5,0.5,44.5,1.275,10.5,4.5,1.5,55.5,1.3,7.0,2.0,1.0,9.5,7.5,3.0,0.143,0.333,0.071,0.25
9906,2021-09-12T12:00:00.000Z,8558,Espanyol,2,1,False,58,0.76,13,3,1,0,437 (85%),11,3,42,0.42,9,3,0,0,302 (80%),10,6,,8,2,0,8,5,,3,3,0,5,4,0.76,0.00,0.76,0.81,0.31,0.11,0.42,0.59,516,189,248,23 (55%),3 (15%),26,,2,376,146,156,20 (37%),2 (13%),11,,2,,16,9,3,7,2,,22,15,2,20,1,,53,40 (51%),13 (57%),15 (68%),,48,38 (49%),10 (43%),6 (35%),,4,0,,1,0,3,1.667,1.0,46.0,1.41,14.667,4.333,1.667,54.0,0.977,5.333,2.0,1.0,12.667,10.0,2.333,0.114,0.385,0.188,0.5
9906,2021-09-18T14:15:00.000Z,8315,Athletic Club,0,0,True,55,0.90,14,2,1,1,402 (82%),10,5,45,1.01,6,0,2,2,320 (78%),13,5,,7,5,0,8,6,,3,3,0,4,2,0.68,0.22,0.90,0.60,0.94,0.07,1.01,0.00,489,191,211,55 (60%),7 (33%),28,,1,409,210,110,22 (34%),2 (13%),16,,1,,14,9,3,19,0,,13,7,5,21,2,,56,41 (58%),15 (56%),15 (65%),,42,30 (42%),12 (44%),9 (53%),,4,1,,2,0,1,1.75,1.0,49.0,1.248,14.25,4.0,1.5,51.0,0.838,6.25,2.25,0.75,11.875,9.375,2.5,0.123,0.438,0.16,0.444
9906,2021-09-21T17:30:00.000Z,8305,Getafe,2,1,False,68,1.13,12,4,3,1,438 (81%),11,5,32,0.30,7,1,0,0,158 (62%),15,2,,4,4,1,8,4,,4,2,1,4,3,0.94,0.19,1.13,1.32,0.14,0.16,0.30,0.24,543,214,224,38 (52%),5 (18%),36,,2,254,80,78,23 (34%),2 (18%),20,,3,,15,15,2,13,1,,14,19,3,43,2,,63,36 (58%),27 (69%),6 (60%),,38,26 (42%),12 (31%),3 (33%),,5,0,,4,1,3,1.4,0.8,50.2,1.178,14.2,3.6,1.4,49.8,0.872,6.2,1.8,1.0,12.033,9.5,2.2,0.099,0.389,0.129,0.444
9906,2021-09-25T12:00:00.000Z,9866,Deportivo Alaves,0,1,False,71,0.69,13,1,0,0,494 (86%),11,8,29,0.73,7,1,2,1,151 (64%),18,3,,10,2,0,6,7,,5,1,0,6,1,0.44,0.25,0.69,0.10,0.54,0.19,0.73,0.51,576,209,285,29 (46%),3 (9%),22,29.0,2,237,89,62,27 (40%),4 (36%),19,11.0,0,,9,5,1,11,0,,11,8,2,43,1,,56,39 (55%),17 (47%),15 (83%),,51,32 (45%),19 (53%),11 (79%),,3,0,,2,0,0,1.4,0.8,54.4,1.108,14.0,3.4,1.6,45.6,0.446,5.6,1.6,0.6,10.608,8.375,2.2,0.1,0.412,0.143,0.5
9906,2021-10-02T19:00:00.000Z,8634,Barcelona,2,0,True,29,1.15,6,3,3,1,227 (75%),13,2,71,0.72,9,2,1,1,649 (89%),10,6,,3,0,0,4,2,,4,3,0,3,6,1.15,0.00,1.15,1.81,0.34,0.38,0.72,0.82,303,148,79,28 (43%),0 (0%),15,14.0,0,728,260,389,26 (62%),1 (6%),19,18.0,3,,18,6,3,23,2,,14,3,0,4,1,,41,32 (48%),9 (47%),4 (50%),,44,34 (52%),10 (53%),9 (47%),,2,0,,1,0,3,1.2,1.0,60.2,1.032,15.0,2.8,1.4,39.8,0.558,6.2,1.4,1.0,16.408,10.575,1.6,0.08,0.429,0.161,0.714
9906,2021-10-24T19:00:00.000Z,8560,Real Sociedad,2,2,True,56,1.68,17,4,2,0,436 (85%),14,4,44,0.79,8,4,1,0,331 (80%),14,3,,9,4,0,10,7,,2,2,0,6,2,0.86,0.03,0.89,2.30,0.57,0.22,0.79,0.84,510,167,269,35 (65%),8 (31%),23,41.0,2,412,200,131,21 (36%),1 (13%),14,18.0,1,,16,9,2,8,2,,15,14,4,20,2,,50,36 (51%),14 (74%),8 (62%),,39,34 (49%),5 (26%),7 (54%),,1,0,,3,0,1,1.2,0.6,56.2,0.926,11.6,2.6,1.6,43.8,0.636,7.6,1.4,1.0,15.408,11.175,2.0,0.103,0.462,0.079,0.429
9906,2021-10-28T19:30:00.000Z,8581,Levante,2,2,False,65,0.94,7,3,2,0,525 (86%),11,2,35,2.07,10,3,3,1,244 (77%),15,5,,3,1,0,4,3,,4,3,0,8,2,0.62,0.32,0.94,1.25,0.28,0.22,0.49,1.97,608,227,298,36 (56%),4 (36%),14,24.0,4,317,146,98,16 (33%),4 (31%),17,20.0,4,,14,7,3,5,1,,8,16,1,15,1,,43,35 (61%),8 (73%),6 (50%),,25,22 (39%),3 (27%),6 (43%),,5,0,,1,1,1,1.2,0.8,55.8,1.11,12.4,2.8,1.8,44.2,0.71,7.4,1.6,1.2,21.708,13.275,1.6,0.097,0.429,0.108,0.5
