team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8305,2021-08-13T19:00:00.000Z,10267,Valencia,0,1,False,74,1.44,22,4,0,0,419 (87%),15,9,26,1.45,4,2,3,2,114 (64%),24,1,,12,6,1,11,11,,2,0,0,3,1,0.69,0.75,1.44,0.79,0.63,0.03,0.67,1.17,483,118,301,24 (53%),8 (25%),20,2,177,51,63,23 (43%),3 (43%),14,2,,5,3,0,4,1,,7,12,6,30,4,,47,39 (59%),8 (28%),10 (77%),,48,27 (41%),21 (72%),6 (60%),,2,0,,6,1,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8305,2021-08-23T18:00:00.000Z,8302,Sevilla,0,1,True,39,0.46,12,0,0,0,218 (72%),18,5,61,1.15,9,3,2,1,419 (85%),10,4,,7,5,0,5,7,,5,1,1,7,2,0.35,0.11,0.46,0.00,1.02,0.13,1.15,0.60,301,95,123,38 (59%),4 (19%),30,1,495,291,128,48 (53%),2 (13%),20,3,,12,6,1,10,2,,6,14,5,16,0,,52,26 (47%),26 (65%),4 (57%),,43,29 (53%),14 (35%),6 (50%),,3,0,,2,0,,,0,0.0,1.0,74.0,1.44,22.0,4.0,0.0,26.0,1.45,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5
8305,2021-08-29T15:00:00.000Z,8634,Barcelona,1,2,False,33,0.38,8,3,0,0,251 (74%),22,2,67,1.09,7,3,2,2,590 (86%),16,3,,5,0,0,3,5,,2,2,0,5,2,0.34,0.04,0.38,0.18,1.09,0.00,1.09,0.43,337,155,96,30 (45%),1 (9%),15,1,685,350,240,35 (55%),2 (20%),21,3,,18,19,2,8,1,,18,8,0,9,2,,56,38 (45%),18 (72%),5 (56%),,53,46 (55%),7 (28%),9 (56%),,1,0,,3,0,,,0,0.0,1.0,56.5,0.95,17.0,2.0,0.0,43.5,1.3,6.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.154,0.4
8305,2021-09-13T18:00:00.000Z,10268,Elche,0,1,True,56,0.34,10,1,0,0,420 (83%),6,8,44,0.80,8,3,2,1,314 (78%),14,2,,3,6,0,4,6,,3,2,0,4,4,0.17,0.17,0.34,0.03,0.80,0.04,0.80,1.09,507,209,211,31 (48%),7 (21%),25,4,405,186,128,36 (44%),2 (18%),22,5,,21,11,2,12,2,,7,7,6,22,1,,49,36 (55%),13 (52%),3 (75%),,41,29 (45%),12 (48%),17 (71%),,2,0,,4,0,,,0,0.333,1.333,48.667,0.76,14.0,2.333,0.0,51.333,1.23,6.667,2.667,2.333,0.0,0.0,0.0,0.024,0.143,0.2,0.5
8305,2021-09-18T12:00:00.000Z,8370,Rayo Vallecano,0,3,False,50,1.14,13,3,1,1,202 (65%),16,3,50,2.26,11,5,3,1,229 (74%),20,5,,7,3,1,5,8,,4,2,0,7,4,0.19,0.16,0.35,1.27,0.47,1.00,1.48,2.52,313,96,106,26 (39%),1 (6%),31,0,308,114,115,25 (35%),9 (43%),23,4,,16,7,2,11,2,,12,13,3,14,3,,69,45 (56%),24 (57%),9 (56%),,53,35 (44%),18 (43%),8 (50%),,7,0,,6,0,,,0,0.25,1.25,50.5,0.655,13.0,2.0,0.0,49.5,1.123,7.0,2.75,2.25,0.0,0.0,0.0,0.019,0.125,0.179,0.455
8305,2021-09-21T17:30:00.000Z,9906,Atletico Madrid,1,2,True,32,0.30,7,1,0,0,158 (62%),15,2,68,1.13,12,4,3,1,438 (81%),11,5,,4,2,1,4,3,,4,4,1,8,4,0.14,0.16,0.30,0.24,0.94,0.19,1.13,1.32,254,80,78,23 (34%),2 (18%),20,3,543,214,224,38 (52%),5 (18%),36,2,,14,19,3,43,2,,15,15,2,13,1,,38,26 (42%),12 (31%),3 (33%),,63,36 (58%),27 (69%),6 (60%),,4,1,,5,0,,,0,0.2,1.6,50.4,0.752,13.0,2.2,0.2,49.6,1.35,7.8,3.2,2.4,0.0,0.0,0.0,0.015,0.091,0.205,0.5
8305,2021-09-26T19:00:00.000Z,8603,Real Betis,0,2,False,49,0.61,8,3,1,1,336 (81%),19,3,51,1.90,20,5,4,3,372 (81%),12,3,,4,1,1,4,4,,12,3,3,12,8,0.58,0.03,0.61,0.35,1.79,0.11,1.90,1.58,417,173,163,35 (54%),3 (13%),15,1,461,226,146,29 (48%),1 (17%),27,3,,23,12,3,13,3,,24,9,1,21,3,,51,40 (43%),11 (37%),7 (47%),,72,53 (57%),19 (63%),11 (58%),,3,0,,1,0,,,0,0.4,1.8,42.0,0.524,10.0,1.6,0.2,58.0,1.286,9.4,3.6,2.4,0.0,0.0,0.0,0.04,0.25,0.191,0.5
8305,2021-10-03T16:30:00.000Z,8560,Real Sociedad,1,1,True,38,0.71,9,2,1,0,164 (60%),16,2,62,0.69,10,5,2,1,340 (75%),11,5,,2,5,0,4,5,,3,2,0,6,4,0.62,0.09,0.71,0.35,0.62,0.07,0.69,1.63,273,74,90,26 (37%),1 (8%),28,3,451,173,167,44 (54%),2 (17%),36,4,,29,14,2,19,4,,20,9,4,14,1,,67,42 (47%),25 (48%),2 (25%),,75,48 (53%),27 (52%),14 (64%),,4,0,,2,0,12.0,21.0,1,0.4,2.0,44.0,0.554,9.2,2.2,0.4,56.0,1.436,11.6,4.0,2.8,0.0,0.0,0.0,0.043,0.182,0.172,0.5
8305,2021-10-16T16:30:00.000Z,8581,Levante,0,0,False,47,0.73,14,4,0,0,319 (79%),10,11,53,0.88,6,2,1,1,383 (83%),14,3,,4,6,0,7,7,,2,2,0,4,2,0.57,0.16,0.73,0.31,0.88,0.00,0.88,0.99,405,144,175,32 (46%),8 (29%),17,0,459,252,131,32 (57%),2 (11%),18,2,,25,11,2,14,2,,19,13,6,19,4,,57,46 (56%),11 (42%),7 (64%),,52,37 (45%),15 (58%),9 (39%),,3,0,,3,0,19.0,13.0,1,0.4,1.8,45.0,0.62,9.4,2.0,0.6,55.0,1.356,12.2,4.4,2.8,2.4,4.2,0.2,0.043,0.2,0.148,0.409
8305,2021-10-25T19:00:00.000Z,9910,Celta Vigo,0,3,True,34,0.47,11,2,0,0,243 (75%),15,2,66,1.66,16,8,4,1,535 (85%),11,7,,6,3,0,5,6,,6,2,0,12,4,0.42,0.04,0.47,0.09,1.29,0.37,1.66,3.94,325,129,114,26 (46%),5 (42%),20,0,628,284,251,44 (54%),9 (43%),26,1,,11,22,2,13,5,,14,15,3,13,2,,42,30 (46%),12 (36%),9 (60%),,56,35 (54%),21 (64%),6 (67%),,2,2,,2,0,9.0,26.0,0,0.4,1.6,43.2,0.698,10.2,2.6,0.6,56.8,1.372,11.8,4.2,2.6,6.2,6.8,0.4,0.039,0.154,0.136,0.381
