team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
8560,2021-08-15T18:00:00.000Z,8634,Barcelona,2,4,False,38,0.85,11,3,1,0,258 (78%),18,3,62,2.80,13,8,6,2,477 (88%),11,5,,5,3,0,8,3,,4,1,2,11,2,0.74,0.11,0.85,1.96,2.22,0.57,2.80,3.01,330,142,116,17 (50%),1 (10%),21,2,540,234,243,34 (62%),5 (45%),37,1,,22,5,1,19,4,,20,14,3,10,1,,57,44 (47%),13 (54%),11 (73%),,60,49 (53%),11 (46%),12 (71%),,4,0,,2,0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8560,2021-08-22T15:00:00.000Z,8370,Rayo Vallecano,1,0,True,61,2.00,13,8,3,2,368 (84%),19,5,39,0.52,9,1,1,1,203 (76%),15,4,,2,3,0,11,2,,7,1,1,4,5,0.96,0.25,1.21,1.93,0.25,0.27,0.52,0.04,437,223,145,40 (75%),5 (31%),24,0,268,106,97,24 (46%),5 (29%),13,2,,15,8,1,11,1,,19,12,2,21,7,,56,38 (46%),18 (51%),9 (45%),,61,44 (54%),17 (49%),8 (50%),,3,0,,4,0,,,3,2.0,4.0,38.0,0.85,11.0,3.0,1.0,62.0,2.8,13.0,8.0,6.0,0.0,0.0,0.0,0.182,0.667,0.308,0.5
8560,2021-08-28T17:30:00.000Z,8581,Levante,1,0,True,52,1.05,7,2,1,1,384 (84%),17,2,48,0.37,6,0,1,1,345 (82%),13,2,,5,0,1,7,0,,4,2,0,1,5,1.05,0.00,1.05,0.23,0.09,0.28,0.37,0.00,458,210,174,28 (56%),1 (11%),20,1,421,224,121,36 (56%),0 (0%),25,1,,13,6,2,17,0,,21,13,0,8,1,,54,37 (43%),17 (74%),11 (61%),,55,49 (57%),6 (26%),11 (65%),,1,0,,1,0,,,3,1.5,2.0,49.5,1.425,12.0,5.5,2.0,50.5,1.66,11.0,4.5,3.5,0.0,0.0,1.5,0.125,0.273,0.182,0.444
8560,2021-09-12T16:30:00.000Z,8385,Cadiz,2,0,False,78,1.96,16,4,3,1,554 (87%),9,8,22,0.33,6,1,1,1,100 (56%),10,2,,5,7,0,12,4,,4,1,1,4,2,1.01,0.16,1.17,2.33,0.20,0.13,0.33,0.06,635,269,285,32 (78%),3 (16%),24,4,180,53,47,16 (31%),3 (33%),23,2,,10,9,0,10,1,,17,15,7,30,2,,51,31 (51%),20 (59%),12 (67%),,44,30 (49%),14 (41%),4 (67%),,0,0,,2,1,,,3,1.333,1.333,50.333,1.3,10.333,4.333,1.667,49.667,1.23,9.333,3.0,2.667,0.0,0.0,2.0,0.129,0.308,0.143,0.444
8560,2021-09-19T14:15:00.000Z,8302,Sevilla,0,0,True,47,1.25,11,4,1,1,281 (80%),16,5,53,0.55,11,4,1,1,320 (81%),11,6,,5,2,0,5,6,,5,2,0,8,3,0.17,0.30,0.47,1.68,0.27,0.29,0.55,0.40,350,154,127,32 (54%),1 (6%),20,2,395,200,120,26 (45%),7 (35%),20,2,,16,5,2,16,4,,16,2,2,18,4,,54,35 (50%),19 (59%),9 (60%),,48,35 (50%),13 (41%),4 (33%),,2,0,,3,0,,,1,1.5,1.0,57.25,1.465,11.75,4.25,2.0,42.75,1.005,8.5,2.5,2.25,0.0,0.0,2.25,0.128,0.353,0.118,0.4
8560,2021-09-23T17:30:00.000Z,7878,Granada,3,2,False,62,1.75,20,11,3,3,391 (82%),16,7,38,1.33,10,2,2,1,211 (71%),11,4,,4,5,0,12,8,,2,6,0,7,3,1.29,0.47,1.75,2.98,0.37,0.16,0.54,1.26,476,195,196,27 (50%),8 (38%),16,1,296,104,107,27 (39%),2 (15%),19,1,,8,3,5,21,0,,15,3,5,19,8,,49,25 (44%),24 (55%),7 (50%),,52,32 (56%),20 (45%),1 (50%),,1,0,,5,0,,,3,1.2,0.8,55.2,1.422,11.6,4.2,1.8,44.8,0.914,9.0,2.8,2.0,0.0,0.0,2.0,0.103,0.286,0.089,0.286
8560,2021-09-26T16:30:00.000Z,10268,Elche,1,0,True,64,2.41,18,5,3,2,458 (86%),12,6,36,0.50,5,2,1,1,216 (73%),16,1,,7,6,0,13,5,,3,0,1,2,3,1.84,0.57,2.41,1.27,0.50,0.00,0.50,0.43,533,242,216,38 (63%),6 (29%),21,4,296,133,83,21 (40%),4 (40%),30,0,,9,5,0,5,2,,18,5,7,17,3,,56,31 (46%),25 (64%),7 (37%),,51,37 (54%),14 (36%),9 (64%),,1,0,,3,0,,,3,1.4,0.4,60.0,1.602,13.4,5.8,2.2,40.0,0.62,8.4,1.6,1.2,0.0,0.0,2.6,0.104,0.241,0.048,0.25
8560,2021-10-03T16:30:00.000Z,8305,Getafe,1,1,False,62,0.69,10,5,2,1,340 (75%),11,5,38,0.71,9,2,1,0,164 (60%),16,2,,3,2,0,6,4,,2,5,0,4,5,0.62,0.07,0.69,1.63,0.62,0.09,0.71,0.35,451,173,167,44 (54%),2 (17%),36,4,273,74,90,26 (37%),1 (8%),28,3,,20,9,4,14,1,,29,14,2,19,4,,75,48 (53%),27 (52%),14 (64%),,67,42 (47%),25 (48%),2 (25%),,2,0,,4,0,21.0,12.0,1,1.4,0.4,60.6,1.684,14.4,5.2,2.2,39.4,0.616,7.6,1.8,1.2,0.0,0.0,2.6,0.097,0.269,0.053,0.222
8560,2021-10-16T19:00:00.000Z,8661,Mallorca,1,0,True,50,0.45,10,2,0,0,309 (82%),11,2,50,0.23,7,1,0,0,300 (81%),21,6,,4,4,0,3,7,,4,2,0,4,3,0.31,0.14,0.45,0.16,0.21,0.02,0.23,0.25,377,173,136,20 (41%),2 (20%),24,2,371,126,174,28 (52%),1 (6%),24,5,,14,11,2,22,1,,24,12,3,17,1,,57,37 (49%),20 (53%),5 (42%),,57,39 (51%),18 (47%),6 (55%),,1,1,,3,0,10.0,14.0,3,1.4,0.6,62.6,1.612,15.0,5.8,2.4,37.4,0.684,8.2,2.2,1.2,4.2,2.4,2.2,0.093,0.241,0.073,0.273
8560,2021-10-24T19:00:00.000Z,9906,Atletico Madrid,2,2,False,44,0.79,8,4,1,0,331 (80%),14,3,56,1.68,17,4,2,0,436 (85%),14,4,,2,2,0,6,2,,9,4,0,10,7,0.57,0.22,0.79,0.84,0.86,0.03,0.89,2.30,412,200,131,21 (36%),1 (13%),14,1,510,167,269,35 (65%),8 (31%),23,2,,15,14,4,20,2,,16,9,2,8,2,,39,34 (49%),5 (26%),7 (54%),,50,36 (51%),14 (74%),8 (62%),,3,0,,1,0,18.0,41.0,1,1.2,0.6,57.0,1.31,13.8,5.4,1.8,43.0,0.664,8.4,2.2,1.0,6.2,5.2,2.2,0.087,0.222,0.071,0.273
