team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against
8393,2022-08-15T17:30:00.000Z,8206,Lugo,2,1,False,65,18,4,3,1,349 (82%),7,11,35,7,3,2,1,156 (67%),14,2,,6,8,0,11,7,,3,1,0,6,1,425,127,222,22 (44%),9 (26%),30,0,234,80,76,18 (41%),4 (29%),19,0,,9,7,2,16,1,,14,10,8,33,2,,42,28 (51%),14 (41%),6 (46%),,47,27 (49%),20 (59%),6 (46%),,0,0,,0,0,,
8393,2022-08-20T17:30:00.000Z,7876,Burgos CF,0,0,True,56,14,2,2,2,316 (78%),19,6,44,8,0,1,1,234 (70%),11,1,,6,6,1,11,3,,7,1,0,1,7,405,159,157,46 (48%),7 (24%),29,1,332,106,128,46 (56%),0 (0%),22,3,,16,11,1,11,0,,13,11,6,25,2,,46,28 (43%),18 (36%),2 (22%),,69,37 (57%),32 (64%),5 (50%),,0,0,,0,0,,
8393,2022-08-26T18:00:00.000Z,96925,SD Huesca,2,1,True,59,14,7,0,0,313 (81%),12,8,41,11,3,2,1,197 (74%),11,3,,4,3,0,7,7,,6,2,0,6,5,387,171,142,30 (53%),5 (23%),26,2,265,120,77,27 (51%),6 (38%),35,0,,15,7,2,13,2,,16,10,3,16,5,,41,27 (44%),14 (64%),1 (14%),,43,35 (56%),8 (36%),7 (78%),,2,0,,2,1,15.0,9.0
8393,2022-09-04T14:15:00.000Z,9864,Malaga,2,1,False,39,8,6,3,2,223 (70%),19,4,61,18,7,3,2,398 (82%),11,7,,1,1,1,7,1,,6,5,1,15,3,319,102,121,25 (43%),2 (20%),20,1,483,234,164,34 (59%),8 (25%),26,0,,16,15,7,31,4,,12,4,2,13,3,,57,37 (47%),20 (61%),10 (67%),,55,42 (53%),13 (39%),12 (71%),,6,0,,2,0,25.0,29.0
8393,2022-09-10T16:30:00.000Z,8554,Cartagena,1,2,False,51,11,4,2,1,294 (78%),18,2,49,13,8,1,0,286 (76%),18,2,,4,3,0,6,5,,4,1,1,9,4,376,124,170,27 (44%),6 (27%),24,2,377,163,123,37 (49%),4 (31%),18,2,,13,16,1,8,6,,17,5,3,17,3,,54,41 (53%),13 (50%),10 (63%),,50,37 (47%),13 (50%),5 (50%),,0,0,,0,0,,
8393,2022-09-18T19:00:00.000Z,8005,Ponferradina,0,1,True,58,18,6,4,4,413 (85%),14,5,42,5,2,0,0,276 (77%),14,0,,7,5,0,11,7,,1,2,0,3,2,488,205,208,35 (59%),4 (18%),33,2,358,169,107,27 (44%),1 (13%),22,4,,7,13,2,11,1,,21,7,5,29,5,,37,30 (45%),7 (44%),12 (52%),,46,37 (55%),9 (56%),2 (67%),,0,0,,0,0,,
8393,2022-09-25T16:30:00.000Z,494050,FC Andorra,1,1,True,57,10,4,1,0,289 (73%),19,5,43,6,2,3,2,187 (63%),20,4,,2,4,0,8,2,,1,3,0,5,1,396,153,136,34 (49%),2 (17%),39,2,295,95,92,22 (34%),4 (27%),21,1,,18,7,2,10,1,,17,7,4,25,3,,50,40 (53%),10 (38%),2 (20%),,51,35 (47%),16 (62%),3 (33%),,1,0,,3,1,30.0,12.0
8393,2022-10-02T14:15:00.000Z,7854,Leganes,2,1,False,47,15,5,3,1,256 (74%),11,6,53,10,5,1,0,305 (75%),23,1,,6,4,0,12,3,,4,1,0,9,1,348,140,116,19 (35%),7 (32%),20,4,407,190,115,26 (36%),4 (25%),20,1,,14,4,1,24,4,,17,10,4,22,3,,54,40 (60%),14 (47%),4 (50%),,43,27 (40%),16 (53%),2 (22%),,0,0,,4,0,31.0,20.0
8393,2022-10-09T16:30:00.000Z,9867,Tenerife,1,1,True,45,4,2,0,0,250 (74%),11,5,55,13,5,3,2,307 (77%),15,13,,1,1,0,3,1,,6,2,0,9,4,340,157,93,37 (49%),6 (35%),19,0,398,138,169,37 (54%),8 (24%),15,2,,11,3,3,39,3,,10,8,1,25,1,,48,29 (52%),19 (45%),4 (57%),,50,27 (48%),23 (55%),7 (50%),,1,1,,1,0,21.0,28.0
8393,2022-10-12T16:30:00.000Z,9866,Deportivo Alaves,0,0,False,48,8,1,0,0,304 (79%),13,1,52,6,2,0,0,310 (78%),14,6,,4,3,0,3,5,,2,2,0,2,4,384,203,101,35 (46%),1 (14%),18,3,399,127,183,32 (54%),4 (17%),29,2,,15,10,2,23,2,,15,6,3,8,1,,47,32 (51%),15 (58%),5 (45%),,42,31 (49%),11 (42%),5 (38%),,4,0,,4,0,8.0,13.0
