team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against
9866,2022-08-13T19:00:00.000Z,7854,Leganes,2,1,False,38,9,3,2,1,220 (74%),14,3,62,15,2,1,1,412 (84%),11,3,,2,4,0,6,3,,10,3,0,5,10,298,112,108,21 (34%),2 (29%),23,1,489,256,156,26 (47%),5 (28%),26,3,,12,8,3,19,1,,19,9,3,8,1,,40,30 (40%),10 (45%),8 (44%),,57,45 (60%),12 (55%),12 (86%),,0,0,,0,0,,
9866,2022-08-19T20:00:00.000Z,4032,CD Mirandes,1,0,True,44,15,5,1,1,217 (66%),13,3,56,12,1,1,1,314 (75%),12,6,,8,2,3,11,4,,7,4,2,8,4,327,98,119,21 (40%),5 (29%),23,2,416,173,141,28 (38%),5 (26%),27,1,,14,7,4,22,1,,17,11,2,20,4,,51,36 (52%),15 (39%),10 (53%),,56,33 (48%),23 (61%),6 (43%),,0,0,,0,0,,
9866,2022-08-28T20:00:00.000Z,1123073,UD Ibiza,1,1,False,46,11,3,0,0,268 (76%),16,3,54,16,2,2,2,346 (84%),15,8,,5,3,0,4,7,,11,3,0,9,7,352,145,123,18 (32%),3 (17%),15,1,410,214,132,23 (53%),7 (32%),22,2,,26,9,3,26,1,,13,2,3,21,2,,56,50 (56%),6 (27%),10 (59%),,56,40 (44%),16 (73%),11 (55%),,2,0,,4,0,,
9866,2022-09-03T12:00:00.000Z,8306,Las Palmas,1,1,True,23,7,3,1,0,141 (66%),26,1,77,6,1,1,0,636 (90%),15,3,,3,1,0,4,3,,3,2,0,4,2,215,83,58,13 (30%),3 (60%),18,4,710,390,246,42 (72%),4 (33%),21,2,,24,10,2,9,0,,13,7,1,3,2,,58,47 (53%),11 (61%),8 (67%),,49,42 (47%),7 (39%),5 (26%),,0,0,,0,0,,
9866,2022-09-10T12:00:00.000Z,8206,Lugo,2,1,False,64,21,7,3,2,265 (75%),14,11,36,14,3,3,3,110 (57%),18,3,,10,4,2,13,8,,9,2,0,11,3,353,104,161,30 (54%),8 (30%),30,1,194,48,62,31 (47%),10 (56%),13,5,,11,8,2,19,1,,10,14,4,23,5,,54,36 (55%),18 (37%),8 (50%),,60,29 (45%),31 (63%),6 (46%),,0,0,,0,0,,
9866,2022-09-18T14:15:00.000Z,96925,SD Huesca,2,1,True,49,13,5,4,3,289 (78%),11,6,51,11,3,1,1,303 (78%),12,4,,6,2,0,9,4,,7,1,0,7,4,369,137,152,14 (40%),6 (29%),21,2,387,203,100,31 (52%),7 (39%),25,0,,19,9,1,18,2,,11,4,2,23,3,,55,37 (50%),18 (49%),6 (67%),,56,37 (50%),19 (51%),15 (56%),,0,0,,0,0,,
9866,2022-09-26T19:00:00.000Z,8554,Cartagena,1,1,False,41,6,1,1,0,278 (80%),11,3,59,18,6,2,1,414 (85%),14,9,,2,3,0,3,3,,7,5,0,13,5,346,161,117,36 (60%),1 (8%),13,1,486,285,129,31 (51%),6 (21%),23,2,,15,14,4,24,5,,8,8,3,13,0,,56,35 (60%),21 (58%),7 (50%),,38,23 (40%),15 (42%),6 (46%),,1,0,,3,0,10.0,17.0
9866,2022-10-02T14:15:00.000Z,8005,Ponferradina,3,1,True,40,15,9,1,1,270 (80%),16,6,60,10,4,1,1,460 (88%),8,3,,3,3,0,11,4,,4,2,0,2,8,337,118,152,22 (50%),9 (43%),23,3,523,260,200,15 (54%),0 (0%),21,0,,21,9,2,10,3,,14,11,4,17,6,,52,41 (51%),11 (46%),12 (55%),,52,39 (49%),13 (54%),10 (42%),,2,0,,3,0,40.0,13.0
9866,2022-10-08T19:00:00.000Z,7876,Burgos CF,0,3,False,52,8,3,1,1,320 (80%),12,6,48,11,6,4,1,286 (78%),18,2,,3,2,0,4,4,,4,1,0,7,4,399,164,156,21 (40%),3 (13%),26,1,366,155,131,24 (42%),3 (27%),22,1,,17,10,1,16,3,,11,8,2,23,3,,55,38 (57%),17 (63%),4 (44%),,39,29 (43%),10 (37%),6 (40%),,2,0,,3,0,9.0,19.0
9866,2022-10-12T16:30:00.000Z,8393,Albacete,0,0,True,52,6,2,0,0,310 (78%),14,6,48,8,1,0,0,304 (79%),13,1,,2,2,0,2,4,,4,3,0,3,5,399,127,183,32 (54%),4 (17%),29,2,384,203,101,35 (46%),1 (14%),18,3,,15,6,3,8,1,,15,10,2,23,2,,42,31 (49%),11 (42%),5 (38%),,47,32 (51%),15 (58%),5 (45%),,4,0,,4,0,13.0,8.0
