team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Touches in opposition box,Touches in opposition box against
8581,2022-08-12T19:00:00.000Z,96925,SD Huesca,0,0,True,58,16,2,3,3,315 (80%),19,10,42,9,2,2,2,237 (79%),9,2,,9,5,0,9,7,,3,4,1,6,3,394,154,161,41 (53%),6 (21%),23,1,299,153,84,31 (54%),2 (17%),14,4,,9,8,3,10,2,,9,6,5,40,2,,38,23 (43%),15 (48%),5 (63%),,47,31 (57%),16 (52%),7 (64%),,4,1,,1,0,,
8581,2022-08-20T17:30:00.000Z,8394,Real Zaragoza,0,0,False,44,8,1,2,2,326 (81%),8,7,56,11,6,2,2,441 (84%),10,5,,4,3,1,7,1,,4,1,0,6,5,404,179,147,34 (51%),4 (29%),28,2,525,289,152,31 (53%),4 (25%),26,0,,12,8,1,20,6,,17,8,3,21,1,,47,29 (50%),18 (67%),7 (54%),,39,30 (51%),9 (33%),5 (45%),,1,0,,0,0,,
8581,2022-08-27T20:00:00.000Z,9867,Tenerife,2,0,True,51,9,6,3,2,367 (85%),16,3,49,7,1,1,1,328 (82%),11,3,,3,0,0,6,3,,5,1,0,4,3,430,190,177,29 (64%),1 (8%),20,3,402,163,165,44 (59%),2 (14%),21,1,,15,9,1,18,1,,16,6,1,14,3,,53,40 (56%),13 (57%),15 (58%),,42,32 (44%),10 (43%),2 (20%),,3,0,,4,1,,
8581,2022-09-05T19:00:00.000Z,8670,Real Oviedo,1,1,False,51,7,1,1,0,295 (75%),16,3,49,14,5,0,0,286 (77%),14,3,,5,1,0,4,3,,7,2,0,7,7,392,161,134,33 (52%),2 (20%),22,2,370,139,147,42 (58%),9 (41%),18,0,,16,7,2,18,4,,13,8,1,15,0,,60,38 (52%),22 (46%),9 (64%),,61,35 (48%),26 (54%),7 (39%),,6,1,,3,0,,
8581,2022-09-10T19:00:00.000Z,161771,Villarreal B,4,1,True,44,14,6,4,3,250 (78%),12,5,56,13,3,0,0,330 (80%),10,2,,6,2,1,7,7,,7,3,0,1,12,320,121,129,34 (62%),4 (27%),16,3,415,179,151,19 (40%),0 (0%),14,0,,18,14,3,10,2,,10,12,2,11,2,,45,35 (56%),10 (43%),8 (57%),,41,28 (44%),13 (57%),6 (43%),,5,0,,3,0,,
8581,2022-09-16T19:00:00.000Z,8554,Cartagena,0,1,True,52,10,5,1,1,328 (80%),18,3,48,5,2,1,0,292 (77%),21,2,,4,1,0,6,4,,3,0,0,3,2,408,146,182,34 (59%),5 (20%),28,3,378,182,110,41 (51%),2 (18%),12,2,,11,7,0,11,1,,9,8,1,28,5,,53,36 (52%),17 (53%),5 (42%),,48,33 (48%),15 (47%),7 (70%),,2,0,,4,0,,
8581,2022-09-25T12:00:00.000Z,7876,Burgos CF,0,0,False,49,17,4,1,1,260 (79%),13,9,51,13,2,1,1,285 (79%),13,3,,8,5,1,9,8,,8,3,0,7,6,331,110,150,22 (42%),7 (23%),17,0,362,126,159,40 (55%),6 (29%),23,3,,13,15,2,18,2,,16,10,5,28,4,,47,35 (50%),12 (39%),9 (64%),,54,35 (50%),19 (61%),8 (53%),,3,0,,1,0,29.0,17.0
8581,2022-10-01T16:30:00.000Z,494050,FC Andorra,1,3,False,44,12,3,1,1,225 (71%),24,2,56,11,5,3,2,303 (76%),5,3,,5,4,0,11,1,,5,1,0,7,4,316,104,121,25 (41%),7 (44%),20,4,401,167,136,28 (36%),6 (43%),25,2,,15,13,1,9,2,,8,8,4,19,2,,46,26 (41%),20 (63%),6 (55%),,50,38 (59%),12 (38%),7 (50%),,4,0,,3,0,30.0,14.0
8581,2022-10-09T16:30:00.000Z,8696,Racing Santander,0,1,True,70,10,4,3,3,423 (82%),20,5,30,19,7,4,4,148 (66%),11,2,,5,1,0,6,4,,9,3,1,11,8,515,187,236,33 (62%),8 (28%),18,2,223,58,90,20 (36%),2 (20%),13,0,,16,5,2,8,7,,17,12,1,25,4,,58,33 (44%),25 (61%),6 (46%),,58,42 (56%),16 (39%),5 (36%),,3,0,,2,2,29.0,25.0
8581,2022-10-13T17:00:00.000Z,4032,CD Mirandes,1,0,False,49,12,5,2,1,335 (78%),14,5,51,25,8,1,1,362 (84%),14,6,,3,4,0,5,7,,8,9,1,12,13,429,176,159,28 (43%),2 (13%),13,0,429,172,190,27 (54%),6 (17%),25,1,,19,6,10,34,7,,8,14,4,12,4,,46,34 (55%),12 (48%),4 (44%),,41,28 (45%),13 (52%),7 (41%),,2,0,,3,0,24.0,24.0
8581,2022-10-16T12:00:00.000Z,7854,Leganes,2,1,True,55,15,6,2,1,377 (85%),17,2,45,10,4,2,1,274 (75%),17,4,,4,5,0,5,10,,4,2,0,7,3,442,155,222,29 (59%),3 (21%),24,2,364,162,112,31 (48%),3 (30%),14,2,,12,7,2,15,3,,26,7,5,7,4,,47,33 (42%),14 (50%),5 (45%),,60,46 (58%),14 (50%),5 (50%),,3,0,,3,0,13.0,9.0
8581,2022-10-22T19:00:00.000Z,1123073,UD Ibiza,2,1,False,48,12,6,1,0,262 (76%),20,8,52,8,4,0,0,307 (79%),15,1,,4,2,0,7,5,,3,1,0,5,3,347,150,112,27 (38%),4 (18%),20,0,391,160,147,19 (40%),2 (13%),25,4,,14,11,0,18,3,,11,8,2,16,4,,45,32 (51%),13 (46%),5 (50%),,46,31 (49%),15 (54%),1 (13%),,4,1,,2,0,14.0,15.0
8581,2022-10-31T20:00:00.000Z,9869,Sporting Gijon,1,0,True,58,9,3,2,2,374 (83%),7,3,42,9,1,1,1,239 (74%),11,6,,5,1,0,6,3,,7,1,0,5,4,450,220,154,27 (54%),3 (21%),26,1,322,143,96,29 (52%),6 (32%),28,0,,17,13,1,21,1,,22,5,1,7,2,,56,38 (52%),18 (53%),10 (48%),,51,35 (48%),16 (47%),7 (54%),,1,0,,2,0,10.0,18.0
8581,2022-11-03T20:00:00.000Z,7878,Granada,0,0,False,44,4,1,1,1,263 (73%),12,1,56,16,3,0,0,345 (77%),14,8,,2,1,0,3,1,,3,10,1,9,7,361,178,85,33 (45%),2 (18%),25,4,446,188,157,22 (35%),5 (17%),30,1,,13,8,10,29,3,,10,3,1,11,1,,42,31 (51%),11 (29%),5 (56%),,57,30 (49%),27 (71%),11 (58%),,6,0,,1,0,15.0,26.0
8581,2022-11-06T20:00:00.000Z,8393,Albacete,3,2,False,48,13,3,5,2,338 (82%),11,1,52,13,2,1,0,347 (81%),13,4,,6,4,0,9,4,,7,4,1,7,6,414,180,158,25 (43%),4 (40%),19,0,430,182,165,40 (62%),6 (21%),19,1,,21,5,4,32,0,,18,7,4,13,0,,57,37 (54%),20 (49%),5 (29%),,53,32 (46%),21 (51%),6 (40%),,4,0,,4,0,25.0,24.0
8581,2022-11-20T20:00:00.000Z,8306,Las Palmas,1,1,True,37,7,2,1,0,219 (73%),25,3,63,17,5,2,1,438 (86%),15,8,,4,1,0,5,2,,6,6,0,9,8,298,114,105,14 (31%),2 (18%),19,2,511,234,204,24 (57%),2 (20%),18,1,,24,11,5,17,4,,21,14,1,10,1,,51,41 (41%),10 (67%),3 (25%),,63,58 (59%),5 (33%),15 (50%),,3,0,,3,0,15.0,29.0
8581,2022-11-27T15:15:00.000Z,8206,Lugo,1,1,False,69,13,2,2,1,425 (84%),10,11,31,11,3,2,1,140 (62%),10,5,,7,4,0,8,5,,7,1,0,6,5,506,198,227,32 (56%),9 (28%),25,2,226,84,56,24 (39%),4 (31%),21,2,,13,8,1,12,2,,15,7,4,23,1,,47,28 (49%),19 (51%),7 (54%),,47,29 (51%),18 (49%),5 (36%),,3,0,,3,0,31.0,8.0
8581,2022-12-04T20:00:00.000Z,9864,Malaga,1,0,True,58,17,4,3,2,404 (81%),20,6,42,13,6,2,2,258 (74%),13,4,,11,2,2,8,9,,4,3,0,6,7,496,175,229,31 (52%),3 (20%),26,3,348,155,103,29 (40%),5 (33%),11,3,,18,6,3,19,6,,19,14,2,17,3,,58,41 (50%),17 (63%),10 (42%),,51,41 (50%),10 (37%),2 (17%),,0,0,,3,0,27.0,14.0
8581,2022-12-08T17:30:00.000Z,8005,Ponferradina,0,0,True,62,19,7,2,2,505 (88%),6,7,38,3,0,0,0,246 (73%),12,6,,7,5,0,10,9,,2,1,0,1,2,572,212,293,45 (73%),2 (13%),24,2,338,147,99,26 (37%),1 (7%),19,1,,14,8,0,24,0,,23,11,3,15,7,,44,31 (48%),13 (59%),6 (32%),,43,34 (52%),9 (41%),5 (45%),,4,0,,2,0,33.0,15.0
8581,2022-12-12T20:00:00.000Z,9866,Deportivo Alaves,2,0,False,50,7,5,1,0,314 (77%),15,2,50,11,1,0,0,300 (76%),21,6,,2,0,0,3,4,,6,4,0,9,2,409,179,135,36 (46%),2 (25%),24,3,393,152,148,33 (48%),3 (15%),24,3,,12,8,4,27,1,,14,8,0,6,3,,60,46 (58%),14 (56%),13 (68%),,44,33 (42%),11 (44%),6 (55%),,3,0,,3,1,8.0,20.0
8581,2022-12-18T18:00:00.000Z,8372,Eibar,0,0,True,58,13,3,2,2,425 (84%),12,11,42,5,1,1,1,286 (76%),9,4,,8,2,0,7,6,,4,0,1,4,1,508,224,201,44 (60%),7 (25%),17,1,377,173,113,27 (43%),2 (13%),24,5,,5,12,0,12,1,,16,19,1,14,3,,36,19 (39%),17 (44%),6 (43%),,52,30 (61%),22 (56%),5 (71%),,0,0,,2,0,23.0,10.0
8581,2023-01-06T17:30:00.000Z,9869,Sporting Gijon,1,1,False,58,14,3,3,2,427 (83%),13,7,42,7,2,1,0,289 (76%),9,3,,6,5,1,8,6,,4,1,0,3,4,512,221,206,34 (55%),9 (30%),22,1,382,158,131,18 (35%),6 (43%),29,3,,24,11,1,14,1,,25,8,4,20,2,,49,39 (46%),10 (36%),6 (26%),,63,45 (54%),18 (64%),7 (41%),,3,0,,4,0,20.0,12.0
8581,2023-01-14T20:00:00.000Z,7878,Granada,3,1,True,45,13,5,4,1,297 (79%),17,7,55,8,4,0,0,373 (81%),12,1,,5,3,0,11,2,,1,3,1,2,6,374,204,93,30 (45%),4 (25%),14,4,458,177,196,31 (61%),2 (11%),27,0,,14,9,2,15,3,,9,5,2,12,2,,44,27 (47%),17 (65%),2 (40%),,39,30 (53%),9 (35%),4 (44%),,0,0,,0,0,24.0,15.0
